,hsa-miR-148a,hsa-miR-541,hsa-miR-142-5p,hsa-miR-744,hsa-miR-766,hsa-miR-1977,hsa-miR-27b,kshv-miR-K12-8,hsa-miR-630,hsa-miR-93,hsa-miR-99a,hsa-miR-423-5p,hsv1-miR-H8,hsa-miR-133b,hsa-miR-106b,hsa-miR-769-3p,hsa-miR-659,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-223,hsa-miR-301b,hsa-miR-615-3p,hsa-miR-1538,hsa-miR-1262,hsa-miR-508-5p,hsa-miR-2115,hsa-miR-125a-3p,hsa-miR-147b,hsa-miR-147,hsa-miR-331-3p,hsa-miR-600
17,0.0,1.0,3.0,6.0,9.0,4.0,13.0,30.0,2.0,11.0,27.0,5.0,12.0,19.0,20.0,8.0,7.0,28.0,23.0,43.0,51.0,21.0,52.0,84.0,16.0,406.0,42.0,14.0,61.0,102.0
66,3.0,2.0,13.0,5.0,4.0,14.0,0.0,1.0,9.0,45.0,7.0,8.0,10.0,21.0,76.0,30.0,11.0,18.0,6.0,17.0,50.0,12.0,35.0,126.0,74.0,15.0,23.0,22.0,70.0,31.0
115,0.0,1.0,2.0,5.0,8.0,9.0,3.0,11.0,7.0,4.0,69.0,41.0,12.0,14.0,21.0,39.0,6.0,70.0,28.0,24.0,46.0,35.0,22.0,63.0,17.0,16.0,18.0,20.0,38.0,62.0
164,1.0,0.0,5.0,8.0,6.0,3.0,2.0,41.0,4.0,12.0,18.0,17.0,10.0,19.0,25.0,11.0,29.0,78.0,9.0,30.0,45.0,42.0,7.0,48.0,21.0,50.0,28.0,26.0,35.0,91.0
213,1.0,0.0,2.0,10.0,8.0,26.0,9.0,12.0,4.0,7.0,28.0,5.0,6.0,15.0,11.0,20.0,19.0,83.0,17.0,34.0,30.0,14.0,47.0,50.0,21.0,38.0,16.0,41.0,70.0,45.0
262,3.0,0.0,4.0,8.0,2.0,6.0,1.0,20.0,10.0,21.0,49.0,5.0,7.0,16.0,24.0,11.0,12.0,87.0,29.0,22.0,13.0,28.0,19.0,90.0,32.0,78.0,9.0,17.0,31.0,61.0
311,1.0,0.0,2.0,18.0,6.0,8.0,28.0,15.0,4.0,25.0,7.0,60.0,11.0,13.0,35.0,10.0,3.0,68.0,5.0,17.0,27.0,38.0,23.0,48.0,29.0,405.0,12.0,44.0,19.0,57.0
360,5.0,0.0,1.0,8.0,6.0,2.0,18.0,34.0,4.0,12.0,11.0,7.0,9.0,40.0,10.0,3.0,13.0,33.0,14.0,45.0,78.0,26.0,19.0,52.0,38.0,429.0,15.0,20.0,17.0,70.0
409,2.0,0.0,4.0,21.0,11.0,5.0,3.0,28.0,1.0,19.0,7.0,8.0,15.0,37.0,62.0,10.0,6.0,44.0,9.0,27.0,36.0,26.0,24.0,43.0,63.0,49.0,16.0,60.0,72.0,273.0
458,1.0,2.0,8.0,4.0,7.0,43.0,0.0,31.0,5.0,13.0,10.0,16.0,9.0,33.0,19.0,12.0,3.0,39.0,41.0,34.0,46.0,44.0,32.0,92.0,6.0,26.0,24.0,49.0,62.0,63.0
507,1.0,0.0,7.0,3.0,6.0,4.0,2.0,65.0,5.0,31.0,11.0,44.0,21.0,42.0,32.0,18.0,15.0,8.0,72.0,37.0,22.0,49.0,14.0,20.0,353.0,19.0,35.0,88.0,57.0,25.0
556,0.0,9.0,6.0,1.0,3.0,7.0,4.0,18.0,12.0,35.0,51.0,8.0,22.0,19.0,30.0,45.0,10.0,5.0,63.0,29.0,17.0,82.0,20.0,32.0,14.0,31.0,33.0,81.0,47.0,28.0
605,0.0,3.0,2.0,1.0,11.0,12.0,7.0,29.0,4.0,13.0,39.0,10.0,36.0,15.0,20.0,41.0,32.0,19.0,51.0,33.0,6.0,21.0,34.0,14.0,50.0,9.0,27.0,17.0,62.0,18.0
654,1.0,4.0,5.0,2.0,10.0,8.0,0.0,14.0,33.0,17.0,3.0,21.0,22.0,19.0,20.0,16.0,7.0,12.0,92.0,50.0,23.0,69.0,67.0,9.0,71.0,64.0,31.0,25.0,78.0,65.0
703,0.0,1.0,2.0,3.0,4.0,17.0,22.0,11.0,8.0,16.0,5.0,27.0,19.0,39.0,26.0,7.0,18.0,53.0,23.0,98.0,13.0,34.0,41.0,10.0,21.0,402.0,46.0,61.0,57.0,14.0
752,0.0,2.0,5.0,4.0,7.0,1.0,3.0,17.0,9.0,10.0,30.0,38.0,23.0,13.0,26.0,12.0,25.0,16.0,439.0,71.0,24.0,35.0,19.0,28.0,6.0,11.0,57.0,50.0,64.0,15.0
801,2.0,0.0,4.0,3.0,6.0,1.0,7.0,59.0,17.0,13.0,22.0,37.0,25.0,19.0,14.0,40.0,5.0,11.0,65.0,23.0,31.0,46.0,47.0,12.0,15.0,9.0,42.0,20.0,39.0,8.0
850,2.0,3.0,0.0,1.0,4.0,6.0,5.0,9.0,30.0,27.0,32.0,28.0,22.0,24.0,14.0,31.0,18.0,7.0,21.0,17.0,36.0,109.0,46.0,29.0,68.0,15.0,19.0,61.0,13.0,23.0
899,3.0,1.0,0.0,2.0,6.0,10.0,4.0,58.0,14.0,20.0,8.0,9.0,17.0,26.0,24.0,27.0,12.0,7.0,64.0,37.0,11.0,28.0,29.0,21.0,19.0,15.0,41.0,45.0,40.0,13.0
948,0.0,1.0,3.0,6.0,16.0,4.0,2.0,5.0,7.0,14.0,18.0,11.0,17.0,36.0,25.0,112.0,10.0,22.0,90.0,23.0,9.0,60.0,40.0,29.0,340.0,21.0,94.0,45.0,62.0,27.0
