,4E-BP1,HER2_pY1248,XBP1,SHP-2_pY542,IRS1,RSK1-2-3,Rictor_pT1135,c-Kit,Rab25,Claudin-7,PRDX1,Porin,NDRG1_pT346,E-Cadherin,YAP_pS127,Akt_pS473,AMPK_pT172,A-Raf_pS299,Transglutaminase,STAT5-alpha,Acetyl-a-Tubulin (Lys40),PDK1,PAI-1,PDK1_pS241,PDCD4,Paxillin,p90RSK_pT573,p90RSK_pT359_S363,PEA15,p62 Lck ligand
6,0.0,17.0,38.0,2.0,6.0,18.0,3.0,103.0,7.0,20.0,86.0,88.0,146.0,152.0,59.0,32.0,35.0,117.0,28.0,74.0,127.0,43.0,10.0,44.0,42.0,39.0,41.0,45.0,50.0,49.0
55,4.0,22.0,5.0,0.0,8.0,1.0,12.0,101.0,7.0,6.0,18.0,20.0,31.0,2.0,32.0,119.0,9.0,114.0,11.0,67.0,116.0,38.0,17.0,35.0,39.0,54.0,15.0,44.0,41.0,47.0
104,33.0,23.0,30.0,12.0,1.0,16.0,2.0,104.0,14.0,25.0,9.0,36.0,93.0,8.0,40.0,35.0,38.0,27.0,39.0,0.0,117.0,48.0,32.0,47.0,46.0,63.0,52.0,53.0,49.0,51.0
153,6.0,15.0,5.0,25.0,4.0,1.0,0.0,8.0,2.0,114.0,44.0,24.0,20.0,109.0,27.0,35.0,3.0,33.0,78.0,84.0,37.0,55.0,58.0,54.0,56.0,23.0,59.0,60.0,53.0,62.0
202,3.0,0.0,36.0,13.0,7.0,6.0,10.0,1.0,5.0,4.0,81.0,19.0,129.0,156.0,62.0,25.0,29.0,118.0,2.0,24.0,121.0,17.0,47.0,39.0,58.0,45.0,49.0,50.0,40.0,52.0
251,0.0,12.0,3.0,4.0,27.0,11.0,83.0,9.0,88.0,17.0,23.0,2.0,14.0,151.0,39.0,122.0,124.0,36.0,1.0,41.0,32.0,47.0,51.0,46.0,62.0,50.0,54.0,55.0,48.0,57.0
300,114.0,1.0,10.0,7.0,2.0,18.0,4.0,104.0,22.0,9.0,87.0,19.0,86.0,13.0,36.0,122.0,3.0,8.0,0.0,69.0,33.0,41.0,57.0,43.0,42.0,38.0,45.0,49.0,37.0,52.0
349,113.0,2.0,29.0,9.0,0.0,11.0,23.0,103.0,20.0,3.0,77.0,22.0,31.0,1.0,59.0,36.0,10.0,117.0,33.0,69.0,6.0,37.0,46.0,42.0,44.0,17.0,13.0,50.0,39.0,54.0
398,41.0,142.0,39.0,40.0,5.0,72.0,2.0,10.0,13.0,4.0,15.0,28.0,30.0,153.0,0.0,31.0,125.0,118.0,37.0,6.0,33.0,53.0,43.0,64.0,46.0,45.0,49.0,42.0,79.0,48.0
447,37.0,8.0,72.0,27.0,4.0,0.0,5.0,130.0,1.0,117.0,25.0,24.0,18.0,13.0,31.0,53.0,2.0,97.0,79.0,85.0,40.0,22.0,21.0,56.0,58.0,59.0,61.0,62.0,55.0,64.0
496,0.0,2.0,38.0,4.0,37.0,6.0,1.0,102.0,18.0,5.0,20.0,3.0,146.0,21.0,39.0,7.0,30.0,31.0,27.0,26.0,34.0,49.0,11.0,48.0,51.0,12.0,53.0,54.0,59.0,56.0
545,0.0,2.0,1.0,3.0,23.0,6.0,12.0,11.0,16.0,18.0,86.0,88.0,29.0,21.0,35.0,122.0,33.0,27.0,68.0,37.0,118.0,41.0,4.0,45.0,42.0,43.0,46.0,48.0,56.0,47.0
594,26.0,7.0,9.0,1.0,2.0,17.0,5.0,107.0,10.0,148.0,85.0,87.0,6.0,19.0,25.0,31.0,0.0,113.0,4.0,37.0,30.0,16.0,8.0,43.0,45.0,46.0,11.0,49.0,42.0,56.0
643,3.0,31.0,4.0,6.0,29.0,0.0,77.0,102.0,10.0,153.0,19.0,85.0,40.0,158.0,2.0,119.0,30.0,7.0,1.0,32.0,115.0,39.0,9.0,37.0,41.0,42.0,23.0,15.0,55.0,50.0
692,37.0,0.0,8.0,15.0,11.0,6.0,62.0,13.0,63.0,5.0,1.0,25.0,96.0,149.0,64.0,29.0,33.0,30.0,4.0,9.0,114.0,60.0,51.0,39.0,47.0,49.0,53.0,54.0,43.0,48.0
