,1-methylnicotinamide,C16:0 LPE,pantothenate,C34:2 DAG,C22:6 CE,C36:1 DAG,niacinamide,hypoxanthine,creatine,alpha-glycerophosphocholine,guanosine,C18:0 LPE,GABA,C22:6 LPE,C18:0 LPC,DHAP/glyceraldehyde 3P,inositol,2-deoxyadenosine,carnitine,oxalate,cytidine,inosine,beta-alanine,C34:4 PC,2-deoxycytidine,alpha-glycerophosphate,UMP,creatinine,3-phosphoglycerate,C22:6 LPC
21,0.0,2.0,1.0,4.0,24.0,3.0,14.0,5.0,28.0,9.0,12.0,36.0,33.0,21.0,11.0,6.0,45.0,55.0,42.0,20.0,7.0,38.0,13.0,25.0,19.0,23.0,57.0,8.0,41.0,59.0
70,5.0,1.0,3.0,0.0,4.0,2.0,19.0,6.0,25.0,14.0,52.0,8.0,51.0,11.0,16.0,7.0,34.0,22.0,18.0,9.0,21.0,27.0,10.0,24.0,46.0,13.0,29.0,20.0,55.0,45.0
119,4.0,1.0,10.0,0.0,2.0,6.0,9.0,19.0,8.0,27.0,56.0,17.0,41.0,5.0,3.0,15.0,20.0,7.0,55.0,29.0,18.0,44.0,13.0,12.0,31.0,11.0,26.0,53.0,23.0,60.0
168,3.0,2.0,0.0,1.0,8.0,5.0,6.0,23.0,10.0,22.0,12.0,16.0,18.0,4.0,19.0,38.0,60.0,34.0,11.0,14.0,51.0,20.0,9.0,32.0,31.0,15.0,56.0,13.0,49.0,55.0
217,1.0,2.0,3.0,0.0,9.0,4.0,11.0,26.0,10.0,7.0,15.0,18.0,24.0,30.0,5.0,8.0,49.0,44.0,33.0,46.0,34.0,45.0,6.0,61.0,16.0,25.0,57.0,43.0,27.0,52.0
266,0.0,7.0,3.0,1.0,4.0,2.0,5.0,8.0,18.0,6.0,37.0,16.0,14.0,61.0,23.0,9.0,13.0,22.0,39.0,48.0,12.0,50.0,17.0,51.0,10.0,31.0,42.0,33.0,34.0,56.0
315,4.0,3.0,0.0,2.0,5.0,1.0,31.0,6.0,21.0,11.0,9.0,27.0,41.0,17.0,10.0,7.0,43.0,20.0,24.0,30.0,12.0,45.0,57.0,14.0,35.0,44.0,66.0,18.0,48.0,59.0
364,1.0,4.0,5.0,0.0,17.0,6.0,3.0,10.0,30.0,2.0,34.0,12.0,14.0,31.0,8.0,7.0,55.0,9.0,15.0,29.0,11.0,64.0,46.0,43.0,19.0,44.0,35.0,49.0,50.0,26.0
413,0.0,2.0,7.0,1.0,5.0,3.0,4.0,9.0,38.0,10.0,33.0,11.0,14.0,15.0,6.0,17.0,50.0,25.0,13.0,21.0,24.0,26.0,61.0,20.0,36.0,32.0,59.0,47.0,12.0,64.0
462,0.0,3.0,9.0,1.0,5.0,2.0,4.0,8.0,18.0,20.0,6.0,7.0,24.0,14.0,35.0,33.0,15.0,41.0,31.0,29.0,47.0,10.0,17.0,34.0,40.0,53.0,37.0,30.0,27.0,12.0
511,0.0,12.0,5.0,3.0,4.0,1.0,7.0,18.0,2.0,10.0,17.0,34.0,46.0,16.0,42.0,19.0,9.0,25.0,6.0,11.0,14.0,15.0,45.0,30.0,21.0,35.0,33.0,13.0,49.0,43.0
560,4.0,10.0,2.0,7.0,0.0,3.0,6.0,8.0,1.0,9.0,15.0,18.0,50.0,20.0,21.0,5.0,11.0,16.0,14.0,23.0,27.0,34.0,45.0,13.0,37.0,31.0,59.0,30.0,44.0,36.0
609,5.0,7.0,4.0,1.0,0.0,8.0,3.0,2.0,6.0,21.0,16.0,17.0,60.0,32.0,26.0,10.0,13.0,30.0,24.0,14.0,22.0,11.0,37.0,29.0,15.0,47.0,46.0,23.0,66.0,58.0
658,2.0,27.0,3.0,6.0,1.0,5.0,0.0,8.0,4.0,21.0,11.0,25.0,26.0,24.0,9.0,7.0,10.0,22.0,39.0,53.0,17.0,20.0,19.0,40.0,45.0,47.0,12.0,38.0,35.0,29.0
707,4.0,2.0,3.0,6.0,0.0,8.0,5.0,1.0,7.0,13.0,14.0,45.0,34.0,15.0,19.0,9.0,21.0,31.0,22.0,12.0,30.0,35.0,61.0,24.0,11.0,56.0,25.0,42.0,53.0,18.0
756,1.0,7.0,4.0,0.0,6.0,5.0,3.0,2.0,10.0,14.0,51.0,36.0,13.0,11.0,56.0,9.0,15.0,27.0,8.0,29.0,54.0,18.0,22.0,30.0,58.0,31.0,40.0,12.0,39.0,17.0
805,4.0,7.0,1.0,3.0,2.0,5.0,6.0,0.0,15.0,28.0,12.0,57.0,25.0,10.0,46.0,11.0,44.0,13.0,8.0,36.0,35.0,51.0,37.0,20.0,14.0,16.0,17.0,33.0,56.0,18.0
854,1.0,8.0,0.0,4.0,6.0,2.0,3.0,5.0,7.0,30.0,22.0,27.0,53.0,9.0,33.0,23.0,34.0,11.0,19.0,16.0,43.0,15.0,40.0,17.0,10.0,25.0,57.0,64.0,38.0,24.0
903,8.0,3.0,5.0,7.0,2.0,0.0,1.0,4.0,6.0,11.0,24.0,61.0,45.0,13.0,18.0,15.0,10.0,14.0,17.0,36.0,19.0,33.0,32.0,12.0,52.0,47.0,54.0,63.0,22.0,38.0
952,0.0,25.0,1.0,3.0,5.0,12.0,2.0,4.0,22.0,26.0,8.0,16.0,39.0,15.0,23.0,11.0,41.0,9.0,6.0,10.0,37.0,13.0,17.0,14.0,50.0,7.0,36.0,18.0,34.0,27.0
1001,1.0,0.0,3.0,6.0,5.0,4.0,11.0,2.0,24.0,10.0,14.0,36.0,17.0,22.0,7.0,12.0,49.0,8.0,16.0,53.0,33.0,15.0,43.0,26.0,28.0,39.0,50.0,46.0,55.0,32.0
