,BONE,SOFT_TISSUE,HAEMATOPOIETIC,OESOPHAGUS,PANCREAS,STOMACH,LIVER,ENDOMETRIUM,LUNG,SKIN,OVARY,BREAST,LARGE_INTESTINE,NERVOUS,GANGLIA,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
47,0.0,1.0,2.0,4.0,6.0,5.0,8.0,13.0,7.0,9.0,12.0,10.0,11.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,0.0,1.0,2.0,4.0,7.0,5.0,9.0,8.0,10.0,11.0,12.0,13.0,6.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,1.0,2.0,4.0,8.0,5.0,10.0,6.0,9.0,7.0,11.0,12.0,13.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,2.0,3.0,5.0,4.0,8.0,21.0,10.0,7.0,11.0,9.0,6.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,15.0,22.0
243,16.0,0.0,1.0,3.0,2.0,6.0,4.0,11.0,8.0,7.0,10.0,9.0,12.0,5.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,18.0,2.0,1.0,6.0,5.0,8.0,12.0,10.0,7.0,9.0,11.0,13.0,4.0,14.0,15.0,16.0,17.0,19.0,20.0,3.0,21.0,22.0
341,0.0,1.0,2.0,5.0,3.0,4.0,8.0,7.0,10.0,6.0,11.0,12.0,9.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
390,0.0,16.0,1.0,2.0,4.0,6.0,10.0,3.0,7.0,5.0,9.0,8.0,11.0,19.0,12.0,13.0,14.0,15.0,17.0,18.0,20.0,21.0,22.0
439,0.0,1.0,2.0,3.0,5.0,4.0,7.0,10.0,11.0,6.0,9.0,12.0,8.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
488,16.0,0.0,1.0,4.0,6.0,10.0,3.0,12.0,7.0,5.0,8.0,11.0,9.0,2.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
537,0.0,17.0,1.0,6.0,2.0,8.0,7.0,4.0,3.0,11.0,5.0,10.0,9.0,20.0,13.0,14.0,15.0,16.0,18.0,19.0,12.0,21.0,22.0
586,0.0,16.0,1.0,4.0,2.0,8.0,6.0,3.0,7.0,9.0,5.0,10.0,11.0,19.0,12.0,13.0,14.0,15.0,17.0,18.0,20.0,21.0,22.0
635,0.0,17.0,1.0,4.0,2.0,11.0,3.0,5.0,8.0,7.0,6.0,10.0,9.0,20.0,13.0,14.0,15.0,16.0,18.0,19.0,12.0,21.0,22.0
684,1.0,0.0,2.0,6.0,3.0,20.0,9.0,4.0,11.0,5.0,8.0,10.0,7.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,12.0,21.0,22.0
733,0.0,1.0,2.0,9.0,3.0,20.0,5.0,7.0,8.0,4.0,6.0,10.0,11.0,18.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,21.0,22.0
782,1.0,0.0,2.0,6.0,4.0,11.0,3.0,7.0,8.0,5.0,12.0,10.0,9.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
831,1.0,0.0,2.0,5.0,3.0,12.0,10.0,4.0,9.0,7.0,6.0,11.0,8.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
880,0.0,1.0,2.0,4.0,3.0,10.0,11.0,12.0,9.0,7.0,8.0,6.0,5.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
929,1.0,0.0,2.0,4.0,3.0,8.0,9.0,11.0,6.0,7.0,5.0,12.0,10.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
978,1.0,0.0,3.0,11.0,2.0,10.0,9.0,4.0,7.0,8.0,6.0,12.0,5.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
1027,0.0,1.0,3.0,6.0,4.0,13.0,2.0,5.0,9.0,10.0,8.0,11.0,7.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,1.0,0.0,2.0,8.0,5.0,4.0,3.0,6.0,7.0,12.0,10.0,9.0,14.0,11.0,16.0,15.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
1125,0.0,1.0,2.0,5.0,4.0,10.0,3.0,6.0,12.0,8.0,7.0,11.0,14.0,9.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
1174,0.0,17.0,1.0,5.0,3.0,8.0,2.0,6.0,7.0,4.0,10.0,11.0,12.0,9.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1223,0.0,1.0,2.0,6.0,5.0,4.0,3.0,7.0,10.0,12.0,11.0,8.0,13.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1272,0.0,18.0,1.0,12.0,7.0,4.0,3.0,8.0,9.0,10.0,6.0,11.0,5.0,2.0,14.0,15.0,16.0,17.0,19.0,20.0,13.0,21.0,22.0
1321,1.0,0.0,2.0,3.0,4.0,5.0,17.0,13.0,9.0,11.0,7.0,10.0,6.0,8.0,14.0,15.0,16.0,18.0,19.0,20.0,12.0,21.0,22.0
1370,1.0,0.0,2.0,7.0,3.0,12.0,4.0,6.0,8.0,9.0,10.0,11.0,5.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1419,1.0,0.0,2.0,7.0,8.0,3.0,4.0,6.0,9.0,12.0,10.0,11.0,5.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
1468,0.0,17.0,1.0,6.0,5.0,4.0,2.0,3.0,10.0,8.0,9.0,12.0,7.0,11.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1517,16.0,0.0,1.0,4.0,2.0,9.0,3.0,10.0,7.0,6.0,12.0,5.0,8.0,11.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,0.0,18.0,1.0,6.0,2.0,5.0,3.0,21.0,7.0,4.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,17.0,19.0,20.0,12.0,16.0,22.0
1615,0.0,1.0,2.0,3.0,4.0,6.0,10.0,13.0,5.0,9.0,14.0,7.0,8.0,11.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
1664,0.0,18.0,1.0,2.0,4.0,11.0,3.0,21.0,5.0,8.0,7.0,6.0,12.0,9.0,13.0,14.0,15.0,17.0,19.0,20.0,10.0,16.0,22.0
1713,0.0,1.0,2.0,4.0,8.0,5.0,3.0,13.0,7.0,11.0,10.0,9.0,6.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
1762,0.0,17.0,1.0,4.0,5.0,8.0,3.0,11.0,10.0,7.0,9.0,6.0,12.0,2.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1811,0.0,1.0,2.0,11.0,3.0,12.0,4.0,10.0,7.0,5.0,6.0,9.0,13.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,8.0,21.0,22.0
1860,17.0,0.0,1.0,5.0,4.0,8.0,7.0,2.0,10.0,6.0,11.0,9.0,13.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,3.0,21.0,22.0
1909,16.0,18.0,0.0,2.0,3.0,4.0,1.0,21.0,11.0,5.0,7.0,6.0,8.0,10.0,12.0,13.0,14.0,17.0,19.0,20.0,9.0,15.0,22.0
1958,0.0,1.0,2.0,6.0,3.0,4.0,5.0,12.0,9.0,13.0,7.0,10.0,8.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,11.0,21.0,22.0
2007,15.0,0.0,1.0,4.0,6.0,8.0,2.0,3.0,9.0,5.0,11.0,7.0,10.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
2056,16.0,0.0,1.0,3.0,2.0,5.0,8.0,4.0,7.0,11.0,9.0,6.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,14.0,16.0,0.0,1.0,3.0,6.0,7.0,5.0,4.0,8.0,2.0,10.0,9.0,19.0,11.0,12.0,13.0,15.0,17.0,18.0,20.0,21.0,22.0
2154,17.0,0.0,1.0,4.0,9.0,13.0,10.0,6.0,8.0,11.0,12.0,5.0,7.0,2.0,14.0,15.0,16.0,18.0,19.0,20.0,3.0,21.0,22.0
2203,15.0,0.0,1.0,5.0,2.0,11.0,4.0,3.0,9.0,8.0,10.0,7.0,6.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
2252,16.0,0.0,1.0,2.0,4.0,9.0,5.0,3.0,10.0,6.0,8.0,11.0,7.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
