,VAV1,Akt_pS473,VHL,YAP_pS127,Stathmin,alpha-Catenin,beta-Catenin,Claudin-7,HER3,Heregulin,p62 Lck ligand,SF2,PI3K-p110-alpha,Chk1,Raptor,PEA15,Chk1_pS345,p90RSK_pT573,Bcl-2,Bax,Caspase-7_cleavedD198,MIG-6,Src_pY416,MAPK_pT202_Y204,Tuberin_pT1462,N-Cadherin,p21,EGFR,Lck,Transglutaminase
1180,0.0,1.0,3.0,2.0,5.0,15.0,10.0,29.0,27.0,9.0,43.0,17.0,4.0,7.0,57.0,69.0,138.0,11.0,8.0,76.0,12.0,46.0,48.0,116.0,6.0,32.0,30.0,28.0,94.0,111.0
1229,0.0,1.0,2.0,5.0,6.0,10.0,8.0,3.0,13.0,12.0,20.0,21.0,9.0,17.0,41.0,36.0,32.0,30.0,148.0,39.0,83.0,37.0,100.0,84.0,90.0,4.0,29.0,19.0,73.0,33.0
1278,0.0,1.0,3.0,7.0,2.0,5.0,10.0,9.0,6.0,4.0,24.0,25.0,11.0,12.0,43.0,17.0,67.0,79.0,126.0,38.0,64.0,13.0,28.0,34.0,37.0,29.0,60.0,22.0,20.0,74.0
1327,0.0,1.0,2.0,24.0,3.0,6.0,8.0,9.0,22.0,7.0,23.0,33.0,4.0,62.0,19.0,46.0,75.0,5.0,58.0,18.0,36.0,42.0,41.0,52.0,90.0,76.0,134.0,14.0,11.0,153.0
1376,0.0,1.0,4.0,6.0,2.0,3.0,8.0,7.0,15.0,5.0,13.0,65.0,10.0,9.0,31.0,67.0,103.0,60.0,43.0,14.0,50.0,22.0,27.0,11.0,24.0,16.0,40.0,44.0,21.0,93.0
1425,0.0,1.0,4.0,7.0,2.0,3.0,6.0,10.0,23.0,64.0,11.0,48.0,8.0,9.0,20.0,86.0,46.0,127.0,12.0,5.0,155.0,24.0,92.0,139.0,41.0,25.0,79.0,21.0,50.0,13.0
1474,0.0,1.0,6.0,14.0,2.0,11.0,12.0,19.0,3.0,5.0,13.0,66.0,9.0,4.0,8.0,10.0,86.0,34.0,64.0,156.0,155.0,41.0,54.0,25.0,44.0,142.0,93.0,105.0,123.0,109.0
1523,0.0,1.0,3.0,5.0,4.0,9.0,7.0,10.0,11.0,2.0,80.0,8.0,25.0,40.0,134.0,15.0,37.0,53.0,56.0,41.0,55.0,116.0,20.0,139.0,23.0,44.0,12.0,16.0,77.0,51.0
1572,0.0,1.0,4.0,3.0,2.0,14.0,23.0,5.0,10.0,27.0,28.0,6.0,7.0,40.0,48.0,26.0,39.0,71.0,17.0,122.0,64.0,65.0,46.0,45.0,12.0,35.0,13.0,22.0,31.0,52.0
1621,1.0,0.0,2.0,3.0,9.0,4.0,8.0,6.0,11.0,5.0,7.0,37.0,10.0,22.0,103.0,14.0,18.0,12.0,65.0,25.0,66.0,27.0,67.0,21.0,120.0,50.0,13.0,121.0,16.0,33.0
1670,0.0,1.0,2.0,3.0,5.0,8.0,6.0,7.0,4.0,10.0,16.0,56.0,27.0,14.0,44.0,86.0,68.0,38.0,31.0,89.0,113.0,156.0,84.0,46.0,80.0,78.0,62.0,25.0,37.0,35.0
1719,0.0,1.0,3.0,2.0,6.0,5.0,14.0,7.0,4.0,8.0,23.0,104.0,20.0,9.0,39.0,17.0,125.0,26.0,15.0,33.0,47.0,41.0,68.0,19.0,18.0,35.0,11.0,148.0,70.0,78.0
1768,2.0,0.0,4.0,1.0,5.0,3.0,8.0,34.0,6.0,27.0,22.0,10.0,13.0,7.0,64.0,19.0,15.0,11.0,67.0,63.0,105.0,28.0,26.0,81.0,68.0,76.0,57.0,162.0,142.0,24.0
1817,0.0,1.0,3.0,5.0,4.0,8.0,24.0,51.0,15.0,2.0,10.0,34.0,45.0,7.0,25.0,28.0,9.0,29.0,76.0,50.0,113.0,49.0,13.0,6.0,74.0,77.0,65.0,92.0,11.0,26.0
1866,0.0,3.0,5.0,1.0,2.0,23.0,15.0,9.0,17.0,21.0,7.0,4.0,6.0,20.0,97.0,13.0,16.0,27.0,41.0,42.0,115.0,87.0,71.0,31.0,40.0,99.0,34.0,52.0,86.0,37.0
1915,1.0,0.0,4.0,3.0,2.0,11.0,8.0,14.0,5.0,15.0,53.0,10.0,28.0,72.0,39.0,12.0,58.0,54.0,23.0,45.0,38.0,30.0,109.0,137.0,21.0,132.0,7.0,31.0,13.0,48.0
1964,1.0,0.0,10.0,2.0,6.0,5.0,33.0,4.0,15.0,109.0,3.0,11.0,28.0,75.0,21.0,8.0,13.0,32.0,25.0,54.0,7.0,12.0,9.0,17.0,50.0,64.0,61.0,52.0,39.0,58.0
2013,1.0,0.0,21.0,2.0,3.0,4.0,19.0,8.0,17.0,133.0,6.0,14.0,93.0,10.0,31.0,7.0,20.0,22.0,91.0,18.0,5.0,36.0,9.0,146.0,105.0,42.0,44.0,141.0,35.0,46.0
2062,0.0,2.0,4.0,1.0,5.0,14.0,56.0,15.0,11.0,55.0,9.0,8.0,30.0,36.0,53.0,54.0,128.0,3.0,16.0,77.0,6.0,40.0,27.0,7.0,58.0,35.0,147.0,62.0,13.0,101.0
2111,1.0,0.0,4.0,2.0,3.0,9.0,31.0,27.0,11.0,17.0,7.0,14.0,39.0,18.0,98.0,5.0,153.0,15.0,46.0,65.0,6.0,54.0,10.0,20.0,23.0,13.0,25.0,91.0,33.0,28.0
2160,1.0,0.0,38.0,2.0,4.0,8.0,63.0,7.0,17.0,141.0,3.0,6.0,22.0,24.0,74.0,9.0,37.0,11.0,59.0,155.0,5.0,58.0,30.0,79.0,87.0,124.0,50.0,142.0,103.0,35.0
2209,0.0,1.0,6.0,3.0,2.0,7.0,33.0,4.0,20.0,89.0,5.0,8.0,46.0,26.0,13.0,10.0,42.0,15.0,103.0,50.0,105.0,21.0,11.0,14.0,142.0,43.0,60.0,45.0,75.0,19.0
2258,1.0,0.0,8.0,3.0,2.0,54.0,57.0,6.0,19.0,23.0,4.0,21.0,7.0,147.0,17.0,14.0,126.0,9.0,29.0,51.0,5.0,18.0,37.0,20.0,31.0,11.0,27.0,144.0,112.0,41.0
