,C-Raf_pS338,Beclin,HSP70,CDK1,Rb_pS807_S811,Caspase-7_cleavedD198,p38_pT180_Y182,Raptor,P-Cadherin,NF-kB-p65_pS536,MIG-6,MAPK_pT202_Y204,MYH11,SHP-2_pY542,TTF1,Akt,4E-BP1,PEA15,Annexin_VII,beta-Catenin_pT41_S45,MSH6,VAV1,PKC-alpha,PDK1,PDCD4,p90RSK_pT359_S363,p90RSK_pT573,p14 Arf(BetA300-340A),Paxillin,PDK1_pS241
6,2.0,1.0,3.0,23.0,17.0,16.0,8.0,81.0,34.0,49.0,25.0,32.0,93.0,10.0,62.0,0.0,113.0,20.0,123.0,96.0,143.0,30.0,46.0,48.0,19.0,22.0,39.0,50.0,53.0,47.0
55,6.0,15.0,2.0,3.0,0.0,108.0,38.0,17.0,55.0,43.0,31.0,5.0,19.0,90.0,66.0,28.0,114.0,21.0,4.0,99.0,33.0,68.0,26.0,54.0,49.0,53.0,11.0,48.0,7.0,42.0
104,3.0,5.0,6.0,7.0,73.0,98.0,51.0,26.0,57.0,35.0,143.0,21.0,144.0,9.0,34.0,0.0,4.0,62.0,33.0,8.0,23.0,41.0,91.0,40.0,19.0,45.0,44.0,56.0,42.0,39.0
153,0.0,3.0,2.0,13.0,7.0,8.0,15.0,84.0,29.0,9.0,23.0,4.0,94.0,16.0,68.0,121.0,113.0,28.0,22.0,99.0,144.0,69.0,91.0,37.0,36.0,43.0,42.0,51.0,39.0,38.0
202,6.0,3.0,1.0,18.0,5.0,99.0,48.0,19.0,46.0,93.0,27.0,4.0,2.0,12.0,66.0,31.0,114.0,42.0,36.0,106.0,143.0,65.0,35.0,44.0,58.0,23.0,54.0,47.0,51.0,43.0
251,7.0,0.0,9.0,22.0,16.0,99.0,54.0,82.0,38.0,83.0,35.0,5.0,144.0,2.0,30.0,8.0,10.0,43.0,3.0,13.0,143.0,68.0,56.0,23.0,18.0,53.0,52.0,46.0,4.0,55.0
300,1.0,2.0,0.0,9.0,26.0,122.0,19.0,24.0,17.0,136.0,140.0,5.0,138.0,3.0,75.0,35.0,34.0,53.0,141.0,123.0,6.0,73.0,22.0,55.0,21.0,59.0,58.0,18.0,20.0,52.0
349,4.0,8.0,6.0,107.0,32.0,104.0,20.0,83.0,54.0,57.0,28.0,142.0,94.0,14.0,31.0,33.0,25.0,42.0,124.0,12.0,144.0,64.0,61.0,41.0,43.0,47.0,58.0,53.0,3.0,44.0
398,2.0,5.0,4.0,3.0,76.0,8.0,55.0,78.0,27.0,80.0,26.0,0.0,132.0,1.0,47.0,128.0,115.0,93.0,34.0,36.0,133.0,37.0,29.0,45.0,19.0,51.0,50.0,57.0,48.0,44.0
447,9.0,2.0,4.0,11.0,0.0,96.0,20.0,10.0,27.0,12.0,143.0,24.0,144.0,3.0,37.0,36.0,39.0,90.0,112.0,6.0,29.0,57.0,85.0,64.0,53.0,45.0,19.0,26.0,50.0,92.0
496,13.0,36.0,7.0,8.0,0.0,12.0,64.0,6.0,63.0,155.0,26.0,134.0,28.0,73.0,51.0,118.0,127.0,5.0,113.0,35.0,27.0,38.0,91.0,48.0,47.0,43.0,44.0,58.0,46.0,49.0
545,0.0,3.0,1.0,29.0,69.0,4.0,2.0,71.0,23.0,55.0,93.0,25.0,163.0,66.0,35.0,122.0,113.0,87.0,118.0,108.0,9.0,37.0,10.0,12.0,13.0,46.0,28.0,22.0,76.0,88.0
594,4.0,21.0,7.0,14.0,13.0,98.0,54.0,93.0,58.0,12.0,143.0,141.0,95.0,69.0,44.0,0.0,9.0,46.0,124.0,2.0,144.0,50.0,64.0,40.0,39.0,61.0,48.0,22.0,38.0,42.0
643,10.0,0.0,134.0,9.0,15.0,99.0,5.0,8.0,59.0,31.0,143.0,141.0,1.0,67.0,42.0,36.0,2.0,17.0,41.0,29.0,27.0,32.0,89.0,46.0,49.0,23.0,45.0,24.0,43.0,48.0
692,4.0,1.0,24.0,31.0,30.0,14.0,0.0,71.0,3.0,28.0,142.0,139.0,93.0,41.0,5.0,34.0,113.0,19.0,2.0,36.0,143.0,33.0,17.0,20.0,45.0,49.0,22.0,58.0,44.0,46.0
741,4.0,0.0,145.0,6.0,12.0,5.0,15.0,82.0,53.0,25.0,40.0,143.0,20.0,10.0,1.0,122.0,37.0,42.0,33.0,17.0,28.0,24.0,60.0,44.0,45.0,49.0,8.0,36.0,46.0,43.0
