,hsa-miR-584,hsa-miR-105,hsa-miR-448,hsa-miR-1321,hsa-miR-921,hsa-miR-642,hsa-miR-556-3p,kshv-miR-K12-2,hsa-miR-330-3p,hsa-miR-1245,hsa-miR-1293,hsa-miR-650,hsa-miR-888,hsa-miR-491-3p,hsa-miR-137,hsa-miR-934,hsa-miR-373,hsa-miR-605,hsa-miR-639,kshv-miR-K12-11,hsa-miR-630,hsa-miR-453,hsa-miR-142-5p,hsa-miR-924,hsa-miR-601,hsa-miR-155,hsa-miR-223,hsa-miR-106b,hsa-miR-520a-3p,hsa-miR-181c
15,10.0,5.0,25.0,1.0,2.0,12.0,11.0,15.0,17.0,22.0,7.0,56.0,0.0,150.0,50.0,38.0,43.0,106.0,31.0,3.0,62.0,71.0,4.0,44.0,140.0,46.0,24.0,119.0,105.0,19.0
64,0.0,3.0,10.0,2.0,8.0,4.0,5.0,9.0,20.0,12.0,25.0,72.0,1.0,60.0,29.0,19.0,26.0,35.0,7.0,6.0,15.0,21.0,24.0,103.0,145.0,32.0,37.0,109.0,47.0,39.0
113,1.0,4.0,13.0,2.0,3.0,114.0,5.0,8.0,45.0,17.0,52.0,59.0,0.0,10.0,25.0,18.0,49.0,75.0,31.0,24.0,78.0,71.0,23.0,183.0,61.0,16.0,28.0,124.0,56.0,96.0
162,1.0,47.0,64.0,0.0,2.0,17.0,16.0,10.0,28.0,30.0,4.0,148.0,8.0,62.0,3.0,115.0,46.0,144.0,22.0,7.0,19.0,56.0,9.0,34.0,35.0,20.0,26.0,312.0,60.0,101.0
211,1.0,6.0,0.0,8.0,3.0,27.0,44.0,10.0,28.0,25.0,31.0,219.0,2.0,83.0,22.0,26.0,102.0,73.0,15.0,12.0,56.0,17.0,16.0,69.0,123.0,57.0,21.0,106.0,68.0,32.0
260,0.0,4.0,45.0,3.0,1.0,25.0,5.0,28.0,52.0,12.0,14.0,226.0,2.0,114.0,116.0,21.0,26.0,102.0,10.0,49.0,44.0,8.0,16.0,51.0,78.0,13.0,11.0,128.0,99.0,112.0
309,1.0,5.0,7.0,2.0,0.0,19.0,9.0,12.0,21.0,31.0,39.0,108.0,6.0,89.0,18.0,3.0,104.0,106.0,60.0,52.0,68.0,16.0,67.0,103.0,187.0,45.0,36.0,105.0,17.0,55.0
358,0.0,1.0,16.0,5.0,11.0,21.0,2.0,26.0,28.0,35.0,91.0,84.0,4.0,178.0,19.0,7.0,227.0,172.0,22.0,3.0,29.0,18.0,8.0,152.0,53.0,43.0,17.0,123.0,122.0,77.0
407,1.0,8.0,16.0,2.0,10.0,96.0,0.0,46.0,26.0,20.0,27.0,41.0,3.0,37.0,40.0,19.0,34.0,11.0,6.0,5.0,92.0,63.0,7.0,265.0,15.0,73.0,21.0,236.0,48.0,32.0
456,1.0,0.0,19.0,4.0,11.0,18.0,5.0,16.0,68.0,9.0,95.0,174.0,2.0,26.0,114.0,41.0,12.0,15.0,22.0,3.0,82.0,23.0,7.0,65.0,127.0,13.0,42.0,45.0,121.0,67.0
