,4E-BP1_pT70,4E-BP1_pT37_T46,Rab25,4E-BP1_pS65,Bim(EP1036),E-Cadherin,Src_pY416,Akt_pS473,XBP1,p21,FOXO3a,GATA3,STAT5-alpha,beta-Catenin,PDCD4,Bax,Claudin-7,MEK1_pS217_S221,Cyclin_D1,Transglutaminase,A-Raf_pS299,Heregulin,MDM2_pS166,IRS1,HER3,AR,INPP4B,eEF2K,SETD2,ADAR1
1176,16.0,1.0,63.0,6.0,27.0,18.0,11.0,4.0,26.0,19.0,84.0,88.0,22.0,8.0,33.0,14.0,39.0,3.0,17.0,76.0,15.0,31.0,9.0,7.0,0.0,74.0,21.0,51.0,10.0,24.0
1225,1.0,0.0,19.0,7.0,14.0,126.0,24.0,6.0,10.0,13.0,17.0,23.0,4.0,3.0,2.0,15.0,38.0,12.0,30.0,59.0,28.0,35.0,46.0,11.0,5.0,22.0,43.0,72.0,56.0,20.0
1274,25.0,0.0,38.0,3.0,31.0,2.0,39.0,22.0,27.0,33.0,4.0,5.0,42.0,1.0,75.0,16.0,73.0,119.0,34.0,36.0,114.0,17.0,14.0,9.0,40.0,100.0,37.0,92.0,82.0,15.0
1323,101.0,0.0,13.0,1.0,34.0,75.0,17.0,31.0,33.0,19.0,7.0,30.0,2.0,24.0,44.0,21.0,77.0,74.0,18.0,41.0,27.0,47.0,22.0,9.0,124.0,71.0,87.0,103.0,3.0,10.0
1372,4.0,2.0,35.0,1.0,19.0,10.0,16.0,54.0,8.0,11.0,0.0,25.0,17.0,31.0,81.0,9.0,12.0,90.0,13.0,18.0,7.0,46.0,61.0,20.0,42.0,58.0,38.0,32.0,15.0,82.0
1421,33.0,0.0,63.0,1.0,9.0,15.0,40.0,4.0,8.0,136.0,10.0,24.0,6.0,50.0,123.0,55.0,13.0,23.0,52.0,48.0,137.0,16.0,27.0,34.0,49.0,56.0,38.0,7.0,2.0,108.0
1470,78.0,14.0,10.0,51.0,21.0,44.0,25.0,1.0,58.0,50.0,2.0,7.0,9.0,46.0,0.0,15.0,55.0,4.0,47.0,5.0,131.0,20.0,45.0,18.0,62.0,35.0,17.0,8.0,26.0,6.0
1519,19.0,9.0,8.0,13.0,5.0,6.0,12.0,4.0,0.0,104.0,1.0,16.0,44.0,58.0,7.0,50.0,2.0,38.0,115.0,10.0,74.0,3.0,130.0,15.0,36.0,57.0,39.0,78.0,42.0,18.0
1568,16.0,4.0,40.0,3.0,1.0,34.0,0.0,5.0,23.0,93.0,2.0,7.0,53.0,10.0,13.0,12.0,91.0,6.0,113.0,21.0,45.0,48.0,38.0,52.0,56.0,27.0,49.0,15.0,30.0,58.0
1617,12.0,7.0,32.0,60.0,10.0,44.0,5.0,3.0,9.0,99.0,1.0,34.0,4.0,19.0,0.0,31.0,133.0,2.0,27.0,29.0,47.0,13.0,72.0,76.0,6.0,15.0,40.0,18.0,24.0,28.0
1666,6.0,3.0,8.0,1.0,35.0,13.0,0.0,32.0,77.0,22.0,7.0,43.0,14.0,24.0,2.0,19.0,136.0,10.0,44.0,9.0,55.0,23.0,73.0,5.0,11.0,106.0,123.0,28.0,33.0,16.0
1715,7.0,2.0,21.0,52.0,16.0,12.0,0.0,6.0,32.0,26.0,70.0,43.0,25.0,134.0,3.0,83.0,103.0,11.0,35.0,57.0,18.0,5.0,9.0,1.0,60.0,85.0,27.0,41.0,63.0,14.0
1764,27.0,0.0,60.0,17.0,16.0,51.0,1.0,22.0,3.0,64.0,155.0,11.0,18.0,15.0,6.0,59.0,13.0,77.0,101.0,37.0,61.0,9.0,29.0,12.0,71.0,5.0,35.0,4.0,8.0,42.0
1813,122.0,1.0,7.0,21.0,14.0,28.0,5.0,47.0,48.0,88.0,58.0,80.0,8.0,6.0,0.0,103.0,153.0,78.0,106.0,12.0,46.0,38.0,31.0,73.0,99.0,15.0,19.0,123.0,44.0,3.0
1862,92.0,3.0,7.0,0.0,96.0,65.0,1.0,12.0,34.0,8.0,21.0,24.0,16.0,20.0,43.0,89.0,54.0,31.0,9.0,19.0,108.0,2.0,107.0,46.0,103.0,5.0,45.0,48.0,4.0,13.0
1911,13.0,1.0,12.0,74.0,7.0,25.0,28.0,57.0,109.0,15.0,18.0,16.0,11.0,26.0,0.0,21.0,89.0,2.0,5.0,38.0,114.0,22.0,4.0,17.0,20.0,3.0,9.0,147.0,43.0,65.0
1960,11.0,4.0,43.0,3.0,25.0,24.0,15.0,13.0,51.0,2.0,6.0,30.0,5.0,62.0,0.0,8.0,44.0,97.0,40.0,21.0,28.0,22.0,29.0,69.0,56.0,41.0,32.0,114.0,1.0,106.0
2009,31.0,8.0,16.0,0.0,17.0,65.0,4.0,44.0,108.0,32.0,28.0,24.0,21.0,5.0,1.0,6.0,14.0,41.0,9.0,19.0,2.0,20.0,10.0,18.0,12.0,39.0,42.0,126.0,7.0,45.0
2058,37.0,12.0,14.0,27.0,24.0,50.0,22.0,63.0,21.0,11.0,2.0,33.0,51.0,32.0,7.0,92.0,78.0,71.0,4.0,5.0,30.0,3.0,44.0,35.0,6.0,102.0,17.0,43.0,18.0,86.0
2107,29.0,6.0,3.0,37.0,25.0,126.0,20.0,23.0,11.0,2.0,10.0,33.0,5.0,48.0,4.0,0.0,15.0,103.0,14.0,71.0,36.0,7.0,21.0,46.0,45.0,39.0,51.0,66.0,32.0,9.0
2156,22.0,43.0,36.0,3.0,6.0,34.0,20.0,4.0,33.0,0.0,15.0,47.0,17.0,29.0,1.0,5.0,11.0,61.0,12.0,143.0,2.0,41.0,8.0,7.0,110.0,102.0,56.0,64.0,58.0,146.0
2205,2.0,4.0,1.0,6.0,85.0,12.0,35.0,31.0,61.0,69.0,37.0,17.0,5.0,19.0,11.0,52.0,10.0,108.0,36.0,73.0,16.0,21.0,9.0,3.0,121.0,46.0,8.0,29.0,28.0,39.0
2254,27.0,97.0,81.0,17.0,8.0,57.0,5.0,7.0,42.0,114.0,9.0,15.0,11.0,38.0,19.0,128.0,0.0,10.0,20.0,18.0,6.0,52.0,3.0,29.0,33.0,95.0,1.0,24.0,2.0,25.0
2303,8.0,18.0,15.0,26.0,12.0,67.0,7.0,9.0,54.0,13.0,25.0,29.0,1.0,143.0,11.0,20.0,4.0,81.0,39.0,47.0,49.0,10.0,21.0,3.0,51.0,119.0,2.0,78.0,5.0,111.0
2352,8.0,0.0,59.0,7.0,18.0,108.0,60.0,10.0,17.0,21.0,23.0,1.0,4.0,25.0,70.0,2.0,35.0,33.0,22.0,139.0,19.0,49.0,67.0,5.0,50.0,64.0,15.0,20.0,29.0,66.0
2401,63.0,12.0,3.0,28.0,31.0,32.0,61.0,45.0,1.0,43.0,39.0,27.0,16.0,51.0,50.0,0.0,6.0,116.0,38.0,11.0,2.0,23.0,98.0,4.0,36.0,21.0,13.0,35.0,33.0,135.0
2450,0.0,3.0,7.0,19.0,80.0,2.0,1.0,13.0,31.0,62.0,39.0,58.0,37.0,91.0,23.0,11.0,14.0,8.0,26.0,51.0,5.0,6.0,17.0,32.0,27.0,30.0,16.0,102.0,9.0,24.0
2499,1.0,11.0,77.0,4.0,62.0,20.0,0.0,36.0,40.0,85.0,29.0,30.0,23.0,32.0,3.0,14.0,33.0,12.0,8.0,7.0,2.0,10.0,48.0,104.0,61.0,6.0,9.0,53.0,16.0,46.0
2548,0.0,19.0,4.0,1.0,3.0,21.0,23.0,13.0,25.0,63.0,68.0,37.0,20.0,55.0,28.0,11.0,8.0,24.0,61.0,5.0,31.0,15.0,26.0,18.0,87.0,30.0,42.0,41.0,58.0,22.0
2597,1.0,18.0,9.0,22.0,15.0,10.0,2.0,11.0,0.0,30.0,4.0,21.0,80.0,27.0,25.0,20.0,29.0,28.0,3.0,6.0,23.0,14.0,12.0,60.0,43.0,7.0,74.0,37.0,33.0,96.0
2646,8.0,4.0,26.0,2.0,85.0,28.0,12.0,55.0,3.0,15.0,31.0,7.0,19.0,30.0,63.0,9.0,14.0,27.0,10.0,6.0,17.0,0.0,59.0,140.0,121.0,5.0,32.0,43.0,112.0,66.0
2695,0.0,6.0,39.0,9.0,79.0,19.0,14.0,12.0,33.0,25.0,1.0,4.0,21.0,64.0,13.0,34.0,69.0,5.0,22.0,2.0,139.0,3.0,15.0,8.0,74.0,24.0,43.0,20.0,77.0,30.0
2744,3.0,9.0,1.0,6.0,66.0,7.0,79.0,49.0,31.0,17.0,28.0,8.0,13.0,24.0,35.0,2.0,45.0,0.0,38.0,21.0,19.0,25.0,78.0,10.0,16.0,54.0,20.0,11.0,39.0,89.0
2793,18.0,4.0,16.0,65.0,6.0,19.0,0.0,10.0,8.0,29.0,12.0,2.0,27.0,20.0,77.0,7.0,31.0,3.0,15.0,33.0,1.0,25.0,5.0,130.0,22.0,40.0,17.0,70.0,111.0,71.0
2842,20.0,0.0,34.0,19.0,70.0,32.0,2.0,28.0,45.0,8.0,3.0,6.0,36.0,100.0,5.0,1.0,48.0,17.0,13.0,10.0,4.0,30.0,14.0,15.0,21.0,23.0,50.0,81.0,132.0,38.0
2891,1.0,10.0,3.0,14.0,113.0,2.0,43.0,9.0,0.0,47.0,13.0,5.0,21.0,19.0,39.0,8.0,52.0,33.0,7.0,4.0,27.0,45.0,95.0,25.0,135.0,85.0,116.0,11.0,46.0,81.0
2940,2.0,10.0,15.0,6.0,1.0,3.0,17.0,23.0,161.0,16.0,21.0,33.0,8.0,34.0,9.0,5.0,0.0,46.0,85.0,7.0,13.0,4.0,91.0,50.0,73.0,81.0,54.0,37.0,89.0,102.0
2989,1.0,7.0,30.0,79.0,0.0,13.0,5.0,12.0,16.0,8.0,114.0,53.0,3.0,37.0,23.0,82.0,19.0,99.0,59.0,6.0,15.0,18.0,10.0,45.0,108.0,20.0,40.0,2.0,17.0,84.0
3038,0.0,8.0,5.0,2.0,12.0,6.0,11.0,20.0,82.0,10.0,19.0,18.0,35.0,13.0,108.0,3.0,7.0,95.0,42.0,1.0,33.0,21.0,17.0,107.0,36.0,24.0,68.0,39.0,22.0,96.0
3087,56.0,16.0,10.0,65.0,1.0,5.0,33.0,0.0,14.0,4.0,8.0,104.0,22.0,12.0,26.0,49.0,3.0,88.0,70.0,21.0,18.0,11.0,55.0,81.0,41.0,9.0,45.0,15.0,61.0,111.0
3136,7.0,18.0,3.0,51.0,27.0,0.0,28.0,19.0,45.0,25.0,9.0,2.0,30.0,49.0,13.0,62.0,1.0,83.0,44.0,24.0,47.0,110.0,6.0,130.0,11.0,10.0,31.0,22.0,20.0,56.0
3185,15.0,14.0,11.0,23.0,20.0,3.0,19.0,45.0,27.0,21.0,57.0,66.0,4.0,54.0,1.0,25.0,5.0,6.0,80.0,17.0,77.0,41.0,33.0,84.0,107.0,98.0,128.0,48.0,110.0,65.0
3234,39.0,13.0,8.0,3.0,18.0,4.0,2.0,19.0,54.0,1.0,101.0,5.0,51.0,23.0,65.0,31.0,21.0,9.0,22.0,33.0,43.0,74.0,162.0,118.0,60.0,38.0,136.0,7.0,11.0,114.0
3283,12.0,5.0,9.0,25.0,3.0,0.0,38.0,20.0,19.0,2.0,156.0,23.0,10.0,15.0,17.0,61.0,1.0,41.0,33.0,8.0,91.0,43.0,32.0,70.0,6.0,7.0,88.0,18.0,93.0,28.0
3332,23.0,10.0,37.0,78.0,5.0,13.0,47.0,8.0,9.0,2.0,128.0,20.0,58.0,17.0,25.0,6.0,1.0,49.0,15.0,18.0,28.0,38.0,11.0,126.0,26.0,29.0,45.0,3.0,4.0,46.0
3381,11.0,0.0,7.0,57.0,3.0,6.0,1.0,5.0,20.0,8.0,32.0,28.0,67.0,98.0,96.0,4.0,2.0,108.0,13.0,9.0,25.0,102.0,14.0,150.0,64.0,75.0,51.0,12.0,10.0,31.0
3430,0.0,6.0,24.0,2.0,1.0,3.0,8.0,40.0,9.0,35.0,5.0,11.0,27.0,22.0,7.0,37.0,4.0,53.0,76.0,21.0,29.0,111.0,26.0,137.0,152.0,13.0,39.0,43.0,85.0,15.0
3479,3.0,10.0,65.0,0.0,67.0,2.0,1.0,25.0,14.0,37.0,11.0,17.0,55.0,62.0,60.0,20.0,56.0,5.0,4.0,15.0,23.0,98.0,51.0,38.0,7.0,66.0,45.0,28.0,48.0,9.0
3528,1.0,19.0,10.0,3.0,4.0,44.0,0.0,6.0,81.0,7.0,8.0,18.0,50.0,16.0,65.0,41.0,13.0,20.0,34.0,26.0,40.0,66.0,35.0,99.0,15.0,14.0,60.0,79.0,47.0,24.0
3577,0.0,13.0,35.0,5.0,20.0,24.0,45.0,7.0,22.0,12.0,8.0,37.0,39.0,73.0,34.0,132.0,19.0,68.0,83.0,59.0,28.0,135.0,4.0,63.0,46.0,71.0,41.0,2.0,10.0,1.0
3626,1.0,13.0,5.0,2.0,19.0,8.0,0.0,29.0,35.0,100.0,15.0,18.0,62.0,17.0,14.0,74.0,119.0,84.0,20.0,45.0,67.0,43.0,90.0,30.0,9.0,24.0,7.0,59.0,161.0,25.0
3675,0.0,1.0,4.0,6.0,11.0,65.0,59.0,12.0,5.0,47.0,70.0,74.0,87.0,31.0,96.0,52.0,38.0,21.0,98.0,10.0,66.0,23.0,22.0,55.0,121.0,34.0,67.0,37.0,76.0,7.0
3724,11.0,53.0,65.0,13.0,1.0,73.0,23.0,14.0,4.0,5.0,22.0,16.0,97.0,3.0,63.0,8.0,77.0,72.0,33.0,10.0,31.0,80.0,0.0,6.0,50.0,18.0,9.0,121.0,15.0,2.0
3773,12.0,27.0,2.0,3.0,18.0,5.0,42.0,24.0,16.0,21.0,14.0,6.0,34.0,1.0,33.0,31.0,58.0,7.0,11.0,32.0,15.0,81.0,20.0,76.0,83.0,41.0,140.0,0.0,146.0,4.0
3822,0.0,1.0,27.0,10.0,40.0,11.0,69.0,21.0,70.0,51.0,116.0,4.0,23.0,9.0,73.0,25.0,59.0,18.0,5.0,2.0,75.0,17.0,37.0,152.0,95.0,52.0,34.0,36.0,105.0,6.0
3871,3.0,1.0,6.0,0.0,38.0,7.0,57.0,20.0,79.0,15.0,36.0,5.0,43.0,2.0,28.0,49.0,9.0,86.0,10.0,123.0,30.0,37.0,19.0,13.0,102.0,23.0,67.0,4.0,103.0,14.0
3920,9.0,5.0,4.0,1.0,8.0,3.0,30.0,12.0,13.0,14.0,20.0,10.0,82.0,6.0,37.0,62.0,7.0,0.0,18.0,41.0,23.0,22.0,39.0,2.0,27.0,120.0,26.0,75.0,135.0,47.0
3969,0.0,2.0,10.0,8.0,23.0,4.0,9.0,6.0,3.0,16.0,38.0,5.0,40.0,7.0,18.0,25.0,14.0,13.0,21.0,93.0,12.0,30.0,66.0,1.0,15.0,92.0,27.0,54.0,123.0,46.0
4018,0.0,2.0,4.0,20.0,11.0,14.0,19.0,35.0,5.0,6.0,62.0,42.0,1.0,3.0,13.0,28.0,36.0,117.0,22.0,47.0,23.0,25.0,10.0,9.0,15.0,34.0,26.0,111.0,29.0,112.0
4067,3.0,1.0,4.0,12.0,31.0,0.0,14.0,122.0,15.0,17.0,108.0,34.0,2.0,5.0,43.0,54.0,6.0,113.0,40.0,22.0,8.0,25.0,74.0,41.0,9.0,16.0,10.0,23.0,89.0,123.0
4116,0.0,1.0,3.0,10.0,2.0,4.0,35.0,40.0,13.0,22.0,123.0,34.0,9.0,15.0,5.0,20.0,11.0,60.0,28.0,21.0,12.0,16.0,32.0,26.0,19.0,86.0,17.0,29.0,129.0,61.0
4165,1.0,4.0,11.0,10.0,12.0,3.0,8.0,9.0,0.0,6.0,32.0,64.0,5.0,42.0,19.0,16.0,26.0,134.0,56.0,23.0,7.0,61.0,17.0,44.0,13.0,84.0,58.0,38.0,97.0,81.0
4214,1.0,5.0,10.0,23.0,3.0,7.0,26.0,77.0,13.0,4.0,48.0,16.0,11.0,6.0,19.0,61.0,50.0,9.0,29.0,33.0,15.0,2.0,38.0,18.0,8.0,0.0,74.0,12.0,103.0,87.0
4263,1.0,0.0,2.0,13.0,9.0,6.0,29.0,72.0,5.0,8.0,81.0,24.0,38.0,26.0,7.0,23.0,71.0,57.0,16.0,19.0,54.0,58.0,4.0,12.0,10.0,22.0,3.0,125.0,127.0,59.0
4312,0.0,4.0,9.0,14.0,12.0,3.0,39.0,74.0,6.0,7.0,61.0,21.0,2.0,5.0,52.0,26.0,24.0,32.0,23.0,66.0,71.0,46.0,59.0,1.0,20.0,135.0,70.0,49.0,40.0,16.0
4361,1.0,4.0,2.0,37.0,8.0,5.0,3.0,41.0,12.0,0.0,39.0,73.0,9.0,30.0,21.0,87.0,62.0,15.0,69.0,96.0,6.0,48.0,24.0,25.0,18.0,7.0,52.0,103.0,60.0,27.0
4410,3.0,5.0,31.0,12.0,4.0,93.0,6.0,1.0,61.0,35.0,75.0,41.0,17.0,30.0,21.0,39.0,132.0,0.0,108.0,67.0,2.0,45.0,90.0,89.0,24.0,9.0,18.0,58.0,19.0,53.0
4459,0.0,30.0,16.0,13.0,32.0,29.0,8.0,7.0,6.0,39.0,17.0,69.0,35.0,2.0,20.0,22.0,11.0,3.0,18.0,80.0,15.0,23.0,132.0,24.0,34.0,1.0,63.0,84.0,49.0,41.0
4508,0.0,27.0,20.0,4.0,53.0,94.0,2.0,1.0,14.0,88.0,16.0,51.0,73.0,59.0,67.0,138.0,11.0,3.0,114.0,143.0,8.0,25.0,10.0,24.0,39.0,7.0,9.0,130.0,121.0,60.0
4557,1.0,11.0,8.0,42.0,4.0,29.0,0.0,7.0,67.0,76.0,97.0,5.0,35.0,53.0,3.0,51.0,64.0,6.0,12.0,125.0,2.0,96.0,70.0,43.0,30.0,10.0,21.0,68.0,31.0,117.0
4606,6.0,22.0,0.0,35.0,2.0,34.0,9.0,40.0,46.0,81.0,31.0,77.0,44.0,16.0,47.0,107.0,49.0,1.0,24.0,28.0,14.0,15.0,45.0,5.0,12.0,4.0,72.0,51.0,23.0,21.0
4655,1.0,2.0,5.0,22.0,3.0,55.0,0.0,11.0,12.0,74.0,8.0,21.0,46.0,53.0,30.0,7.0,41.0,6.0,47.0,91.0,33.0,128.0,151.0,132.0,39.0,20.0,155.0,64.0,79.0,16.0
4704,0.0,5.0,12.0,26.0,4.0,110.0,9.0,18.0,3.0,33.0,68.0,66.0,8.0,83.0,1.0,7.0,107.0,58.0,29.0,22.0,62.0,16.0,128.0,155.0,51.0,21.0,78.0,40.0,71.0,122.0
4753,6.0,1.0,4.0,8.0,2.0,87.0,3.0,0.0,33.0,70.0,17.0,25.0,84.0,78.0,51.0,49.0,77.0,57.0,9.0,5.0,132.0,38.0,110.0,56.0,32.0,21.0,16.0,155.0,59.0,14.0
4802,4.0,0.0,2.0,13.0,19.0,66.0,5.0,3.0,17.0,43.0,151.0,21.0,59.0,7.0,10.0,42.0,16.0,14.0,33.0,55.0,75.0,31.0,25.0,8.0,27.0,1.0,40.0,101.0,6.0,35.0
4851,3.0,14.0,0.0,4.0,12.0,7.0,1.0,11.0,17.0,58.0,29.0,13.0,34.0,20.0,22.0,81.0,6.0,10.0,30.0,80.0,26.0,27.0,47.0,133.0,5.0,15.0,35.0,28.0,2.0,66.0
