,pyroglutamic acid,C36:4 PC-B,1-methylnicotinamide,creatine,3-phosphoglycerate,carnitine,SDMA/ADMA,hippurate,inositol,C56:3 TAG,uridine,C34:2 DAG,niacinamide,malondialdehyde,cytidine,C16:0 LPE,PEP,cotinine,C18:0 LPC,leucine,inosine,GABA,palmitoylcarnitine,dCMP,NADP,C34:4 PC,isocitrate,alpha-glycerophosphate,taurodeoxycholate,oxalate
21,6.0,4.0,16.0,11.0,1.0,0.0,9.0,38.0,2.0,33.0,36.0,27.0,12.0,14.0,19.0,8.0,17.0,31.0,25.0,55.0,52.0,49.0,41.0,23.0,5.0,32.0,13.0,7.0,21.0,15.0
70,34.0,4.0,11.0,10.0,2.0,0.0,5.0,56.0,3.0,36.0,15.0,8.0,1.0,24.0,38.0,9.0,7.0,13.0,45.0,23.0,19.0,61.0,58.0,48.0,18.0,6.0,14.0,59.0,37.0,30.0
119,2.0,10.0,23.0,5.0,3.0,0.0,11.0,15.0,4.0,9.0,6.0,16.0,1.0,24.0,31.0,47.0,29.0,19.0,18.0,48.0,21.0,51.0,33.0,28.0,42.0,7.0,27.0,39.0,43.0,34.0
168,11.0,16.0,7.0,1.0,4.0,0.0,3.0,29.0,15.0,6.0,5.0,17.0,24.0,12.0,18.0,9.0,2.0,8.0,10.0,52.0,31.0,28.0,39.0,44.0,42.0,34.0,30.0,50.0,21.0,19.0
217,5.0,1.0,14.0,8.0,10.0,0.0,3.0,24.0,7.0,27.0,11.0,4.0,16.0,21.0,26.0,6.0,2.0,20.0,56.0,60.0,54.0,23.0,18.0,17.0,40.0,29.0,22.0,30.0,9.0,35.0
266,1.0,0.0,5.0,12.0,8.0,4.0,2.0,31.0,10.0,13.0,9.0,44.0,15.0,20.0,11.0,6.0,17.0,3.0,49.0,41.0,23.0,7.0,19.0,26.0,21.0,43.0,58.0,32.0,46.0,35.0
315,2.0,24.0,6.0,42.0,1.0,0.0,5.0,28.0,14.0,3.0,40.0,4.0,25.0,20.0,38.0,11.0,30.0,13.0,50.0,65.0,27.0,9.0,49.0,33.0,31.0,32.0,39.0,47.0,41.0,62.0
364,14.0,4.0,8.0,1.0,0.0,3.0,15.0,58.0,18.0,17.0,5.0,11.0,2.0,47.0,9.0,25.0,7.0,51.0,63.0,64.0,28.0,24.0,19.0,13.0,21.0,40.0,39.0,54.0,12.0,32.0
413,3.0,1.0,11.0,12.0,0.0,8.0,31.0,43.0,13.0,17.0,10.0,6.0,4.0,24.0,48.0,14.0,2.0,32.0,56.0,64.0,23.0,35.0,59.0,20.0,9.0,7.0,28.0,22.0,62.0,44.0
462,30.0,2.0,44.0,8.0,0.0,1.0,7.0,14.0,15.0,10.0,21.0,24.0,5.0,3.0,25.0,9.0,4.0,59.0,61.0,17.0,6.0,39.0,11.0,31.0,18.0,12.0,19.0,41.0,32.0,45.0
511,3.0,0.0,19.0,6.0,14.0,51.0,5.0,37.0,44.0,12.0,25.0,36.0,13.0,4.0,16.0,2.0,35.0,1.0,8.0,22.0,27.0,52.0,7.0,20.0,33.0,61.0,15.0,45.0,32.0,31.0
560,5.0,3.0,4.0,2.0,1.0,19.0,6.0,14.0,24.0,57.0,9.0,16.0,22.0,39.0,17.0,0.0,7.0,23.0,15.0,21.0,29.0,33.0,38.0,49.0,11.0,26.0,41.0,10.0,20.0,13.0
609,0.0,1.0,12.0,3.0,9.0,31.0,18.0,5.0,64.0,37.0,7.0,30.0,20.0,2.0,22.0,11.0,27.0,35.0,4.0,19.0,13.0,14.0,51.0,24.0,32.0,41.0,6.0,23.0,34.0,21.0
658,1.0,3.0,4.0,0.0,10.0,16.0,5.0,28.0,18.0,32.0,19.0,14.0,6.0,20.0,2.0,8.0,35.0,58.0,7.0,30.0,21.0,11.0,26.0,27.0,23.0,9.0,22.0,51.0,37.0,65.0
707,0.0,3.0,1.0,9.0,14.0,17.0,22.0,13.0,8.0,7.0,4.0,34.0,47.0,21.0,19.0,5.0,45.0,32.0,2.0,25.0,16.0,55.0,18.0,24.0,12.0,35.0,6.0,42.0,23.0,15.0
756,0.0,3.0,5.0,2.0,19.0,1.0,6.0,12.0,7.0,28.0,9.0,21.0,14.0,44.0,24.0,4.0,25.0,41.0,8.0,22.0,10.0,34.0,16.0,31.0,50.0,27.0,13.0,15.0,55.0,23.0
805,0.0,21.0,2.0,3.0,36.0,25.0,6.0,1.0,59.0,26.0,29.0,22.0,38.0,5.0,13.0,4.0,20.0,65.0,10.0,9.0,7.0,55.0,27.0,24.0,37.0,54.0,35.0,18.0,46.0,39.0
854,1.0,2.0,5.0,3.0,4.0,8.0,21.0,35.0,59.0,14.0,11.0,30.0,7.0,28.0,20.0,18.0,22.0,32.0,6.0,48.0,0.0,24.0,27.0,39.0,60.0,57.0,10.0,17.0,42.0,38.0
903,2.0,1.0,10.0,4.0,33.0,27.0,17.0,24.0,36.0,8.0,6.0,3.0,9.0,5.0,15.0,11.0,25.0,29.0,0.0,20.0,14.0,31.0,16.0,32.0,46.0,26.0,60.0,21.0,30.0,7.0
952,4.0,10.0,7.0,8.0,6.0,11.0,14.0,2.0,24.0,40.0,15.0,37.0,19.0,12.0,13.0,49.0,3.0,27.0,0.0,22.0,30.0,16.0,21.0,9.0,1.0,46.0,29.0,5.0,44.0,18.0
1001,0.0,1.0,4.0,7.0,41.0,5.0,2.0,6.0,10.0,8.0,3.0,33.0,14.0,54.0,46.0,61.0,21.0,13.0,28.0,26.0,29.0,15.0,18.0,11.0,24.0,12.0,17.0,50.0,9.0,16.0
1050,0.0,1.0,40.0,12.0,14.0,17.0,4.0,9.0,6.0,2.0,8.0,3.0,22.0,24.0,23.0,34.0,53.0,13.0,54.0,66.0,36.0,10.0,64.0,18.0,15.0,43.0,61.0,7.0,5.0,63.0
