,GABA,C18:0 LPC,C56:5 TAG,pantothenate,2-deoxyadenosine,UMP,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,C36:4 PC-B,alpha-glycerophosphocholine,glutamine,beta-alanine,niacinamide,valerylcarnitine,adenosine,serotonin,asparagine,C18:0 LPE,cytidine,creatinine,C22:6 LPC,palmitoylcarnitine,C20:4 CE,serine,dCMP,oxalate,sarcosine,inositol,C16:0 LPE,NADP
22,2.0,0.0,10.0,3.0,1.0,4.0,17.0,9.0,32.0,18.0,23.0,8.0,12.0,11.0,26.0,7.0,24.0,20.0,28.0,22.0,6.0,5.0,21.0,36.0,13.0,54.0,37.0,29.0,38.0,25.0
71,0.0,1.0,4.0,10.0,3.0,15.0,11.0,5.0,26.0,16.0,13.0,2.0,6.0,7.0,27.0,8.0,37.0,17.0,23.0,30.0,21.0,44.0,22.0,9.0,28.0,19.0,20.0,31.0,24.0,12.0
120,0.0,1.0,4.0,6.0,14.0,17.0,13.0,3.0,23.0,9.0,12.0,29.0,5.0,20.0,19.0,10.0,42.0,31.0,36.0,16.0,11.0,30.0,35.0,18.0,25.0,24.0,8.0,2.0,7.0,26.0
169,2.0,4.0,7.0,3.0,0.0,1.0,6.0,8.0,30.0,15.0,11.0,9.0,14.0,24.0,21.0,22.0,12.0,23.0,43.0,19.0,25.0,5.0,13.0,26.0,16.0,38.0,36.0,35.0,10.0,44.0
218,2.0,1.0,21.0,3.0,10.0,8.0,34.0,4.0,16.0,14.0,19.0,0.0,9.0,24.0,23.0,20.0,30.0,32.0,7.0,12.0,17.0,33.0,6.0,22.0,18.0,26.0,11.0,43.0,27.0,25.0
267,0.0,10.0,8.0,5.0,2.0,1.0,7.0,21.0,12.0,16.0,13.0,15.0,9.0,34.0,27.0,6.0,35.0,30.0,55.0,25.0,14.0,22.0,19.0,11.0,3.0,20.0,18.0,28.0,17.0,24.0
316,2.0,1.0,4.0,22.0,0.0,6.0,8.0,10.0,30.0,25.0,15.0,12.0,7.0,14.0,18.0,21.0,19.0,33.0,37.0,24.0,44.0,16.0,11.0,13.0,5.0,26.0,20.0,40.0,9.0,28.0
365,0.0,4.0,2.0,6.0,3.0,8.0,5.0,7.0,50.0,19.0,29.0,12.0,16.0,13.0,20.0,1.0,24.0,25.0,35.0,17.0,11.0,38.0,23.0,15.0,14.0,31.0,44.0,33.0,9.0,40.0
414,1.0,7.0,5.0,6.0,0.0,4.0,8.0,2.0,15.0,24.0,11.0,28.0,19.0,9.0,27.0,14.0,18.0,35.0,31.0,16.0,23.0,3.0,25.0,12.0,34.0,21.0,29.0,39.0,22.0,20.0
463,0.0,2.0,23.0,3.0,1.0,30.0,15.0,6.0,16.0,27.0,31.0,4.0,10.0,5.0,35.0,21.0,26.0,8.0,28.0,17.0,36.0,18.0,33.0,19.0,7.0,11.0,14.0,25.0,9.0,32.0
512,0.0,9.0,12.0,5.0,24.0,3.0,1.0,8.0,17.0,37.0,7.0,15.0,20.0,26.0,6.0,21.0,16.0,25.0,2.0,19.0,50.0,34.0,23.0,4.0,33.0,42.0,35.0,27.0,40.0,39.0
561,0.0,7.0,24.0,8.0,27.0,1.0,5.0,10.0,6.0,26.0,19.0,3.0,15.0,4.0,11.0,17.0,12.0,40.0,18.0,38.0,32.0,25.0,13.0,2.0,30.0,20.0,9.0,21.0,29.0,22.0
610,2.0,6.0,38.0,10.0,8.0,0.0,17.0,22.0,1.0,30.0,19.0,4.0,24.0,13.0,3.0,18.0,5.0,41.0,14.0,36.0,27.0,11.0,21.0,12.0,26.0,34.0,25.0,7.0,23.0,43.0
