,NGEF,MAGEA1,GPX3,TNNI3K,LINC00942,ACKR3,BTBD11,MYEF2,RP11-157G21.2,SLC12A7,VAMP5,FAM21B,PTEN,ITGA9,TAF7,HTATSF1P2,GREM1,PDLIM4,RP4-605O3.4,SLC2A12,PDE9A,MBOAT1,MGC10955,GPR158,SPAST,IGF1R,C3orf18,G0S2,RP11-554J4.1,TMEM246
8,19.0,2.0,0.0,13.0,7.0,14.0,8.0,18.0,122.0,73.0,3.0,1.0,10.0,64.0,141.0,36.0,16.0,48.0,38.0,61.0,143.0,115.0,32.0,792.0,29.0,482.0,35.0,30.0,25.0,145.0
57,1.0,2.0,7.0,5.0,8.0,4.0,28.0,10.0,14.0,35.0,3.0,24.0,16.0,46.0,12.0,65.0,44.0,0.0,38.0,53.0,32.0,61.0,31.0,92.0,50.0,147.0,37.0,177.0,17.0,52.0
106,13.0,0.0,1.0,5.0,2.0,20.0,12.0,18.0,39.0,38.0,28.0,14.0,81.0,27.0,24.0,8.0,3.0,4.0,103.0,537.0,97.0,41.0,15.0,243.0,48.0,124.0,528.0,7.0,817.0,6.0
155,2.0,15.0,0.0,10.0,1.0,18.0,12.0,6.0,42.0,11.0,8.0,27.0,14.0,135.0,13.0,49.0,32.0,156.0,45.0,17.0,3.0,123.0,4.0,47.0,62.0,89.0,25.0,22.0,16.0,26.0
204,18.0,2.0,1.0,17.0,5.0,4.0,12.0,8.0,26.0,40.0,79.0,6.0,31.0,21.0,29.0,44.0,41.0,0.0,27.0,93.0,36.0,54.0,34.0,399.0,28.0,103.0,37.0,32.0,15.0,30.0
253,0.0,9.0,1.0,5.0,8.0,3.0,6.0,14.0,42.0,119.0,2.0,12.0,17.0,47.0,50.0,15.0,34.0,43.0,51.0,161.0,85.0,325.0,911.0,91.0,16.0,59.0,768.0,41.0,40.0,403.0
302,1.0,2.0,0.0,8.0,4.0,3.0,6.0,23.0,20.0,52.0,5.0,7.0,47.0,17.0,37.0,12.0,45.0,33.0,16.0,70.0,11.0,62.0,84.0,27.0,57.0,39.0,32.0,14.0,59.0,74.0
351,1.0,0.0,10.0,6.0,12.0,3.0,43.0,5.0,14.0,23.0,4.0,8.0,41.0,38.0,15.0,36.0,112.0,19.0,11.0,1688.0,37.0,44.0,80.0,458.0,76.0,42.0,39.0,77.0,22.0,40.0
400,5.0,3.0,1.0,4.0,0.0,2.0,53.0,15.0,40.0,94.0,44.0,133.0,23.0,17.0,7.0,9.0,37.0,11.0,27.0,112.0,8.0,58.0,73.0,69.0,49.0,103.0,60.0,93.0,33.0,181.0
449,2.0,4.0,0.0,1.0,3.0,9.0,11.0,32.0,15.0,16.0,60.0,5.0,22.0,541.0,10.0,7.0,887.0,18.0,12.0,171.0,6.0,378.0,78.0,648.0,89.0,41.0,21.0,302.0,30.0,66.0
498,6.0,1.0,85.0,15.0,13.0,12.0,39.0,20.0,1593.0,82.0,2.0,1195.0,24.0,23.0,17.0,823.0,219.0,111.0,250.0,18.0,28.0,9.0,19.0,166.0,72.0,63.0,31.0,34.0,432.0,8.0
547,0.0,45.0,8.0,6.0,3.0,7.0,92.0,19.0,294.0,15.0,1.0,868.0,103.0,47.0,91.0,30.0,108.0,171.0,55.0,9.0,49.0,11.0,28.0,26.0,39.0,29.0,36.0,58.0,50.0,107.0
596,9.0,8.0,16.0,76.0,55.0,29.0,589.0,5.0,360.0,28.0,2.0,2034.0,32.0,13.0,7.0,1443.0,50.0,1.0,244.0,27.0,47.0,15.0,17.0,3.0,40.0,21.0,118.0,62.0,488.0,364.0
645,14.0,4.0,0.0,23.0,83.0,15.0,13.0,3.0,791.0,42.0,5.0,1194.0,241.0,16.0,156.0,1425.0,77.0,9.0,30.0,98.0,26.0,82.0,87.0,36.0,104.0,43.0,56.0,373.0,32.0,549.0
694,4.0,1.0,2.0,12.0,9.0,0.0,88.0,3.0,387.0,16.0,8.0,6854.0,33.0,114.0,7.0,283.0,251.0,44.0,69.0,30.0,38.0,53.0,11.0,13.0,34.0,61.0,15.0,178.0,28.0,2533.0
743,0.0,31.0,4.0,18.0,5.0,2.0,52.0,13.0,233.0,28.0,1.0,584.0,22.0,157.0,40.0,135.0,9.0,587.0,290.0,32.0,443.0,17.0,74.0,16.0,45.0,126.0,149.0,26.0,198.0,310.0
792,3.0,5.0,6.0,26.0,2.0,17.0,44.0,1.0,194.0,23.0,0.0,4286.0,43.0,49.0,18.0,163.0,68.0,15.0,533.0,19.0,189.0,74.0,25.0,54.0,79.0,65.0,31.0,64.0,128.0,75.0
841,0.0,5.0,51.0,198.0,36.0,17.0,111.0,19.0,197.0,2.0,6.0,106.0,28.0,32.0,1.0,784.0,1413.0,3.0,199.0,66.0,34.0,21.0,7.0,41.0,252.0,9.0,15.0,324.0,169.0,110.0
890,1.0,9.0,4.0,84.0,16.0,0.0,91.0,3.0,63.0,76.0,5.0,7.0,89.0,20.0,12.0,244.0,71.0,2.0,67.0,18.0,257.0,40.0,11.0,333.0,46.0,27.0,33.0,125.0,98.0,810.0
939,1.0,4.0,2.0,24.0,5.0,100.0,160.0,27.0,181.0,15.0,14.0,7424.0,280.0,29.0,26.0,263.0,47.0,16.0,51.0,45.0,323.0,21.0,3.0,67.0,36.0,159.0,162.0,46.0,164.0,65.0
988,0.0,2.0,93.0,46.0,19.0,6.0,11.0,8.0,16.0,10.0,31.0,26.0,1.0,42.0,9.0,60.0,82.0,49.0,53.0,29.0,146.0,39.0,97.0,27.0,72.0,28.0,286.0,13.0,14.0,5.0
1037,1.0,11.0,437.0,82.0,58.0,2.0,17.0,20.0,71.0,3.0,14.0,306.0,5.0,59.0,32.0,9.0,84.0,12.0,19.0,56.0,13.0,47.0,54.0,25.0,53.0,22.0,66.0,7.0,45.0,0.0
1086,0.0,32.0,63.0,97.0,5.0,4.0,14.0,10.0,27.0,28.0,78.0,86.0,3.0,9.0,87.0,113.0,23.0,35.0,13.0,11.0,246.0,17.0,18.0,15.0,34.0,16.0,106.0,6.0,30.0,2.0
1135,1.0,9.0,21.0,56.0,3.0,13.0,18.0,127.0,24.0,15.0,59.0,0.0,12.0,39.0,17.0,28.0,143.0,5.0,32.0,36.0,2.0,23.0,79.0,77.0,215.0,6.0,153.0,35.0,25.0,14.0
1184,1.0,31.0,61.0,41.0,30.0,16.0,3.0,9.0,8.0,6.0,34.0,10.0,4.0,127.0,53.0,26.0,54.0,705.0,111.0,24.0,42.0,140.0,187.0,28.0,69.0,27.0,556.0,7.0,23.0,2.0
1233,19.0,1.0,159.0,83.0,70.0,6.0,23.0,12.0,10.0,17.0,738.0,0.0,5.0,50.0,20.0,296.0,294.0,44.0,3.0,14.0,16.0,39.0,62.0,299.0,99.0,8.0,284.0,29.0,7.0,9.0
1282,0.0,37.0,108.0,15.0,8.0,2.0,17.0,105.0,7.0,3.0,6.0,25.0,1.0,20.0,44.0,4.0,9.0,43.0,32.0,38.0,150.0,405.0,260.0,224.0,73.0,55.0,64.0,13.0,22.0,14.0
1331,2.0,4.0,171.0,69.0,22.0,21.0,39.0,1.0,0.0,23.0,3.0,115.0,8.0,34.0,40.0,15.0,791.0,301.0,102.0,160.0,400.0,143.0,66.0,37.0,32.0,45.0,134.0,16.0,139.0,6.0
1380,4.0,103.0,62.0,51.0,32.0,1.0,111.0,16.0,75.0,6.0,71.0,1043.0,3.0,33.0,7.0,304.0,35.0,137.0,31.0,8.0,2.0,57.0,18.0,15.0,52.0,17.0,86.0,65.0,45.0,12.0
1429,13.0,15.0,56.0,71.0,79.0,78.0,6.0,7.0,105.0,2.0,27.0,170.0,14.0,16.0,107.0,92.0,23.0,190.0,44.0,458.0,777.0,12.0,8.0,106.0,22.0,75.0,269.0,11.0,69.0,1.0
1478,3.0,0.0,2.0,58.0,226.0,1.0,32.0,267.0,68.0,258.0,155.0,242.0,132.0,90.0,27.0,7.0,125.0,8.0,170.0,265.0,221.0,35.0,49.0,232.0,42.0,446.0,505.0,672.0,20.0,397.0
1527,13.0,17.0,5.0,78.0,104.0,2.0,16.0,227.0,43.0,11.0,3.0,208.0,79.0,22.0,202.0,106.0,8.0,37.0,279.0,212.0,35.0,27.0,116.0,129.0,57.0,389.0,77.0,45.0,21.0,1813.0
1576,0.0,3.0,11.0,65.0,9.0,10.0,16.0,264.0,169.0,1.0,41.0,151.0,53.0,8.0,136.0,13.0,43.0,92.0,239.0,158.0,100.0,21.0,135.0,50.0,27.0,72.0,34.0,66.0,4.0,97.0
1625,307.0,0.0,13.0,40.0,21.0,25.0,9.0,20.0,218.0,50.0,91.0,114.0,38.0,85.0,202.0,17.0,95.0,585.0,675.0,464.0,677.0,27.0,12.0,286.0,5.0,343.0,446.0,8.0,66.0,138.0
1674,3.0,77.0,1.0,197.0,344.0,17.0,8.0,69.0,111.0,7.0,123.0,100.0,51.0,37.0,38.0,357.0,4.0,26.0,667.0,11.0,280.0,29.0,110.0,15.0,13.0,59.0,27.0,189.0,18.0,1225.0
1723,13.0,10.0,3.0,8.0,36.0,17.0,28.0,31.0,379.0,24.0,2.0,434.0,33.0,39.0,110.0,122.0,106.0,1.0,870.0,32.0,805.0,20.0,5.0,48.0,59.0,121.0,72.0,120.0,93.0,68.0
1772,1.0,3.0,5.0,13.0,20.0,97.0,9.0,6.0,104.0,39.0,17.0,944.0,66.0,24.0,122.0,21.0,42.0,1227.0,246.0,169.0,454.0,16.0,62.0,4.0,14.0,468.0,297.0,161.0,19.0,198.0
1821,0.0,4.0,1.0,18.0,14.0,7.0,17.0,21.0,39.0,62.0,34.0,162.0,33.0,24.0,88.0,10.0,19.0,5.0,348.0,246.0,635.0,6.0,69.0,83.0,25.0,1512.0,157.0,137.0,73.0,15.0
1870,8.0,3.0,0.0,32.0,7.0,1.0,24.0,84.0,126.0,10.0,2.0,92.0,56.0,16.0,55.0,68.0,147.0,156.0,178.0,124.0,204.0,17.0,974.0,11.0,65.0,161.0,37.0,58.0,15.0,184.0
