,Akt_pS473,GATA3,p14 Arf(BetA300-340A),MEK1_pS217_S221,GSK3_pS9,c-Kit,RAD51,SETD2,HER3,PI3K-p110-alpha,PKC-delta_pS664,Smad3,Rab25,IRS1,VEGFR2,GAPDH,eEF2K,TFRC,PTEN,PEA15,Notch1,Akt,ACVRL1,PI3K-p85,PKC-alpha,PDK1,PEA15_pS116,PDK1_pS241,p90RSK_pT573,PDCD4
6,1.0,15.0,7.0,31.0,18.0,13.0,81.0,89.0,2.0,3.0,8.0,71.0,92.0,6.0,30.0,14.0,159.0,0.0,78.0,16.0,51.0,121.0,38.0,33.0,82.0,39.0,41.0,40.0,44.0,42.0
55,6.0,0.0,10.0,33.0,17.0,2.0,82.0,90.0,7.0,15.0,38.0,20.0,80.0,3.0,8.0,12.0,25.0,1.0,79.0,44.0,39.0,32.0,117.0,16.0,18.0,46.0,42.0,45.0,47.0,51.0
104,1.0,136.0,6.0,26.0,132.0,4.0,9.0,17.0,134.0,43.0,15.0,20.0,81.0,36.0,69.0,145.0,156.0,0.0,80.0,13.0,38.0,32.0,24.0,42.0,73.0,46.0,44.0,54.0,11.0,8.0
153,0.0,4.0,27.0,5.0,15.0,14.0,18.0,77.0,11.0,45.0,39.0,9.0,83.0,1.0,30.0,146.0,157.0,6.0,82.0,47.0,2.0,34.0,128.0,44.0,93.0,57.0,46.0,49.0,17.0,53.0
202,3.0,2.0,0.0,4.0,157.0,1.0,27.0,93.0,6.0,25.0,5.0,28.0,49.0,163.0,73.0,14.0,17.0,8.0,48.0,24.0,135.0,38.0,34.0,45.0,41.0,55.0,66.0,53.0,59.0,56.0
251,6.0,19.0,57.0,8.0,4.0,10.0,3.0,70.0,1.0,92.0,89.0,65.0,82.0,5.0,37.0,18.0,159.0,0.0,83.0,15.0,7.0,33.0,121.0,91.0,90.0,62.0,93.0,94.0,41.0,48.0
300,2.0,6.0,32.0,0.0,21.0,106.0,23.0,15.0,5.0,26.0,13.0,8.0,79.0,33.0,9.0,17.0,20.0,1.0,91.0,18.0,53.0,120.0,119.0,11.0,90.0,41.0,38.0,40.0,48.0,42.0
349,10.0,15.0,26.0,1.0,21.0,5.0,0.0,20.0,2.0,12.0,7.0,8.0,22.0,138.0,36.0,16.0,25.0,9.0,79.0,54.0,28.0,29.0,117.0,56.0,74.0,40.0,80.0,37.0,43.0,39.0
398,0.0,3.0,25.0,9.0,19.0,1.0,2.0,69.0,4.0,92.0,89.0,41.0,82.0,5.0,34.0,17.0,14.0,37.0,83.0,15.0,12.0,122.0,121.0,91.0,90.0,62.0,63.0,78.0,46.0,45.0
447,2.0,4.0,0.0,5.0,146.0,105.0,20.0,90.0,1.0,7.0,16.0,10.0,81.0,38.0,71.0,162.0,36.0,37.0,80.0,58.0,27.0,35.0,119.0,45.0,19.0,51.0,57.0,49.0,44.0,56.0
496,35.0,20.0,26.0,5.0,21.0,29.0,11.0,19.0,142.0,18.0,93.0,51.0,84.0,0.0,57.0,148.0,6.0,39.0,86.0,48.0,12.0,120.0,2.0,80.0,28.0,43.0,53.0,17.0,49.0,44.0
545,1.0,17.0,30.0,3.0,0.0,104.0,21.0,7.0,19.0,41.0,33.0,8.0,5.0,145.0,4.0,18.0,10.0,69.0,86.0,38.0,55.0,121.0,31.0,48.0,75.0,40.0,42.0,39.0,45.0,29.0
594,120.0,0.0,1.0,3.0,20.0,100.0,77.0,29.0,21.0,91.0,86.0,35.0,16.0,137.0,41.0,17.0,13.0,31.0,10.0,93.0,9.0,33.0,5.0,89.0,11.0,94.0,92.0,15.0,44.0,55.0
643,7.0,25.0,19.0,12.0,17.0,103.0,1.0,10.0,21.0,87.0,4.0,8.0,0.0,138.0,37.0,24.0,158.0,33.0,16.0,89.0,13.0,119.0,36.0,86.0,85.0,90.0,88.0,61.0,42.0,22.0
692,7.0,3.0,30.0,40.0,6.0,98.0,14.0,9.0,33.0,26.0,23.0,27.0,24.0,2.0,1.0,137.0,158.0,70.0,88.0,43.0,38.0,41.0,4.0,76.0,0.0,58.0,56.0,44.0,50.0,45.0
741,4.0,22.0,46.0,6.0,14.0,19.0,18.0,24.0,136.0,37.0,16.0,76.0,17.0,1.0,10.0,5.0,159.0,3.0,81.0,40.0,34.0,127.0,28.0,26.0,11.0,42.0,38.0,41.0,49.0,43.0
790,1.0,6.0,56.0,24.0,22.0,100.0,10.0,7.0,5.0,90.0,14.0,27.0,16.0,2.0,3.0,147.0,159.0,40.0,81.0,64.0,58.0,41.0,120.0,89.0,15.0,47.0,91.0,63.0,45.0,43.0
839,10.0,8.0,2.0,6.0,7.0,103.0,16.0,11.0,135.0,40.0,58.0,1.0,0.0,138.0,4.0,15.0,157.0,31.0,17.0,18.0,50.0,27.0,26.0,23.0,82.0,41.0,38.0,36.0,44.0,37.0
888,36.0,27.0,60.0,6.0,20.0,102.0,7.0,10.0,2.0,5.0,87.0,28.0,4.0,22.0,42.0,145.0,157.0,91.0,11.0,66.0,26.0,128.0,1.0,90.0,14.0,64.0,65.0,79.0,17.0,52.0
937,9.0,2.0,5.0,143.0,4.0,109.0,18.0,6.0,133.0,41.0,75.0,0.0,29.0,34.0,26.0,23.0,10.0,32.0,87.0,27.0,54.0,122.0,121.0,1.0,8.0,40.0,39.0,42.0,46.0,43.0
986,27.0,15.0,34.0,2.0,12.0,13.0,16.0,11.0,14.0,25.0,76.0,6.0,60.0,36.0,28.0,132.0,9.0,69.0,18.0,19.0,37.0,122.0,42.0,22.0,20.0,43.0,45.0,47.0,49.0,48.0
1035,6.0,137.0,3.0,0.0,13.0,23.0,81.0,14.0,9.0,19.0,2.0,76.0,20.0,39.0,32.0,147.0,156.0,38.0,79.0,56.0,29.0,127.0,118.0,44.0,43.0,50.0,47.0,48.0,17.0,51.0
1084,0.0,19.0,28.0,6.0,20.0,101.0,9.0,68.0,22.0,91.0,86.0,37.0,15.0,23.0,39.0,30.0,14.0,49.0,7.0,93.0,79.0,119.0,35.0,8.0,88.0,80.0,92.0,66.0,45.0,54.0
1133,5.0,0.0,21.0,8.0,6.0,132.0,27.0,4.0,10.0,24.0,43.0,3.0,50.0,9.0,33.0,148.0,15.0,31.0,26.0,23.0,136.0,7.0,68.0,25.0,42.0,57.0,54.0,56.0,61.0,58.0
1182,5.0,24.0,31.0,8.0,14.0,97.0,84.0,13.0,10.0,2.0,16.0,65.0,82.0,138.0,69.0,131.0,0.0,34.0,22.0,45.0,40.0,122.0,127.0,1.0,92.0,9.0,44.0,46.0,53.0,49.0
1231,0.0,14.0,3.0,2.0,1.0,6.0,25.0,77.0,15.0,59.0,80.0,66.0,17.0,42.0,30.0,133.0,27.0,35.0,18.0,24.0,47.0,34.0,4.0,78.0,79.0,46.0,75.0,45.0,51.0,22.0
1280,0.0,13.0,3.0,29.0,12.0,9.0,16.0,8.0,7.0,20.0,27.0,15.0,82.0,140.0,36.0,5.0,26.0,67.0,81.0,17.0,42.0,4.0,30.0,21.0,44.0,49.0,46.0,48.0,56.0,50.0
1329,0.0,3.0,4.0,27.0,5.0,15.0,32.0,6.0,8.0,59.0,28.0,92.0,60.0,35.0,2.0,137.0,11.0,38.0,87.0,39.0,56.0,23.0,1.0,76.0,61.0,43.0,41.0,42.0,46.0,40.0
1378,0.0,8.0,40.0,31.0,2.0,101.0,11.0,92.0,141.0,78.0,22.0,32.0,14.0,42.0,73.0,10.0,25.0,3.0,15.0,20.0,17.0,121.0,30.0,62.0,24.0,59.0,60.0,49.0,56.0,51.0
1427,4.0,1.0,41.0,7.0,27.0,17.0,21.0,11.0,6.0,0.0,12.0,83.0,26.0,140.0,29.0,14.0,160.0,3.0,24.0,13.0,32.0,33.0,28.0,9.0,74.0,46.0,44.0,42.0,56.0,22.0
1476,29.0,3.0,2.0,34.0,15.0,6.0,18.0,94.0,10.0,21.0,61.0,70.0,20.0,27.0,75.0,19.0,157.0,35.0,85.0,60.0,14.0,37.0,32.0,23.0,1.0,53.0,48.0,51.0,50.0,55.0
1525,6.0,11.0,29.0,28.0,4.0,103.0,25.0,9.0,142.0,21.0,22.0,7.0,95.0,0.0,3.0,5.0,24.0,1.0,82.0,18.0,38.0,35.0,122.0,26.0,23.0,47.0,43.0,58.0,8.0,50.0
1574,8.0,2.0,26.0,0.0,145.0,18.0,6.0,89.0,7.0,10.0,14.0,76.0,21.0,1.0,28.0,20.0,25.0,4.0,36.0,42.0,81.0,33.0,32.0,5.0,41.0,39.0,43.0,40.0,46.0,56.0
1623,2.0,1.0,23.0,26.0,20.0,18.0,13.0,30.0,21.0,8.0,77.0,67.0,70.0,0.0,3.0,17.0,6.0,39.0,31.0,5.0,62.0,121.0,120.0,9.0,10.0,15.0,81.0,85.0,29.0,88.0
1672,1.0,5.0,4.0,33.0,0.0,12.0,15.0,90.0,133.0,19.0,26.0,66.0,6.0,31.0,3.0,147.0,23.0,7.0,81.0,17.0,2.0,27.0,37.0,20.0,22.0,56.0,44.0,40.0,50.0,45.0
1721,39.0,4.0,6.0,14.0,5.0,15.0,85.0,76.0,135.0,1.0,26.0,35.0,11.0,31.0,28.0,131.0,160.0,34.0,10.0,8.0,54.0,40.0,119.0,30.0,27.0,42.0,74.0,41.0,12.0,43.0
1770,3.0,5.0,26.0,31.0,13.0,104.0,19.0,6.0,17.0,2.0,60.0,15.0,37.0,141.0,66.0,161.0,25.0,38.0,89.0,43.0,20.0,34.0,24.0,4.0,44.0,14.0,45.0,59.0,46.0,47.0
1819,4.0,1.0,33.0,30.0,3.0,8.0,0.0,12.0,2.0,82.0,58.0,72.0,14.0,144.0,6.0,130.0,159.0,32.0,57.0,35.0,28.0,121.0,126.0,39.0,25.0,17.0,56.0,40.0,18.0,9.0
1868,1.0,12.0,37.0,0.0,8.0,9.0,14.0,7.0,3.0,19.0,21.0,5.0,82.0,41.0,4.0,13.0,2.0,33.0,81.0,16.0,15.0,128.0,27.0,6.0,76.0,57.0,45.0,43.0,10.0,48.0
1917,0.0,8.0,4.0,24.0,19.0,9.0,11.0,1.0,21.0,15.0,82.0,27.0,75.0,138.0,3.0,26.0,13.0,39.0,76.0,88.0,25.0,6.0,33.0,14.0,83.0,90.0,87.0,89.0,43.0,67.0
1966,0.0,6.0,30.0,4.0,20.0,18.0,22.0,17.0,5.0,42.0,26.0,2.0,86.0,1.0,29.0,34.0,12.0,3.0,87.0,45.0,27.0,37.0,35.0,23.0,76.0,7.0,44.0,46.0,49.0,43.0
2015,5.0,18.0,0.0,2.0,13.0,16.0,43.0,12.0,7.0,24.0,77.0,23.0,9.0,1.0,30.0,162.0,27.0,3.0,90.0,21.0,14.0,36.0,35.0,44.0,60.0,17.0,59.0,46.0,50.0,47.0
2064,31.0,5.0,33.0,37.0,10.0,12.0,16.0,9.0,6.0,0.0,21.0,25.0,18.0,2.0,3.0,13.0,159.0,35.0,19.0,75.0,43.0,127.0,29.0,23.0,90.0,47.0,60.0,22.0,57.0,44.0
2113,0.0,4.0,10.0,17.0,5.0,1.0,28.0,11.0,25.0,64.0,3.0,7.0,82.0,9.0,50.0,155.0,27.0,63.0,83.0,21.0,13.0,37.0,30.0,91.0,90.0,42.0,62.0,43.0,38.0,41.0
2162,0.0,14.0,7.0,5.0,19.0,98.0,20.0,1.0,28.0,13.0,93.0,76.0,81.0,2.0,71.0,144.0,8.0,37.0,26.0,49.0,24.0,123.0,128.0,43.0,39.0,22.0,46.0,53.0,55.0,57.0
2211,0.0,14.0,4.0,3.0,11.0,101.0,25.0,8.0,7.0,60.0,79.0,15.0,85.0,1.0,32.0,137.0,27.0,33.0,83.0,5.0,2.0,29.0,120.0,78.0,24.0,23.0,84.0,45.0,13.0,46.0
2260,28.0,4.0,0.0,8.0,132.0,13.0,11.0,88.0,5.0,17.0,40.0,76.0,18.0,1.0,63.0,155.0,7.0,69.0,3.0,41.0,51.0,27.0,6.0,39.0,38.0,44.0,42.0,57.0,49.0,45.0
2309,0.0,14.0,3.0,4.0,8.0,13.0,18.0,12.0,1.0,24.0,40.0,92.0,22.0,38.0,70.0,25.0,157.0,63.0,81.0,7.0,21.0,28.0,6.0,42.0,41.0,16.0,45.0,51.0,56.0,53.0
2358,0.0,131.0,2.0,1.0,3.0,104.0,81.0,21.0,34.0,39.0,56.0,73.0,6.0,36.0,29.0,15.0,158.0,33.0,55.0,19.0,30.0,121.0,126.0,90.0,37.0,44.0,41.0,43.0,51.0,53.0
2407,2.0,18.0,9.0,27.0,20.0,14.0,8.0,6.0,22.0,12.0,88.0,36.0,93.0,139.0,56.0,29.0,157.0,7.0,81.0,66.0,28.0,3.0,34.0,90.0,5.0,1.0,92.0,65.0,44.0,47.0
2456,1.0,5.0,0.0,27.0,17.0,6.0,30.0,10.0,21.0,89.0,87.0,31.0,2.0,23.0,41.0,131.0,157.0,32.0,80.0,63.0,26.0,120.0,38.0,14.0,88.0,62.0,90.0,77.0,28.0,55.0
2505,1.0,0.0,32.0,4.0,147.0,5.0,19.0,80.0,131.0,45.0,92.0,2.0,88.0,3.0,30.0,161.0,153.0,6.0,89.0,18.0,42.0,31.0,35.0,41.0,44.0,47.0,43.0,48.0,9.0,50.0
