,Akt_pS473,HER3,PRAS40_pT246,TIGAR,Acetyl-a-Tubulin (Lys40),AR,CDK1,FRA1,MEK1_pS217_S221,CD49b,E-Cadherin,JNK2,Syk,Tuberin_pT1462,YB-1_pS102,IGFBP2,alpha-Catenin,C-Raf(MP05-739),Gab2,Transglutaminase,Chk2_pT68,p38_MAPK,RBM15,Shc_pY317,TFRC,Src,VHL,SHP-2_pY542,c-Kit,PKC-pan_BetaII_pS660
4,0.0,9.0,2.0,4.0,1.0,3.0,5.0,23.0,10.0,19.0,7.0,12.0,11.0,16.0,6.0,8.0,14.0,64.0,38.0,52.0,58.0,28.0,40.0,146.0,21.0,13.0,17.0,24.0,26.0,35.0
53,0.0,4.0,8.0,2.0,18.0,1.0,9.0,5.0,6.0,13.0,31.0,3.0,19.0,40.0,10.0,26.0,14.0,33.0,12.0,28.0,66.0,22.0,36.0,129.0,15.0,11.0,48.0,78.0,7.0,42.0
102,1.0,8.0,5.0,7.0,3.0,0.0,2.0,11.0,14.0,4.0,48.0,9.0,19.0,41.0,21.0,20.0,17.0,22.0,35.0,59.0,24.0,10.0,50.0,109.0,42.0,16.0,32.0,99.0,18.0,107.0
151,0.0,3.0,8.0,6.0,2.0,1.0,16.0,5.0,7.0,26.0,43.0,4.0,38.0,9.0,13.0,22.0,21.0,14.0,31.0,122.0,44.0,17.0,12.0,148.0,28.0,10.0,53.0,68.0,63.0,59.0
200,0.0,7.0,1.0,10.0,3.0,2.0,20.0,6.0,4.0,31.0,26.0,85.0,5.0,29.0,12.0,13.0,25.0,14.0,79.0,43.0,15.0,8.0,34.0,83.0,36.0,27.0,46.0,64.0,33.0,57.0
249,0.0,9.0,3.0,5.0,4.0,2.0,1.0,8.0,14.0,12.0,24.0,41.0,31.0,38.0,21.0,13.0,56.0,10.0,7.0,6.0,30.0,15.0,82.0,43.0,11.0,23.0,19.0,73.0,26.0,35.0
298,0.0,11.0,9.0,4.0,1.0,5.0,12.0,2.0,6.0,3.0,14.0,7.0,30.0,15.0,34.0,19.0,29.0,8.0,13.0,25.0,43.0,21.0,32.0,138.0,39.0,10.0,20.0,33.0,16.0,46.0
347,0.0,7.0,6.0,3.0,2.0,1.0,4.0,10.0,17.0,18.0,12.0,9.0,14.0,15.0,19.0,11.0,8.0,21.0,151.0,27.0,105.0,41.0,30.0,55.0,16.0,35.0,48.0,58.0,25.0,52.0
396,0.0,3.0,4.0,6.0,11.0,1.0,5.0,42.0,2.0,51.0,41.0,20.0,9.0,7.0,8.0,45.0,10.0,33.0,14.0,25.0,99.0,12.0,37.0,113.0,15.0,21.0,35.0,19.0,16.0,88.0
445,0.0,2.0,7.0,11.0,5.0,1.0,12.0,17.0,14.0,3.0,6.0,4.0,59.0,42.0,10.0,64.0,44.0,20.0,91.0,30.0,16.0,8.0,79.0,87.0,47.0,41.0,26.0,37.0,58.0,108.0
494,0.0,4.0,1.0,8.0,5.0,6.0,2.0,34.0,15.0,11.0,27.0,9.0,41.0,35.0,30.0,53.0,18.0,7.0,24.0,36.0,81.0,31.0,17.0,16.0,20.0,28.0,50.0,12.0,48.0,22.0
543,0.0,15.0,1.0,18.0,5.0,4.0,11.0,2.0,21.0,3.0,64.0,14.0,34.0,22.0,124.0,50.0,67.0,6.0,7.0,55.0,110.0,8.0,19.0,63.0,17.0,75.0,10.0,139.0,13.0,9.0
592,0.0,7.0,5.0,2.0,3.0,4.0,11.0,1.0,29.0,9.0,63.0,10.0,22.0,39.0,17.0,13.0,69.0,15.0,45.0,67.0,55.0,32.0,8.0,60.0,14.0,19.0,23.0,24.0,27.0,51.0
641,0.0,6.0,1.0,4.0,11.0,13.0,5.0,8.0,3.0,2.0,48.0,7.0,26.0,24.0,22.0,36.0,33.0,21.0,23.0,10.0,34.0,62.0,60.0,14.0,17.0,71.0,29.0,46.0,16.0,12.0
690,0.0,4.0,1.0,7.0,3.0,2.0,5.0,21.0,8.0,10.0,87.0,33.0,24.0,31.0,16.0,44.0,95.0,19.0,12.0,42.0,26.0,47.0,9.0,43.0,13.0,27.0,23.0,20.0,6.0,30.0
739,0.0,9.0,1.0,10.0,3.0,2.0,5.0,42.0,40.0,7.0,104.0,15.0,45.0,48.0,38.0,34.0,24.0,8.0,6.0,93.0,28.0,52.0,12.0,134.0,4.0,11.0,22.0,59.0,31.0,39.0
788,0.0,3.0,1.0,8.0,2.0,26.0,4.0,11.0,13.0,9.0,10.0,5.0,6.0,33.0,39.0,71.0,20.0,32.0,48.0,78.0,49.0,7.0,14.0,18.0,44.0,77.0,79.0,25.0,15.0,27.0
837,1.0,2.0,0.0,7.0,22.0,3.0,14.0,4.0,5.0,10.0,98.0,24.0,18.0,12.0,37.0,6.0,44.0,48.0,41.0,26.0,34.0,55.0,9.0,57.0,13.0,35.0,58.0,75.0,17.0,23.0
886,0.0,5.0,1.0,3.0,2.0,7.0,6.0,9.0,18.0,12.0,31.0,11.0,26.0,59.0,13.0,36.0,23.0,42.0,4.0,41.0,90.0,35.0,19.0,20.0,8.0,44.0,16.0,30.0,32.0,10.0
935,0.0,4.0,1.0,6.0,32.0,12.0,7.0,2.0,9.0,3.0,52.0,14.0,69.0,33.0,39.0,13.0,43.0,8.0,56.0,21.0,11.0,15.0,31.0,60.0,17.0,83.0,49.0,35.0,5.0,26.0
984,0.0,4.0,2.0,3.0,5.0,1.0,7.0,15.0,14.0,9.0,11.0,30.0,13.0,12.0,18.0,29.0,31.0,22.0,24.0,21.0,74.0,27.0,67.0,34.0,33.0,42.0,19.0,55.0,35.0,20.0
1033,0.0,2.0,6.0,10.0,4.0,1.0,8.0,3.0,18.0,9.0,19.0,32.0,7.0,11.0,17.0,5.0,29.0,13.0,14.0,76.0,23.0,15.0,56.0,84.0,47.0,28.0,42.0,49.0,33.0,24.0
1082,0.0,3.0,18.0,5.0,4.0,1.0,12.0,9.0,6.0,13.0,2.0,73.0,7.0,17.0,11.0,21.0,14.0,8.0,38.0,33.0,25.0,30.0,74.0,58.0,43.0,40.0,31.0,16.0,19.0,39.0
1131,0.0,4.0,3.0,1.0,2.0,17.0,14.0,8.0,16.0,5.0,6.0,20.0,37.0,34.0,9.0,12.0,7.0,26.0,59.0,15.0,50.0,23.0,11.0,19.0,85.0,25.0,33.0,24.0,18.0,41.0
1180,0.0,1.0,8.0,32.0,10.0,4.0,6.0,7.0,59.0,9.0,5.0,15.0,2.0,18.0,31.0,3.0,16.0,30.0,37.0,41.0,20.0,12.0,11.0,13.0,21.0,60.0,137.0,35.0,29.0,50.0
