,hsa-miR-125a-3p,hsa-miR-574-5p,hsa-miR-196b,hsa-miR-1254,hsa-miR-628-5p,hsa-miR-641,hsa-miR-877,hsa-miR-453,hsa-miR-590-5p,hsa-miR-892a,hsa-miR-184,hsa-miR-1286,hsa-miR-891a,hsa-miR-578,hsa-miR-661,hsa-miR-548f,hsa-miR-651,hsa-miR-199b-5p,hsa-miR-759,hsa-miR-197,hsa-miR-223,hsa-miR-635,hsa-miR-619,hsa-miR-1284,hsa-miR-1292,hsa-miR-551b,hsa-miR-34c-5p,hsa-miR-875-3p,hsa-miR-140-5p,hsa-miR-147b
15,2.0,3.0,0.0,9.0,8.0,11.0,18.0,20.0,10.0,37.0,87.0,61.0,7.0,44.0,53.0,31.0,17.0,19.0,36.0,30.0,80.0,27.0,77.0,158.0,14.0,127.0,70.0,33.0,15.0,23.0
64,6.0,3.0,5.0,1.0,9.0,2.0,7.0,13.0,12.0,65.0,32.0,66.0,47.0,105.0,46.0,18.0,0.0,29.0,381.0,84.0,16.0,28.0,30.0,171.0,64.0,220.0,27.0,4.0,8.0,63.0
113,0.0,1.0,21.0,2.0,7.0,5.0,31.0,19.0,18.0,8.0,13.0,32.0,9.0,89.0,54.0,40.0,103.0,20.0,153.0,27.0,96.0,10.0,3.0,24.0,42.0,37.0,30.0,14.0,28.0,23.0
162,0.0,1.0,6.0,12.0,8.0,13.0,7.0,9.0,3.0,14.0,5.0,62.0,2.0,298.0,25.0,74.0,20.0,10.0,198.0,44.0,29.0,63.0,40.0,49.0,30.0,141.0,57.0,112.0,39.0,11.0
211,2.0,0.0,1.0,13.0,8.0,4.0,20.0,32.0,41.0,30.0,9.0,10.0,3.0,17.0,37.0,45.0,12.0,21.0,194.0,19.0,89.0,72.0,7.0,11.0,61.0,215.0,137.0,64.0,6.0,58.0
260,1.0,0.0,38.0,6.0,2.0,12.0,4.0,5.0,15.0,3.0,7.0,28.0,8.0,165.0,33.0,141.0,18.0,10.0,197.0,25.0,29.0,55.0,30.0,26.0,86.0,27.0,49.0,19.0,9.0,14.0
309,0.0,23.0,11.0,1.0,4.0,40.0,2.0,26.0,10.0,5.0,7.0,173.0,8.0,60.0,90.0,31.0,143.0,35.0,134.0,3.0,38.0,18.0,27.0,43.0,6.0,68.0,71.0,9.0,107.0,12.0
358,5.0,0.0,3.0,2.0,24.0,10.0,30.0,20.0,7.0,8.0,12.0,29.0,1.0,18.0,13.0,50.0,71.0,21.0,111.0,22.0,56.0,25.0,6.0,26.0,36.0,130.0,104.0,23.0,19.0,14.0
407,3.0,2.0,6.0,11.0,12.0,4.0,68.0,175.0,9.0,209.0,27.0,29.0,0.0,125.0,17.0,22.0,60.0,95.0,265.0,14.0,88.0,13.0,54.0,101.0,39.0,176.0,83.0,10.0,7.0,52.0
456,0.0,12.0,1.0,18.0,55.0,28.0,58.0,7.0,8.0,6.0,9.0,20.0,3.0,194.0,4.0,42.0,36.0,87.0,84.0,10.0,116.0,16.0,62.0,2.0,85.0,443.0,136.0,132.0,13.0,11.0
505,0.0,19.0,4.0,22.0,2.0,16.0,1.0,11.0,15.0,14.0,31.0,35.0,39.0,30.0,20.0,28.0,37.0,46.0,50.0,5.0,10.0,208.0,36.0,3.0,161.0,59.0,102.0,51.0,115.0,69.0
554,1.0,44.0,0.0,55.0,2.0,19.0,6.0,8.0,56.0,7.0,52.0,11.0,78.0,3.0,10.0,28.0,21.0,17.0,118.0,74.0,113.0,27.0,23.0,15.0,81.0,223.0,149.0,25.0,9.0,24.0
603,0.0,31.0,1.0,80.0,4.0,29.0,3.0,28.0,10.0,17.0,39.0,33.0,72.0,48.0,42.0,21.0,7.0,15.0,9.0,12.0,11.0,144.0,117.0,8.0,86.0,124.0,30.0,377.0,47.0,68.0
652,1.0,51.0,18.0,6.0,2.0,48.0,4.0,38.0,8.0,3.0,16.0,67.0,40.0,12.0,11.0,7.0,36.0,13.0,41.0,21.0,15.0,69.0,44.0,0.0,91.0,170.0,27.0,32.0,138.0,5.0
701,0.0,5.0,2.0,62.0,3.0,38.0,12.0,16.0,7.0,6.0,9.0,24.0,43.0,21.0,44.0,61.0,13.0,8.0,14.0,10.0,18.0,59.0,19.0,1.0,128.0,51.0,155.0,57.0,85.0,20.0
750,1.0,31.0,7.0,38.0,4.0,32.0,5.0,15.0,12.0,10.0,17.0,27.0,148.0,25.0,2.0,9.0,44.0,3.0,78.0,24.0,6.0,21.0,30.0,8.0,80.0,97.0,20.0,72.0,42.0,16.0
799,0.0,155.0,1.0,16.0,11.0,33.0,4.0,3.0,23.0,5.0,49.0,30.0,65.0,45.0,9.0,13.0,75.0,22.0,129.0,32.0,8.0,57.0,19.0,2.0,103.0,35.0,38.0,20.0,71.0,41.0
848,0.0,36.0,1.0,41.0,6.0,39.0,18.0,12.0,13.0,7.0,17.0,16.0,128.0,25.0,59.0,11.0,166.0,5.0,106.0,26.0,27.0,37.0,76.0,2.0,49.0,175.0,19.0,130.0,32.0,4.0
897,0.0,135.0,1.0,9.0,8.0,69.0,16.0,14.0,7.0,3.0,20.0,39.0,34.0,11.0,17.0,36.0,21.0,10.0,28.0,18.0,29.0,156.0,19.0,2.0,91.0,47.0,46.0,158.0,42.0,22.0
