,Src_pY527,Bax,Transglutaminase,Gab2,Cyclin_E1,CD49b,Shc_pY317,HSP70,YB-1_pS102,MEK1_pS217_S221,FRA1,p21,MIG-6,Notch1,PDCD4,E-Cadherin,XBP1,HER3,CDK1,Annexin 1,Src_pY416,STAT5-alpha,alpha-Catenin,14-3-3_zeta,p14 Arf(BetA300-340A),PKC-pan_BetaII_pS660,VAV1,Raptor,ADAR1,MDMX_MDM4(BetIHC-00108)
1,0.0,1.0,5.0,2.0,3.0,23.0,17.0,14.0,11.0,4.0,15.0,10.0,6.0,19.0,7.0,16.0,9.0,28.0,8.0,48.0,12.0,29.0,20.0,60.0,27.0,21.0,35.0,37.0,24.0,41.0
50,1.0,0.0,3.0,2.0,5.0,26.0,33.0,29.0,4.0,6.0,18.0,8.0,11.0,10.0,24.0,13.0,16.0,7.0,20.0,9.0,23.0,60.0,15.0,27.0,52.0,19.0,46.0,17.0,34.0,32.0
99,0.0,1.0,4.0,2.0,13.0,19.0,12.0,20.0,14.0,18.0,6.0,3.0,17.0,7.0,5.0,11.0,27.0,8.0,10.0,28.0,15.0,49.0,21.0,40.0,26.0,29.0,33.0,34.0,23.0,36.0
148,8.0,0.0,6.0,10.0,1.0,7.0,16.0,21.0,2.0,13.0,15.0,9.0,3.0,12.0,18.0,46.0,38.0,22.0,20.0,53.0,4.0,31.0,5.0,14.0,33.0,28.0,51.0,36.0,42.0,30.0
197,0.0,1.0,13.0,12.0,14.0,23.0,9.0,6.0,19.0,7.0,5.0,8.0,15.0,28.0,11.0,24.0,25.0,3.0,47.0,43.0,4.0,10.0,27.0,30.0,17.0,16.0,99.0,26.0,42.0,40.0
246,2.0,0.0,4.0,1.0,9.0,28.0,10.0,27.0,6.0,20.0,15.0,3.0,14.0,7.0,11.0,31.0,18.0,8.0,5.0,42.0,12.0,43.0,23.0,25.0,36.0,29.0,13.0,26.0,21.0,48.0
295,0.0,6.0,7.0,13.0,3.0,8.0,54.0,40.0,2.0,14.0,1.0,11.0,27.0,10.0,5.0,15.0,39.0,19.0,12.0,4.0,18.0,32.0,17.0,33.0,43.0,25.0,22.0,23.0,35.0,131.0
344,2.0,4.0,5.0,3.0,0.0,16.0,9.0,28.0,6.0,22.0,11.0,1.0,18.0,25.0,20.0,8.0,26.0,14.0,12.0,52.0,15.0,23.0,24.0,51.0,21.0,17.0,42.0,37.0,10.0,54.0
393,0.0,2.0,8.0,4.0,1.0,13.0,34.0,17.0,10.0,11.0,14.0,6.0,12.0,3.0,20.0,19.0,5.0,7.0,16.0,27.0,9.0,29.0,22.0,37.0,47.0,48.0,28.0,15.0,39.0,64.0
442,2.0,1.0,3.0,6.0,4.0,0.0,17.0,11.0,5.0,9.0,7.0,8.0,54.0,34.0,28.0,12.0,14.0,32.0,13.0,38.0,25.0,15.0,19.0,31.0,29.0,20.0,26.0,42.0,24.0,27.0
