,hsa-miR-21,hsa-miR-205,hsa-miR-1978,hsa-miR-2117,hsa-miR-548a-3p,hsa-miR-31,hsa-miR-22,hsa-miR-1303,hsa-miR-30a,hsa-miR-424,hsa-miR-30d,hsa-miR-135b,hsa-miR-200a,hsa-miR-661,hsa-miR-136,hsa-miR-371-3p,ebv-miR-BART7,hsa-miR-140-5p,hsa-miR-224,hcmv-miR-US5-1,kshv-miR-K12-6-5p,hsa-miR-663,hsa-miR-222,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-567,hsa-miR-636,hsa-miR-197,hsa-miR-628-5p,hsa-miR-766
14,119.0,4.0,16.0,73.0,2.0,12.0,421.0,375.0,176.0,17.0,5.0,170.0,304.0,29.0,36.0,173.0,10.0,168.0,552.0,84.0,38.0,537.0,7.0,13.0,3.0,26.0,1.0,34.0,92.0,60.0
63,3.0,0.0,16.0,22.0,2.0,5.0,26.0,6.0,9.0,34.0,1.0,32.0,81.0,58.0,74.0,12.0,14.0,13.0,23.0,17.0,36.0,64.0,357.0,4.0,7.0,37.0,183.0,471.0,29.0,39.0
112,24.0,5.0,47.0,88.0,80.0,20.0,11.0,0.0,108.0,58.0,3.0,12.0,57.0,104.0,4.0,37.0,43.0,6.0,8.0,30.0,494.0,210.0,87.0,39.0,7.0,50.0,474.0,81.0,119.0,13.0
161,24.0,0.0,14.0,70.0,8.0,5.0,3.0,6.0,7.0,67.0,2.0,4.0,10.0,16.0,64.0,18.0,394.0,13.0,30.0,35.0,357.0,329.0,121.0,9.0,193.0,116.0,113.0,41.0,82.0,43.0
210,145.0,1.0,55.0,13.0,146.0,49.0,16.0,0.0,36.0,84.0,8.0,11.0,6.0,14.0,4.0,17.0,77.0,2.0,5.0,22.0,412.0,60.0,58.0,3.0,28.0,64.0,52.0,10.0,503.0,155.0
259,44.0,30.0,4.0,96.0,10.0,6.0,62.0,24.0,132.0,11.0,52.0,31.0,92.0,5.0,14.0,67.0,33.0,32.0,9.0,0.0,551.0,210.0,130.0,1.0,3.0,142.0,163.0,208.0,137.0,342.0
308,0.0,57.0,30.0,12.0,43.0,51.0,48.0,4.0,79.0,28.0,9.0,11.0,116.0,50.0,254.0,109.0,127.0,237.0,60.0,213.0,238.0,61.0,218.0,15.0,40.0,299.0,3.0,1.0,20.0,189.0
357,30.0,22.0,18.0,17.0,36.0,555.0,90.0,12.0,66.0,72.0,5.0,58.0,8.0,67.0,10.0,85.0,408.0,63.0,168.0,479.0,170.0,34.0,47.0,13.0,1.0,95.0,3.0,75.0,16.0,223.0
406,16.0,47.0,1.0,332.0,28.0,12.0,50.0,13.0,38.0,152.0,3.0,7.0,82.0,2.0,26.0,10.0,116.0,44.0,76.0,11.0,336.0,54.0,25.0,58.0,91.0,290.0,78.0,0.0,14.0,72.0
455,179.0,8.0,4.0,19.0,85.0,285.0,11.0,1.0,22.0,5.0,20.0,10.0,3.0,0.0,2.0,110.0,24.0,7.0,36.0,97.0,9.0,137.0,76.0,13.0,37.0,126.0,68.0,206.0,52.0,41.0
504,0.0,4.0,106.0,1.0,5.0,6.0,15.0,9.0,14.0,3.0,39.0,48.0,177.0,80.0,12.0,2.0,471.0,443.0,8.0,18.0,72.0,31.0,11.0,108.0,97.0,42.0,117.0,29.0,35.0,24.0
553,0.0,27.0,21.0,1.0,28.0,6.0,3.0,24.0,19.0,5.0,30.0,4.0,18.0,412.0,26.0,2.0,9.0,179.0,34.0,37.0,192.0,71.0,59.0,160.0,225.0,519.0,35.0,8.0,20.0,29.0
602,0.0,15.0,35.0,2.0,8.0,5.0,4.0,6.0,26.0,1.0,21.0,7.0,22.0,168.0,18.0,629.0,47.0,152.0,24.0,19.0,45.0,70.0,25.0,75.0,354.0,78.0,264.0,14.0,62.0,10.0
651,2.0,10.0,30.0,0.0,20.0,11.0,12.0,59.0,26.0,1.0,295.0,6.0,15.0,70.0,159.0,103.0,4.0,46.0,18.0,8.0,45.0,184.0,50.0,65.0,557.0,72.0,296.0,16.0,7.0,102.0
700,1.0,75.0,74.0,3.0,8.0,6.0,30.0,32.0,137.0,0.0,18.0,2.0,27.0,72.0,10.0,92.0,334.0,298.0,11.0,103.0,95.0,94.0,33.0,4.0,79.0,287.0,284.0,12.0,13.0,25.0
749,4.0,6.0,44.0,1.0,12.0,14.0,159.0,62.0,9.0,0.0,28.0,3.0,292.0,42.0,163.0,593.0,116.0,7.0,86.0,155.0,26.0,31.0,46.0,36.0,465.0,475.0,119.0,10.0,20.0,16.0
798,1.0,146.0,5.0,6.0,35.0,8.0,7.0,33.0,14.0,2.0,59.0,4.0,186.0,0.0,128.0,153.0,90.0,3.0,289.0,56.0,44.0,66.0,24.0,191.0,98.0,83.0,10.0,84.0,129.0,11.0
847,1.0,3.0,15.0,4.0,0.0,13.0,14.0,199.0,38.0,20.0,19.0,2.0,49.0,22.0,56.0,415.0,8.0,5.0,137.0,44.0,96.0,57.0,33.0,167.0,625.0,37.0,146.0,95.0,27.0,82.0
896,0.0,103.0,2.0,7.0,5.0,3.0,31.0,11.0,19.0,1.0,39.0,8.0,20.0,57.0,135.0,190.0,9.0,22.0,198.0,158.0,393.0,12.0,18.0,61.0,21.0,104.0,14.0,10.0,56.0,63.0
945,6.0,256.0,18.0,0.0,1.0,2.0,42.0,4.0,41.0,109.0,526.0,15.0,44.0,12.0,10.0,214.0,3.0,7.0,54.0,453.0,113.0,5.0,30.0,105.0,489.0,13.0,123.0,81.0,11.0,60.0
994,58.0,6.0,28.0,1.0,18.0,80.0,51.0,15.0,40.0,84.0,16.0,65.0,262.0,36.0,45.0,13.0,298.0,61.0,168.0,4.0,427.0,11.0,8.0,585.0,64.0,183.0,154.0,203.0,72.0,282.0
1043,2.0,0.0,226.0,49.0,13.0,26.0,4.0,78.0,3.0,35.0,277.0,16.0,89.0,289.0,25.0,56.0,114.0,5.0,129.0,10.0,419.0,17.0,23.0,72.0,583.0,293.0,9.0,36.0,154.0,324.0
1092,5.0,1.0,0.0,265.0,13.0,81.0,8.0,3.0,2.0,30.0,245.0,45.0,374.0,4.0,17.0,369.0,6.0,88.0,11.0,7.0,436.0,14.0,95.0,22.0,218.0,60.0,220.0,9.0,16.0,25.0
1141,0.0,10.0,6.0,41.0,2.0,42.0,47.0,80.0,14.0,16.0,465.0,7.0,93.0,347.0,1.0,432.0,22.0,50.0,8.0,60.0,350.0,3.0,139.0,128.0,404.0,54.0,18.0,286.0,221.0,53.0
1190,299.0,2.0,47.0,22.0,0.0,4.0,1.0,87.0,31.0,68.0,253.0,129.0,53.0,71.0,60.0,445.0,316.0,268.0,54.0,110.0,40.0,34.0,86.0,24.0,154.0,325.0,3.0,14.0,159.0,183.0
1239,27.0,0.0,125.0,419.0,2.0,8.0,23.0,4.0,1.0,258.0,28.0,76.0,31.0,48.0,9.0,15.0,21.0,103.0,66.0,10.0,35.0,3.0,166.0,183.0,493.0,29.0,25.0,37.0,45.0,386.0
1288,1.0,12.0,0.0,20.0,269.0,7.0,2.0,176.0,23.0,3.0,184.0,18.0,629.0,243.0,153.0,551.0,33.0,25.0,16.0,306.0,331.0,21.0,22.0,223.0,108.0,46.0,276.0,15.0,542.0,50.0
1337,10.0,11.0,20.0,127.0,0.0,24.0,47.0,18.0,19.0,1.0,3.0,83.0,56.0,42.0,17.0,550.0,2.0,21.0,7.0,393.0,351.0,334.0,230.0,23.0,166.0,298.0,27.0,75.0,61.0,33.0
1386,14.0,123.0,130.0,8.0,12.0,22.0,21.0,390.0,19.0,365.0,93.0,4.0,62.0,43.0,31.0,229.0,7.0,3.0,11.0,209.0,608.0,492.0,420.0,357.0,382.0,501.0,45.0,431.0,152.0,176.0
1435,492.0,6.0,35.0,21.0,17.0,359.0,0.0,29.0,18.0,71.0,26.0,13.0,252.0,34.0,19.0,370.0,7.0,2.0,211.0,542.0,169.0,323.0,45.0,67.0,33.0,263.0,1.0,41.0,159.0,402.0
1484,0.0,1.0,46.0,16.0,41.0,14.0,99.0,79.0,3.0,53.0,7.0,87.0,129.0,4.0,105.0,9.0,57.0,188.0,17.0,248.0,595.0,272.0,100.0,120.0,2.0,159.0,19.0,317.0,172.0,221.0
1533,8.0,1.0,6.0,9.0,0.0,58.0,73.0,199.0,18.0,65.0,20.0,35.0,2.0,39.0,31.0,11.0,4.0,41.0,52.0,76.0,313.0,157.0,27.0,160.0,13.0,26.0,12.0,47.0,75.0,16.0
1582,1.0,9.0,0.0,3.0,5.0,31.0,184.0,55.0,30.0,7.0,19.0,423.0,4.0,2.0,139.0,233.0,57.0,302.0,408.0,236.0,39.0,260.0,53.0,28.0,29.0,25.0,180.0,24.0,152.0,271.0
1631,7.0,3.0,10.0,0.0,1.0,84.0,5.0,27.0,73.0,20.0,64.0,24.0,231.0,6.0,2.0,42.0,159.0,12.0,48.0,66.0,55.0,110.0,113.0,18.0,67.0,531.0,461.0,143.0,87.0,35.0
1680,2.0,55.0,151.0,17.0,32.0,8.0,9.0,26.0,3.0,19.0,20.0,28.0,0.0,7.0,12.0,1.0,6.0,555.0,179.0,87.0,118.0,113.0,24.0,23.0,588.0,57.0,298.0,78.0,284.0,263.0
1729,1.0,430.0,71.0,7.0,0.0,6.0,15.0,90.0,3.0,13.0,41.0,29.0,42.0,5.0,2.0,122.0,8.0,233.0,12.0,113.0,106.0,200.0,64.0,4.0,27.0,22.0,24.0,360.0,72.0,96.0
1778,1.0,91.0,0.0,6.0,5.0,3.0,4.0,51.0,15.0,21.0,46.0,214.0,84.0,2.0,40.0,87.0,130.0,125.0,74.0,8.0,23.0,12.0,111.0,68.0,106.0,38.0,44.0,120.0,39.0,383.0
1827,3.0,7.0,27.0,9.0,8.0,11.0,17.0,2.0,0.0,313.0,66.0,4.0,19.0,5.0,6.0,44.0,88.0,71.0,12.0,544.0,271.0,25.0,126.0,18.0,38.0,33.0,43.0,119.0,250.0,348.0
1876,2.0,22.0,18.0,6.0,7.0,31.0,16.0,68.0,1.0,17.0,51.0,23.0,0.0,5.0,11.0,20.0,25.0,88.0,29.0,568.0,13.0,95.0,41.0,24.0,75.0,48.0,118.0,74.0,82.0,189.0
1925,11.0,32.0,3.0,5.0,2.0,305.0,4.0,27.0,12.0,116.0,21.0,129.0,0.0,121.0,79.0,49.0,65.0,44.0,45.0,163.0,69.0,281.0,36.0,7.0,18.0,123.0,10.0,398.0,149.0,102.0
1974,112.0,2.0,0.0,3.0,6.0,11.0,152.0,15.0,42.0,91.0,243.0,178.0,4.0,35.0,1.0,201.0,67.0,34.0,59.0,69.0,5.0,20.0,129.0,87.0,22.0,48.0,37.0,218.0,438.0,49.0
