,PCDHB6,XXbac-BPG181B23.7,PCDHB2,PTH2R,RNF208,VANGL2,MICALL1,LDOC1,IQCA1,RIN2,HOXA4,KCTD21-AS1,UGT2B7,TMEM117,CTD-2514C3.1,S100A2,HMGA1P4,AKR1E2,GALNT14,TEX15,RP4-555D20.4,RP11-479G22.8,RP11-2B6.3,AMOT,JOSD1,RP11-1042B17.1,RP11-609L3.1,SP140L,PPP1R14C,CTB-36O1.3
8,1.0,8.0,0.0,39.0,69.0,23.0,114.0,70.0,36.0,58.0,5.0,31.0,9.0,441.0,17.0,37.0,4.0,382.0,16.0,2.0,333.0,52.0,11.0,6.0,47.0,101.0,99.0,28.0,98.0,132.0
57,2.0,6.0,5.0,31.0,70.0,33.0,11.0,12872.0,49.0,170.0,92.0,173.0,262.0,906.0,59.0,200.0,7.0,1523.0,35.0,37.0,1260.0,249.0,209.0,0.0,8.0,80.0,98.0,9.0,19.0,416.0
106,32.0,4.0,21.0,0.0,58.0,12.0,188.0,273.0,29.0,36.0,7.0,249.0,38.0,619.0,305.0,141.0,3.0,129.0,15.0,48.0,160.0,150.0,53.0,8.0,71.0,27.0,174.0,10.0,98.0,342.0
155,1.0,8.0,13.0,17.0,42.0,68.0,61.0,856.0,24.0,9.0,7.0,94.0,22.0,2001.0,23.0,59.0,4.0,1175.0,12.0,26.0,134.0,81.0,48.0,41.0,20.0,27.0,53.0,32.0,57.0,5.0
204,5.0,20.0,92.0,13.0,12.0,16.0,19.0,1384.0,97.0,23.0,25.0,178.0,9.0,1574.0,0.0,99.0,1.0,740.0,32.0,4.0,30.0,24.0,134.0,34.0,15.0,48.0,22.0,7.0,85.0,153.0
253,2.0,25.0,8.0,18.0,40.0,132.0,75.0,81.0,4.0,26.0,6.0,274.0,28.0,836.0,386.0,52.0,0.0,3265.0,74.0,1.0,76.0,71.0,19.0,185.0,27.0,14.0,61.0,83.0,16.0,105.0
302,7.0,6.0,17.0,4.0,12.0,38.0,41.0,924.0,40.0,140.0,10.0,128.0,92.0,1521.0,3.0,35.0,1.0,712.0,162.0,48.0,42.0,61.0,14.0,72.0,27.0,79.0,43.0,55.0,0.0,2594.0
351,104.0,7.0,364.0,5.0,14.0,79.0,22.0,51.0,176.0,49.0,2.0,249.0,3.0,147.0,114.0,30.0,1.0,1233.0,65.0,12.0,122.0,486.0,45.0,10.0,56.0,39.0,107.0,58.0,82.0,99.0
400,13.0,28.0,456.0,12.0,69.0,38.0,29.0,182.0,83.0,19.0,10.0,40.0,20.0,565.0,0.0,183.0,11.0,189.0,579.0,6.0,179.0,106.0,52.0,31.0,21.0,7.0,109.0,17.0,3.0,98.0
449,1.0,7.0,49.0,32.0,24.0,47.0,66.0,230.0,44.0,23.0,15.0,72.0,20.0,958.0,40.0,205.0,8.0,860.0,67.0,189.0,326.0,373.0,34.0,6.0,90.0,163.0,97.0,4.0,120.0,27.0
498,0.0,1.0,20.0,17.0,12.0,68.0,5.0,71.0,48.0,96.0,38.0,7.0,29.0,10.0,3.0,125.0,89.0,2.0,327.0,556.0,212.0,66.0,145.0,437.0,46.0,533.0,6.0,69.0,24.0,18.0
547,0.0,1.0,24.0,87.0,8.0,25.0,12.0,16.0,11.0,169.0,2.0,3.0,17.0,13.0,22.0,69.0,264.0,31.0,122.0,205.0,61.0,144.0,52.0,477.0,235.0,105.0,90.0,33.0,127.0,49.0
596,3.0,0.0,32.0,34.0,5.0,248.0,2.0,380.0,46.0,467.0,17.0,4.0,26.0,71.0,1.0,18.0,52.0,14.0,174.0,507.0,91.0,120.0,27.0,263.0,69.0,94.0,7.0,70.0,42.0,92.0
645,5.0,1.0,12.0,87.0,10.0,27.0,47.0,9.0,19.0,174.0,54.0,26.0,23.0,169.0,0.0,50.0,64.0,32.0,16.0,310.0,62.0,28.0,25.0,96.0,259.0,200.0,3.0,33.0,215.0,15.0
694,6.0,0.0,3.0,15.0,60.0,84.0,35.0,16.0,50.0,28.0,21.0,10.0,65.0,143.0,535.0,25.0,80.0,33.0,76.0,682.0,212.0,23.0,30.0,635.0,247.0,574.0,19.0,29.0,32.0,92.0
743,0.0,5.0,54.0,81.0,29.0,496.0,12.0,1240.0,45.0,494.0,11.0,2.0,8.0,9.0,17.0,10.0,137.0,371.0,13.0,48.0,56.0,372.0,40.0,2281.0,115.0,531.0,7.0,157.0,166.0,3.0
792,0.0,1.0,7.0,9.0,13.0,45.0,15.0,246.0,32.0,70.0,37.0,3.0,172.0,44.0,5.0,75.0,34.0,4.0,297.0,200.0,40.0,90.0,109.0,2103.0,132.0,115.0,19.0,329.0,302.0,54.0
