,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-1294,hsa-miR-671-5p,hsa-miR-188-3p,hsa-miR-384,hsa-miR-412,hsa-miR-133b,hsa-miR-512-3p,hsa-miR-1179,hsa-miR-591,hsa-miR-583,hsa-miR-584,hsa-miR-579,hsa-miR-582-3p,hsa-miR-586,hsa-miR-582-5p,hsa-miR-580,hsa-miR-578,hsa-miR-587,hsa-miR-576-5p,hsa-miR-577,hsa-miR-581,hsa-miR-588,hsa-miR-576-3p,hsa-miR-589,hsa-miR-574-5p,hsa-miR-590-3p,hsa-miR-590-5p,hsa-miR-625
20,208.0,17.0,24.0,262.0,2.0,12.0,30.0,360.0,1.0,39.0,101.0,57.0,56.0,63.0,60.0,55.0,59.0,62.0,64.0,51.0,66.0,65.0,61.0,49.0,67.0,20.0,68.0,72.0,74.0,77.0
69,17.0,27.0,11.0,264.0,396.0,487.0,490.0,358.0,1.0,34.0,64.0,46.0,48.0,53.0,50.0,47.0,49.0,52.0,54.0,61.0,56.0,55.0,51.0,44.0,57.0,43.0,58.0,62.0,81.0,76.0
118,208.0,161.0,347.0,264.0,381.0,7.0,492.0,6.0,0.0,431.0,14.0,58.0,57.0,64.0,60.0,56.0,59.0,63.0,65.0,54.0,55.0,66.0,67.0,50.0,52.0,61.0,51.0,97.0,69.0,32.0
167,12.0,20.0,9.0,263.0,396.0,489.0,18.0,15.0,42.0,436.0,21.0,61.0,62.0,58.0,65.0,59.0,51.0,48.0,55.0,54.0,52.0,53.0,56.0,63.0,49.0,64.0,100.0,60.0,57.0,32.0
216,187.0,20.0,36.0,264.0,396.0,488.0,5.0,16.0,2.0,432.0,22.0,57.0,55.0,56.0,59.0,53.0,58.0,44.0,54.0,49.0,50.0,52.0,61.0,51.0,60.0,43.0,45.0,47.0,79.0,73.0
265,16.0,161.0,24.0,265.0,384.0,486.0,489.0,361.0,0.0,435.0,89.0,17.0,95.0,45.0,49.0,69.0,50.0,46.0,48.0,94.0,54.0,67.0,51.0,93.0,56.0,92.0,58.0,91.0,90.0,37.0
314,190.0,11.0,6.0,10.0,13.0,489.0,12.0,9.0,3.0,39.0,95.0,48.0,47.0,56.0,50.0,46.0,49.0,54.0,68.0,45.0,60.0,57.0,51.0,58.0,62.0,71.0,64.0,98.0,70.0,55.0
363,2.0,18.0,26.0,305.0,380.0,5.0,496.0,344.0,37.0,434.0,87.0,44.0,50.0,68.0,43.0,84.0,51.0,45.0,54.0,69.0,56.0,55.0,52.0,92.0,57.0,91.0,58.0,90.0,89.0,49.0
412,12.0,6.0,23.0,7.0,398.0,15.0,11.0,31.0,1.0,41.0,98.0,50.0,49.0,55.0,54.0,47.0,52.0,56.0,59.0,46.0,63.0,62.0,68.0,57.0,65.0,69.0,66.0,71.0,70.0,58.0
461,11.0,32.0,27.0,5.0,12.0,4.0,492.0,16.0,120.0,434.0,90.0,53.0,68.0,48.0,47.0,96.0,22.0,50.0,26.0,70.0,58.0,57.0,49.0,69.0,60.0,93.0,61.0,92.0,91.0,44.0
510,2.0,15.0,1.0,267.0,13.0,489.0,11.0,32.0,282.0,39.0,89.0,48.0,49.0,67.0,45.0,53.0,47.0,51.0,54.0,68.0,60.0,59.0,50.0,96.0,61.0,95.0,62.0,92.0,91.0,44.0
559,1.0,23.0,40.0,263.0,398.0,2.0,492.0,360.0,0.0,432.0,22.0,52.0,15.0,48.0,55.0,46.0,54.0,51.0,58.0,47.0,56.0,57.0,59.0,60.0,53.0,88.0,62.0,64.0,82.0,67.0
608,8.0,12.0,400.0,5.0,7.0,9.0,491.0,2.0,35.0,0.0,10.0,45.0,51.0,55.0,48.0,47.0,44.0,53.0,56.0,49.0,58.0,57.0,66.0,67.0,60.0,69.0,61.0,95.0,93.0,52.0
657,0.0,124.0,7.0,2.0,400.0,12.0,490.0,6.0,282.0,435.0,71.0,66.0,64.0,89.0,68.0,63.0,67.0,70.0,166.0,62.0,3.0,107.0,69.0,61.0,145.0,60.0,147.0,57.0,58.0,81.0
706,1.0,8.0,346.0,286.0,4.0,12.0,495.0,0.0,3.0,432.0,49.0,62.0,5.0,69.0,65.0,60.0,64.0,68.0,43.0,57.0,104.0,72.0,66.0,54.0,154.0,53.0,171.0,52.0,51.0,78.0
755,16.0,20.0,3.0,267.0,1.0,24.0,21.0,36.0,0.0,44.0,49.0,59.0,11.0,53.0,61.0,57.0,64.0,15.0,60.0,56.0,50.0,58.0,62.0,55.0,52.0,54.0,51.0,63.0,45.0,81.0
804,3.0,11.0,25.0,264.0,1.0,12.0,490.0,0.0,326.0,37.0,92.0,50.0,21.0,54.0,47.0,42.0,45.0,44.0,55.0,65.0,57.0,56.0,48.0,66.0,59.0,67.0,62.0,95.0,93.0,52.0
