,DHAP/glyceraldehyde 3P,homocysteine,phosphocreatine,beta-alanine,2-deoxyadenosine,palmitoylcarnitine,C18:0 LPE,C56:5 TAG,cis/trans-hydroxyproline,pantothenate,NADP,uracil,dCMP,taurodeoxycholate,C18:0 LPC,creatine,C22:6 CE,niacinamide,N-carbamoyl-beta-alanine,alpha-glycerophosphocholine,creatinine,C34:2 DAG,adenosine,valerylcarnitine,putrescine,butyrylcarnitine/isobutyrylcarnitine,C16:0 LPE,sarcosine,C36:1 DAG,C20:4 CE
24,0.0,3.0,4.0,1.0,5.0,2.0,7.0,13.0,9.0,41.0,6.0,45.0,35.0,47.0,28.0,18.0,17.0,15.0,14.0,16.0,19.0,25.0,20.0,29.0,8.0,23.0,10.0,27.0,22.0,21.0
73,0.0,1.0,4.0,3.0,5.0,2.0,26.0,12.0,6.0,18.0,41.0,7.0,10.0,13.0,44.0,8.0,9.0,31.0,43.0,16.0,15.0,28.0,19.0,23.0,21.0,22.0,25.0,45.0,48.0,29.0
122,4.0,2.0,6.0,1.0,3.0,0.0,25.0,18.0,7.0,41.0,5.0,38.0,36.0,11.0,23.0,8.0,15.0,14.0,16.0,17.0,19.0,26.0,9.0,21.0,29.0,20.0,24.0,22.0,27.0,28.0
171,1.0,3.0,6.0,2.0,4.0,0.0,16.0,10.0,5.0,40.0,8.0,18.0,36.0,17.0,24.0,7.0,12.0,9.0,13.0,15.0,19.0,28.0,11.0,22.0,30.0,21.0,25.0,23.0,51.0,29.0
220,2.0,1.0,8.0,0.0,5.0,3.0,19.0,12.0,4.0,36.0,7.0,39.0,29.0,10.0,14.0,16.0,30.0,6.0,21.0,48.0,22.0,37.0,15.0,23.0,43.0,26.0,13.0,17.0,35.0,42.0
269,2.0,3.0,4.0,0.0,1.0,5.0,12.0,16.0,6.0,34.0,40.0,8.0,39.0,47.0,22.0,15.0,28.0,7.0,14.0,13.0,18.0,25.0,17.0,9.0,29.0,19.0,23.0,21.0,26.0,27.0
318,1.0,3.0,7.0,0.0,4.0,2.0,25.0,12.0,5.0,37.0,6.0,8.0,29.0,36.0,23.0,14.0,17.0,13.0,10.0,9.0,15.0,11.0,16.0,27.0,18.0,19.0,24.0,50.0,22.0,21.0
367,2.0,0.0,5.0,1.0,4.0,3.0,25.0,6.0,7.0,41.0,10.0,8.0,13.0,9.0,24.0,17.0,29.0,12.0,46.0,18.0,19.0,27.0,20.0,22.0,15.0,21.0,47.0,23.0,48.0,28.0
416,3.0,4.0,1.0,2.0,5.0,0.0,15.0,7.0,6.0,43.0,12.0,8.0,38.0,10.0,27.0,19.0,24.0,16.0,29.0,18.0,20.0,9.0,22.0,28.0,26.0,13.0,25.0,23.0,17.0,30.0
465,0.0,1.0,4.0,5.0,3.0,7.0,28.0,12.0,14.0,42.0,2.0,6.0,37.0,9.0,18.0,10.0,22.0,15.0,11.0,19.0,20.0,8.0,21.0,26.0,23.0,25.0,31.0,29.0,30.0,27.0
514,0.0,1.0,4.0,3.0,9.0,6.0,8.0,2.0,10.0,5.0,41.0,12.0,36.0,7.0,11.0,18.0,13.0,14.0,16.0,17.0,19.0,48.0,20.0,23.0,21.0,22.0,29.0,26.0,25.0,24.0
563,0.0,1.0,2.0,3.0,7.0,4.0,15.0,9.0,10.0,6.0,16.0,14.0,8.0,36.0,26.0,5.0,13.0,19.0,20.0,23.0,21.0,30.0,22.0,47.0,12.0,31.0,28.0,32.0,24.0,25.0
612,3.0,0.0,2.0,5.0,1.0,13.0,8.0,6.0,4.0,7.0,39.0,14.0,36.0,15.0,17.0,11.0,18.0,9.0,29.0,19.0,21.0,12.0,22.0,28.0,31.0,27.0,20.0,24.0,25.0,30.0
661,1.0,0.0,3.0,5.0,10.0,9.0,6.0,2.0,14.0,7.0,11.0,39.0,38.0,13.0,31.0,4.0,15.0,17.0,24.0,50.0,20.0,29.0,16.0,30.0,18.0,19.0,26.0,22.0,21.0,23.0
710,0.0,1.0,3.0,2.0,5.0,9.0,4.0,8.0,12.0,7.0,15.0,11.0,41.0,17.0,28.0,6.0,20.0,18.0,27.0,19.0,21.0,16.0,22.0,49.0,23.0,32.0,30.0,25.0,26.0,33.0
759,2.0,1.0,0.0,3.0,13.0,10.0,14.0,6.0,17.0,37.0,4.0,12.0,16.0,8.0,26.0,9.0,24.0,20.0,25.0,19.0,18.0,15.0,21.0,32.0,22.0,31.0,27.0,5.0,23.0,28.0
