,hsa-miR-574-5p,hsa-miR-548m,hsa-miR-558,hsa-miR-21,hsa-miR-1308,hsa-miR-22,hsa-let-7e,hsa-miR-2117,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-190b,hsa-miR-10a,hsa-miR-545,ebv-miR-BART2-5p,hsa-miR-488,hsa-miR-1246,hsa-miR-34a,hsa-miR-153,hsa-miR-422a,hsa-miR-711,kshv-miR-K12-6-3p,hsa-miR-1269,hcmv-miR-US5-1,hsa-miR-30a,hsa-miR-140-3p,hsa-miR-302e,hsa-miR-30e,hsa-miR-600,hsa-miR-28-5p
1146,15.0,2.0,5.0,49.0,81.0,10.0,67.0,24.0,320.0,17.0,30.0,58.0,440.0,83.0,203.0,52.0,427.0,68.0,353.0,77.0,286.0,47.0,78.0,21.0,614.0,41.0,594.0,617.0,45.0,86.0
1195,165.0,14.0,9.0,583.0,20.0,5.0,19.0,39.0,11.0,36.0,28.0,29.0,446.0,46.0,12.0,26.0,66.0,61.0,353.0,63.0,77.0,54.0,81.0,72.0,624.0,358.0,622.0,626.0,60.0,65.0
1244,8.0,4.0,162.0,582.0,7.0,9.0,21.0,57.0,37.0,53.0,22.0,31.0,446.0,67.0,12.0,65.0,426.0,64.0,5.0,488.0,59.0,241.0,481.0,50.0,622.0,48.0,620.0,28.0,76.0,82.0
1293,16.0,39.0,62.0,580.0,3.0,0.0,433.0,6.0,26.0,53.0,13.0,4.0,80.0,66.0,15.0,546.0,25.0,70.0,44.0,22.0,41.0,18.0,8.0,71.0,619.0,358.0,35.0,85.0,76.0,84.0
1342,32.0,4.0,183.0,8.0,368.0,17.0,9.0,5.0,1.0,23.0,19.0,75.0,437.0,63.0,36.0,28.0,427.0,56.0,357.0,71.0,26.0,241.0,65.0,78.0,25.0,345.0,77.0,623.0,55.0,572.0
1391,175.0,49.0,191.0,17.0,13.0,5.0,32.0,23.0,35.0,19.0,9.0,40.0,438.0,129.0,207.0,14.0,31.0,59.0,66.0,78.0,69.0,242.0,51.0,61.0,624.0,342.0,622.0,27.0,113.0,70.0
1440,18.0,16.0,180.0,19.0,7.0,2.0,431.0,29.0,14.0,21.0,26.0,36.0,71.0,140.0,66.0,35.0,424.0,49.0,372.0,50.0,56.0,0.0,479.0,254.0,12.0,341.0,622.0,62.0,114.0,54.0
1489,0.0,17.0,18.0,8.0,374.0,14.0,433.0,47.0,316.0,48.0,61.0,46.0,22.0,45.0,72.0,55.0,25.0,27.0,20.0,16.0,54.0,238.0,64.0,254.0,626.0,344.0,624.0,628.0,69.0,23.0
1538,13.0,18.0,194.0,14.0,9.0,4.0,434.0,0.0,45.0,3.0,359.0,411.0,22.0,51.0,214.0,523.0,53.0,30.0,31.0,78.0,46.0,244.0,72.0,58.0,44.0,70.0,616.0,37.0,59.0,71.0
1587,7.0,0.0,27.0,6.0,3.0,12.0,66.0,26.0,1.0,52.0,64.0,413.0,9.0,16.0,212.0,540.0,54.0,608.0,8.0,75.0,308.0,247.0,25.0,82.0,63.0,67.0,617.0,622.0,119.0,37.0
1636,10.0,9.0,2.0,41.0,11.0,8.0,436.0,81.0,321.0,27.0,14.0,414.0,30.0,17.0,216.0,522.0,88.0,610.0,31.0,506.0,310.0,249.0,82.0,53.0,47.0,57.0,616.0,69.0,128.0,66.0
1685,1.0,22.0,13.0,34.0,10.0,4.0,26.0,14.0,21.0,98.0,342.0,406.0,439.0,17.0,264.0,545.0,16.0,68.0,39.0,487.0,335.0,172.0,73.0,69.0,57.0,54.0,619.0,623.0,75.0,66.0
1734,40.0,15.0,1.0,7.0,12.0,3.0,13.0,45.0,213.0,25.0,350.0,408.0,448.0,33.0,248.0,543.0,31.0,55.0,65.0,46.0,319.0,144.0,18.0,49.0,57.0,73.0,619.0,87.0,126.0,570.0
1783,161.0,23.0,19.0,17.0,5.0,0.0,18.0,9.0,314.0,32.0,39.0,57.0,36.0,7.0,195.0,11.0,425.0,77.0,42.0,28.0,337.0,61.0,481.0,254.0,60.0,75.0,619.0,623.0,50.0,56.0
1832,177.0,3.0,7.0,17.0,18.0,23.0,65.0,57.0,21.0,10.0,54.0,380.0,40.0,20.0,240.0,501.0,24.0,628.0,36.0,511.0,53.0,255.0,532.0,267.0,39.0,66.0,576.0,61.0,37.0,583.0
1881,36.0,21.0,14.0,33.0,6.0,4.0,13.0,79.0,322.0,40.0,361.0,34.0,68.0,24.0,63.0,523.0,27.0,610.0,42.0,39.0,305.0,67.0,71.0,12.0,43.0,52.0,618.0,72.0,96.0,50.0
1930,20.0,15.0,12.0,32.0,25.0,8.0,36.0,0.0,264.0,45.0,338.0,404.0,22.0,28.0,4.0,547.0,14.0,505.0,13.0,492.0,308.0,202.0,478.0,110.0,623.0,354.0,39.0,625.0,61.0,52.0
1979,31.0,36.0,17.0,38.0,29.0,6.0,1.0,2.0,318.0,90.0,80.0,40.0,45.0,16.0,39.0,48.0,428.0,75.0,73.0,81.0,54.0,42.0,67.0,61.0,621.0,84.0,619.0,623.0,119.0,570.0
2028,1.0,10.0,0.0,5.0,8.0,27.0,31.0,43.0,24.0,98.0,17.0,20.0,38.0,51.0,25.0,42.0,39.0,49.0,373.0,19.0,68.0,57.0,65.0,58.0,33.0,72.0,36.0,40.0,119.0,572.0
2077,7.0,6.0,191.0,11.0,361.0,18.0,9.0,5.0,4.0,16.0,38.0,67.0,30.0,14.0,57.0,546.0,70.0,33.0,51.0,66.0,62.0,241.0,52.0,48.0,621.0,340.0,619.0,623.0,85.0,78.0
2126,17.0,4.0,7.0,3.0,9.0,590.0,13.0,66.0,22.0,117.0,360.0,16.0,441.0,57.0,37.0,40.0,59.0,42.0,20.0,72.0,67.0,210.0,48.0,70.0,615.0,73.0,63.0,46.0,142.0,568.0
2175,0.0,7.0,6.0,72.0,47.0,12.0,17.0,32.0,317.0,62.0,64.0,68.0,56.0,69.0,39.0,48.0,49.0,24.0,351.0,25.0,282.0,60.0,40.0,65.0,618.0,53.0,616.0,42.0,54.0,575.0
2224,1.0,25.0,7.0,583.0,22.0,30.0,436.0,90.0,270.0,112.0,67.0,64.0,3.0,44.0,39.0,47.0,428.0,76.0,59.0,74.0,38.0,51.0,60.0,52.0,623.0,79.0,21.0,72.0,69.0,85.0
2273,9.0,33.0,6.0,2.0,10.0,70.0,26.0,4.0,316.0,169.0,40.0,58.0,74.0,39.0,88.0,22.0,69.0,53.0,358.0,54.0,79.0,243.0,86.0,91.0,19.0,82.0,15.0,56.0,59.0,87.0
2322,31.0,13.0,14.0,75.0,7.0,15.0,256.0,11.0,331.0,115.0,62.0,51.0,61.0,30.0,76.0,504.0,28.0,52.0,471.0,37.0,29.0,6.0,73.0,47.0,591.0,77.0,53.0,579.0,32.0,33.0
2371,3.0,29.0,31.0,4.0,363.0,78.0,37.0,86.0,13.0,173.0,52.0,68.0,24.0,30.0,73.0,26.0,76.0,81.0,23.0,67.0,32.0,58.0,80.0,61.0,66.0,360.0,27.0,621.0,100.0,568.0
2420,1.0,8.0,7.0,582.0,26.0,17.0,436.0,44.0,321.0,34.0,347.0,74.0,33.0,60.0,57.0,23.0,36.0,42.0,360.0,56.0,77.0,244.0,75.0,261.0,78.0,345.0,59.0,49.0,91.0,70.0
2469,21.0,4.0,11.0,0.0,365.0,30.0,40.0,8.0,269.0,90.0,17.0,47.0,65.0,68.0,35.0,54.0,427.0,77.0,13.0,512.0,325.0,61.0,72.0,64.0,618.0,78.0,69.0,621.0,58.0,31.0
2518,195.0,15.0,143.0,21.0,367.0,17.0,436.0,18.0,30.0,172.0,347.0,410.0,449.0,52.0,14.0,62.0,35.0,54.0,360.0,71.0,308.0,16.0,19.0,72.0,617.0,59.0,78.0,620.0,102.0,83.0
2567,5.0,4.0,12.0,2.0,363.0,60.0,49.0,32.0,323.0,69.0,18.0,39.0,45.0,64.0,55.0,41.0,426.0,559.0,20.0,56.0,309.0,247.0,22.0,70.0,618.0,362.0,616.0,622.0,96.0,78.0
2616,17.0,13.0,33.0,22.0,362.0,46.0,3.0,43.0,66.0,23.0,25.0,34.0,58.0,79.0,83.0,45.0,77.0,629.0,18.0,49.0,305.0,61.0,84.0,82.0,618.0,16.0,71.0,621.0,123.0,75.0
2665,27.0,11.0,0.0,23.0,60.0,16.0,50.0,587.0,82.0,133.0,8.0,18.0,21.0,74.0,200.0,544.0,20.0,78.0,9.0,44.0,324.0,37.0,41.0,259.0,28.0,360.0,17.0,622.0,104.0,73.0
2714,2.0,9.0,7.0,35.0,29.0,51.0,31.0,21.0,4.0,92.0,63.0,41.0,42.0,69.0,23.0,58.0,428.0,24.0,355.0,488.0,37.0,55.0,50.0,73.0,61.0,52.0,620.0,624.0,113.0,76.0
2763,9.0,4.0,13.0,39.0,37.0,46.0,6.0,583.0,92.0,51.0,32.0,38.0,64.0,62.0,19.0,57.0,77.0,609.0,355.0,489.0,72.0,61.0,84.0,88.0,615.0,362.0,49.0,618.0,76.0,86.0
2812,9.0,3.0,4.0,0.0,361.0,28.0,56.0,583.0,38.0,100.0,72.0,50.0,20.0,54.0,198.0,65.0,82.0,609.0,57.0,58.0,75.0,33.0,18.0,53.0,88.0,360.0,60.0,620.0,52.0,569.0
2861,72.0,6.0,182.0,47.0,363.0,44.0,70.0,13.0,15.0,48.0,11.0,19.0,96.0,75.0,263.0,65.0,425.0,80.0,354.0,494.0,337.0,57.0,52.0,85.0,56.0,64.0,45.0,624.0,46.0,83.0
2910,19.0,7.0,2.0,580.0,21.0,24.0,37.0,16.0,8.0,27.0,47.0,28.0,438.0,51.0,196.0,48.0,428.0,44.0,374.0,23.0,17.0,54.0,72.0,67.0,621.0,341.0,59.0,624.0,66.0,64.0
