,ETV4,SPRY2,ETV5,TOR4A,SPRY1,CMTM7,ZNF502,NPAS2,DUSP6,IGF2,SNX18P16,SEMA3A,EVPL,LGR5,LEPREL2,TMC6,SLC2A3,DKK1,RP11-834C11.4,HMGA2,NRROS,SLC16A3,SPRY4,HOXB6,GPR126,SCEL,RP11-417J8.3,S100A4,GPR3,ETV1
9,0.0,1.0,2.0,4.0,13.0,5.0,21.0,3.0,6.0,7.0,19.0,10.0,32.0,26.0,16.0,77.0,28.0,86.0,49.0,12.0,14.0,27.0,25.0,60.0,41.0,43.0,35.0,84.0,9.0,22.0
58,0.0,1.0,11.0,3.0,15.0,2.0,16.0,4.0,159.0,7.0,6.0,8.0,9.0,42.0,5.0,47.0,14.0,43.0,18.0,70.0,28.0,140.0,32.0,76.0,59.0,20.0,12.0,10.0,23.0,34.0
107,1.0,0.0,5.0,4.0,3.0,10.0,14.0,2.0,17.0,6.0,16.0,7.0,9.0,12.0,23.0,55.0,8.0,15.0,28.0,26.0,13.0,11.0,22.0,74.0,27.0,18.0,62.0,43.0,44.0,21.0
156,1.0,0.0,11.0,3.0,9.0,8.0,2.0,4.0,13.0,6.0,33.0,7.0,14.0,5.0,10.0,68.0,15.0,42.0,29.0,55.0,26.0,16.0,17.0,108.0,37.0,40.0,28.0,169.0,23.0,18.0
205,1.0,0.0,7.0,2.0,6.0,16.0,3.0,4.0,8.0,5.0,36.0,12.0,26.0,20.0,84.0,18.0,21.0,9.0,13.0,28.0,52.0,11.0,10.0,146.0,30.0,19.0,74.0,43.0,50.0,15.0
254,0.0,1.0,2.0,4.0,3.0,7.0,19.0,9.0,29.0,8.0,23.0,12.0,11.0,16.0,5.0,30.0,53.0,6.0,48.0,13.0,28.0,58.0,17.0,119.0,141.0,14.0,27.0,22.0,10.0,21.0
303,1.0,0.0,3.0,8.0,2.0,17.0,14.0,5.0,21.0,19.0,47.0,4.0,34.0,29.0,9.0,35.0,13.0,74.0,149.0,28.0,10.0,103.0,24.0,72.0,6.0,15.0,105.0,18.0,90.0,58.0
352,0.0,1.0,11.0,2.0,3.0,5.0,15.0,7.0,19.0,6.0,17.0,8.0,36.0,4.0,20.0,35.0,33.0,18.0,125.0,22.0,9.0,12.0,16.0,64.0,41.0,29.0,262.0,30.0,54.0,27.0
401,0.0,1.0,3.0,4.0,7.0,9.0,11.0,2.0,8.0,12.0,20.0,23.0,19.0,29.0,5.0,30.0,10.0,17.0,39.0,22.0,21.0,13.0,16.0,26.0,6.0,177.0,33.0,160.0,52.0,32.0
450,0.0,1.0,2.0,19.0,5.0,16.0,22.0,4.0,6.0,10.0,33.0,7.0,24.0,9.0,3.0,20.0,28.0,18.0,27.0,13.0,15.0,78.0,26.0,35.0,248.0,12.0,51.0,355.0,8.0,23.0
499,2.0,0.0,4.0,1.0,6.0,11.0,5.0,17.0,7.0,13.0,40.0,9.0,24.0,21.0,88.0,3.0,15.0,10.0,26.0,38.0,34.0,14.0,36.0,148.0,8.0,41.0,30.0,23.0,140.0,27.0
548,0.0,1.0,4.0,2.0,3.0,21.0,10.0,20.0,7.0,15.0,35.0,12.0,31.0,17.0,40.0,8.0,13.0,6.0,43.0,14.0,44.0,9.0,32.0,27.0,5.0,54.0,90.0,73.0,98.0,39.0
597,0.0,1.0,5.0,2.0,7.0,10.0,3.0,20.0,6.0,19.0,12.0,21.0,44.0,104.0,54.0,8.0,16.0,31.0,17.0,26.0,39.0,18.0,50.0,24.0,11.0,182.0,41.0,52.0,128.0,27.0
646,0.0,3.0,5.0,1.0,8.0,7.0,34.0,16.0,2.0,6.0,23.0,22.0,207.0,4.0,374.0,10.0,18.0,25.0,44.0,12.0,82.0,13.0,21.0,110.0,11.0,41.0,205.0,354.0,26.0,39.0
695,1.0,0.0,3.0,2.0,6.0,15.0,7.0,37.0,8.0,4.0,19.0,18.0,22.0,20.0,39.0,5.0,10.0,9.0,118.0,40.0,79.0,11.0,28.0,49.0,44.0,23.0,16.0,12.0,133.0,30.0
744,1.0,2.0,3.0,0.0,10.0,13.0,9.0,6.0,4.0,8.0,37.0,18.0,19.0,20.0,23.0,5.0,24.0,12.0,148.0,22.0,30.0,16.0,26.0,29.0,11.0,55.0,64.0,66.0,140.0,17.0
793,0.0,2.0,5.0,1.0,4.0,30.0,6.0,10.0,11.0,25.0,23.0,3.0,24.0,64.0,50.0,8.0,45.0,7.0,102.0,21.0,28.0,13.0,36.0,87.0,12.0,38.0,157.0,22.0,159.0,52.0
842,1.0,0.0,6.0,2.0,5.0,21.0,16.0,42.0,4.0,12.0,34.0,3.0,51.0,13.0,292.0,10.0,18.0,7.0,29.0,64.0,46.0,8.0,15.0,70.0,28.0,9.0,11.0,131.0,69.0,20.0
891,1.0,2.0,3.0,0.0,4.0,6.0,10.0,8.0,9.0,15.0,25.0,17.0,27.0,18.0,56.0,5.0,21.0,14.0,60.0,26.0,41.0,7.0,28.0,24.0,13.0,19.0,37.0,30.0,172.0,29.0
940,2.0,1.0,4.0,0.0,12.0,42.0,7.0,11.0,15.0,9.0,26.0,6.0,59.0,14.0,19.0,3.0,48.0,18.0,346.0,49.0,86.0,16.0,43.0,34.0,5.0,73.0,45.0,131.0,163.0,46.0
989,0.0,1.0,3.0,14.0,4.0,6.0,2.0,97.0,7.0,12.0,8.0,29.0,274.0,9.0,19.0,59.0,57.0,28.0,23.0,5.0,11.0,15.0,16.0,129.0,103.0,20.0,17.0,34.0,38.0,66.0
1038,0.0,1.0,7.0,9.0,4.0,5.0,2.0,13.0,10.0,6.0,49.0,57.0,117.0,8.0,34.0,86.0,19.0,177.0,133.0,3.0,11.0,22.0,23.0,26.0,174.0,29.0,36.0,97.0,12.0,92.0
1087,0.0,1.0,3.0,6.0,5.0,33.0,2.0,54.0,4.0,15.0,13.0,9.0,127.0,11.0,52.0,47.0,26.0,70.0,17.0,16.0,10.0,14.0,24.0,7.0,517.0,30.0,49.0,21.0,23.0,134.0
1136,0.0,1.0,8.0,3.0,4.0,9.0,2.0,263.0,5.0,6.0,11.0,14.0,149.0,7.0,76.0,22.0,13.0,29.0,78.0,16.0,23.0,12.0,17.0,30.0,47.0,34.0,20.0,148.0,26.0,74.0
1185,0.0,1.0,6.0,13.0,4.0,10.0,3.0,49.0,5.0,7.0,17.0,55.0,41.0,14.0,31.0,12.0,37.0,8.0,356.0,9.0,38.0,2.0,16.0,24.0,57.0,25.0,44.0,76.0,45.0,32.0
1234,0.0,3.0,6.0,5.0,4.0,21.0,1.0,151.0,19.0,2.0,14.0,43.0,17.0,7.0,23.0,33.0,32.0,82.0,163.0,25.0,16.0,15.0,44.0,24.0,114.0,18.0,58.0,129.0,22.0,180.0
1283,0.0,1.0,4.0,20.0,8.0,5.0,3.0,18.0,7.0,15.0,13.0,35.0,70.0,94.0,10.0,27.0,56.0,97.0,43.0,2.0,31.0,61.0,22.0,51.0,176.0,38.0,11.0,9.0,29.0,139.0
1332,0.0,1.0,2.0,17.0,3.0,71.0,16.0,277.0,5.0,9.0,23.0,80.0,116.0,7.0,13.0,69.0,25.0,110.0,229.0,15.0,20.0,22.0,24.0,28.0,1115.0,8.0,37.0,33.0,19.0,212.0
1381,0.0,1.0,6.0,8.0,2.0,16.0,4.0,253.0,3.0,11.0,19.0,7.0,87.0,9.0,13.0,33.0,22.0,72.0,55.0,14.0,18.0,10.0,15.0,44.0,116.0,5.0,121.0,74.0,27.0,68.0
1430,0.0,1.0,5.0,15.0,8.0,9.0,2.0,1114.0,3.0,10.0,7.0,101.0,118.0,19.0,443.0,4.0,58.0,36.0,111.0,13.0,130.0,26.0,33.0,110.0,248.0,23.0,30.0,27.0,44.0,64.0
1479,1.0,0.0,3.0,2.0,5.0,14.0,35.0,77.0,8.0,22.0,19.0,28.0,16.0,10.0,39.0,6.0,25.0,4.0,9.0,71.0,34.0,38.0,58.0,13.0,43.0,26.0,49.0,139.0,12.0,107.0
1528,0.0,4.0,1.0,2.0,6.0,7.0,5.0,3.0,10.0,11.0,8.0,62.0,18.0,34.0,12.0,17.0,28.0,9.0,57.0,25.0,19.0,29.0,48.0,16.0,14.0,110.0,64.0,68.0,30.0,179.0
1577,0.0,1.0,4.0,7.0,3.0,22.0,14.0,107.0,18.0,15.0,20.0,19.0,6.0,12.0,9.0,10.0,57.0,17.0,5.0,88.0,38.0,8.0,49.0,21.0,13.0,31.0,250.0,34.0,52.0,72.0
1626,0.0,1.0,3.0,16.0,6.0,12.0,2.0,8.0,9.0,4.0,7.0,20.0,15.0,14.0,11.0,10.0,32.0,5.0,49.0,18.0,21.0,26.0,31.0,38.0,23.0,77.0,61.0,22.0,19.0,68.0
