,ETV4,SPRY2,ETV5,TOR4A,SPRY1,CMTM7,ZNF502,NPAS2,DUSP6,IGF2,SNX18P16,SEMA3A,EVPL,LGR5,LEPREL2,TMC6,SLC2A3,DKK1,RP11-834C11.4,HMGA2,NRROS,SLC16A3,SPRY4,HOXB6,GPR126,SCEL,RP11-417J8.3,S100A4,GPR3,ETV1
1675,0.0,2.0,3.0,31.0,10.0,32.0,15.0,40.0,16.0,4.0,5.0,67.0,13.0,6.0,7.0,14.0,21.0,22.0,20.0,83.0,28.0,85.0,37.0,51.0,36.0,23.0,63.0,35.0,12.0,86.0
1724,0.0,1.0,4.0,2.0,11.0,16.0,5.0,10.0,7.0,9.0,6.0,19.0,12.0,14.0,8.0,15.0,13.0,21.0,32.0,182.0,34.0,20.0,38.0,42.0,65.0,39.0,51.0,55.0,22.0,89.0
1773,0.0,1.0,2.0,3.0,6.0,23.0,8.0,61.0,5.0,14.0,4.0,22.0,38.0,11.0,83.0,19.0,43.0,9.0,56.0,59.0,21.0,36.0,29.0,46.0,50.0,31.0,141.0,15.0,24.0,103.0
1822,0.0,2.0,4.0,1.0,5.0,7.0,36.0,46.0,10.0,12.0,35.0,23.0,14.0,18.0,29.0,3.0,38.0,6.0,66.0,49.0,55.0,21.0,77.0,24.0,20.0,51.0,124.0,65.0,41.0,126.0
1871,0.0,1.0,2.0,7.0,3.0,20.0,13.0,14.0,11.0,15.0,5.0,4.0,35.0,59.0,25.0,9.0,22.0,6.0,8.0,21.0,39.0,257.0,28.0,24.0,88.0,40.0,104.0,31.0,18.0,157.0
1920,0.0,2.0,1.0,30.0,3.0,16.0,9.0,124.0,8.0,17.0,12.0,22.0,7.0,14.0,11.0,25.0,76.0,4.0,20.0,23.0,34.0,101.0,15.0,47.0,79.0,43.0,137.0,28.0,13.0,38.0
1969,0.0,1.0,3.0,6.0,13.0,2.0,26.0,48.0,21.0,35.0,32.0,11.0,37.0,15.0,19.0,47.0,85.0,31.0,24.0,17.0,42.0,65.0,7.0,27.0,374.0,29.0,8.0,33.0,16.0,22.0
2018,0.0,1.0,3.0,2.0,30.0,4.0,11.0,34.0,13.0,69.0,29.0,49.0,5.0,14.0,80.0,7.0,188.0,44.0,40.0,60.0,163.0,9.0,32.0,76.0,97.0,16.0,106.0,21.0,68.0,25.0
2067,0.0,1.0,5.0,4.0,154.0,10.0,9.0,111.0,40.0,166.0,3.0,14.0,12.0,48.0,31.0,44.0,24.0,198.0,109.0,190.0,35.0,52.0,28.0,22.0,27.0,29.0,7.0,17.0,145.0,19.0
2116,0.0,2.0,3.0,16.0,28.0,5.0,24.0,307.0,7.0,63.0,6.0,73.0,23.0,4.0,20.0,8.0,135.0,47.0,12.0,9.0,108.0,97.0,34.0,129.0,33.0,112.0,11.0,236.0,40.0,10.0
2165,0.0,1.0,2.0,3.0,24.0,16.0,4.0,82.0,31.0,55.0,7.0,21.0,15.0,18.0,23.0,40.0,126.0,14.0,45.0,71.0,29.0,164.0,28.0,100.0,306.0,8.0,62.0,11.0,47.0,19.0
2214,1.0,0.0,2.0,8.0,14.0,3.0,6.0,40.0,5.0,42.0,9.0,35.0,11.0,7.0,30.0,18.0,183.0,15.0,4.0,38.0,45.0,80.0,32.0,29.0,81.0,46.0,12.0,56.0,51.0,39.0
2263,0.0,1.0,2.0,8.0,40.0,5.0,23.0,122.0,63.0,42.0,3.0,16.0,17.0,9.0,14.0,31.0,126.0,7.0,15.0,46.0,50.0,76.0,25.0,39.0,62.0,27.0,21.0,18.0,57.0,30.0
2312,0.0,1.0,2.0,4.0,20.0,3.0,79.0,115.0,26.0,35.0,5.0,25.0,10.0,74.0,29.0,22.0,114.0,16.0,46.0,18.0,34.0,235.0,9.0,93.0,497.0,53.0,8.0,7.0,24.0,77.0
2361,0.0,1.0,3.0,22.0,52.0,2.0,8.0,15.0,26.0,45.0,13.0,31.0,7.0,6.0,12.0,20.0,557.0,65.0,85.0,11.0,42.0,93.0,24.0,30.0,39.0,58.0,29.0,51.0,40.0,19.0
2410,1.0,0.0,3.0,4.0,56.0,7.0,8.0,82.0,41.0,58.0,21.0,80.0,12.0,26.0,10.0,65.0,185.0,54.0,9.0,35.0,32.0,95.0,37.0,20.0,91.0,34.0,55.0,53.0,48.0,40.0
2459,0.0,3.0,4.0,2.0,6.0,7.0,67.0,5.0,60.0,24.0,9.0,8.0,11.0,13.0,1.0,18.0,12.0,42.0,16.0,40.0,29.0,27.0,53.0,21.0,49.0,19.0,10.0,26.0,77.0,32.0
2508,0.0,2.0,4.0,3.0,9.0,7.0,39.0,1.0,47.0,20.0,21.0,17.0,14.0,32.0,18.0,15.0,13.0,133.0,53.0,11.0,26.0,29.0,34.0,24.0,94.0,25.0,8.0,6.0,65.0,184.0
2557,0.0,1.0,2.0,4.0,8.0,20.0,3.0,16.0,29.0,27.0,11.0,12.0,5.0,17.0,9.0,21.0,18.0,57.0,14.0,98.0,24.0,10.0,47.0,7.0,107.0,13.0,52.0,6.0,94.0,55.0
2606,0.0,2.0,4.0,7.0,33.0,3.0,1.0,13.0,10.0,16.0,9.0,8.0,14.0,21.0,5.0,37.0,11.0,46.0,29.0,97.0,22.0,51.0,32.0,24.0,91.0,20.0,17.0,18.0,25.0,62.0
2655,0.0,2.0,5.0,6.0,7.0,3.0,9.0,8.0,19.0,32.0,14.0,23.0,12.0,18.0,1.0,22.0,4.0,108.0,10.0,37.0,50.0,13.0,63.0,31.0,85.0,57.0,15.0,60.0,43.0,61.0
2704,0.0,1.0,2.0,9.0,3.0,19.0,12.0,49.0,10.0,62.0,11.0,25.0,18.0,6.0,15.0,38.0,21.0,35.0,101.0,41.0,45.0,42.0,24.0,36.0,696.0,4.0,20.0,7.0,57.0,123.0
2753,0.0,3.0,1.0,13.0,8.0,2.0,24.0,4.0,12.0,25.0,26.0,82.0,15.0,14.0,9.0,130.0,18.0,187.0,16.0,11.0,61.0,33.0,44.0,20.0,79.0,38.0,23.0,29.0,42.0,27.0
2802,0.0,3.0,4.0,5.0,18.0,12.0,52.0,36.0,48.0,39.0,23.0,17.0,8.0,15.0,1.0,19.0,16.0,41.0,9.0,75.0,25.0,103.0,80.0,7.0,63.0,11.0,14.0,13.0,64.0,149.0
2851,0.0,2.0,3.0,5.0,1.0,15.0,11.0,40.0,7.0,36.0,18.0,12.0,24.0,4.0,29.0,33.0,34.0,85.0,48.0,10.0,19.0,13.0,26.0,17.0,71.0,9.0,64.0,16.0,69.0,37.0
2900,0.0,2.0,7.0,1.0,17.0,8.0,31.0,39.0,6.0,18.0,178.0,3.0,76.0,13.0,81.0,4.0,40.0,42.0,169.0,83.0,126.0,12.0,58.0,9.0,14.0,5.0,54.0,41.0,164.0,28.0
2949,1.0,0.0,9.0,6.0,2.0,28.0,40.0,16.0,4.0,13.0,68.0,8.0,12.0,3.0,5.0,15.0,280.0,18.0,10.0,89.0,26.0,19.0,35.0,36.0,22.0,31.0,230.0,62.0,50.0,70.0
2998,0.0,1.0,5.0,10.0,22.0,2.0,3.0,4.0,16.0,6.0,24.0,39.0,7.0,9.0,11.0,37.0,90.0,21.0,38.0,57.0,34.0,53.0,51.0,65.0,75.0,41.0,32.0,20.0,15.0,23.0
3047,0.0,3.0,9.0,18.0,23.0,13.0,11.0,4.0,2.0,6.0,15.0,21.0,8.0,24.0,1.0,10.0,20.0,7.0,16.0,148.0,82.0,47.0,106.0,27.0,53.0,44.0,30.0,78.0,35.0,34.0
3096,0.0,1.0,10.0,5.0,19.0,2.0,3.0,14.0,24.0,6.0,13.0,7.0,12.0,4.0,9.0,8.0,73.0,27.0,23.0,55.0,29.0,82.0,46.0,18.0,69.0,21.0,28.0,59.0,22.0,35.0
3145,0.0,1.0,6.0,3.0,11.0,7.0,2.0,10.0,25.0,9.0,30.0,5.0,4.0,8.0,12.0,14.0,430.0,27.0,17.0,56.0,55.0,37.0,53.0,28.0,13.0,153.0,150.0,49.0,33.0,35.0
3194,0.0,2.0,6.0,5.0,9.0,8.0,4.0,1.0,37.0,10.0,26.0,15.0,7.0,16.0,3.0,17.0,31.0,96.0,179.0,36.0,19.0,30.0,62.0,33.0,25.0,42.0,157.0,22.0,39.0,52.0
3243,0.0,1.0,7.0,5.0,10.0,3.0,2.0,20.0,64.0,16.0,25.0,6.0,11.0,4.0,12.0,29.0,376.0,9.0,97.0,24.0,28.0,32.0,71.0,338.0,37.0,14.0,87.0,17.0,100.0,84.0
3292,0.0,1.0,4.0,7.0,8.0,12.0,6.0,5.0,28.0,3.0,17.0,10.0,9.0,15.0,2.0,19.0,25.0,16.0,13.0,83.0,18.0,24.0,41.0,29.0,30.0,21.0,55.0,22.0,35.0,36.0
3341,0.0,1.0,9.0,7.0,14.0,42.0,11.0,15.0,12.0,2.0,8.0,3.0,13.0,6.0,5.0,10.0,23.0,16.0,26.0,159.0,52.0,31.0,47.0,82.0,40.0,39.0,22.0,24.0,28.0,51.0
3390,0.0,3.0,4.0,1.0,10.0,2.0,17.0,7.0,16.0,8.0,47.0,5.0,9.0,62.0,58.0,6.0,41.0,15.0,50.0,112.0,104.0,13.0,68.0,70.0,51.0,18.0,134.0,34.0,38.0,167.0
3439,0.0,2.0,3.0,1.0,9.0,7.0,13.0,4.0,19.0,16.0,12.0,10.0,36.0,89.0,72.0,5.0,87.0,21.0,11.0,15.0,50.0,53.0,42.0,45.0,6.0,452.0,28.0,34.0,102.0,60.0
3488,0.0,1.0,3.0,2.0,5.0,4.0,10.0,6.0,45.0,7.0,14.0,22.0,26.0,99.0,12.0,49.0,335.0,25.0,8.0,34.0,18.0,178.0,23.0,62.0,16.0,165.0,21.0,15.0,105.0,257.0
3537,0.0,1.0,3.0,2.0,8.0,5.0,6.0,15.0,22.0,7.0,9.0,11.0,17.0,37.0,88.0,30.0,40.0,16.0,4.0,23.0,21.0,29.0,26.0,18.0,13.0,185.0,76.0,20.0,60.0,66.0
3586,0.0,1.0,5.0,10.0,15.0,20.0,6.0,4.0,13.0,11.0,3.0,23.0,47.0,275.0,26.0,27.0,151.0,66.0,7.0,238.0,12.0,61.0,81.0,19.0,8.0,739.0,14.0,25.0,150.0,119.0
3635,1.0,0.0,2.0,3.0,8.0,9.0,10.0,6.0,33.0,7.0,16.0,5.0,34.0,106.0,103.0,25.0,76.0,20.0,4.0,27.0,19.0,45.0,15.0,35.0,11.0,189.0,29.0,46.0,39.0,69.0
3684,0.0,1.0,2.0,5.0,6.0,4.0,79.0,8.0,29.0,19.0,10.0,13.0,14.0,50.0,9.0,33.0,252.0,11.0,3.0,7.0,20.0,109.0,35.0,52.0,26.0,32.0,15.0,31.0,45.0,110.0
3733,0.0,1.0,2.0,4.0,11.0,7.0,10.0,5.0,33.0,12.0,6.0,9.0,13.0,95.0,8.0,25.0,122.0,28.0,3.0,23.0,19.0,109.0,51.0,32.0,14.0,162.0,15.0,21.0,82.0,171.0
3782,0.0,1.0,6.0,2.0,18.0,8.0,9.0,5.0,26.0,7.0,4.0,91.0,41.0,150.0,15.0,17.0,31.0,114.0,3.0,10.0,59.0,71.0,43.0,14.0,22.0,274.0,16.0,173.0,100.0,166.0
3831,0.0,2.0,7.0,4.0,9.0,1.0,24.0,19.0,35.0,18.0,5.0,17.0,12.0,120.0,3.0,42.0,94.0,36.0,6.0,28.0,22.0,49.0,39.0,45.0,13.0,73.0,59.0,23.0,78.0,133.0
3880,0.0,1.0,2.0,8.0,9.0,7.0,16.0,10.0,32.0,27.0,23.0,6.0,37.0,48.0,44.0,66.0,45.0,93.0,22.0,11.0,25.0,437.0,33.0,80.0,4.0,144.0,77.0,13.0,83.0,26.0
3929,0.0,1.0,2.0,3.0,4.0,19.0,9.0,5.0,20.0,29.0,8.0,34.0,7.0,23.0,15.0,26.0,6.0,36.0,17.0,52.0,22.0,18.0,58.0,28.0,40.0,64.0,14.0,16.0,66.0,91.0
3978,0.0,1.0,3.0,4.0,2.0,6.0,12.0,13.0,8.0,51.0,21.0,16.0,9.0,42.0,19.0,17.0,43.0,46.0,32.0,11.0,22.0,7.0,33.0,10.0,120.0,38.0,15.0,78.0,40.0,26.0
4027,0.0,8.0,1.0,4.0,13.0,9.0,5.0,25.0,35.0,61.0,3.0,36.0,6.0,43.0,11.0,15.0,68.0,97.0,12.0,160.0,42.0,79.0,87.0,2.0,20.0,134.0,7.0,27.0,34.0,119.0
4076,0.0,2.0,4.0,7.0,5.0,3.0,1.0,11.0,15.0,20.0,21.0,27.0,17.0,12.0,8.0,53.0,14.0,233.0,35.0,16.0,25.0,22.0,28.0,19.0,40.0,235.0,9.0,129.0,44.0,45.0
4125,0.0,2.0,4.0,1.0,6.0,5.0,19.0,11.0,27.0,12.0,34.0,9.0,13.0,8.0,20.0,10.0,21.0,15.0,25.0,94.0,59.0,7.0,41.0,46.0,16.0,26.0,38.0,44.0,89.0,48.0
4174,0.0,1.0,2.0,5.0,4.0,18.0,7.0,6.0,8.0,12.0,9.0,3.0,32.0,20.0,14.0,42.0,11.0,13.0,21.0,44.0,27.0,16.0,24.0,29.0,15.0,87.0,10.0,67.0,28.0,19.0
4223,0.0,2.0,3.0,5.0,4.0,10.0,30.0,1.0,27.0,15.0,16.0,43.0,7.0,28.0,6.0,20.0,19.0,56.0,69.0,24.0,22.0,11.0,39.0,18.0,38.0,252.0,14.0,201.0,25.0,45.0
4272,0.0,2.0,3.0,7.0,13.0,6.0,5.0,10.0,15.0,14.0,1.0,67.0,38.0,23.0,9.0,16.0,8.0,144.0,55.0,11.0,36.0,42.0,120.0,171.0,51.0,128.0,4.0,151.0,108.0,47.0
4321,0.0,1.0,2.0,5.0,3.0,12.0,4.0,11.0,13.0,10.0,15.0,30.0,6.0,8.0,20.0,26.0,9.0,16.0,17.0,63.0,36.0,7.0,39.0,23.0,59.0,54.0,37.0,48.0,22.0,51.0
4370,0.0,1.0,2.0,4.0,3.0,6.0,9.0,8.0,18.0,10.0,5.0,23.0,14.0,115.0,15.0,22.0,19.0,39.0,13.0,17.0,48.0,11.0,34.0,41.0,24.0,227.0,7.0,61.0,43.0,82.0
4419,0.0,1.0,8.0,37.0,10.0,4.0,20.0,2.0,3.0,22.0,27.0,33.0,146.0,38.0,62.0,67.0,32.0,46.0,19.0,12.0,21.0,47.0,15.0,112.0,16.0,300.0,248.0,419.0,13.0,6.0
4468,0.0,2.0,8.0,12.0,4.0,15.0,95.0,5.0,10.0,24.0,19.0,28.0,151.0,23.0,22.0,89.0,7.0,96.0,18.0,44.0,14.0,21.0,50.0,132.0,17.0,490.0,102.0,819.0,47.0,27.0
4517,0.0,1.0,10.0,25.0,6.0,5.0,17.0,9.0,2.0,11.0,16.0,50.0,114.0,27.0,162.0,61.0,18.0,45.0,26.0,4.0,29.0,105.0,13.0,72.0,3.0,359.0,674.0,665.0,24.0,30.0
4566,0.0,1.0,18.0,16.0,5.0,9.0,124.0,2.0,22.0,19.0,3.0,7.0,30.0,178.0,143.0,34.0,10.0,61.0,17.0,48.0,20.0,247.0,27.0,105.0,13.0,260.0,101.0,294.0,45.0,37.0
4615,3.0,0.0,15.0,14.0,8.0,9.0,205.0,12.0,19.0,16.0,4.0,20.0,89.0,26.0,147.0,52.0,7.0,11.0,5.0,32.0,42.0,61.0,48.0,138.0,18.0,73.0,59.0,164.0,36.0,13.0
4664,0.0,1.0,9.0,71.0,3.0,42.0,39.0,12.0,4.0,63.0,5.0,10.0,35.0,21.0,45.0,32.0,31.0,14.0,22.0,16.0,15.0,96.0,26.0,95.0,24.0,111.0,344.0,367.0,37.0,17.0
4713,0.0,1.0,11.0,4.0,2.0,22.0,12.0,6.0,3.0,15.0,19.0,14.0,214.0,18.0,1682.0,13.0,17.0,9.0,49.0,62.0,48.0,21.0,37.0,229.0,8.0,312.0,193.0,426.0,63.0,35.0
4762,1.0,0.0,12.0,46.0,3.0,5.0,33.0,4.0,13.0,14.0,7.0,19.0,40.0,23.0,67.0,35.0,15.0,9.0,16.0,18.0,20.0,63.0,30.0,107.0,10.0,136.0,197.0,147.0,37.0,45.0
4811,2.0,0.0,8.0,18.0,5.0,9.0,81.0,3.0,7.0,11.0,21.0,38.0,114.0,28.0,40.0,54.0,15.0,22.0,4.0,36.0,16.0,52.0,17.0,78.0,13.0,247.0,128.0,303.0,26.0,30.0
4860,1.0,2.0,18.0,17.0,4.0,34.0,39.0,0.0,15.0,14.0,13.0,22.0,108.0,20.0,55.0,43.0,8.0,54.0,45.0,27.0,26.0,68.0,37.0,71.0,6.0,179.0,294.0,174.0,48.0,24.0
