,hsa-miR-223,ebv-miR-BART8,hsa-miR-1299,hsa-miR-22,hsa-miR-224,hsa-miR-216a,hsa-miR-890,hsa-miR-142-5p,hsa-miR-663,hsa-miR-200a,hsa-miR-206,hsa-miR-744,ebv-miR-BART18-3p,hsa-let-7e,hsa-miR-548d-3p,hsa-miR-1975,hsa-miR-133b,hsa-miR-1978,hsa-miR-320c,hsv2-miR-H4-5p,hsa-miR-140-5p,hsa-miR-323-5p,hsa-miR-1183,hsa-miR-1294,hsa-miR-1246,ebv-miR-BART19-5p,hsa-miR-210,hsa-miR-765,hsa-miR-545,hsa-miR-202
18,0.0,3.0,21.0,19.0,58.0,18.0,7.0,156.0,173.0,11.0,2.0,76.0,16.0,36.0,8.0,68.0,20.0,50.0,27.0,14.0,17.0,25.0,33.0,13.0,1.0,12.0,53.0,54.0,48.0,244.0
67,0.0,11.0,282.0,102.0,15.0,2.0,29.0,7.0,291.0,30.0,9.0,181.0,270.0,18.0,10.0,40.0,23.0,232.0,35.0,81.0,6.0,137.0,56.0,24.0,111.0,65.0,8.0,88.0,345.0,13.0
116,25.0,9.0,7.0,24.0,1.0,27.0,77.0,13.0,98.0,41.0,76.0,16.0,10.0,4.0,32.0,127.0,17.0,36.0,156.0,93.0,37.0,496.0,26.0,71.0,22.0,305.0,2.0,8.0,54.0,28.0
165,5.0,4.0,9.0,359.0,7.0,83.0,168.0,15.0,47.0,2.0,14.0,13.0,8.0,19.0,115.0,45.0,58.0,11.0,23.0,1.0,0.0,3.0,210.0,29.0,27.0,97.0,59.0,84.0,362.0,22.0
214,0.0,12.0,41.0,7.0,13.0,116.0,169.0,9.0,4.0,3.0,21.0,8.0,104.0,1.0,115.0,570.0,294.0,18.0,17.0,441.0,2.0,27.0,56.0,43.0,103.0,22.0,32.0,10.0,239.0,93.0
263,4.0,0.0,1.0,3.0,2.0,15.0,388.0,47.0,5.0,39.0,30.0,206.0,28.0,27.0,59.0,70.0,10.0,48.0,11.0,23.0,33.0,18.0,8.0,50.0,42.0,6.0,49.0,21.0,175.0,44.0
312,1.0,16.0,4.0,29.0,5.0,242.0,24.0,20.0,3.0,7.0,32.0,99.0,60.0,101.0,15.0,302.0,28.0,27.0,313.0,69.0,0.0,25.0,34.0,74.0,39.0,21.0,46.0,19.0,384.0,22.0
361,23.0,4.0,19.0,138.0,215.0,278.0,69.0,2.0,20.0,37.0,6.0,18.0,16.0,10.0,13.0,243.0,232.0,30.0,3.0,49.0,12.0,61.0,29.0,34.0,70.0,82.0,115.0,1.0,72.0,27.0
410,2.0,8.0,4.0,19.0,34.0,21.0,82.0,30.0,35.0,5.0,53.0,12.0,6.0,44.0,32.0,81.0,7.0,72.0,27.0,20.0,0.0,131.0,3.0,172.0,95.0,101.0,58.0,23.0,485.0,117.0
459,0.0,83.0,22.0,8.0,15.0,20.0,6.0,2.0,31.0,4.0,26.0,51.0,17.0,3.0,32.0,46.0,5.0,53.0,62.0,93.0,7.0,117.0,174.0,56.0,13.0,54.0,30.0,33.0,154.0,90.0
508,0.0,8.0,5.0,140.0,127.0,181.0,12.0,3.0,80.0,47.0,10.0,95.0,13.0,16.0,50.0,24.0,48.0,6.0,128.0,85.0,371.0,29.0,11.0,14.0,125.0,9.0,36.0,1.0,2.0,63.0
557,4.0,5.0,3.0,0.0,83.0,2.0,18.0,40.0,6.0,10.0,33.0,14.0,360.0,42.0,87.0,11.0,46.0,1.0,451.0,111.0,81.0,12.0,186.0,51.0,94.0,71.0,99.0,53.0,65.0,13.0
606,3.0,4.0,147.0,2.0,22.0,1.0,8.0,34.0,229.0,33.0,6.0,120.0,32.0,219.0,50.0,214.0,61.0,428.0,64.0,102.0,265.0,145.0,90.0,42.0,72.0,25.0,0.0,130.0,10.0,15.0
655,1.0,5.0,0.0,12.0,59.0,11.0,102.0,15.0,31.0,34.0,14.0,2.0,30.0,56.0,33.0,19.0,3.0,9.0,22.0,142.0,38.0,58.0,177.0,55.0,271.0,13.0,16.0,4.0,17.0,117.0
704,13.0,8.0,0.0,97.0,314.0,237.0,53.0,5.0,76.0,18.0,6.0,144.0,25.0,15.0,72.0,59.0,1.0,14.0,21.0,236.0,366.0,19.0,207.0,36.0,169.0,40.0,54.0,29.0,316.0,107.0
753,4.0,0.0,2.0,6.0,159.0,7.0,46.0,37.0,25.0,19.0,15.0,20.0,208.0,55.0,16.0,44.0,1.0,52.0,129.0,27.0,11.0,14.0,236.0,249.0,21.0,3.0,222.0,62.0,9.0,135.0
802,0.0,4.0,8.0,9.0,14.0,2.0,37.0,69.0,16.0,39.0,23.0,133.0,10.0,129.0,33.0,119.0,57.0,32.0,17.0,72.0,3.0,24.0,1.0,42.0,93.0,21.0,7.0,47.0,74.0,18.0
851,1.0,9.0,5.0,56.0,16.0,17.0,22.0,3.0,25.0,112.0,109.0,2.0,20.0,41.0,6.0,46.0,0.0,35.0,78.0,29.0,12.0,66.0,42.0,269.0,177.0,39.0,170.0,72.0,11.0,211.0
900,30.0,11.0,5.0,0.0,302.0,1.0,50.0,63.0,20.0,27.0,147.0,14.0,39.0,466.0,23.0,40.0,2.0,13.0,18.0,7.0,297.0,65.0,110.0,60.0,513.0,199.0,244.0,231.0,123.0,163.0
949,27.0,4.0,29.0,3.0,275.0,1.0,26.0,7.0,9.0,10.0,290.0,0.0,205.0,76.0,65.0,12.0,22.0,14.0,159.0,30.0,322.0,13.0,23.0,138.0,445.0,104.0,6.0,409.0,81.0,56.0
998,10.0,6.0,17.0,7.0,0.0,52.0,1.0,15.0,66.0,4.0,31.0,16.0,19.0,13.0,187.0,44.0,48.0,567.0,224.0,71.0,54.0,24.0,28.0,121.0,386.0,63.0,26.0,79.0,65.0,326.0
1047,2.0,55.0,37.0,0.0,6.0,16.0,17.0,9.0,133.0,12.0,76.0,229.0,32.0,5.0,15.0,82.0,121.0,474.0,10.0,27.0,154.0,19.0,93.0,248.0,312.0,13.0,195.0,276.0,51.0,100.0
1096,2.0,75.0,20.0,276.0,3.0,9.0,1.0,74.0,100.0,17.0,243.0,67.0,78.0,118.0,144.0,208.0,73.0,128.0,6.0,7.0,69.0,15.0,21.0,14.0,226.0,24.0,284.0,12.0,19.0,77.0
1145,1.0,4.0,14.0,54.0,165.0,38.0,15.0,55.0,191.0,27.0,62.0,2.0,34.0,180.0,30.0,7.0,28.0,292.0,45.0,0.0,141.0,36.0,101.0,271.0,140.0,8.0,33.0,361.0,48.0,517.0
1194,4.0,0.0,30.0,6.0,268.0,12.0,3.0,5.0,62.0,33.0,20.0,11.0,1.0,39.0,89.0,45.0,50.0,32.0,34.0,53.0,2.0,26.0,170.0,167.0,29.0,103.0,8.0,220.0,7.0,554.0
1243,144.0,2.0,57.0,13.0,14.0,1.0,0.0,384.0,77.0,11.0,3.0,23.0,12.0,170.0,5.0,241.0,153.0,55.0,4.0,8.0,24.0,17.0,27.0,197.0,179.0,6.0,162.0,40.0,279.0,244.0
1292,30.0,7.0,8.0,6.0,18.0,4.0,5.0,56.0,52.0,2.0,16.0,1.0,3.0,28.0,58.0,0.0,17.0,212.0,97.0,78.0,86.0,19.0,198.0,11.0,106.0,45.0,39.0,290.0,22.0,469.0
1341,68.0,3.0,29.0,174.0,41.0,1.0,15.0,2.0,20.0,173.0,22.0,0.0,13.0,33.0,26.0,4.0,38.0,332.0,44.0,5.0,24.0,10.0,226.0,46.0,70.0,27.0,34.0,16.0,217.0,73.0
1390,1.0,4.0,22.0,30.0,11.0,513.0,0.0,12.0,39.0,2.0,24.0,3.0,13.0,23.0,43.0,142.0,94.0,266.0,26.0,18.0,9.0,104.0,492.0,33.0,174.0,41.0,358.0,200.0,8.0,138.0
1439,22.0,2.0,47.0,177.0,15.0,9.0,23.0,84.0,122.0,11.0,3.0,1.0,0.0,50.0,28.0,7.0,12.0,35.0,34.0,5.0,497.0,16.0,32.0,38.0,110.0,156.0,255.0,107.0,55.0,616.0
1488,12.0,1.0,20.0,86.0,0.0,294.0,5.0,179.0,7.0,8.0,217.0,9.0,423.0,235.0,157.0,75.0,342.0,22.0,44.0,68.0,3.0,171.0,193.0,11.0,10.0,41.0,155.0,4.0,45.0,170.0
1537,9.0,1.0,7.0,27.0,18.0,75.0,48.0,55.0,4.0,2.0,45.0,121.0,6.0,19.0,52.0,21.0,40.0,3.0,20.0,141.0,5.0,79.0,41.0,270.0,63.0,84.0,25.0,106.0,23.0,156.0
1586,9.0,10.0,0.0,47.0,90.0,132.0,8.0,27.0,4.0,54.0,25.0,91.0,5.0,177.0,2.0,21.0,42.0,89.0,39.0,366.0,13.0,41.0,1.0,61.0,166.0,3.0,11.0,64.0,12.0,111.0
1635,11.0,5.0,21.0,7.0,14.0,69.0,4.0,1.0,17.0,27.0,12.0,46.0,31.0,139.0,188.0,16.0,101.0,0.0,505.0,35.0,177.0,496.0,455.0,36.0,9.0,159.0,102.0,545.0,63.0,24.0
1684,1.0,4.0,79.0,44.0,17.0,58.0,45.0,257.0,32.0,3.0,29.0,33.0,23.0,5.0,11.0,42.0,162.0,24.0,55.0,9.0,6.0,231.0,164.0,20.0,57.0,94.0,67.0,54.0,52.0,272.0
1733,14.0,2.0,329.0,110.0,1.0,83.0,7.0,10.0,24.0,71.0,30.0,6.0,184.0,262.0,3.0,76.0,21.0,0.0,35.0,156.0,13.0,22.0,49.0,11.0,63.0,68.0,241.0,12.0,5.0,62.0
1782,1.0,10.0,22.0,179.0,2.0,275.0,6.0,17.0,43.0,0.0,79.0,545.0,31.0,85.0,33.0,4.0,103.0,19.0,270.0,11.0,13.0,446.0,152.0,319.0,21.0,136.0,263.0,47.0,132.0,120.0
1831,8.0,0.0,17.0,24.0,7.0,50.0,85.0,69.0,2.0,11.0,27.0,153.0,173.0,6.0,76.0,44.0,62.0,1.0,3.0,13.0,63.0,23.0,188.0,351.0,18.0,47.0,68.0,33.0,177.0,58.0
