,HLA-L,TMEM255B,FANCD2,YIPF4,CTA-363E19.2,IGF1R,FNBP1P1,LOXL2,IL6,TNFRSF1B,CCL3,GPR35,OSMR,IKBIP,TFAP2A,ACVR2A,UBL7-AS1,GEN1,ATXN7L3B,ACTL10,ATAD5,TTC31,TWSG1,NAT14,UST,HIF1A-AS1,MAPK13,LCOR,LDHAL6A,PVRIG
1138,21351.0,0.0,74.0,41.0,115.0,9.0,12.0,84.0,1.0,172.0,192.0,1451.0,392.0,499.0,20764.0,54.0,27.0,2312.0,347.0,282.0,9987.0,62.0,12514.0,8184.0,23393.0,1588.0,578.0,19412.0,79.0,22662.0
1187,1.0,0.0,66.0,17.0,34.0,136.0,17260.0,19.0,177.0,242.0,178.0,13679.0,297.0,6997.0,90.0,104.0,241.0,181.0,172.0,119.0,111.0,125.0,1991.0,28.0,47.0,3532.0,27.0,146.0,25.0,22663.0
1236,155.0,13.0,22.0,5.0,17.0,1.0,46.0,111.0,2.0,2646.0,123.0,94.0,370.0,242.0,20820.0,13532.0,31.0,0.0,134.0,587.0,78.0,14.0,27.0,152.0,396.0,6298.0,663.0,372.0,41.0,22437.0
1285,7.0,1.0,87.0,10.0,44.0,116.0,790.0,19202.0,34.0,442.0,158.0,524.0,268.0,190.0,145.0,50.0,68.0,14.0,142.0,217.0,131.0,19.0,12509.0,346.0,476.0,3659.0,4.0,41.0,11.0,22658.0
1334,21336.0,17.0,61.0,4.0,10.0,66.0,72.0,84.0,135.0,15981.0,14.0,13660.0,15.0,514.0,20717.0,1890.0,22.0,2761.0,36.0,49.0,45.0,13.0,71.0,8229.0,34.0,5.0,21055.0,19450.0,3.0,330.0
1383,0.0,7.0,1465.0,2.0,51.0,20.0,60.0,411.0,4.0,247.0,522.0,13657.0,314.0,17.0,20833.0,283.0,217.0,266.0,551.0,34.0,10363.0,138.0,12323.0,258.0,287.0,922.0,348.0,19411.0,35.0,22427.0
1432,2.0,0.0,7.0,66.0,22387.0,11.0,17146.0,36.0,238.0,478.0,180.0,40.0,176.0,6960.0,20722.0,341.0,251.0,71.0,356.0,83.0,75.0,43.0,456.0,226.0,125.0,3231.0,172.0,19490.0,135.0,22646.0
1481,21286.0,1353.0,543.0,47.0,95.0,1727.0,17248.0,31.0,259.0,123.0,143.0,339.0,21563.0,14.0,20787.0,262.0,284.0,170.0,112.0,11.0,9926.0,246.0,401.0,1434.0,508.0,444.0,503.0,54.0,4292.0,21.0
1530,161.0,3256.0,82.0,40.0,22510.0,10988.0,17131.0,271.0,22210.0,57.0,110.0,35.0,322.0,456.0,2.0,506.0,4536.0,1697.0,27.0,7981.0,11510.0,17139.0,460.0,54.0,23376.0,205.0,130.0,15.0,442.0,164.0
1579,57.0,6259.0,12722.0,43.0,45.0,39.0,125.0,117.0,217.0,1.0,81.0,9.0,402.0,512.0,20822.0,13555.0,4360.0,123.0,186.0,42.0,10010.0,148.0,1551.0,218.0,401.0,239.0,414.0,89.0,377.0,281.0
1628,0.0,6413.0,12719.0,7.0,31.0,308.0,17260.0,96.0,36.0,127.0,153.0,255.0,9.0,243.0,318.0,379.0,3352.0,35.0,296.0,515.0,136.0,280.0,297.0,8136.0,33.0,17.0,160.0,81.0,5486.0,544.0
1677,4.0,26.0,12737.0,3.0,10.0,107.0,2480.0,14.0,9.0,110.0,258.0,41.0,209.0,470.0,37.0,217.0,32.0,566.0,73.0,1029.0,10001.0,17278.0,12490.0,8163.0,68.0,306.0,335.0,144.0,157.0,2.0
1726,16.0,6452.0,600.0,13.0,120.0,1825.0,233.0,102.0,306.0,487.0,150.0,508.0,210.0,7003.0,20.0,834.0,68.0,16851.0,3.0,598.0,9913.0,190.0,238.0,8165.0,23361.0,448.0,21147.0,42.0,420.0,242.0
1775,0.0,1835.0,621.0,75.0,39.0,107.0,17228.0,435.0,36.0,387.0,33.0,485.0,304.0,233.0,199.0,13465.0,187.0,310.0,9.0,488.0,9928.0,660.0,258.0,2642.0,1568.0,208.0,203.0,20.0,519.0,14.0
1824,69.0,6484.0,202.0,3.0,0.0,3368.0,101.0,368.0,74.0,233.0,271.0,321.0,96.0,14.0,20821.0,13490.0,542.0,148.0,6614.0,274.0,107.0,17240.0,522.0,8217.0,23383.0,1568.0,106.0,133.0,5496.0,115.0
1873,908.0,6983.0,12732.0,0.0,29.0,3990.0,17278.0,596.0,15.0,3.0,140.0,426.0,602.0,4963.0,20.0,581.0,4857.0,36.0,102.0,84.0,9940.0,460.0,352.0,170.0,459.0,73.0,1.0,24.0,4299.0,21.0
1922,21290.0,1733.0,12811.0,1.0,154.0,69.0,83.0,97.0,57.0,238.0,115.0,27.0,343.0,352.0,20843.0,417.0,295.0,546.0,5032.0,42.0,9971.0,9.0,165.0,8183.0,23382.0,56.0,236.0,23.0,200.0,22654.0
1971,11.0,9.0,16.0,576.0,212.0,394.0,0.0,46.0,2.0,40.0,117.0,207.0,96.0,321.0,181.0,13.0,5.0,80.0,208.0,7229.0,59.0,226.0,6.0,107.0,74.0,178.0,354.0,19428.0,52.0,138.0
2020,21339.0,1.0,22.0,4.0,8.0,1557.0,20.0,19215.0,91.0,266.0,401.0,37.0,217.0,772.0,313.0,13458.0,960.0,16799.0,0.0,46.0,253.0,556.0,12514.0,372.0,19.0,522.0,325.0,652.0,34.0,60.0
2069,1.0,25.0,12.0,220.0,48.0,3356.0,745.0,336.0,22222.0,15974.0,4.0,13655.0,109.0,558.0,20810.0,113.0,56.0,288.0,246.0,24.0,9.0,2931.0,12492.0,8208.0,47.0,19.0,262.0,784.0,103.0,227.0
