,FRA1,MEK1_pS217_S221,CDK1,Annexin 1,HER3,Src_pY527,CD49b,Src_pY416,Bax,Gab2,YB-1_pS102,Src,Rab25,E-Cadherin,Transglutaminase,Raptor,PKC-pan_BetaII_pS660,Smac,TIGAR,XBP1,Smad3,VAV1,HSP70,Notch1,14-3-3_zeta,p53,STAT5-alpha,p90RSK_pT573,Rb,Syk
3,0.0,1.0,3.0,4.0,8.0,2.0,9.0,6.0,5.0,23.0,25.0,17.0,18.0,12.0,15.0,55.0,10.0,20.0,22.0,11.0,7.0,24.0,27.0,40.0,21.0,14.0,30.0,13.0,29.0,36.0
52,0.0,1.0,2.0,5.0,13.0,7.0,11.0,6.0,4.0,18.0,12.0,8.0,23.0,19.0,33.0,16.0,17.0,53.0,15.0,9.0,10.0,31.0,22.0,21.0,24.0,3.0,30.0,14.0,64.0,20.0
101,2.0,0.0,3.0,11.0,1.0,5.0,12.0,6.0,4.0,10.0,15.0,25.0,7.0,20.0,13.0,26.0,14.0,28.0,24.0,17.0,9.0,68.0,77.0,21.0,16.0,8.0,69.0,19.0,65.0,44.0
150,1.0,0.0,4.0,6.0,2.0,3.0,10.0,13.0,7.0,21.0,11.0,9.0,19.0,30.0,17.0,29.0,14.0,12.0,15.0,18.0,8.0,16.0,123.0,5.0,25.0,20.0,24.0,44.0,68.0,33.0
199,1.0,0.0,5.0,3.0,6.0,4.0,9.0,10.0,2.0,12.0,15.0,18.0,19.0,16.0,20.0,29.0,11.0,24.0,27.0,17.0,8.0,22.0,65.0,13.0,33.0,7.0,31.0,23.0,21.0,26.0
248,0.0,1.0,2.0,6.0,4.0,7.0,83.0,14.0,5.0,8.0,11.0,19.0,3.0,15.0,23.0,61.0,21.0,20.0,13.0,10.0,9.0,27.0,86.0,18.0,17.0,16.0,28.0,12.0,60.0,53.0
297,1.0,0.0,4.0,6.0,3.0,2.0,7.0,12.0,13.0,21.0,14.0,9.0,10.0,11.0,25.0,23.0,5.0,34.0,20.0,8.0,18.0,15.0,94.0,32.0,29.0,19.0,28.0,16.0,17.0,30.0
346,0.0,5.0,7.0,9.0,3.0,2.0,19.0,11.0,8.0,4.0,6.0,13.0,26.0,21.0,16.0,25.0,15.0,20.0,17.0,14.0,1.0,12.0,87.0,18.0,35.0,10.0,38.0,23.0,22.0,32.0
395,0.0,1.0,2.0,4.0,5.0,3.0,21.0,6.0,9.0,27.0,12.0,10.0,19.0,14.0,55.0,64.0,11.0,29.0,17.0,15.0,8.0,30.0,7.0,16.0,22.0,18.0,75.0,13.0,26.0,23.0
444,3.0,0.0,1.0,2.0,7.0,10.0,9.0,8.0,4.0,17.0,5.0,24.0,6.0,20.0,11.0,15.0,12.0,30.0,18.0,22.0,19.0,36.0,77.0,16.0,13.0,14.0,35.0,21.0,31.0,29.0
493,0.0,3.0,4.0,16.0,5.0,9.0,21.0,6.0,2.0,26.0,14.0,1.0,13.0,8.0,12.0,10.0,37.0,7.0,22.0,18.0,65.0,28.0,23.0,35.0,15.0,36.0,25.0,19.0,29.0,34.0
542,0.0,2.0,4.0,8.0,24.0,6.0,26.0,1.0,7.0,16.0,12.0,14.0,11.0,3.0,13.0,20.0,28.0,15.0,30.0,9.0,48.0,18.0,5.0,25.0,22.0,31.0,17.0,21.0,10.0,19.0
591,0.0,2.0,6.0,7.0,14.0,1.0,22.0,4.0,21.0,5.0,10.0,3.0,8.0,9.0,27.0,29.0,16.0,23.0,37.0,40.0,19.0,44.0,20.0,34.0,12.0,28.0,17.0,24.0,18.0,15.0
640,0.0,3.0,5.0,12.0,11.0,2.0,10.0,1.0,6.0,9.0,8.0,16.0,7.0,4.0,22.0,14.0,13.0,26.0,31.0,23.0,56.0,29.0,18.0,25.0,19.0,21.0,36.0,35.0,27.0,24.0
689,0.0,1.0,4.0,7.0,3.0,5.0,17.0,2.0,15.0,11.0,10.0,6.0,9.0,8.0,59.0,13.0,21.0,20.0,27.0,19.0,33.0,29.0,16.0,24.0,22.0,47.0,12.0,26.0,34.0,14.0
738,0.0,3.0,4.0,6.0,17.0,1.0,29.0,10.0,2.0,9.0,5.0,13.0,11.0,8.0,20.0,7.0,26.0,23.0,25.0,18.0,39.0,35.0,21.0,22.0,15.0,32.0,19.0,16.0,36.0,33.0
787,0.0,1.0,3.0,19.0,10.0,13.0,34.0,2.0,5.0,9.0,11.0,20.0,14.0,21.0,36.0,6.0,15.0,12.0,25.0,23.0,57.0,38.0,8.0,22.0,7.0,29.0,17.0,31.0,37.0,18.0
836,0.0,2.0,4.0,7.0,8.0,12.0,19.0,1.0,6.0,16.0,14.0,5.0,17.0,3.0,24.0,13.0,26.0,23.0,31.0,15.0,47.0,25.0,11.0,30.0,9.0,73.0,21.0,22.0,20.0,35.0
885,0.0,11.0,3.0,8.0,15.0,2.0,23.0,1.0,29.0,5.0,4.0,10.0,32.0,6.0,12.0,14.0,25.0,13.0,21.0,19.0,33.0,16.0,18.0,9.0,22.0,27.0,28.0,26.0,20.0,72.0
934,0.0,3.0,1.0,25.0,9.0,11.0,15.0,2.0,30.0,14.0,12.0,4.0,10.0,19.0,39.0,6.0,24.0,29.0,18.0,22.0,23.0,26.0,5.0,16.0,13.0,74.0,34.0,21.0,20.0,38.0
983,0.0,1.0,4.0,8.0,7.0,2.0,19.0,13.0,20.0,5.0,6.0,3.0,23.0,22.0,28.0,21.0,9.0,12.0,16.0,11.0,15.0,10.0,14.0,25.0,18.0,24.0,39.0,26.0,17.0,61.0
1032,0.0,2.0,1.0,8.0,4.0,5.0,11.0,21.0,10.0,22.0,15.0,3.0,26.0,20.0,18.0,35.0,6.0,12.0,13.0,55.0,7.0,30.0,23.0,32.0,24.0,17.0,28.0,33.0,9.0,38.0
1081,0.0,3.0,5.0,4.0,2.0,1.0,23.0,59.0,8.0,15.0,9.0,6.0,32.0,28.0,13.0,7.0,25.0,29.0,18.0,21.0,11.0,14.0,80.0,12.0,33.0,10.0,17.0,43.0,24.0,16.0
1130,0.0,2.0,1.0,10.0,15.0,38.0,11.0,6.0,16.0,14.0,9.0,17.0,20.0,19.0,3.0,8.0,13.0,7.0,5.0,12.0,4.0,27.0,32.0,18.0,21.0,34.0,30.0,22.0,25.0,37.0
1179,0.0,2.0,1.0,5.0,16.0,4.0,6.0,22.0,9.0,3.0,20.0,10.0,17.0,32.0,8.0,12.0,19.0,11.0,7.0,37.0,28.0,24.0,13.0,30.0,34.0,14.0,27.0,23.0,35.0,66.0
1228,1.0,2.0,0.0,6.0,3.0,4.0,27.0,23.0,21.0,9.0,18.0,5.0,10.0,15.0,19.0,16.0,25.0,7.0,13.0,14.0,17.0,29.0,35.0,8.0,24.0,33.0,28.0,50.0,12.0,36.0
1277,0.0,3.0,1.0,17.0,8.0,2.0,5.0,23.0,10.0,29.0,7.0,6.0,18.0,39.0,4.0,12.0,9.0,30.0,13.0,11.0,15.0,24.0,22.0,14.0,16.0,28.0,36.0,34.0,19.0,26.0
1326,0.0,2.0,3.0,8.0,12.0,1.0,4.0,7.0,36.0,11.0,15.0,6.0,13.0,35.0,14.0,28.0,9.0,10.0,18.0,22.0,17.0,31.0,5.0,16.0,26.0,25.0,19.0,24.0,21.0,23.0
1375,0.0,2.0,1.0,7.0,8.0,6.0,10.0,30.0,5.0,14.0,26.0,3.0,24.0,82.0,12.0,9.0,4.0,11.0,16.0,17.0,13.0,21.0,15.0,20.0,19.0,18.0,28.0,31.0,32.0,22.0
1424,0.0,1.0,2.0,4.0,16.0,9.0,19.0,12.0,11.0,6.0,17.0,3.0,23.0,34.0,15.0,18.0,8.0,5.0,14.0,21.0,13.0,25.0,22.0,7.0,26.0,10.0,30.0,24.0,20.0,32.0
1473,0.0,17.0,1.0,5.0,8.0,31.0,19.0,4.0,14.0,3.0,15.0,11.0,6.0,13.0,2.0,25.0,7.0,12.0,10.0,22.0,9.0,18.0,82.0,21.0,32.0,78.0,26.0,27.0,24.0,28.0
1522,0.0,13.0,2.0,1.0,4.0,18.0,6.0,10.0,8.0,5.0,7.0,24.0,11.0,3.0,31.0,17.0,9.0,30.0,19.0,16.0,26.0,32.0,77.0,14.0,21.0,33.0,12.0,27.0,66.0,20.0
1571,0.0,4.0,1.0,2.0,3.0,12.0,9.0,6.0,15.0,8.0,5.0,17.0,13.0,7.0,20.0,18.0,11.0,22.0,14.0,10.0,23.0,26.0,81.0,31.0,19.0,42.0,28.0,36.0,24.0,21.0
1620,0.0,5.0,1.0,2.0,7.0,16.0,19.0,13.0,3.0,4.0,9.0,14.0,18.0,11.0,10.0,6.0,8.0,20.0,15.0,22.0,21.0,27.0,118.0,26.0,25.0,40.0,23.0,30.0,32.0,17.0
1669,1.0,12.0,0.0,2.0,6.0,16.0,13.0,5.0,8.0,3.0,9.0,7.0,23.0,11.0,15.0,4.0,17.0,18.0,10.0,14.0,21.0,36.0,91.0,19.0,24.0,29.0,22.0,25.0,28.0,58.0
