,FAM21B,PYCARD,HMGA2,RP11-1094M14.1,PTEN,ZNF502,NDN,AP006222.2,FAM110C,BHLHE41,GAMT,HSPB1,ALDH2,ADAP2,BTN3A1,SCN9A,GBP5,CPNE7,IFITM2,NRK,SNCA,C20orf96,RP11-216M21.1,PITPNC1,HS1BP3,TMEM240,PNRC2,RPL22,TSPYL5,HSD11B2
8,1.0,0.0,2.0,174.0,13.0,25.0,5.0,97.0,21.0,18.0,15.0,16.0,135.0,30.0,33.0,405.0,356.0,54.0,23.0,3.0,14.0,63.0,302.0,38.0,20.0,36.0,257.0,4.0,42.0,8.0
57,0.0,28.0,29.0,1.0,31.0,4.0,6.0,3.0,8.0,12.0,64.0,5.0,680.0,11.0,102.0,1039.0,1074.0,33.0,629.0,9.0,16.0,114.0,94.0,27.0,10.0,1269.0,116.0,26.0,2.0,48.0
106,8.0,33.0,32.0,303.0,1.0,0.0,26.0,31.0,2.0,4.0,10.0,49.0,221.0,23.0,28.0,322.0,259.0,7.0,239.0,24.0,38.0,85.0,472.0,50.0,14.0,5.0,622.0,19.0,37.0,9.0
155,81.0,1.0,12.0,22.0,2.0,29.0,18.0,171.0,17.0,44.0,30.0,79.0,60.0,6.0,198.0,320.0,363.0,7.0,25.0,20.0,4.0,37.0,197.0,54.0,19.0,288.0,183.0,24.0,0.0,72.0
204,0.0,13.0,6.0,10.0,17.0,9.0,75.0,3.0,47.0,2.0,20.0,138.0,21.0,18.0,108.0,1022.0,637.0,37.0,16.0,4.0,1.0,19.0,236.0,250.0,35.0,102.0,15.0,55.0,596.0,57.0
253,0.0,1.0,45.0,26.0,37.0,34.0,52.0,3.0,20.0,53.0,386.0,19.0,50.0,38.0,285.0,932.0,665.0,49.0,60.0,11.0,28.0,10.0,90.0,8.0,41.0,82.0,72.0,15.0,43.0,12.0
302,0.0,6.0,4.0,130.0,18.0,20.0,5.0,26.0,11.0,21.0,2.0,23.0,113.0,33.0,279.0,939.0,171.0,7.0,73.0,16.0,1.0,61.0,78.0,22.0,44.0,50.0,59.0,40.0,10.0,8.0
351,8.0,0.0,12.0,9.0,3.0,41.0,48.0,28.0,129.0,19.0,231.0,43.0,11.0,77.0,56.0,610.0,432.0,6.0,39.0,68.0,15.0,18.0,7.0,21.0,10.0,14.0,281.0,23.0,83.0,47.0
400,1.0,6.0,2.0,8.0,7.0,9.0,24.0,19.0,46.0,0.0,32.0,4.0,38.0,47.0,62.0,668.0,279.0,25.0,120.0,17.0,20.0,48.0,44.0,18.0,39.0,43.0,5.0,28.0,31.0,57.0
449,0.0,6.0,77.0,284.0,3.0,109.0,1.0,36.0,18.0,13.0,46.0,4.0,216.0,54.0,45.0,3610.0,200.0,8.0,21.0,56.0,24.0,11.0,473.0,47.0,28.0,34.0,175.0,22.0,16.0,25.0
498,0.0,2.0,74.0,3.0,10.0,44.0,508.0,4.0,822.0,59.0,170.0,12.0,37.0,233.0,43.0,61.0,13.0,93.0,20.0,87.0,172.0,19.0,649.0,29.0,39.0,7.0,76.0,27.0,592.0,361.0
547,1.0,2.0,21.0,0.0,4.0,43.0,14.0,11.0,81.0,103.0,13.0,12.0,67.0,24.0,34.0,10.0,89.0,5.0,3.0,22.0,32.0,7.0,49.0,23.0,33.0,136.0,88.0,250.0,519.0,152.0
596,0.0,5.0,3.0,1.0,2.0,13.0,21.0,9.0,42.0,6.0,271.0,23.0,142.0,12.0,97.0,7.0,148.0,30.0,222.0,39.0,20.0,32.0,81.0,84.0,61.0,144.0,45.0,66.0,1489.0,27.0
645,0.0,3.0,6.0,1.0,2.0,72.0,13.0,20.0,71.0,98.0,32.0,5.0,22.0,28.0,43.0,320.0,16.0,17.0,7.0,60.0,21.0,67.0,39.0,38.0,33.0,12.0,108.0,264.0,1285.0,79.0
694,0.0,4.0,6.0,1.0,3.0,7.0,2.0,14.0,64.0,25.0,144.0,37.0,91.0,8.0,27.0,23.0,45.0,21.0,34.0,146.0,11.0,15.0,39.0,32.0,53.0,18.0,52.0,182.0,311.0,68.0
743,0.0,25.0,5.0,19.0,1.0,49.0,4.0,32.0,68.0,57.0,2.0,55.0,35.0,10.0,62.0,18.0,27.0,9.0,15.0,46.0,37.0,50.0,73.0,48.0,11.0,13.0,8.0,286.0,155.0,65.0
792,0.0,4.0,6.0,1.0,2.0,14.0,56.0,109.0,210.0,103.0,21.0,17.0,9.0,13.0,30.0,31.0,253.0,5.0,24.0,577.0,43.0,8.0,27.0,60.0,10.0,58.0,20.0,220.0,2589.0,52.0
841,1.0,48.0,13.0,10.0,2.0,94.0,0.0,7.0,426.0,6.0,95.0,40.0,28.0,16.0,39.0,26.0,85.0,19.0,56.0,194.0,9.0,32.0,141.0,90.0,36.0,11.0,148.0,49.0,1212.0,159.0
890,0.0,6.0,24.0,2.0,1.0,18.0,23.0,35.0,89.0,7.0,46.0,31.0,10.0,8.0,36.0,30.0,40.0,3.0,47.0,42.0,167.0,5.0,15.0,92.0,51.0,29.0,64.0,141.0,826.0,17.0
939,0.0,1.0,2.0,11.0,3.0,32.0,9.0,8.0,39.0,79.0,168.0,7.0,74.0,4.0,49.0,20.0,57.0,108.0,6.0,23.0,10.0,46.0,119.0,98.0,66.0,22.0,21.0,89.0,152.0,65.0
988,0.0,9.0,2.0,23.0,41.0,8.0,79.0,1.0,6.0,4.0,502.0,72.0,35.0,986.0,267.0,14.0,25.0,64.0,336.0,121.0,42.0,40.0,3.0,12.0,176.0,97.0,17.0,68.0,1304.0,15.0
1037,18.0,7.0,5.0,29.0,38.0,1.0,226.0,2.0,11.0,14.0,16.0,31.0,23.0,98.0,244.0,122.0,60.0,0.0,9.0,2080.0,42.0,58.0,22.0,3.0,68.0,63.0,118.0,19.0,65.0,20.0
1086,1.0,45.0,93.0,0.0,39.0,2.0,212.0,3.0,26.0,22.0,13.0,14.0,59.0,32.0,57.0,8.0,19.0,54.0,25.0,94.0,100.0,34.0,7.0,49.0,122.0,11.0,30.0,89.0,43.0,40.0
1135,0.0,30.0,15.0,83.0,27.0,18.0,25.0,8.0,4.0,23.0,9.0,41.0,3.0,93.0,372.0,38.0,49.0,32.0,5.0,71.0,114.0,35.0,10.0,36.0,95.0,52.0,11.0,17.0,2880.0,31.0
