,IFI27,PLAGL1,PREX2,GSTT1,PRICKLE1,SULF2,RP11-98I9.4,PTPN13,CALB1,IQCA1,PRTFDC1,KCTD14,AC016683.6,RP11-390F4.3,KCNK1,DZIP1,RP11-73M18.7,LAMB3,RP11-389O22.4,MBOAT1,FAM83A,RNY3P8,FRYL,ZNF69,TMEM117,G0S2,RP11-477N3.1,MFAP5,EMID1,ZNF334
9,11.0,4.0,5.0,42.0,2.0,0.0,17.0,8.0,7.0,377.0,223.0,187.0,1.0,16.0,38.0,56.0,128.0,14.0,793.0,18.0,91.0,28.0,30.0,3.0,53.0,62.0,49.0,39.0,213.0,2941.0
58,1.0,26.0,11.0,5.0,2.0,22.0,3.0,18.0,14.0,463.0,15.0,38.0,0.0,156.0,21.0,30.0,132.0,8.0,171.0,12.0,13.0,6.0,33.0,86.0,82.0,10.0,37.0,551.0,382.0,453.0
107,2.0,27.0,3.0,15.0,1.0,0.0,4.0,16.0,7.0,25.0,14.0,6.0,5.0,19.0,23.0,51.0,9.0,54.0,290.0,12.0,10.0,33.0,8.0,22.0,42.0,564.0,56.0,17.0,2612.0,274.0
156,2.0,5.0,46.0,236.0,0.0,3.0,4.0,7.0,9.0,16.0,80.0,152.0,1.0,107.0,37.0,225.0,91.0,15.0,1520.0,23.0,44.0,27.0,40.0,25.0,126.0,128.0,10.0,94.0,242.0,3130.0
205,2.0,1.0,3.0,310.0,0.0,6.0,4.0,14.0,7.0,228.0,64.0,10.0,5.0,72.0,62.0,8.0,61.0,18.0,250.0,11.0,297.0,16.0,29.0,224.0,66.0,79.0,122.0,51.0,52.0,907.0
254,0.0,59.0,2.0,312.0,1.0,12.0,7.0,6.0,34.0,293.0,93.0,63.0,28.0,122.0,10.0,5.0,79.0,8.0,625.0,9.0,215.0,19.0,33.0,39.0,23.0,22.0,29.0,107.0,140.0,487.0
303,0.0,7.0,4.0,1.0,2.0,16.0,9.0,8.0,5.0,177.0,43.0,90.0,3.0,184.0,22.0,10.0,34.0,13.0,204.0,24.0,76.0,32.0,11.0,95.0,33.0,51.0,64.0,29.0,339.0,449.0
352,2.0,14.0,11.0,8.0,0.0,3.0,23.0,35.0,5.0,189.0,128.0,39.0,1.0,102.0,12.0,20.0,47.0,15.0,661.0,9.0,33.0,58.0,31.0,72.0,81.0,68.0,48.0,42.0,358.0,1126.0
401,3.0,10.0,5.0,20.0,0.0,1.0,26.0,14.0,19.0,77.0,4.0,11.0,2.0,56.0,67.0,24.0,13.0,7.0,725.0,8.0,64.0,23.0,22.0,223.0,132.0,15.0,91.0,61.0,163.0,1037.0
450,3.0,1.0,7.0,60.0,0.0,28.0,13.0,51.0,85.0,17.0,25.0,322.0,2.0,24.0,155.0,70.0,501.0,29.0,253.0,4.0,78.0,37.0,56.0,8.0,32.0,256.0,65.0,45.0,81.0,2988.0
