,FBLN2,SUSD5,TRIM58,GSTM3,CYB5R2,LPHN2,EIF5AL1,CMTM7,RP11-8L2.1,IL20RA,CCL28,GGT6,AP000783.1,CTB-36O1.3,AGFG2,CORO2A,LINC00960,ALDH1L1,STAT6,WRNIP1,GPRIN2,LTBP2,NRIP3,NCALD,SERTAD4-AS1,RP11-408B11.2,ARHGDIB,RP11-757G14.1,CYTH1,APH1B
8,3.0,28.0,2.0,1.0,16.0,27.0,7.0,19.0,9.0,14.0,4.0,8.0,5.0,0.0,30.0,18.0,472.0,66.0,49.0,108.0,6.0,104.0,24.0,37.0,61.0,177.0,97.0,38.0,20.0,92.0
57,1.0,2.0,5.0,10.0,12.0,120.0,13.0,17.0,27.0,14.0,7.0,3.0,128.0,0.0,19.0,65.0,6.0,15.0,59.0,180.0,9.0,18.0,150.0,53.0,168.0,887.0,46.0,4.0,11.0,20.0
106,2.0,8.0,9.0,6.0,21.0,5.0,1.0,15.0,3.0,44.0,81.0,76.0,26.0,0.0,102.0,24.0,128.0,11.0,290.0,22.0,10.0,82.0,300.0,69.0,225.0,206.0,281.0,58.0,60.0,4.0
155,11.0,2.0,1.0,13.0,14.0,4.0,9.0,3.0,10.0,63.0,0.0,12.0,46.0,7.0,28.0,16.0,5.0,36.0,86.0,31.0,125.0,134.0,93.0,81.0,209.0,4561.0,54.0,18.0,41.0,66.0
204,1.0,10.0,21.0,3.0,2.0,24.0,71.0,9.0,8.0,32.0,6.0,5.0,37.0,0.0,22.0,17.0,13.0,88.0,192.0,232.0,4.0,7.0,20.0,14.0,370.0,3301.0,133.0,41.0,25.0,148.0
253,0.0,11.0,84.0,2.0,41.0,4.0,19.0,22.0,70.0,48.0,13.0,1.0,109.0,3.0,278.0,8.0,5.0,31.0,374.0,87.0,24.0,16.0,9.0,27.0,183.0,593.0,120.0,77.0,32.0,20.0
302,1.0,9.0,10.0,5.0,26.0,0.0,16.0,24.0,19.0,14.0,2.0,7.0,59.0,4.0,29.0,3.0,73.0,11.0,65.0,20.0,6.0,61.0,41.0,50.0,252.0,94.0,79.0,244.0,145.0,23.0
351,2.0,13.0,4.0,20.0,1.0,7.0,78.0,19.0,8.0,12.0,5.0,76.0,45.0,0.0,106.0,3.0,335.0,299.0,128.0,56.0,193.0,60.0,14.0,25.0,177.0,381.0,21.0,133.0,55.0,15.0
400,1.0,5.0,2.0,10.0,0.0,3.0,16.0,9.0,31.0,4.0,6.0,13.0,29.0,8.0,57.0,110.0,76.0,19.0,113.0,103.0,7.0,232.0,130.0,35.0,177.0,646.0,18.0,14.0,105.0,27.0
449,5.0,53.0,7.0,0.0,1.0,48.0,117.0,32.0,24.0,63.0,8.0,30.0,33.0,11.0,10.0,4.0,43.0,17.0,107.0,25.0,14.0,56.0,1253.0,357.0,106.0,1600.0,109.0,29.0,66.0,18.0
498,47.0,1.0,22.0,10.0,0.0,2.0,6.0,13.0,78.0,7.0,72.0,169.0,110.0,23.0,30.0,8.0,85.0,144.0,149.0,25.0,1179.0,5.0,36.0,368.0,171.0,24.0,26.0,118.0,396.0,9.0
547,3.0,1.0,99.0,12.0,13.0,4.0,27.0,11.0,54.0,7.0,47.0,88.0,28.0,2341.0,84.0,9.0,90.0,270.0,86.0,215.0,600.0,51.0,5.0,45.0,81.0,2.0,167.0,656.0,46.0,42.0
596,29.0,0.0,692.0,259.0,1.0,7.0,14.0,12.0,10.0,6.0,112.0,90.0,52.0,258.0,18.0,4.0,360.0,126.0,102.0,16.0,402.0,49.0,20.0,204.0,62.0,3.0,24.0,41.0,169.0,27.0
645,28.0,1.0,80.0,14.0,8.0,64.0,0.0,19.0,9.0,2.0,151.0,198.0,51.0,7.0,24.0,30.0,338.0,38.0,21.0,10.0,159.0,27.0,25.0,36.0,99.0,4.0,61.0,41.0,621.0,5.0
694,47.0,0.0,103.0,12.0,5.0,105.0,2.0,38.0,49.0,3.0,144.0,100.0,148.0,19.0,22.0,9.0,14.0,96.0,268.0,18.0,43.0,41.0,82.0,32.0,110.0,4.0,464.0,55.0,35.0,23.0
