,MYO3B_MUT,GALC_DEL,MKRN3_MUT,DLG2_DEL,FAM75A6_AMP,NRXN3_DEL,FLNA_MUT,NLGN1_DEL,LOC643733_DEL,SOS1_MUT,CARD16_DEL,AFF1_MUT,IFNA16_DEL,TEX14_MUT,TRIML2_DEL,TNRC6B_MUT,CASP4_DEL,MMP20_DEL,IFNA14_DEL,TRIML1_DEL,JAK2_AMP,LOC283585_DEL,EXT2_MUT,LILRA3_DEL,EFCAB11_DEL,CDK5RAP3_AMP,EPHA2_MUT,DCAF10_DEL,ZFP42_DEL,IFNA4_DEL
32,12.0,35.0,185.0,4.0,2567.0,296.0,16863.0,3.0,126.0,183.0,125.0,41.0,0.0,2960.0,66.0,187.0,128.0,1407.0,13.0,18.0,31.0,4243.0,623.0,912.0,1068.0,25.0,397.0,9801.0,23.0,7.0
81,8.0,22.0,2571.0,3.0,2.0,49.0,261.0,31.0,73.0,21.0,324.0,5.0,1.0,2894.0,29.0,3152.0,323.0,105.0,19.0,36.0,61.0,65.0,253.0,21129.0,140.0,10.0,16737.0,7679.0,59.0,95.0
130,1.0,77.0,170.0,0.0,61.0,46.0,57.0,5.0,133.0,411.0,55.0,4.0,109.0,305.0,270.0,2.0,407.0,343.0,13.0,107.0,180.0,23.0,10.0,18.0,9231.0,3.0,213.0,96.0,161.0,152.0
179,2.0,0.0,1405.0,1.0,37.0,7.0,100.0,5.0,112.0,9.0,72.0,8.0,3.0,16626.0,12.0,1306.0,308.0,36.0,6.0,25.0,250.0,47.0,349.0,53.0,658.0,123.0,315.0,1399.0,10.0,77.0
228,6.0,7.0,448.0,4.0,578.0,460.0,70.0,5.0,43.0,278.0,44.0,17.0,1.0,16727.0,65.0,664.0,52.0,63.0,9.0,40.0,952.0,505.0,202.0,3093.0,229.0,0.0,1526.0,118.0,164.0,16.0
277,85.0,17.0,1200.0,1.0,99.0,16.0,258.0,4.0,48.0,7.0,9.0,0.0,31.0,469.0,176.0,6.0,94.0,30.0,584.0,1156.0,80.0,107.0,49.0,21.0,221.0,20.0,42.0,431.0,391.0,281.0
326,4.0,309.0,119.0,2.0,9.0,1.0,1740.0,10.0,21.0,93.0,126.0,26.0,432.0,234.0,340.0,1019.0,522.0,6939.0,68.0,225.0,19.0,1322.0,386.0,317.0,245.0,23048.0,16741.0,84.0,594.0,774.0
375,2.0,26.0,829.0,1.0,98.0,125.0,30.0,15.0,53.0,11.0,16.0,42.0,10.0,430.0,709.0,3763.0,62.0,44.0,8.0,1522.0,2350.0,456.0,164.0,43.0,9205.0,7.0,778.0,1649.0,2026.0,116.0
424,65.0,6.0,23.0,2.0,81.0,97.0,58.0,5.0,77.0,13.0,26.0,135.0,134.0,1359.0,39.0,115.0,83.0,447.0,393.0,229.0,184.0,7033.0,1032.0,295.0,12438.0,35.0,19.0,10004.0,40.0,136.0
473,6.0,9.0,11838.0,1.0,40.0,1189.0,114.0,3.0,43.0,97.0,44.0,55.0,85.0,1513.0,5.0,66.0,50.0,36.0,31.0,166.0,86.0,3055.0,10991.0,15.0,960.0,192.0,458.0,9507.0,96.0,62.0
