, JAK-STAT, TLR, H2O2, TGFB, VEGF, IL-1, TNFa, MAPK_only, MAPK_PI3K, Wnt, PI3K_only
39,6.0,0.0,3.0,1.0,2.0,5.0,7.0,10.0,4.0,9.0,8.0
88,5.0,0.0,1.0,3.0,2.0,6.0,9.0,7.0,4.0,8.0,10.0
137,8.0,0.0,2.0,4.0,1.0,5.0,9.0,3.0,7.0,6.0,10.0
186,3.0,2.0,1.0,4.0,0.0,6.0,7.0,8.0,9.0,5.0,10.0
235,3.0,0.0,2.0,1.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
284,0.0,3.0,1.0,2.0,4.0,5.0,10.0,9.0,6.0,8.0,7.0
333,4.0,0.0,2.0,9.0,1.0,3.0,6.0,5.0,7.0,8.0,10.0
382,5.0,0.0,2.0,3.0,1.0,4.0,8.0,6.0,9.0,7.0,10.0
431,1.0,0.0,4.0,8.0,3.0,5.0,7.0,9.0,10.0,2.0,6.0
480,1.0,0.0,3.0,9.0,2.0,7.0,4.0,6.0,5.0,8.0,10.0
529,0.0,2.0,4.0,3.0,1.0,7.0,5.0,6.0,8.0,9.0,10.0
578,1.0,3.0,2.0,4.0,0.0,6.0,5.0,9.0,8.0,7.0,10.0
627,1.0,0.0,3.0,2.0,6.0,7.0,5.0,4.0,9.0,10.0,8.0
676,0.0,4.0,1.0,2.0,3.0,5.0,7.0,6.0,8.0,10.0,9.0
725,0.0,2.0,3.0,4.0,1.0,6.0,5.0,7.0,10.0,9.0,8.0
774,0.0,1.0,5.0,3.0,4.0,2.0,8.0,6.0,7.0,10.0,9.0
823,0.0,1.0,3.0,5.0,2.0,6.0,4.0,7.0,8.0,9.0,10.0
872,1.0,0.0,3.0,6.0,2.0,4.0,8.0,5.0,7.0,10.0,9.0
921,0.0,6.0,2.0,1.0,3.0,4.0,5.0,7.0,10.0,9.0,8.0
970,0.0,1.0,2.0,3.0,4.0,7.0,6.0,5.0,8.0,9.0,10.0
1019,0.0,2.0,1.0,5.0,3.0,4.0,6.0,7.0,10.0,8.0,9.0
1068,0.0,2.0,1.0,3.0,4.0,7.0,5.0,9.0,10.0,6.0,8.0
1117,0.0,4.0,1.0,2.0,3.0,7.0,8.0,6.0,9.0,5.0,10.0
1166,4.0,2.0,0.0,5.0,3.0,1.0,7.0,8.0,9.0,6.0,10.0
1215,1.0,4.0,0.0,5.0,3.0,2.0,10.0,7.0,8.0,6.0,9.0
1264,4.0,1.0,0.0,3.0,2.0,5.0,10.0,8.0,6.0,7.0,9.0
1313,3.0,0.0,1.0,2.0,5.0,4.0,8.0,6.0,9.0,7.0,10.0
1362,0.0,4.0,3.0,1.0,2.0,8.0,5.0,6.0,7.0,10.0,9.0
1411,1.0,3.0,0.0,4.0,9.0,2.0,7.0,5.0,10.0,6.0,8.0
1460,2.0,1.0,0.0,3.0,5.0,4.0,7.0,8.0,10.0,6.0,9.0
1509,0.0,1.0,4.0,3.0,2.0,5.0,6.0,10.0,7.0,8.0,9.0
1558,1.0,0.0,2.0,4.0,5.0,7.0,3.0,6.0,10.0,8.0,9.0
1607,2.0,0.0,5.0,4.0,1.0,6.0,3.0,8.0,10.0,9.0,7.0
1656,2.0,0.0,1.0,5.0,6.0,4.0,7.0,10.0,9.0,3.0,8.0
1705,3.0,0.0,5.0,4.0,1.0,6.0,2.0,9.0,8.0,7.0,10.0
1754,0.0,1.0,3.0,2.0,4.0,6.0,7.0,8.0,9.0,5.0,10.0
1803,1.0,0.0,5.0,3.0,2.0,6.0,7.0,4.0,10.0,9.0,8.0
1852,1.0,0.0,3.0,4.0,2.0,8.0,5.0,6.0,9.0,7.0,10.0
1901,1.0,0.0,4.0,5.0,2.0,6.0,3.0,10.0,9.0,7.0,8.0
1950,1.0,0.0,4.0,5.0,2.0,7.0,3.0,8.0,9.0,6.0,10.0
1999,0.0,1.0,9.0,7.0,2.0,5.0,6.0,3.0,4.0,8.0,10.0
2048,0.0,1.0,4.0,3.0,2.0,6.0,7.0,5.0,8.0,9.0,10.0
2097,1.0,0.0,7.0,10.0,3.0,4.0,2.0,6.0,9.0,5.0,8.0
2146,3.0,0.0,1.0,4.0,2.0,5.0,9.0,6.0,8.0,7.0,10.0
2195,1.0,0.0,4.0,5.0,2.0,6.0,3.0,7.0,10.0,9.0,8.0
2244,1.0,0.0,4.0,7.0,3.0,6.0,2.0,5.0,10.0,8.0,9.0
2293,0.0,1.0,2.0,7.0,3.0,6.0,4.0,5.0,10.0,8.0,9.0
2342,1.0,0.0,5.0,2.0,3.0,9.0,6.0,7.0,10.0,4.0,8.0
2391,1.0,0.0,2.0,9.0,3.0,8.0,5.0,6.0,7.0,4.0,10.0
2440,5.0,0.0,3.0,4.0,1.0,7.0,6.0,8.0,10.0,2.0,9.0
2489,0.0,4.0,1.0,3.0,2.0,5.0,7.0,9.0,6.0,10.0,8.0
2538,0.0,1.0,3.0,5.0,2.0,7.0,9.0,6.0,4.0,8.0,10.0
2587,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,8.0,10.0,9.0
2636,0.0,2.0,1.0,5.0,3.0,4.0,7.0,8.0,6.0,10.0,9.0
2685,1.0,0.0,3.0,2.0,5.0,4.0,6.0,8.0,9.0,10.0,7.0
2734,2.0,0.0,3.0,1.0,4.0,8.0,9.0,5.0,6.0,7.0,10.0
2783,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0
2832,3.0,0.0,1.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
2881,3.0,0.0,2.0,1.0,4.0,5.0,6.0,9.0,8.0,10.0,7.0
2930,2.0,0.0,4.0,3.0,1.0,7.0,6.0,5.0,8.0,9.0,10.0
2979,1.0,0.0,2.0,6.0,3.0,8.0,5.0,9.0,10.0,4.0,7.0
3028,1.0,0.0,2.0,8.0,5.0,3.0,4.0,10.0,7.0,6.0,9.0
3077,1.0,0.0,2.0,9.0,6.0,3.0,4.0,10.0,7.0,8.0,5.0
3126,1.0,0.0,2.0,10.0,4.0,5.0,3.0,7.0,9.0,6.0,8.0
