,hsa-miR-934,hsa-miR-223,hsa-miR-205,hsa-miR-135b,hsa-miR-155,hsa-miR-449b,hsa-miR-568,hsa-miR-449c,hsa-miR-30c,hsa-miR-1256,hsa-miR-361-5p,hsa-miR-142-5p,hsa-miR-603,hsa-miR-27b,hsa-miR-2114,hcmv-miR-US25-2-5p,hsa-miR-34c-5p,hsa-miR-662,hsa-miR-384,hsa-miR-630,hsa-miR-1269,hsa-miR-548a-3p,hsa-miR-138,hsa-miR-523,hsa-miR-583,hsa-miR-129-3p,hsa-miR-1203,hsa-miR-711,hsa-miR-1246,hsa-miR-423-5p
17,1.0,2.0,9.0,12.0,0.0,17.0,53.0,3.0,19.0,10.0,51.0,38.0,13.0,4.0,20.0,66.0,5.0,59.0,26.0,6.0,54.0,33.0,113.0,31.0,49.0,21.0,45.0,35.0,46.0,40.0
66,0.0,1.0,4.0,6.0,8.0,40.0,45.0,3.0,51.0,25.0,37.0,2.0,17.0,10.0,55.0,121.0,26.0,60.0,12.0,14.0,15.0,16.0,101.0,33.0,36.0,9.0,54.0,5.0,70.0,79.0
115,0.0,9.0,31.0,6.0,1.0,8.0,102.0,12.0,19.0,21.0,62.0,7.0,49.0,3.0,40.0,126.0,2.0,14.0,11.0,10.0,17.0,87.0,59.0,13.0,24.0,15.0,86.0,5.0,119.0,41.0
164,5.0,11.0,48.0,1.0,0.0,34.0,7.0,3.0,8.0,19.0,37.0,4.0,35.0,2.0,12.0,26.0,42.0,41.0,13.0,9.0,46.0,17.0,23.0,16.0,22.0,6.0,81.0,51.0,386.0,24.0
213,0.0,18.0,13.0,1.0,3.0,17.0,95.0,51.0,12.0,49.0,39.0,24.0,19.0,6.0,11.0,247.0,23.0,7.0,2.0,8.0,26.0,4.0,36.0,15.0,14.0,20.0,45.0,53.0,34.0,16.0
262,0.0,6.0,21.0,1.0,4.0,59.0,25.0,11.0,16.0,19.0,72.0,9.0,66.0,3.0,15.0,93.0,5.0,23.0,24.0,17.0,32.0,12.0,34.0,7.0,14.0,13.0,111.0,57.0,392.0,62.0
311,0.0,4.0,9.0,1.0,2.0,3.0,7.0,5.0,15.0,40.0,36.0,26.0,59.0,6.0,16.0,260.0,38.0,23.0,37.0,11.0,12.0,73.0,24.0,18.0,10.0,14.0,42.0,27.0,388.0,71.0
360,0.0,3.0,13.0,1.0,5.0,37.0,8.0,4.0,21.0,120.0,73.0,6.0,23.0,2.0,54.0,72.0,14.0,94.0,18.0,10.0,79.0,7.0,31.0,11.0,17.0,12.0,42.0,28.0,41.0,26.0
409,0.0,10.0,5.0,1.0,8.0,7.0,4.0,2.0,18.0,45.0,64.0,15.0,26.0,14.0,25.0,27.0,24.0,88.0,3.0,28.0,16.0,29.0,117.0,9.0,42.0,19.0,102.0,22.0,393.0,21.0
458,0.0,41.0,49.0,3.0,6.0,18.0,2.0,1.0,8.0,38.0,78.0,5.0,27.0,7.0,13.0,88.0,4.0,17.0,11.0,26.0,14.0,37.0,46.0,45.0,10.0,9.0,74.0,30.0,28.0,34.0
507,1.0,3.0,4.0,2.0,8.0,47.0,6.0,11.0,15.0,38.0,63.0,19.0,12.0,507.0,17.0,0.0,460.0,29.0,5.0,16.0,35.0,14.0,27.0,42.0,34.0,78.0,44.0,61.0,98.0,26.0
556,0.0,1.0,7.0,5.0,8.0,477.0,3.0,33.0,12.0,11.0,28.0,15.0,6.0,506.0,4.0,2.0,20.0,25.0,10.0,22.0,36.0,24.0,48.0,14.0,54.0,56.0,44.0,39.0,71.0,58.0
605,0.0,1.0,2.0,4.0,11.0,448.0,18.0,50.0,13.0,33.0,10.0,42.0,40.0,78.0,6.0,8.0,28.0,23.0,7.0,16.0,26.0,5.0,41.0,37.0,36.0,38.0,9.0,32.0,34.0,29.0
654,3.0,0.0,12.0,14.0,7.0,71.0,5.0,15.0,18.0,11.0,19.0,25.0,8.0,66.0,6.0,1.0,32.0,16.0,10.0,41.0,54.0,4.0,20.0,27.0,45.0,63.0,13.0,2.0,30.0,31.0
703,0.0,2.0,4.0,11.0,1.0,49.0,20.0,43.0,5.0,7.0,3.0,30.0,39.0,94.0,9.0,21.0,26.0,18.0,6.0,48.0,32.0,71.0,22.0,13.0,12.0,420.0,42.0,25.0,40.0,19.0
752,1.0,0.0,7.0,12.0,4.0,64.0,22.0,78.0,11.0,2.0,5.0,13.0,14.0,122.0,9.0,3.0,16.0,20.0,29.0,39.0,47.0,6.0,61.0,170.0,33.0,104.0,44.0,42.0,69.0,425.0
801,5.0,6.0,28.0,0.0,18.0,89.0,17.0,9.0,8.0,2.0,4.0,33.0,26.0,73.0,20.0,16.0,22.0,10.0,7.0,62.0,15.0,24.0,39.0,32.0,12.0,67.0,34.0,1.0,21.0,64.0
850,19.0,1.0,2.0,5.0,7.0,53.0,16.0,8.0,10.0,4.0,12.0,57.0,48.0,93.0,9.0,0.0,42.0,6.0,3.0,22.0,89.0,11.0,33.0,31.0,124.0,81.0,14.0,108.0,23.0,36.0
899,4.0,5.0,26.0,0.0,18.0,113.0,1.0,61.0,8.0,19.0,34.0,40.0,35.0,102.0,2.0,14.0,38.0,28.0,9.0,29.0,416.0,6.0,70.0,7.0,11.0,43.0,83.0,12.0,17.0,15.0
948,2.0,0.0,9.0,4.0,3.0,100.0,6.0,8.0,38.0,28.0,12.0,60.0,16.0,18.0,17.0,26.0,10.0,5.0,19.0,49.0,27.0,1.0,71.0,11.0,13.0,89.0,25.0,68.0,79.0,37.0
997,2.0,1.0,9.0,0.0,13.0,15.0,22.0,43.0,10.0,72.0,16.0,5.0,4.0,26.0,29.0,3.0,7.0,99.0,46.0,31.0,27.0,8.0,96.0,40.0,146.0,35.0,6.0,98.0,12.0,42.0
1046,17.0,1.0,9.0,0.0,20.0,32.0,13.0,11.0,7.0,8.0,2.0,12.0,6.0,50.0,36.0,3.0,4.0,23.0,114.0,30.0,15.0,25.0,375.0,48.0,72.0,41.0,5.0,309.0,10.0,47.0
1095,1.0,5.0,8.0,0.0,16.0,2.0,30.0,10.0,34.0,6.0,3.0,15.0,13.0,91.0,9.0,7.0,21.0,22.0,76.0,33.0,65.0,4.0,20.0,25.0,87.0,55.0,12.0,28.0,18.0,57.0
1144,6.0,5.0,8.0,3.0,26.0,4.0,10.0,0.0,2.0,42.0,38.0,11.0,92.0,9.0,18.0,60.0,19.0,114.0,100.0,41.0,37.0,53.0,46.0,35.0,15.0,31.0,58.0,24.0,1.0,34.0
1193,0.0,1.0,13.0,2.0,25.0,15.0,3.0,18.0,12.0,8.0,4.0,10.0,9.0,49.0,17.0,7.0,14.0,58.0,74.0,56.0,47.0,60.0,29.0,44.0,131.0,26.0,11.0,98.0,6.0,36.0
1242,0.0,2.0,16.0,5.0,11.0,10.0,15.0,6.0,13.0,44.0,3.0,7.0,23.0,30.0,4.0,47.0,1.0,56.0,95.0,42.0,26.0,24.0,109.0,27.0,19.0,17.0,8.0,316.0,14.0,53.0
1291,3.0,6.0,9.0,1.0,24.0,5.0,16.0,7.0,34.0,21.0,8.0,0.0,15.0,23.0,27.0,2.0,14.0,22.0,102.0,50.0,38.0,11.0,65.0,20.0,271.0,58.0,29.0,209.0,17.0,114.0
1340,26.0,5.0,2.0,0.0,1.0,23.0,11.0,4.0,15.0,38.0,9.0,12.0,3.0,6.0,55.0,19.0,8.0,117.0,43.0,51.0,35.0,17.0,91.0,22.0,131.0,34.0,21.0,126.0,7.0,20.0
1389,18.0,0.0,28.0,4.0,10.0,3.0,6.0,1.0,19.0,13.0,9.0,24.0,14.0,20.0,17.0,8.0,23.0,98.0,109.0,47.0,25.0,2.0,107.0,29.0,89.0,64.0,15.0,95.0,5.0,75.0
1438,8.0,3.0,18.0,40.0,11.0,2.0,1.0,13.0,0.0,5.0,23.0,9.0,37.0,15.0,65.0,87.0,6.0,76.0,99.0,50.0,71.0,25.0,107.0,24.0,12.0,75.0,19.0,227.0,16.0,52.0
1487,1.0,6.0,0.0,21.0,25.0,20.0,15.0,8.0,24.0,29.0,33.0,3.0,11.0,18.0,10.0,26.0,2.0,37.0,4.0,28.0,31.0,104.0,32.0,9.0,7.0,5.0,14.0,22.0,48.0,81.0
1536,0.0,1.0,3.0,21.0,4.0,16.0,15.0,9.0,36.0,13.0,39.0,2.0,8.0,24.0,12.0,10.0,38.0,52.0,6.0,53.0,11.0,17.0,35.0,30.0,20.0,7.0,14.0,5.0,476.0,31.0
1585,0.0,3.0,1.0,36.0,15.0,16.0,23.0,2.0,19.0,9.0,10.0,5.0,18.0,13.0,28.0,7.0,4.0,29.0,8.0,64.0,17.0,22.0,96.0,34.0,26.0,24.0,31.0,6.0,103.0,61.0
1634,0.0,4.0,2.0,114.0,7.0,3.0,19.0,86.0,21.0,9.0,14.0,1.0,67.0,5.0,11.0,25.0,6.0,123.0,13.0,290.0,18.0,44.0,60.0,15.0,20.0,70.0,17.0,72.0,33.0,37.0
1683,1.0,0.0,5.0,19.0,18.0,13.0,35.0,9.0,10.0,15.0,11.0,2.0,32.0,26.0,17.0,4.0,8.0,36.0,12.0,48.0,6.0,31.0,67.0,16.0,37.0,45.0,3.0,7.0,38.0,47.0
1732,0.0,2.0,4.0,48.0,14.0,20.0,23.0,1.0,21.0,35.0,12.0,5.0,3.0,36.0,15.0,13.0,11.0,6.0,9.0,28.0,24.0,37.0,56.0,27.0,8.0,10.0,16.0,81.0,17.0,19.0
1781,0.0,2.0,1.0,10.0,23.0,4.0,11.0,5.0,37.0,3.0,15.0,6.0,29.0,14.0,19.0,17.0,8.0,25.0,7.0,105.0,20.0,16.0,53.0,30.0,13.0,9.0,12.0,35.0,79.0,422.0
1830,1.0,2.0,0.0,32.0,7.0,8.0,31.0,9.0,65.0,16.0,13.0,4.0,5.0,36.0,12.0,15.0,3.0,66.0,22.0,44.0,35.0,40.0,19.0,11.0,14.0,10.0,6.0,28.0,85.0,48.0
1879,0.0,1.0,2.0,28.0,4.0,17.0,20.0,26.0,16.0,15.0,13.0,6.0,12.0,5.0,11.0,34.0,3.0,23.0,9.0,89.0,22.0,30.0,33.0,36.0,8.0,24.0,32.0,45.0,110.0,38.0
