,HER2_pY1248,C-Raf_pS338,Rb_pS807_S811,c-Myc,Rb,CD49b,PEA15,Cyclin_D1,RAD51,RSK1-2-3,Shc_pY317,Rictor_pT1135,Annexin 1,p27_pT157,p38_pT180_Y182,TAZ,EGFR_pY1068,NF2,JNK2,SHP-2_pY542,TSC1,Src_pY416,Src,Akt,PKC-pan_BetaII_pS660,PAI-1,p38_MAPK,p90RSK_pT359_S363,Tuberin_pT1462,Notch1
3436,6.0,126.0,70.0,104.0,0.0,149.0,8.0,7.0,72.0,4.0,25.0,5.0,123.0,18.0,59.0,9.0,14.0,19.0,21.0,88.0,31.0,33.0,37.0,32.0,80.0,16.0,49.0,17.0,50.0,56.0
3485,3.0,17.0,18.0,16.0,4.0,119.0,8.0,154.0,0.0,87.0,91.0,86.0,41.0,34.0,40.0,35.0,20.0,83.0,145.0,77.0,5.0,61.0,60.0,7.0,23.0,50.0,55.0,56.0,30.0,43.0
3534,25.0,119.0,6.0,12.0,0.0,130.0,49.0,21.0,92.0,3.0,76.0,88.0,35.0,48.0,40.0,32.0,22.0,41.0,8.0,75.0,30.0,72.0,73.0,31.0,20.0,55.0,34.0,2.0,29.0,42.0
3583,5.0,0.0,23.0,34.0,3.0,12.0,20.0,16.0,51.0,97.0,92.0,24.0,1.0,15.0,65.0,29.0,109.0,137.0,150.0,91.0,30.0,26.0,87.0,39.0,49.0,59.0,17.0,61.0,76.0,136.0
3632,4.0,19.0,17.0,6.0,18.0,21.0,5.0,31.0,1.0,22.0,92.0,14.0,39.0,36.0,2.0,71.0,159.0,57.0,137.0,78.0,30.0,0.0,75.0,42.0,80.0,58.0,37.0,47.0,29.0,56.0
3681,28.0,15.0,5.0,13.0,18.0,119.0,4.0,3.0,86.0,11.0,80.0,7.0,34.0,30.0,32.0,74.0,26.0,38.0,6.0,16.0,70.0,77.0,40.0,122.0,92.0,57.0,31.0,2.0,68.0,44.0
3730,0.0,104.0,9.0,11.0,8.0,128.0,20.0,5.0,15.0,7.0,67.0,10.0,123.0,62.0,4.0,35.0,156.0,58.0,138.0,38.0,46.0,74.0,36.0,39.0,82.0,21.0,6.0,41.0,43.0,25.0
3779,2.0,110.0,12.0,107.0,1.0,16.0,45.0,0.0,24.0,11.0,14.0,82.0,126.0,55.0,44.0,35.0,26.0,42.0,31.0,77.0,30.0,74.0,39.0,33.0,89.0,58.0,54.0,3.0,67.0,47.0
3828,10.0,104.0,17.0,108.0,0.0,109.0,5.0,21.0,57.0,86.0,22.0,85.0,8.0,2.0,23.0,31.0,4.0,39.0,7.0,14.0,26.0,9.0,12.0,121.0,58.0,47.0,37.0,49.0,64.0,35.0
3877,133.0,10.0,84.0,13.0,0.0,108.0,18.0,30.0,59.0,1.0,2.0,82.0,125.0,34.0,3.0,71.0,26.0,55.0,141.0,77.0,9.0,4.0,25.0,6.0,60.0,43.0,35.0,48.0,66.0,46.0
3926,7.0,1.0,5.0,16.0,72.0,127.0,17.0,153.0,75.0,26.0,64.0,70.0,8.0,23.0,6.0,30.0,157.0,57.0,144.0,38.0,41.0,0.0,34.0,2.0,84.0,19.0,50.0,39.0,46.0,56.0
3975,1.0,6.0,0.0,5.0,82.0,15.0,18.0,2.0,60.0,10.0,25.0,11.0,42.0,4.0,38.0,34.0,37.0,29.0,36.0,76.0,66.0,74.0,39.0,33.0,22.0,56.0,57.0,52.0,31.0,30.0
4024,8.0,15.0,3.0,13.0,61.0,106.0,47.0,151.0,84.0,4.0,5.0,80.0,36.0,1.0,0.0,72.0,163.0,2.0,6.0,27.0,32.0,41.0,29.0,127.0,90.0,17.0,56.0,53.0,67.0,59.0
4073,3.0,21.0,8.0,6.0,22.0,34.0,43.0,5.0,17.0,2.0,11.0,0.0,126.0,40.0,7.0,70.0,31.0,28.0,4.0,10.0,66.0,41.0,74.0,122.0,79.0,56.0,50.0,23.0,65.0,54.0
4122,0.0,7.0,13.0,5.0,17.0,16.0,3.0,149.0,18.0,80.0,8.0,24.0,34.0,30.0,56.0,4.0,153.0,42.0,137.0,25.0,27.0,37.0,73.0,1.0,62.0,54.0,55.0,58.0,33.0,45.0
4171,10.0,2.0,33.0,100.0,0.0,96.0,6.0,34.0,17.0,3.0,12.0,19.0,38.0,8.0,1.0,7.0,23.0,57.0,40.0,81.0,68.0,77.0,92.0,35.0,76.0,49.0,37.0,59.0,66.0,5.0
4220,29.0,14.0,13.0,11.0,15.0,17.0,18.0,2.0,84.0,6.0,41.0,26.0,42.0,5.0,4.0,71.0,28.0,45.0,139.0,43.0,68.0,39.0,3.0,35.0,91.0,10.0,44.0,34.0,32.0,47.0
4269,14.0,35.0,3.0,0.0,30.0,13.0,57.0,8.0,43.0,36.0,29.0,72.0,1.0,28.0,37.0,25.0,111.0,138.0,151.0,27.0,80.0,88.0,89.0,2.0,33.0,62.0,21.0,64.0,23.0,137.0
4318,0.0,10.0,11.0,8.0,74.0,12.0,18.0,153.0,30.0,68.0,66.0,9.0,34.0,2.0,43.0,40.0,158.0,56.0,24.0,1.0,42.0,76.0,73.0,121.0,15.0,46.0,3.0,21.0,61.0,55.0
4367,21.0,4.0,6.0,8.0,28.0,11.0,56.0,7.0,79.0,2.0,1.0,10.0,124.0,3.0,0.0,33.0,156.0,48.0,144.0,63.0,89.0,73.0,72.0,31.0,17.0,51.0,23.0,52.0,58.0,49.0
4416,5.0,10.0,0.0,14.0,75.0,108.0,91.0,152.0,31.0,70.0,38.0,72.0,6.0,26.0,9.0,35.0,157.0,28.0,8.0,68.0,34.0,3.0,33.0,32.0,15.0,22.0,49.0,24.0,44.0,58.0
4465,7.0,6.0,5.0,22.0,16.0,17.0,43.0,152.0,85.0,82.0,4.0,0.0,39.0,25.0,8.0,35.0,158.0,29.0,36.0,24.0,67.0,76.0,15.0,33.0,20.0,52.0,31.0,55.0,65.0,54.0
4514,40.0,26.0,15.0,14.0,4.0,129.0,48.0,22.0,18.0,12.0,16.0,81.0,126.0,7.0,2.0,6.0,158.0,30.0,34.0,33.0,37.0,38.0,74.0,5.0,89.0,42.0,57.0,10.0,65.0,45.0
4563,8.0,17.0,1.0,15.0,84.0,18.0,19.0,152.0,83.0,24.0,11.0,86.0,6.0,4.0,0.0,9.0,20.0,34.0,37.0,82.0,36.0,60.0,59.0,121.0,25.0,7.0,28.0,52.0,66.0,43.0
4612,3.0,4.0,5.0,9.0,13.0,12.0,22.0,149.0,80.0,76.0,16.0,29.0,31.0,58.0,24.0,30.0,154.0,64.0,138.0,28.0,89.0,38.0,40.0,127.0,17.0,49.0,56.0,51.0,92.0,63.0
4661,0.0,10.0,12.0,4.0,13.0,128.0,15.0,154.0,85.0,87.0,6.0,9.0,3.0,31.0,36.0,70.0,21.0,27.0,35.0,77.0,26.0,33.0,74.0,127.0,78.0,2.0,55.0,46.0,66.0,44.0
4710,4.0,99.0,26.0,12.0,16.0,130.0,1.0,23.0,84.0,87.0,28.0,93.0,38.0,33.0,37.0,72.0,157.0,2.0,5.0,35.0,68.0,41.0,76.0,39.0,61.0,44.0,55.0,54.0,66.0,45.0
4759,0.0,104.0,1.0,101.0,14.0,15.0,48.0,21.0,7.0,83.0,25.0,13.0,5.0,4.0,39.0,37.0,156.0,45.0,33.0,78.0,28.0,75.0,38.0,118.0,20.0,12.0,51.0,26.0,65.0,49.0
4808,20.0,0.0,1.0,3.0,9.0,109.0,15.0,152.0,29.0,68.0,4.0,7.0,32.0,22.0,19.0,34.0,158.0,25.0,23.0,40.0,49.0,35.0,72.0,120.0,13.0,48.0,62.0,50.0,37.0,59.0
4857,5.0,18.0,21.0,15.0,84.0,119.0,2.0,154.0,60.0,17.0,79.0,19.0,124.0,54.0,37.0,35.0,158.0,24.0,34.0,0.0,67.0,33.0,75.0,127.0,61.0,11.0,53.0,49.0,65.0,48.0
