,LUNG,OESOPHAGUS,GANGLIA,HAEMATOPOIETIC,THYROID,BREAST,ENDOMETRIUM,SKIN,SOFT_TISSUE,AERODIGESTIVE,LIVER,BILIARY,OVARY,URINARY,SALIVARY,PLEURA,BONE,STOMACH,KIDNEY,PANCREAS,LARGE_INTESTINE,NERVOUS,PROSTATE
43,5.0,0.0,6.0,2.0,3.0,1.0,15.0,12.0,4.0,8.0,7.0,10.0,16.0,20.0,11.0,9.0,13.0,21.0,14.0,17.0,19.0,18.0,22.0
92,13.0,0.0,4.0,1.0,2.0,5.0,17.0,15.0,3.0,9.0,14.0,6.0,8.0,7.0,10.0,11.0,21.0,16.0,18.0,12.0,19.0,20.0,22.0
141,2.0,3.0,4.0,7.0,8.0,6.0,0.0,9.0,1.0,5.0,16.0,11.0,13.0,14.0,12.0,10.0,17.0,15.0,20.0,18.0,19.0,21.0,22.0
190,0.0,7.0,1.0,3.0,4.0,5.0,11.0,9.0,10.0,8.0,15.0,13.0,2.0,16.0,14.0,12.0,18.0,6.0,20.0,19.0,17.0,21.0,22.0
239,4.0,0.0,8.0,6.0,1.0,7.0,3.0,2.0,13.0,9.0,15.0,11.0,14.0,5.0,12.0,10.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
288,0.0,1.0,2.0,5.0,7.0,3.0,4.0,8.0,9.0,16.0,15.0,10.0,11.0,12.0,14.0,6.0,17.0,13.0,18.0,20.0,21.0,19.0,22.0
337,5.0,0.0,1.0,2.0,3.0,6.0,7.0,13.0,4.0,19.0,14.0,10.0,11.0,12.0,9.0,8.0,16.0,21.0,17.0,15.0,20.0,18.0,22.0
386,13.0,0.0,5.0,1.0,2.0,7.0,8.0,6.0,3.0,11.0,14.0,9.0,10.0,4.0,12.0,21.0,15.0,20.0,17.0,16.0,18.0,19.0,22.0
435,0.0,1.0,2.0,4.0,6.0,5.0,9.0,7.0,8.0,10.0,15.0,12.0,3.0,14.0,13.0,11.0,21.0,16.0,17.0,18.0,20.0,19.0,22.0
484,5.0,0.0,7.0,1.0,2.0,16.0,6.0,3.0,4.0,8.0,20.0,12.0,15.0,11.0,9.0,14.0,13.0,21.0,22.0,17.0,19.0,18.0,10.0
533,0.0,3.0,4.0,5.0,6.0,10.0,8.0,13.0,7.0,9.0,15.0,11.0,14.0,2.0,12.0,17.0,16.0,1.0,19.0,18.0,20.0,21.0,22.0
582,4.0,5.0,0.0,7.0,2.0,8.0,9.0,12.0,3.0,15.0,10.0,11.0,1.0,6.0,13.0,14.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
631,0.0,1.0,3.0,5.0,7.0,4.0,6.0,14.0,8.0,18.0,9.0,11.0,16.0,2.0,12.0,10.0,13.0,21.0,15.0,17.0,19.0,20.0,22.0
680,0.0,1.0,3.0,4.0,6.0,9.0,15.0,7.0,8.0,5.0,10.0,12.0,16.0,2.0,13.0,14.0,21.0,17.0,19.0,18.0,11.0,20.0,22.0
729,2.0,3.0,5.0,6.0,0.0,7.0,8.0,14.0,1.0,10.0,9.0,12.0,15.0,4.0,13.0,11.0,22.0,16.0,18.0,19.0,20.0,21.0,17.0
778,10.0,0.0,1.0,7.0,3.0,2.0,5.0,8.0,4.0,11.0,9.0,12.0,20.0,6.0,13.0,14.0,17.0,16.0,18.0,19.0,15.0,21.0,22.0
827,0.0,1.0,3.0,5.0,6.0,10.0,8.0,13.0,7.0,9.0,14.0,11.0,4.0,2.0,12.0,15.0,16.0,21.0,18.0,17.0,19.0,20.0,22.0
876,6.0,0.0,1.0,8.0,3.0,4.0,10.0,20.0,5.0,9.0,14.0,11.0,2.0,7.0,12.0,15.0,19.0,17.0,13.0,21.0,16.0,22.0,18.0
925,7.0,0.0,2.0,3.0,9.0,5.0,11.0,4.0,10.0,12.0,6.0,13.0,8.0,1.0,14.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
974,5.0,0.0,1.0,2.0,3.0,7.0,8.0,12.0,4.0,9.0,10.0,11.0,6.0,13.0,15.0,16.0,18.0,14.0,19.0,17.0,21.0,20.0,22.0
1023,0.0,1.0,3.0,5.0,7.0,8.0,10.0,13.0,9.0,6.0,14.0,11.0,4.0,2.0,12.0,18.0,17.0,15.0,20.0,19.0,21.0,22.0,16.0
1072,0.0,1.0,2.0,5.0,6.0,10.0,9.0,7.0,8.0,3.0,15.0,11.0,4.0,13.0,12.0,16.0,17.0,14.0,18.0,19.0,21.0,20.0,22.0
1121,0.0,1.0,3.0,5.0,7.0,6.0,10.0,8.0,9.0,4.0,11.0,13.0,15.0,2.0,14.0,12.0,19.0,17.0,21.0,18.0,16.0,22.0,20.0
1170,18.0,0.0,2.0,6.0,4.0,14.0,9.0,7.0,5.0,11.0,8.0,10.0,3.0,1.0,12.0,13.0,22.0,17.0,19.0,15.0,20.0,21.0,16.0
1219,2.0,3.0,4.0,6.0,13.0,7.0,1.0,12.0,8.0,0.0,9.0,11.0,5.0,16.0,14.0,10.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
1268,0.0,2.0,4.0,6.0,8.0,7.0,11.0,1.0,9.0,5.0,10.0,12.0,14.0,3.0,13.0,18.0,22.0,15.0,19.0,16.0,20.0,21.0,17.0
1317,0.0,1.0,3.0,4.0,6.0,17.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,2.0,13.0,15.0,14.0,21.0,16.0,18.0,19.0,20.0,22.0
1366,2.0,3.0,4.0,6.0,1.0,10.0,9.0,7.0,8.0,5.0,14.0,11.0,13.0,0.0,12.0,15.0,18.0,17.0,16.0,19.0,20.0,21.0,22.0
1415,7.0,8.0,1.0,10.0,3.0,12.0,6.0,11.0,4.0,2.0,5.0,13.0,9.0,0.0,14.0,17.0,21.0,16.0,22.0,18.0,15.0,19.0,20.0
1464,0.0,1.0,3.0,5.0,6.0,9.0,11.0,16.0,8.0,7.0,10.0,13.0,4.0,2.0,14.0,18.0,19.0,17.0,20.0,15.0,12.0,21.0,22.0
1513,0.0,1.0,9.0,3.0,4.0,2.0,6.0,7.0,5.0,10.0,8.0,11.0,16.0,20.0,12.0,14.0,13.0,21.0,15.0,17.0,19.0,18.0,22.0
1562,3.0,4.0,0.0,6.0,1.0,5.0,7.0,8.0,2.0,10.0,9.0,12.0,17.0,15.0,13.0,11.0,21.0,14.0,16.0,18.0,20.0,19.0,22.0
1611,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,10.0,9.0,11.0,16.0,20.0,12.0,14.0,13.0,21.0,15.0,17.0,19.0,18.0,22.0
1660,0.0,6.0,1.0,3.0,8.0,7.0,2.0,4.0,5.0,18.0,10.0,11.0,15.0,20.0,12.0,9.0,13.0,21.0,14.0,17.0,19.0,16.0,22.0
1709,0.0,1.0,2.0,3.0,4.0,9.0,16.0,7.0,5.0,8.0,6.0,10.0,17.0,21.0,12.0,15.0,14.0,11.0,13.0,18.0,20.0,19.0,22.0
1758,2.0,3.0,4.0,5.0,7.0,6.0,9.0,1.0,8.0,11.0,10.0,12.0,0.0,21.0,13.0,14.0,22.0,15.0,18.0,16.0,20.0,19.0,17.0
1807,0.0,1.0,6.0,2.0,8.0,17.0,9.0,4.0,5.0,7.0,3.0,10.0,16.0,11.0,12.0,15.0,14.0,21.0,13.0,18.0,20.0,19.0,22.0
1856,0.0,1.0,2.0,3.0,4.0,8.0,6.0,13.0,5.0,7.0,9.0,10.0,17.0,11.0,12.0,15.0,14.0,21.0,16.0,18.0,20.0,19.0,22.0
1905,0.0,1.0,2.0,3.0,4.0,9.0,10.0,5.0,6.0,8.0,7.0,11.0,17.0,20.0,12.0,15.0,14.0,21.0,16.0,13.0,19.0,18.0,22.0
1954,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,9.0,13.0,11.0,16.0,20.0,12.0,10.0,14.0,21.0,15.0,17.0,19.0,18.0,22.0
2003,7.0,0.0,1.0,2.0,5.0,3.0,8.0,6.0,12.0,13.0,4.0,10.0,17.0,11.0,9.0,16.0,15.0,21.0,14.0,19.0,20.0,18.0,22.0
2052,15.0,0.0,1.0,2.0,3.0,5.0,6.0,4.0,10.0,9.0,18.0,7.0,16.0,8.0,11.0,12.0,21.0,20.0,19.0,14.0,13.0,17.0,22.0
2101,5.0,6.0,0.0,2.0,4.0,3.0,8.0,12.0,11.0,7.0,9.0,10.0,1.0,13.0,14.0,16.0,15.0,18.0,20.0,21.0,17.0,22.0,19.0
2150,0.0,5.0,1.0,3.0,4.0,2.0,14.0,12.0,8.0,17.0,6.0,9.0,10.0,11.0,7.0,13.0,21.0,19.0,20.0,16.0,18.0,15.0,22.0
2199,2.0,5.0,6.0,7.0,0.0,8.0,1.0,9.0,12.0,15.0,10.0,11.0,13.0,4.0,14.0,17.0,20.0,3.0,18.0,19.0,21.0,22.0,16.0
2248,0.0,1.0,2.0,4.0,8.0,9.0,3.0,5.0,11.0,15.0,6.0,10.0,12.0,13.0,14.0,7.0,18.0,16.0,19.0,21.0,22.0,20.0,17.0
2297,0.0,6.0,1.0,3.0,4.0,7.0,2.0,5.0,11.0,19.0,8.0,12.0,16.0,21.0,9.0,15.0,14.0,22.0,13.0,18.0,20.0,17.0,10.0
2346,8.0,0.0,4.0,1.0,2.0,17.0,5.0,7.0,11.0,21.0,3.0,10.0,6.0,12.0,13.0,15.0,9.0,22.0,14.0,20.0,18.0,16.0,19.0
2395,0.0,1.0,2.0,3.0,4.0,7.0,5.0,11.0,10.0,18.0,6.0,9.0,16.0,20.0,8.0,12.0,15.0,21.0,14.0,13.0,19.0,17.0,22.0
2444,9.0,0.0,2.0,4.0,5.0,10.0,7.0,6.0,12.0,18.0,8.0,11.0,3.0,1.0,13.0,15.0,14.0,21.0,16.0,17.0,19.0,20.0,22.0
2493,6.0,1.0,2.0,8.0,3.0,16.0,9.0,15.0,4.0,10.0,5.0,12.0,14.0,7.0,13.0,11.0,18.0,0.0,20.0,19.0,17.0,21.0,22.0
2542,0.0,2.0,3.0,5.0,7.0,16.0,8.0,15.0,9.0,6.0,10.0,12.0,4.0,14.0,13.0,11.0,21.0,1.0,19.0,18.0,17.0,20.0,22.0
2591,0.0,5.0,2.0,6.0,7.0,16.0,4.0,8.0,3.0,10.0,13.0,12.0,15.0,18.0,14.0,11.0,19.0,1.0,20.0,17.0,9.0,21.0,22.0
2640,0.0,5.0,6.0,3.0,4.0,17.0,10.0,16.0,7.0,9.0,8.0,12.0,14.0,15.0,13.0,11.0,18.0,1.0,20.0,19.0,2.0,21.0,22.0
2689,0.0,2.0,3.0,5.0,7.0,4.0,6.0,12.0,8.0,17.0,9.0,11.0,13.0,14.0,15.0,10.0,16.0,1.0,18.0,19.0,20.0,21.0,22.0
2738,0.0,2.0,6.0,3.0,4.0,16.0,9.0,15.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,18.0,17.0,1.0,20.0,19.0,7.0,21.0,22.0
2787,2.0,3.0,0.0,4.0,1.0,9.0,5.0,6.0,7.0,8.0,15.0,11.0,17.0,13.0,12.0,10.0,18.0,14.0,16.0,19.0,21.0,20.0,22.0
2836,2.0,3.0,1.0,4.0,6.0,14.0,5.0,7.0,8.0,10.0,18.0,11.0,16.0,13.0,12.0,9.0,20.0,0.0,21.0,15.0,17.0,22.0,19.0
2885,0.0,2.0,3.0,5.0,6.0,17.0,7.0,14.0,8.0,10.0,9.0,12.0,4.0,16.0,13.0,11.0,21.0,1.0,19.0,18.0,15.0,20.0,22.0
2934,0.0,3.0,4.0,5.0,6.0,16.0,11.0,7.0,8.0,10.0,9.0,13.0,15.0,2.0,14.0,12.0,20.0,1.0,21.0,18.0,19.0,22.0,17.0
2983,0.0,1.0,4.0,3.0,6.0,5.0,15.0,11.0,7.0,8.0,9.0,10.0,2.0,12.0,13.0,20.0,14.0,18.0,21.0,22.0,17.0,16.0,19.0
3032,0.0,1.0,5.0,2.0,7.0,19.0,8.0,3.0,4.0,6.0,9.0,10.0,11.0,12.0,13.0,18.0,17.0,21.0,16.0,14.0,20.0,15.0,22.0
3081,0.0,2.0,4.0,1.0,7.0,5.0,18.0,14.0,3.0,8.0,6.0,10.0,13.0,11.0,9.0,17.0,16.0,12.0,15.0,19.0,21.0,20.0,22.0
3130,8.0,2.0,4.0,1.0,6.0,14.0,13.0,7.0,3.0,9.0,5.0,10.0,0.0,21.0,12.0,17.0,16.0,11.0,15.0,18.0,20.0,19.0,22.0
3179,0.0,2.0,3.0,1.0,6.0,4.0,17.0,13.0,7.0,8.0,5.0,10.0,11.0,20.0,9.0,16.0,15.0,21.0,14.0,18.0,19.0,12.0,22.0
3228,0.0,1.0,2.0,4.0,11.0,5.0,16.0,7.0,8.0,9.0,6.0,10.0,3.0,12.0,13.0,15.0,14.0,21.0,17.0,18.0,20.0,19.0,22.0
3277,0.0,1.0,3.0,5.0,6.0,7.0,10.0,13.0,8.0,9.0,14.0,11.0,4.0,2.0,12.0,16.0,15.0,21.0,18.0,17.0,19.0,20.0,22.0
3326,0.0,1.0,3.0,5.0,7.0,6.0,16.0,13.0,9.0,19.0,8.0,10.0,4.0,2.0,12.0,15.0,14.0,11.0,17.0,18.0,20.0,21.0,22.0
3375,0.0,1.0,8.0,3.0,5.0,4.0,10.0,12.0,6.0,9.0,7.0,11.0,2.0,13.0,14.0,16.0,15.0,21.0,17.0,18.0,20.0,19.0,22.0
3424,5.0,0.0,7.0,2.0,6.0,1.0,13.0,18.0,4.0,8.0,3.0,10.0,11.0,12.0,9.0,22.0,21.0,17.0,20.0,14.0,16.0,15.0,19.0
