, JAK-STAT, MAPK_PI3K, MAPK_only, Wnt, TGFB, PI3K_only, TNFa, VEGF, H2O2, IL-1, TLR
3318,2.0,4.0,3.0,0.0,1.0,9.0,5.0,6.0,10.0,7.0,8.0
3367,0.0,1.0,3.0,2.0,6.0,7.0,5.0,4.0,8.0,10.0,9.0
3416,0.0,1.0,4.0,2.0,3.0,6.0,5.0,7.0,8.0,10.0,9.0
3465,0.0,4.0,3.0,6.0,1.0,7.0,5.0,2.0,9.0,10.0,8.0
3514,1.0,0.0,5.0,6.0,2.0,3.0,7.0,4.0,9.0,10.0,8.0
3563,1.0,2.0,0.0,4.0,5.0,10.0,3.0,6.0,7.0,9.0,8.0
3612,1.0,0.0,2.0,5.0,4.0,7.0,3.0,6.0,8.0,9.0,10.0
3661,0.0,1.0,7.0,2.0,4.0,5.0,6.0,3.0,10.0,9.0,8.0
3710,2.0,0.0,3.0,1.0,4.0,5.0,9.0,7.0,6.0,10.0,8.0
3759,1.0,3.0,4.0,0.0,2.0,6.0,7.0,5.0,10.0,9.0,8.0
3808,2.0,0.0,6.0,3.0,1.0,7.0,4.0,5.0,10.0,9.0,8.0
3857,0.0,3.0,2.0,6.0,4.0,5.0,7.0,1.0,9.0,8.0,10.0
3906,2.0,0.0,1.0,3.0,6.0,4.0,8.0,5.0,10.0,9.0,7.0
3955,1.0,0.0,2.0,8.0,6.0,7.0,4.0,5.0,3.0,10.0,9.0
4004,1.0,0.0,2.0,7.0,3.0,5.0,4.0,6.0,9.0,8.0,10.0
4053,5.0,0.0,4.0,7.0,2.0,6.0,1.0,3.0,8.0,9.0,10.0
4102,2.0,0.0,1.0,8.0,3.0,5.0,4.0,6.0,9.0,7.0,10.0
4151,3.0,0.0,2.0,4.0,7.0,6.0,1.0,8.0,5.0,9.0,10.0
4200,3.0,0.0,1.0,5.0,2.0,4.0,6.0,7.0,9.0,8.0,10.0
4249,1.0,0.0,6.0,4.0,2.0,3.0,5.0,10.0,9.0,7.0,8.0
4298,3.0,0.0,6.0,2.0,5.0,7.0,1.0,4.0,8.0,9.0,10.0
