,FLNB_MUT,GUCY2C_MUT,MYH9_MUT,RNF103-CHMP3_DEL,HLA-DRB6_DEL,SGCZ_DEL,LOC392196_DEL,FLT4_MUT,MIR4636_AMP,MIR4278_AMP,SDHA_AMP,ETS1_DEL,AHRR_AMP,CCT5_AMP,SLC25A24_DEL,CWF19L2_AMP,RMND5A_DEL,GPR112_MUT,CEP72_AMP,MIR4458_AMP,DEFB130_DEL,PHF3_MUT,USP17L7_DEL,PTCH1_AMP,ERCC6_MUT,DBF4_MUT,ZNF705D_DEL,LOC255167_AMP,PI4KA_MUT,MED10_AMP
1106,0.0,51.0,16550.0,29.0,52.0,1568.0,23.0,248.0,129.0,11.0,21892.0,14.0,2.0,37.0,3396.0,3.0,1225.0,454.0,94.0,520.0,8.0,16694.0,96.0,425.0,16721.0,814.0,65.0,656.0,16515.0,171.0
1155,1.0,0.0,43.0,4.0,147.0,5510.0,69.0,5.0,27.0,15762.0,132.0,351.0,1302.0,13650.0,498.0,2.0,426.0,16622.0,139.0,179.0,88.0,9.0,41.0,1627.0,799.0,186.0,296.0,363.0,8.0,336.0
1204,23.0,15.0,10.0,0.0,73.0,8.0,250.0,298.0,708.0,15772.0,13.0,38.0,51.0,13627.0,221.0,17436.0,3.0,2342.0,74.0,16234.0,6595.0,103.0,28.0,21.0,16712.0,7.0,1159.0,344.0,6.0,23136.0
1253,3.0,5.0,325.0,0.0,111.0,1135.0,1.0,88.0,2712.0,15717.0,22002.0,2.0,193.0,13597.0,140.0,19.0,56.0,335.0,80.0,16268.0,2750.0,29.0,3313.0,13.0,16732.0,16662.0,1439.0,14002.0,76.0,23351.0
1302,11.0,1.0,1926.0,3.0,138.0,647.0,294.0,236.0,16388.0,15783.0,21.0,165.0,16.0,13665.0,6496.0,169.0,25.0,450.0,22610.0,507.0,149.0,16685.0,4882.0,35.0,16743.0,121.0,2792.0,14295.0,532.0,123.0
1351,2.0,0.0,996.0,546.0,23.0,264.0,425.0,8588.0,145.0,181.0,20.0,22.0,325.0,16237.0,2371.0,1418.0,2493.0,25.0,51.0,185.0,10.0,174.0,87.0,46.0,125.0,2180.0,2375.0,518.0,806.0,227.0
1400,4.0,0.0,10.0,366.0,35.0,1284.0,688.0,73.0,155.0,15763.0,181.0,222.0,8.0,341.0,2535.0,17430.0,1.0,86.0,52.0,1567.0,33.0,51.0,382.0,45.0,65.0,39.0,8596.0,182.0,16549.0,23383.0
1449,31.0,5.0,51.0,1.0,2952.0,2738.0,205.0,662.0,849.0,15756.0,21985.0,44.0,21583.0,13621.0,22.0,1524.0,4.0,16636.0,76.0,145.0,2167.0,314.0,482.0,49.0,120.0,663.0,1023.0,14223.0,1856.0,23368.0
1498,68.0,41.0,375.0,48.0,67.0,2.0,3362.0,771.0,161.0,7538.0,18.0,15.0,151.0,16174.0,59.0,1.0,12350.0,37.0,15589.0,229.0,362.0,1539.0,1417.0,0.0,10677.0,10026.0,171.0,16510.0,611.0,121.0
1547,29.0,15.0,16.0,413.0,80.0,3.0,20.0,185.0,155.0,168.0,194.0,402.0,18.0,249.0,5.0,17357.0,11881.0,2.0,22580.0,309.0,100.0,315.0,107.0,174.0,82.0,723.0,10.0,13984.0,16486.0,258.0
