,TP53_MUT,THSD4_AMP,ITPR2_MUT,RAD50_MUT,EI24_DEL,TTTY22_DEL,ADAMTS15_DEL,EPHA5_MUT,AGMO_AMP,MIR4474_DEL,TMEM225_DEL,CCDC146_AMP,MLL3_MUT,MIR491_DEL,RIMBP2_DEL,TEK_MUT,FOCAD_DEL,GLDC_DEL,TTTY16_DEL,C11orf45_DEL,SDHAP2_DEL,LOC440970_DEL,VSIG2_DEL,KIAA2022_MUT,PTPLAD2_DEL,MLLT3_DEL,TTTY12_DEL,RSBN1L-AS1_AMP,FAM153A_DEL,ARHGAP32_DEL
28,72.0,115.0,11.0,3.0,122.0,32.0,9.0,2489.0,14.0,676.0,1.0,21603.0,635.0,2097.0,0.0,16942.0,106.0,674.0,148.0,2.0,1200.0,1493.0,6.0,1747.0,3792.0,119.0,9609.0,63.0,2137.0,128.0
77,17048.0,46.0,2146.0,34.0,9.0,470.0,4572.0,7.0,494.0,57.0,191.0,21604.0,347.0,12703.0,70.0,16930.0,486.0,81.0,249.0,49.0,480.0,14.0,0.0,1065.0,3402.0,3594.0,1586.0,15775.0,8.0,9076.0
126,39.0,516.0,16399.0,2.0,123.0,172.0,15.0,54.0,1007.0,213.0,7.0,118.0,16991.0,12711.0,7136.0,17065.0,10643.0,6462.0,522.0,29.0,101.0,8.0,102.0,1548.0,83.0,202.0,9621.0,15781.0,4.0,347.0
175,262.0,27.0,414.0,11.0,9294.0,396.0,96.0,264.0,159.0,5.0,78.0,21599.0,16976.0,12744.0,30.0,17052.0,426.0,323.0,340.0,162.0,55.0,3503.0,271.0,738.0,0.0,3.0,9546.0,518.0,448.0,76.0
224,80.0,8.0,159.0,16616.0,61.0,66.0,151.0,16644.0,426.0,20612.0,4021.0,37.0,51.0,5.0,482.0,16997.0,2610.0,6424.0,7184.0,3.0,354.0,99.0,9.0,2563.0,2.0,3568.0,793.0,334.0,2879.0,69.0
273,194.0,42.0,896.0,53.0,55.0,66.0,116.0,16579.0,504.0,853.0,3566.0,464.0,1605.0,529.0,0.0,1046.0,2.0,6933.0,2070.0,173.0,41.0,1472.0,36.0,130.0,49.0,2770.0,506.0,147.0,13.0,74.0
322,16929.0,16.0,122.0,137.0,6.0,6941.0,153.0,1449.0,15603.0,2663.0,186.0,664.0,284.0,12702.0,1.0,1334.0,374.0,6407.0,1340.0,14.0,26.0,813.0,302.0,43.0,104.0,3602.0,913.0,15826.0,15.0,13.0
371,2.0,55.0,27.0,61.0,6.0,38.0,5.0,1191.0,15352.0,20628.0,174.0,32.0,13.0,11643.0,8.0,39.0,926.0,3202.0,153.0,7110.0,7891.0,142.0,173.0,162.0,69.0,11143.0,9345.0,169.0,45.0,7103.0
420,13.0,2683.0,47.0,1566.0,154.0,44.0,149.0,10574.0,14380.0,55.0,224.0,22.0,12769.0,5.0,79.0,11330.0,523.0,944.0,110.0,6.0,46.0,1305.0,7581.0,8835.0,16.0,4823.0,1287.0,2585.0,88.0,9782.0
469,2535.0,2660.0,26.0,399.0,402.0,150.0,5776.0,216.0,1321.0,15.0,23.0,79.0,622.0,31.0,877.0,972.0,332.0,2400.0,1199.0,7.0,2526.0,68.0,21.0,823.0,11155.0,11416.0,12587.0,1084.0,105.0,5453.0
