,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
1500,0.0,1.0,38.0,3.0,4.0,2.0,5.0,40.0,41.0,297.0,7.0,18.0,61.0,79.0,6.0,28.0,60.0,22.0,12.0,17.0,16.0,31.0,32.0,11.0,45.0,50.0,43.0,13.0,44.0,42.0
1549,0.0,1.0,13.0,3.0,4.0,2.0,5.0,66.0,67.0,25.0,7.0,78.0,40.0,12.0,21.0,16.0,325.0,75.0,17.0,34.0,35.0,41.0,42.0,11.0,38.0,71.0,51.0,18.0,52.0,50.0
1598,0.0,1.0,18.0,3.0,2.0,5.0,15.0,14.0,13.0,36.0,7.0,38.0,10.0,50.0,20.0,26.0,29.0,9.0,24.0,54.0,53.0,46.0,47.0,8.0,69.0,11.0,44.0,12.0,43.0,45.0
1647,0.0,1.0,15.0,2.0,4.0,3.0,9.0,139.0,140.0,36.0,5.0,17.0,23.0,8.0,7.0,18.0,192.0,11.0,6.0,34.0,35.0,70.0,69.0,19.0,24.0,28.0,77.0,12.0,79.0,78.0
1696,0.0,1.0,23.0,2.0,3.0,4.0,10.0,221.0,220.0,1202.0,13.0,42.0,19.0,25.0,78.0,14.0,27.0,7.0,12.0,44.0,43.0,164.0,165.0,35.0,8.0,125.0,202.0,6.0,203.0,204.0
1745,0.0,1.0,10.0,2.0,5.0,3.0,23.0,36.0,35.0,157.0,25.0,27.0,47.0,6.0,50.0,20.0,112.0,4.0,7.0,149.0,148.0,30.0,31.0,28.0,45.0,165.0,40.0,43.0,39.0,38.0
1794,0.0,1.0,951.0,2.0,9.0,3.0,33.0,5.0,6.0,18.0,4.0,246.0,29.0,17.0,13.0,45.0,10.0,204.0,67.0,191.0,190.0,47.0,46.0,23.0,24.0,16.0,53.0,7.0,52.0,51.0
1843,0.0,1.0,6.0,11.0,2.0,5.0,3.0,19.0,18.0,26.0,17.0,4.0,22.0,33.0,8.0,13.0,68.0,36.0,66.0,24.0,23.0,50.0,49.0,14.0,21.0,34.0,58.0,46.0,57.0,56.0
1892,0.0,2.0,19.0,1.0,10.0,3.0,4.0,37.0,36.0,27.0,22.0,100.0,34.0,49.0,6.0,18.0,28.0,14.0,5.0,9.0,8.0,147.0,148.0,15.0,26.0,44.0,172.0,7.0,173.0,171.0
1941,0.0,1.0,5.0,3.0,2.0,4.0,6.0,240.0,239.0,1281.0,11.0,22.0,30.0,79.0,10.0,18.0,212.0,9.0,7.0,21.0,20.0,35.0,34.0,31.0,72.0,24.0,45.0,55.0,46.0,44.0
