,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.MC_MUT,OR2T11_AMP,NRAS_MUT,KANK1_AMP,OR2T10_AMP,PAXIP1_MUT,MAST2_MUT,ZDHHC11_AMP,SLC6A19_AMP,MIR548AI_DEL,HLA-H_DEL,LOC100506688_AMP,LOC284344_DEL,OR51A4_DEL,TTN_MUT,ALPK2_MUT,PRKCE_DEL,ATP13A5_MUT,TNK2_MUT,ANKS1B_DEL,ZNF826P_DEL,FAM74A2_DEL,UPF3A_AMP,TOMM20_AMP,GSTM1_DEL,PSG4_DEL
1057,1.0,2.0,0.0,3.0,9099.0,73.0,14.0,295.0,4.0,11.0,19.0,61.0,7.0,15.0,1275.0,1165.0,6144.0,75.0,226.0,16625.0,52.0,130.0,16608.0,12181.0,683.0,457.0,2678.0,528.0,2511.0,10.0
1106,1.0,2.0,3.0,0.0,6.0,4.0,142.0,2097.0,8.0,211.0,5.0,86.0,108.0,570.0,3092.0,295.0,6083.0,418.0,13.0,260.0,66.0,512.0,292.0,619.0,2266.0,436.0,23772.0,10.0,105.0,12.0
1155,0.0,468.0,6.0,1.0,8.0,2.0,37.0,71.0,28.0,16720.0,49.0,22732.0,2250.0,26.0,2904.0,525.0,65.0,4.0,2719.0,69.0,1147.0,285.0,2281.0,15.0,8102.0,7625.0,23761.0,19578.0,1399.0,123.0
1204,2.0,1.0,3.0,0.0,8.0,4.0,7.0,36.0,1350.0,299.0,215.0,210.0,33.0,25.0,3241.0,30.0,2348.0,516.0,642.0,353.0,634.0,24.0,69.0,27.0,433.0,1252.0,241.0,26.0,159.0,12.0
1253,0.0,3.0,1.0,2.0,6.0,2741.0,16.0,429.0,1375.0,199.0,34.0,4.0,2816.0,9.0,3340.0,15770.0,425.0,193.0,42.0,115.0,12371.0,15.0,18.0,1427.0,10.0,1623.0,23628.0,19565.0,511.0,238.0
1302,0.0,2.0,3.0,1.0,6.0,2612.0,5.0,377.0,59.0,353.0,13.0,169.0,1527.0,4.0,3185.0,969.0,7130.0,1072.0,741.0,14.0,100.0,103.0,616.0,122.0,12534.0,2655.0,592.0,23260.0,1480.0,677.0
1351,0.0,1.0,2.0,4.0,7.0,2712.0,6.0,434.0,1352.0,1567.0,16690.0,1937.0,688.0,1871.0,2749.0,2455.0,6276.0,295.0,17057.0,349.0,614.0,16425.0,5.0,11.0,8104.0,380.0,23763.0,19674.0,6459.0,40.0
1400,0.0,1.0,3.0,11.0,205.0,609.0,5.0,122.0,54.0,4.0,144.0,22774.0,45.0,23.0,3761.0,450.0,6099.0,2749.0,80.0,1139.0,1424.0,654.0,133.0,12142.0,8106.0,11929.0,57.0,546.0,16.0,12210.0
1449,0.0,2.0,1.0,13.0,41.0,6.0,186.0,22.0,121.0,1127.0,8718.0,1096.0,89.0,648.0,93.0,67.0,35.0,184.0,637.0,69.0,11007.0,30.0,9693.0,10862.0,12482.0,210.0,37.0,760.0,2315.0,4.0
1498,0.0,1.0,3.0,2.0,586.0,12.0,52.0,4.0,2775.0,39.0,7.0,23019.0,15.0,1538.0,2232.0,15791.0,6524.0,2453.0,856.0,11.0,48.0,16460.0,418.0,12172.0,441.0,11951.0,9.0,19566.0,337.0,12240.0
1547,1.0,0.0,3.0,5.0,134.0,163.0,4.0,8.0,617.0,201.0,130.0,139.0,91.0,20678.0,34.0,1322.0,1090.0,3418.0,38.0,657.0,2625.0,16458.0,1868.0,12148.0,8181.0,9.0,23631.0,325.0,6.0,1241.0
1596,0.0,2.0,1.0,10.0,20.0,1073.0,90.0,4.0,18167.0,378.0,506.0,22775.0,708.0,1893.0,19.0,15748.0,146.0,2000.0,17030.0,1149.0,12343.0,65.0,58.0,743.0,8144.0,62.0,23629.0,19693.0,2568.0,21.0
1645,1.0,0.0,2.0,177.0,13.0,16311.0,6.0,37.0,16313.0,12447.0,127.0,23835.0,124.0,40.0,20.0,16596.0,12.0,2402.0,965.0,21.0,268.0,4191.0,42.0,768.0,12167.0,18.0,2210.0,435.0,3009.0,356.0
1694,0.0,1.0,12.0,76.0,15.0,2665.0,316.0,5.0,2638.0,16721.0,311.0,22787.0,15154.0,123.0,43.0,808.0,228.0,1682.0,17044.0,2311.0,1823.0,16458.0,16621.0,12175.0,1167.0,482.0,775.0,19554.0,6423.0,1202.0
1743,3.0,1.0,0.0,11.0,4.0,24.0,11408.0,66.0,15897.0,5.0,20.0,51.0,38.0,2658.0,84.0,17774.0,29.0,427.0,331.0,9265.0,2.0,13037.0,9.0,354.0,690.0,195.0,21671.0,534.0,54.0,115.0
1792,0.0,2.0,5.0,1.0,197.0,2889.0,13.0,17535.0,16010.0,1072.0,1682.0,408.0,72.0,271.0,11.0,1535.0,795.0,752.0,209.0,2690.0,6.0,10714.0,152.0,2884.0,336.0,12426.0,1135.0,19376.0,38.0,2847.0
1841,1.0,0.0,2.0,4.0,3.0,88.0,21.0,2695.0,109.0,128.0,346.0,22802.0,744.0,20612.0,940.0,213.0,280.0,2309.0,6.0,1381.0,12387.0,16432.0,44.0,2640.0,8132.0,26.0,23738.0,517.0,18.0,129.0
1890,0.0,1.0,2.0,5.0,3.0,18276.0,4.0,2722.0,2275.0,965.0,16678.0,20.0,75.0,225.0,434.0,15796.0,7.0,11097.0,17042.0,134.0,887.0,666.0,586.0,11910.0,29.0,8113.0,23758.0,22.0,3029.0,6.0
1939,1.0,5.0,0.0,3.0,2.0,2741.0,4.0,1770.0,18179.0,109.0,25.0,22997.0,55.0,20678.0,4692.0,19.0,307.0,382.0,6.0,2584.0,11675.0,463.0,1554.0,11977.0,151.0,77.0,627.0,19579.0,13.0,7.0
1988,2.0,3.0,55.0,1.0,77.0,5.0,0.0,1447.0,306.0,17.0,6.0,46.0,2381.0,1346.0,3385.0,1217.0,128.0,111.0,5561.0,9210.0,10997.0,14.0,18.0,10764.0,12112.0,478.0,21395.0,293.0,125.0,409.0
2037,1.0,2.0,0.0,9.0,504.0,252.0,793.0,39.0,942.0,85.0,346.0,77.0,166.0,20855.0,412.0,13.0,2784.0,94.0,2519.0,60.0,10701.0,8.0,9446.0,12619.0,2637.0,54.0,437.0,19790.0,3190.0,12600.0
2086,0.0,1.0,3.0,2.0,8.0,6.0,31.0,59.0,40.0,16727.0,213.0,62.0,15220.0,281.0,500.0,20.0,129.0,2774.0,17054.0,396.0,77.0,81.0,16.0,2697.0,8177.0,150.0,10.0,83.0,3214.0,2607.0
2135,1.0,0.0,6.0,175.0,81.0,15.0,1771.0,2798.0,183.0,16746.0,42.0,18.0,15182.0,20906.0,245.0,15800.0,7043.0,955.0,2449.0,2476.0,1452.0,17.0,1069.0,1318.0,8177.0,21.0,518.0,19580.0,431.0,660.0
2184,0.0,3.0,29.0,60.0,38.0,722.0,72.0,318.0,1422.0,200.0,130.0,22775.0,245.0,80.0,3254.0,270.0,6356.0,1369.0,36.0,16613.0,134.0,514.0,2045.0,12282.0,26.0,154.0,263.0,19692.0,2062.0,2563.0
2233,0.0,7.0,1.0,2.0,14.0,2724.0,595.0,586.0,18171.0,1664.0,340.0,22900.0,1245.0,441.0,1571.0,1600.0,4.0,2220.0,60.0,16620.0,930.0,1338.0,855.0,12514.0,254.0,953.0,277.0,19582.0,3142.0,12582.0
2282,0.0,22.0,1.0,3.0,357.0,18.0,23.0,55.0,17.0,107.0,605.0,73.0,15208.0,1317.0,33.0,161.0,45.0,2378.0,168.0,84.0,12373.0,307.0,613.0,964.0,2681.0,691.0,69.0,19638.0,1204.0,12246.0
2331,0.0,2.0,3.0,1.0,21.0,18182.0,76.0,1275.0,2490.0,380.0,308.0,22904.0,249.0,192.0,80.0,15819.0,5.0,103.0,1335.0,1433.0,12368.0,318.0,563.0,12192.0,8163.0,1826.0,187.0,245.0,28.0,516.0
