,GOLGA6L10_AMP,HLA-H_DEL,DMRTA1_DEL,LOC390660_AMP,EYA1_DEL,GLI3_DEL,ETS1_DEL,GALC_DEL,B4GALNT3_DEL,PTEN_DEL,FAM21A_DEL,GUCY2C_MUT,CDKN2B_DEL,MIR3649_DEL,NF1_MUT,CDK8_DEL,DICER1_MUT,LOC100292680_DEL,SH3GL2_DEL,SLC6A13_DEL,PKN1_MUT,LOC574538_DEL,ADAM3A_DEL,ADAM5_DEL,CDKN2B-AS1_DEL,BRAF_MUT,IFT88_DEL,RBFOX1_DEL,FLJ45445_DEL,AFF4_MUT
3707,1290.0,0.0,5.0,101.0,225.0,17.0,1.0,222.0,595.0,93.0,74.0,24.0,3678.0,65.0,627.0,99.0,35.0,18936.0,486.0,498.0,6.0,13101.0,12.0,54.0,19963.0,175.0,8.0,15.0,1674.0,28.0
3756,11.0,8.0,189.0,74.0,162.0,9.0,236.0,17.0,164.0,22.0,7.0,61.0,270.0,14.0,141.0,20732.0,21.0,39.0,1141.0,45.0,31.0,68.0,104.0,264.0,308.0,0.0,8047.0,195.0,593.0,126.0
3805,4.0,2.0,370.0,21.0,11.0,5.0,12.0,143.0,47.0,6.0,81.0,16856.0,2156.0,29.0,737.0,1192.0,16872.0,72.0,13.0,55.0,407.0,289.0,288.0,159.0,19928.0,9.0,754.0,366.0,120.0,7.0
3854,4.0,0.0,21.0,1.0,63.0,190.0,3.0,157.0,441.0,27.0,4103.0,29.0,373.0,442.0,16.0,862.0,304.0,18657.0,3585.0,8517.0,968.0,351.0,56.0,540.0,19684.0,2.0,797.0,1276.0,4478.0,65.0
3903,460.0,3.0,10.0,45.0,32.0,30.0,52.0,7.0,659.0,22.0,0.0,95.0,927.0,570.0,38.0,39.0,1.0,121.0,123.0,8506.0,61.0,427.0,682.0,301.0,693.0,6.0,1175.0,42.0,157.0,169.0
3952,1.0,149.0,16.0,0.0,35.0,3.0,23.0,231.0,111.0,21.0,250.0,44.0,18.0,425.0,126.0,19.0,16855.0,92.0,102.0,33.0,16709.0,335.0,1529.0,62.0,171.0,454.0,28.0,154.0,857.0,510.0
4001,1.0,6.0,8.0,0.0,47.0,25.0,101.0,66.0,40.0,38.0,311.0,860.0,17.0,46.0,114.0,15.0,52.0,5.0,3017.0,51.0,64.0,53.0,643.0,50.0,45.0,3558.0,48.0,74.0,59.0,77.0
4050,4.0,93.0,1.0,0.0,11.0,3986.0,13.0,134.0,119.0,25.0,430.0,45.0,6.0,322.0,656.0,140.0,15.0,26.0,10192.0,10090.0,1454.0,48.0,295.0,535.0,9.0,186.0,9015.0,34.0,16.0,39.0
4099,1.0,61.0,60.0,0.0,17.0,91.0,120.0,28.0,125.0,2.0,42.0,10758.0,24.0,33.0,349.0,54.0,57.0,58.0,108.0,18.0,107.0,44.0,64.0,10.0,116.0,2215.0,253.0,49.0,16.0,236.0
4148,0.0,40.0,299.0,49.0,2.0,6275.0,29.0,147.0,9.0,11.0,1026.0,114.0,227.0,258.0,38.0,95.0,107.0,4.0,181.0,126.0,16616.0,211.0,863.0,3205.0,492.0,62.0,252.0,10439.0,16.0,467.0
4197,1.0,8.0,3421.0,0.0,18.0,206.0,2584.0,23.0,32.0,31.0,41.0,16725.0,3624.0,21.0,28.0,111.0,240.0,46.0,5.0,363.0,16645.0,56.0,267.0,91.0,19711.0,2.0,701.0,161.0,10.0,255.0
4246,1.0,30.0,1050.0,0.0,362.0,177.0,78.0,7.0,20.0,4.0,1798.0,84.0,3001.0,75.0,297.0,19.0,87.0,23.0,72.0,327.0,16706.0,39.0,6250.0,232.0,256.0,131.0,246.0,1312.0,2.0,732.0
4295,0.0,11.0,7.0,10.0,420.0,58.0,86.0,130.0,5.0,2.0,2987.0,302.0,2540.0,15.0,16583.0,17.0,1935.0,83.0,3112.0,74.0,16643.0,22.0,66.0,400.0,128.0,305.0,20.0,265.0,52.0,290.0
4344,3.0,11.0,34.0,0.0,5081.0,6379.0,2.0,43.0,110.0,89.0,3503.0,6.0,40.0,154.0,7.0,15.0,14.0,32.0,1916.0,68.0,189.0,72.0,70.0,4.0,131.0,721.0,22.0,1018.0,127.0,171.0
4393,15.0,5.0,19.0,2.0,6.0,13.0,683.0,478.0,47.0,3.0,256.0,29.0,21256.0,105.0,159.0,9.0,4.0,420.0,627.0,418.0,95.0,23.0,452.0,737.0,72.0,17144.0,20.0,374.0,18.0,239.0
4442,26.0,470.0,22.0,40.0,371.0,2.0,1.0,5592.0,118.0,82.0,430.0,0.0,29.0,200.0,112.0,49.0,16.0,2378.0,1202.0,443.0,212.0,168.0,316.0,367.0,69.0,17076.0,6.0,1390.0,283.0,89.0
4491,21850.0,438.0,20.0,150.0,109.0,0.0,541.0,550.0,104.0,71.0,36.0,1435.0,203.0,294.0,14.0,6.0,21.0,129.0,286.0,290.0,207.0,227.0,2.0,5.0,59.0,17076.0,15.0,448.0,604.0,950.0
4540,5.0,36.0,30.0,2.0,2432.0,4.0,1.0,73.0,250.0,1721.0,115.0,151.0,37.0,45.0,7.0,10.0,56.0,59.0,999.0,9648.0,270.0,135.0,8.0,139.0,86.0,3237.0,14.0,12115.0,953.0,42.0
4589,299.0,75.0,2.0,9.0,101.0,6.0,32.0,39.0,104.0,3.0,18.0,1909.0,3130.0,217.0,1.0,5.0,0.0,18687.0,37.0,77.0,402.0,159.0,459.0,61.0,69.0,178.0,15.0,10911.0,5612.0,316.0
4638,19.0,23.0,0.0,69.0,341.0,2.0,537.0,142.0,174.0,187.0,30.0,96.0,676.0,82.0,1.0,5.0,3.0,3159.0,543.0,8498.0,38.0,246.0,31.0,402.0,428.0,450.0,10.0,986.0,655.0,74.0
4687,123.0,88.0,7.0,33.0,32.0,66.0,50.0,121.0,81.0,37.0,1202.0,102.0,75.0,24.0,11.0,9.0,1.0,18621.0,1074.0,194.0,23.0,158.0,6.0,538.0,556.0,2121.0,1126.0,12675.0,5016.0,0.0
4736,7.0,6.0,14.0,18.0,188.0,2.0,71.0,17.0,28.0,12880.0,3783.0,22.0,998.0,127.0,4.0,12.0,9.0,18602.0,500.0,164.0,33.0,149.0,11.0,0.0,3270.0,17044.0,13.0,807.0,2863.0,16792.0
4785,363.0,6.0,11.0,21.0,75.0,0.0,36.0,168.0,44.0,54.0,1.0,16673.0,3469.0,63.0,99.0,2.0,2514.0,18591.0,188.0,12109.0,35.0,86.0,407.0,20.0,1085.0,118.0,8.0,1692.0,521.0,120.0
4834,33.0,42.0,1.0,6.0,27.0,4.0,22.0,841.0,32.0,8.0,92.0,50.0,16.0,213.0,15.0,10.0,710.0,18602.0,644.0,211.0,3.0,170.0,30.0,3405.0,57.0,316.0,72.0,10390.0,91.0,20.0
4883,10.0,1.0,15.0,23.0,282.0,29.0,5.0,177.0,42.0,34.0,2454.0,2667.0,200.0,89.0,8.0,44.0,37.0,173.0,168.0,8514.0,54.0,194.0,39.0,3.0,19672.0,17079.0,6.0,2592.0,5364.0,13.0
