, VEGF, TLR, MAPK_only, JAK-STAT, PI3K_only, TGFB, Wnt, H2O2, IL-1, MAPK_PI3K, TNFa
3318,0.0,1.0,3.0,5.0,4.0,2.0,6.0,7.0,8.0,9.0,10.0
3367,0.0,3.0,2.0,9.0,1.0,5.0,6.0,4.0,7.0,8.0,10.0
3416,0.0,2.0,5.0,8.0,1.0,9.0,7.0,4.0,3.0,6.0,10.0
3465,1.0,0.0,5.0,4.0,2.0,6.0,8.0,9.0,10.0,7.0,3.0
3514,1.0,0.0,4.0,2.0,5.0,3.0,6.0,7.0,10.0,8.0,9.0
3563,1.0,0.0,7.0,3.0,2.0,6.0,10.0,8.0,5.0,9.0,4.0
3612,1.0,0.0,5.0,10.0,2.0,4.0,6.0,8.0,9.0,7.0,3.0
3661,1.0,0.0,6.0,3.0,4.0,2.0,7.0,9.0,10.0,8.0,5.0
3710,0.0,1.0,2.0,10.0,6.0,3.0,4.0,8.0,7.0,5.0,9.0
3759,1.0,0.0,4.0,5.0,3.0,2.0,6.0,9.0,10.0,7.0,8.0
3808,1.0,0.0,3.0,6.0,4.0,2.0,8.0,9.0,7.0,10.0,5.0
3857,1.0,0.0,2.0,3.0,4.0,10.0,5.0,8.0,7.0,9.0,6.0
3906,1.0,0.0,2.0,8.0,4.0,3.0,9.0,6.0,10.0,5.0,7.0
3955,0.0,2.0,1.0,8.0,9.0,6.0,3.0,4.0,10.0,5.0,7.0
4004,0.0,2.0,3.0,1.0,6.0,8.0,10.0,5.0,4.0,9.0,7.0
4053,0.0,1.0,2.0,8.0,7.0,4.0,3.0,6.0,9.0,10.0,5.0
4102,0.0,2.0,1.0,7.0,9.0,8.0,3.0,4.0,5.0,6.0,10.0
4151,0.0,2.0,1.0,7.0,5.0,6.0,8.0,3.0,10.0,9.0,4.0
4200,0.0,6.0,1.0,10.0,4.0,8.0,2.0,7.0,5.0,9.0,3.0
4249,0.0,1.0,2.0,4.0,8.0,7.0,6.0,3.0,9.0,10.0,5.0
4298,0.0,1.0,2.0,8.0,7.0,9.0,3.0,6.0,10.0,5.0,4.0
4347,0.0,1.0,2.0,3.0,4.0,5.0,10.0,7.0,9.0,8.0,6.0
4396,0.0,2.0,1.0,5.0,7.0,9.0,4.0,6.0,3.0,8.0,10.0
4445,0.0,1.0,8.0,2.0,4.0,7.0,3.0,9.0,6.0,10.0,5.0
4494,1.0,0.0,4.0,3.0,2.0,6.0,8.0,9.0,5.0,10.0,7.0
4543,1.0,0.0,5.0,7.0,8.0,3.0,4.0,6.0,2.0,10.0,9.0
4592,0.0,1.0,6.0,7.0,5.0,4.0,3.0,9.0,2.0,10.0,8.0
4641,1.0,0.0,6.0,2.0,3.0,5.0,7.0,9.0,4.0,10.0,8.0
4690,0.0,1.0,7.0,3.0,4.0,8.0,5.0,6.0,2.0,10.0,9.0
4739,0.0,5.0,2.0,3.0,1.0,7.0,6.0,10.0,4.0,8.0,9.0
4788,1.0,0.0,3.0,2.0,4.0,6.0,8.0,7.0,5.0,9.0,10.0
4837,1.0,0.0,2.0,3.0,4.0,7.0,6.0,10.0,8.0,9.0,5.0
4886,0.0,2.0,3.0,6.0,1.0,9.0,4.0,7.0,5.0,10.0,8.0
