,hsa-miR-196b,hsa-miR-125a-3p,hsa-miR-223,hsa-miR-628-5p,hsa-miR-877,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-34c-5p,hsa-miR-550,hsa-miR-27b,hsa-miR-548a-3p,hsa-miR-197,hsa-miR-636,hsa-miR-759,hsa-miR-875-3p,hsa-miR-590-5p,hsa-miR-340,hsa-miR-1286,hsa-miR-492,hsa-miR-1258,hsa-miR-574-5p,hsa-miR-891a,hsa-miR-661,hsa-miR-578,hsa-miR-1303,hsa-miR-1908,hsa-miR-744,hsa-miR-126,hsa-miR-921,hsa-miR-551b
17,0.0,2.0,5.0,7.0,10.0,6.0,1.0,17.0,3.0,4.0,14.0,11.0,18.0,26.0,40.0,9.0,443.0,43.0,33.0,8.0,49.0,12.0,20.0,41.0,114.0,87.0,60.0,32.0,258.0,189.0
66,4.0,0.0,2.0,14.0,34.0,3.0,1.0,5.0,7.0,8.0,6.0,19.0,29.0,214.0,9.0,22.0,25.0,43.0,470.0,24.0,37.0,32.0,26.0,88.0,15.0,17.0,23.0,36.0,209.0,131.0
115,2.0,0.0,7.0,8.0,13.0,6.0,1.0,4.0,45.0,5.0,10.0,3.0,17.0,57.0,19.0,34.0,11.0,24.0,102.0,37.0,20.0,12.0,22.0,40.0,27.0,44.0,53.0,60.0,94.0,43.0
164,0.0,1.0,3.0,2.0,10.0,5.0,6.0,18.0,11.0,4.0,8.0,7.0,17.0,50.0,121.0,12.0,116.0,52.0,55.0,40.0,28.0,9.0,32.0,101.0,15.0,29.0,310.0,54.0,263.0,179.0
213,1.0,0.0,7.0,5.0,18.0,6.0,4.0,25.0,10.0,14.0,92.0,2.0,15.0,57.0,94.0,87.0,48.0,11.0,476.0,8.0,61.0,9.0,27.0,23.0,28.0,64.0,36.0,71.0,118.0,171.0
262,0.0,2.0,3.0,4.0,6.0,5.0,1.0,10.0,45.0,8.0,27.0,7.0,29.0,56.0,12.0,21.0,51.0,15.0,75.0,38.0,32.0,9.0,13.0,39.0,68.0,108.0,57.0,53.0,132.0,23.0
311,5.0,0.0,3.0,4.0,1.0,10.0,25.0,48.0,24.0,21.0,18.0,2.0,9.0,19.0,45.0,14.0,100.0,114.0,102.0,62.0,266.0,7.0,208.0,40.0,28.0,15.0,44.0,117.0,123.0,49.0
360,0.0,1.0,9.0,7.0,8.0,4.0,2.0,23.0,16.0,12.0,14.0,6.0,3.0,57.0,19.0,22.0,46.0,15.0,64.0,27.0,13.0,5.0,18.0,36.0,35.0,31.0,60.0,17.0,138.0,90.0
409,0.0,1.0,4.0,9.0,28.0,14.0,7.0,12.0,24.0,2.0,23.0,5.0,15.0,87.0,16.0,10.0,65.0,37.0,26.0,31.0,20.0,3.0,19.0,96.0,30.0,63.0,17.0,52.0,72.0,55.0
458,0.0,1.0,3.0,5.0,15.0,17.0,9.0,61.0,16.0,50.0,27.0,2.0,12.0,37.0,86.0,24.0,26.0,18.0,88.0,54.0,300.0,8.0,4.0,105.0,14.0,92.0,31.0,93.0,246.0,269.0
