,BRAF_MUT,CES1P1_DEL,BRAF.V600E_MUT,ZNF705G_AMP,LOC728875_DEL,LOC100287534_AMP,ADAMTSL3_DEL,PCDH9_DEL,ZNF490_DEL,RBFOX1_DEL,DPP6_DEL,CADM2_DEL,HLA-DQB1_DEL,USP17L4_AMP,USP17L1P_AMP,TTTY22_DEL,CCND2_AMP,TTN_MUT,LOC390705_DEL,BTNL8_DEL,LOC729737_DEL,ACOT1_AMP,SORL1_MUT,FAM138A_DEL,PKHD1_MUT,MAML3_MUT,TMEM236_DEL,MRC1_AMP,SIGLEC14_DEL,AUTS2_DEL
31,1.0,0.0,2.0,13.0,3.0,14.0,19.0,12.0,7.0,911.0,11.0,4.0,34.0,147.0,148.0,30.0,21.0,81.0,5.0,356.0,193.0,40.0,20.0,6.0,644.0,160.0,84.0,230.0,1014.0,1254.0
80,3.0,2.0,4.0,11.0,15.0,14.0,24.0,31.0,5.0,318.0,7.0,8.0,52.0,80.0,79.0,51.0,37.0,67.0,9.0,28.0,120.0,1.0,32.0,49.0,50.0,53.0,13.0,78.0,25.0,97.0
129,2.0,0.0,3.0,9.0,5.0,16.0,76.0,14.0,6.0,32.0,4.0,13.0,39.0,70.0,71.0,36.0,18.0,37.0,1.0,203.0,107.0,8.0,25.0,12.0,538.0,19.0,43.0,100.0,48.0,176.0
178,3.0,0.0,4.0,31.0,1.0,45.0,10.0,11.0,5.0,22.0,8.0,6.0,21.0,154.0,153.0,66.0,9.0,160.0,2.0,100.0,430.0,16.0,50.0,12.0,111.0,41.0,51.0,59.0,1886.0,46.0
227,0.0,2.0,1.0,17.0,13.0,15.0,21.0,10.0,4.0,123.0,5.0,6.0,59.0,70.0,69.0,33.0,48.0,96.0,19.0,735.0,50.0,12.0,76.0,3.0,193.0,24.0,73.0,57.0,32.0,143.0
276,0.0,1.0,2.0,5.0,4.0,144.0,17.0,6.0,18.0,30.0,13.0,16.0,34.0,69.0,70.0,66.0,12.0,209.0,7.0,340.0,368.0,10.0,28.0,292.0,60.0,41.0,650.0,22.0,221.0,122.0
325,0.0,8.0,4.0,5.0,3.0,15.0,19.0,27.0,2.0,303.0,1.0,18.0,40.0,25.0,24.0,54.0,9.0,71.0,6.0,1377.0,175.0,12.0,76.0,20.0,26.0,144.0,44.0,111.0,41.0,91.0
374,0.0,3.0,2.0,10.0,4.0,9.0,5.0,7.0,6.0,29.0,36.0,8.0,693.0,372.0,373.0,17.0,15.0,21.0,1.0,172.0,174.0,33.0,18.0,11.0,51.0,37.0,42.0,58.0,287.0,102.0
423,1.0,0.0,4.0,27.0,6.0,3.0,8.0,15.0,7.0,66.0,2.0,12.0,29.0,119.0,120.0,50.0,19.0,55.0,9.0,31.0,92.0,42.0,49.0,11.0,152.0,30.0,108.0,184.0,43.0,100.0
472,2.0,0.0,5.0,7.0,3.0,6.0,90.0,8.0,22.0,61.0,1.0,54.0,45.0,65.0,66.0,25.0,9.0,70.0,11.0,38.0,1299.0,53.0,21.0,18.0,16.0,39.0,234.0,176.0,18646.0,139.0
