,SYT17,LYL1,ELF3,ABLIM2,GNB4,LA16c-380H5.5,HTRA2,GGPS1,RPUSD2,HERC5,RSPH1,RP5-914P20.5,TMEM182,AGR2,CXADR,KIAA1211L,AC074212.6,TRPV2,C1orf174,MFAP2,PITPNM3,FA2H,RP11-1109F11.3,HSPA1A,AP000974.1,RP11-196G18.22,RP11-645C24.2,ANO9,SYT13,RPL6
1138,3.0,172.0,4.0,13.0,8.0,57.0,15.0,5.0,18.0,6.0,9.0,50.0,48.0,45.0,7415.0,256.0,56.0,53.0,82.0,189.0,10.0,115.0,6502.0,21051.0,369.0,1456.0,107.0,1.0,194.0,525.0
1187,3.0,5.0,22.0,17.0,0.0,14.0,49.0,37.0,6.0,55.0,7481.0,7616.0,101.0,68.0,7432.0,16895.0,93.0,24.0,1.0,21.0,102.0,259.0,175.0,21063.0,195.0,121.0,94.0,31.0,92.0,6827.0
1236,16.0,23.0,2.0,14.0,8.0,30.0,19.0,43.0,2882.0,7.0,46.0,76.0,35.0,259.0,96.0,260.0,170.0,195.0,16166.0,5.0,100.0,200.0,242.0,22.0,98.0,64.0,3859.0,187.0,102.0,110.0
1285,0.0,47.0,16.0,32.0,11.0,1.0,8.0,42.0,13.0,266.0,226.0,2752.0,230.0,85.0,24.0,225.0,200.0,31.0,41.0,15870.0,45.0,98.0,613.0,1408.0,610.0,581.0,110.0,9.0,117.0,251.0
1334,1.0,314.0,15.0,23.0,10.0,34.0,61.0,33.0,28.0,8.0,191.0,62.0,6.0,139.0,1373.0,16930.0,7775.0,76.0,42.0,350.0,1016.0,38.0,266.0,354.0,3387.0,170.0,160.0,238.0,247.0,5838.0
1383,0.0,2.0,18.0,39.0,1.0,4.0,30.0,23.0,95.0,22.0,17.0,7619.0,46.0,22284.0,635.0,107.0,57.0,1204.0,37.0,169.0,10866.0,277.0,6874.0,21086.0,233.0,3.0,181.0,5.0,72.0,268.0
1432,8.0,6.0,2.0,20.0,9.0,41.0,56.0,50.0,12.0,76.0,169.0,13.0,61.0,261.0,305.0,141.0,167.0,25.0,1.0,10.0,59.0,111.0,54.0,21079.0,593.0,376.0,3974.0,63.0,44.0,4862.0
1481,6.0,5.0,156.0,3.0,13.0,56.0,25.0,4.0,14.0,13837.0,162.0,357.0,90.0,101.0,48.0,82.0,34.0,62.0,27.0,24.0,46.0,118.0,142.0,0.0,236.0,75.0,3500.0,19732.0,102.0,100.0
1530,10.0,3.0,2.0,22.0,430.0,1.0,21.0,108.0,82.0,13.0,59.0,65.0,113.0,22276.0,70.0,161.0,35.0,303.0,28.0,128.0,83.0,307.0,6978.0,4.0,205.0,23.0,3152.0,19715.0,42.0,81.0
1579,1403.0,6.0,405.0,24.0,12.0,54.0,3.0,36.0,1.0,4.0,46.0,17.0,98.0,500.0,61.0,16907.0,70.0,1691.0,87.0,135.0,196.0,10882.0,6903.0,2.0,16.0,21.0,745.0,5233.0,28.0,6765.0
1628,5.0,2.0,408.0,20.0,14630.0,67.0,54.0,59.0,16.0,883.0,23.0,102.0,203.0,156.0,100.0,125.0,7.0,10025.0,66.0,432.0,10833.0,312.0,144.0,3.0,49.0,233.0,3320.0,19746.0,5164.0,32.0
1677,7.0,1.0,59.0,18.0,8.0,12.0,53.0,103.0,68.0,1937.0,197.0,41.0,81.0,130.0,31.0,183.0,11.0,11852.0,80.0,69.0,272.0,305.0,2.0,0.0,134.0,22.0,11197.0,19726.0,101.0,133.0
1726,3.0,93.0,17390.0,7.0,8.0,76.0,4.0,20.0,82.0,6.0,9.0,80.0,117.0,132.0,106.0,182.0,111.0,2686.0,5.0,271.0,140.0,10917.0,15.0,0.0,237.0,100.0,3650.0,19728.0,2.0,83.0
1775,4.0,5.0,426.0,36.0,75.0,37.0,154.0,62.0,28.0,15.0,110.0,7591.0,1.0,440.0,14.0,16907.0,54.0,9976.0,50.0,15910.0,113.0,138.0,681.0,2.0,284.0,312.0,3103.0,19799.0,7.0,79.0
1824,3.0,6.0,17321.0,25.0,14589.0,1.0,16.0,75.0,12.0,13850.0,7439.0,343.0,404.0,301.0,28.0,158.0,14.0,110.0,1074.0,15888.0,10894.0,2442.0,212.0,2.0,32.0,5.0,3011.0,19791.0,97.0,6785.0
1873,0.0,3.0,200.0,4.0,261.0,2.0,41.0,17584.0,9.0,13811.0,7473.0,5.0,82.0,20.0,15.0,16920.0,10.0,30.0,146.0,8.0,10857.0,412.0,1148.0,1.0,240.0,371.0,1635.0,19719.0,141.0,111.0
1922,0.0,4.0,17299.0,3.0,73.0,45.0,44.0,49.0,156.0,13930.0,53.0,290.0,81.0,17.0,35.0,79.0,47.0,325.0,177.0,18.0,31.0,188.0,98.0,8.0,60.0,16.0,4128.0,4085.0,4679.0,289.0
1971,1.0,0.0,9.0,4.0,135.0,120.0,85.0,75.0,56.0,334.0,7428.0,86.0,63.0,98.0,21.0,81.0,104.0,904.0,144.0,343.0,386.0,575.0,166.0,21069.0,83.0,33.0,138.0,19791.0,5155.0,426.0
2020,2.0,90.0,7.0,36.0,14657.0,3.0,33.0,23.0,3994.0,198.0,117.0,7574.0,28.0,22231.0,89.0,159.0,7711.0,283.0,78.0,15899.0,144.0,288.0,6682.0,21069.0,241.0,84.0,35.0,1.0,115.0,823.0
2069,7.0,5.0,2.0,14.0,3.0,21.0,12.0,335.0,233.0,15.0,7455.0,287.0,118.0,0.0,53.0,108.0,87.0,9981.0,6.0,15909.0,10874.0,117.0,6969.0,21011.0,1020.0,44.0,25.0,19793.0,197.0,791.0
2118,2.0,32.0,3.0,14.0,16.0,4.0,18.0,17.0,25.0,290.0,450.0,122.0,62.0,59.0,83.0,33.0,549.0,38.0,180.0,15894.0,10825.0,162.0,113.0,26.0,29.0,15788.0,45.0,19731.0,3067.0,43.0
2167,0.0,6.0,2.0,10.0,26.0,11.0,44.0,76.0,42.0,27.0,54.0,24.0,111.0,72.0,119.0,28.0,69.0,799.0,8.0,204.0,10840.0,77.0,88.0,120.0,55.0,15784.0,161.0,19724.0,181.0,6832.0
2216,2.0,4.0,8.0,12.0,63.0,81.0,35.0,14.0,4157.0,61.0,134.0,6.0,31.0,7.0,8802.0,68.0,260.0,37.0,16162.0,15881.0,11879.0,82.0,102.0,21043.0,266.0,170.0,137.0,679.0,1849.0,524.0
2265,4.0,3.0,2.0,23.0,15.0,39.0,31.0,0.0,12.0,1.0,58.0,7510.0,45.0,19.0,7412.0,9.0,7815.0,10048.0,126.0,24.0,10857.0,113.0,66.0,21009.0,146.0,18.0,3359.0,570.0,2073.0,6827.0
2314,3.0,1.0,2.0,27.0,8.0,6.0,45.0,17.0,4584.0,1183.0,9733.0,21.0,67.0,48.0,259.0,69.0,307.0,12022.0,16162.0,28.0,10281.0,84.0,6154.0,7.0,257.0,15782.0,14.0,339.0,127.0,248.0
2363,1.0,51.0,4.0,9.0,14040.0,62.0,55.0,5.0,2824.0,34.0,75.0,1071.0,135.0,66.0,138.0,76.0,224.0,890.0,15.0,16.0,69.0,220.0,178.0,21570.0,172.0,408.0,29.0,12.0,353.0,467.0
2412,5.0,3.0,0.0,12.0,14595.0,8.0,26.0,1.0,4.0,9.0,10.0,9117.0,222.0,42.0,100.0,39.0,11.0,18.0,64.0,259.0,87.0,59.0,6114.0,21032.0,132.0,15766.0,115.0,402.0,43.0,178.0
2461,7.0,0.0,3.0,19.0,11.0,1.0,2.0,90.0,5.0,17.0,66.0,6.0,10.0,35.0,113.0,65.0,7828.0,10051.0,44.0,23.0,10843.0,427.0,59.0,209.0,167.0,275.0,191.0,288.0,33.0,526.0
2510,8.0,3.0,13015.0,18.0,12.0,56.0,34.0,72.0,135.0,6.0,138.0,207.0,15871.0,367.0,1.0,270.0,17.0,15.0,9946.0,376.0,4304.0,80.0,250.0,0.0,83.0,18443.0,164.0,19796.0,20068.0,144.0
