,hsa-miR-1257,hsa-miR-548a-3p,hsa-miR-579,hsa-miR-1197,hsa-miR-582-5p,hsa-miR-140-5p,hsa-miR-759,hsa-miR-651,hsv1-miR-H7,hsa-miR-2277,hsa-miR-499-3p,hsa-miR-146b-3p,hsa-miR-620,hsa-miR-891b,hsa-miR-615-3p,hsa-miR-604,hsa-miR-135b,hsv2-miR-H4-5p,hsa-miR-548c-5p,hsa-miR-1978,hsa-miR-28-5p,hsa-miR-924,hsa-miR-557,hsa-miR-548d-3p,hsa-miR-638,hsa-miR-591,hsa-miR-555,hsa-miR-888,hsa-miR-548e,ebv-miR-BART2-3p
15,11.0,7.0,5.0,3.0,12.0,4.0,39.0,1.0,37.0,0.0,38.0,8.0,16.0,18.0,33.0,10.0,6.0,2.0,21.0,9.0,122.0,104.0,15.0,91.0,36.0,24.0,28.0,17.0,137.0,44.0
64,2.0,0.0,22.0,5.0,3.0,14.0,4.0,1.0,152.0,20.0,57.0,10.0,6.0,30.0,49.0,18.0,8.0,24.0,17.0,13.0,132.0,25.0,21.0,89.0,48.0,11.0,40.0,64.0,111.0,15.0
113,3.0,4.0,1.0,11.0,13.0,8.0,19.0,0.0,26.0,2.0,50.0,16.0,9.0,15.0,37.0,12.0,10.0,5.0,7.0,29.0,81.0,72.0,24.0,32.0,103.0,17.0,31.0,54.0,108.0,42.0
162,7.0,3.0,12.0,6.0,4.0,22.0,1.0,0.0,45.0,17.0,95.0,5.0,10.0,46.0,31.0,2.0,38.0,8.0,9.0,25.0,147.0,29.0,53.0,11.0,78.0,19.0,20.0,42.0,199.0,50.0
211,1.0,0.0,4.0,12.0,14.0,10.0,20.0,11.0,82.0,6.0,41.0,25.0,5.0,19.0,35.0,2.0,9.0,3.0,18.0,8.0,59.0,116.0,95.0,122.0,79.0,33.0,39.0,50.0,155.0,27.0
260,10.0,4.0,1.0,8.0,7.0,0.0,3.0,6.0,103.0,70.0,20.0,91.0,2.0,13.0,21.0,41.0,101.0,15.0,9.0,22.0,119.0,31.0,55.0,65.0,92.0,16.0,25.0,12.0,110.0,30.0
309,0.0,28.0,3.0,8.0,5.0,9.0,6.0,2.0,83.0,12.0,26.0,23.0,14.0,45.0,41.0,1.0,15.0,7.0,4.0,27.0,147.0,134.0,21.0,176.0,37.0,46.0,35.0,11.0,138.0,49.0
358,5.0,7.0,14.0,11.0,1.0,6.0,15.0,0.0,80.0,13.0,63.0,45.0,8.0,20.0,49.0,2.0,163.0,12.0,76.0,58.0,56.0,100.0,48.0,218.0,59.0,35.0,17.0,30.0,314.0,188.0
407,2.0,1.0,12.0,27.0,8.0,26.0,7.0,0.0,60.0,14.0,6.0,25.0,3.0,32.0,13.0,39.0,48.0,4.0,11.0,93.0,152.0,55.0,5.0,9.0,56.0,29.0,10.0,130.0,40.0,30.0
456,14.0,1.0,16.0,15.0,2.0,13.0,19.0,3.0,64.0,28.0,39.0,17.0,8.0,5.0,59.0,0.0,4.0,9.0,11.0,7.0,219.0,31.0,78.0,274.0,21.0,30.0,34.0,129.0,111.0,26.0
505,4.0,0.0,21.0,3.0,180.0,29.0,193.0,102.0,7.0,10.0,15.0,18.0,86.0,77.0,2.0,80.0,30.0,12.0,1.0,17.0,46.0,8.0,39.0,5.0,25.0,74.0,217.0,233.0,23.0,54.0
554,27.0,14.0,1.0,4.0,13.0,43.0,129.0,71.0,26.0,25.0,10.0,9.0,52.0,11.0,17.0,48.0,7.0,8.0,0.0,79.0,6.0,3.0,2.0,59.0,75.0,15.0,56.0,36.0,18.0,31.0
603,9.0,30.0,0.0,3.0,36.0,11.0,75.0,49.0,40.0,54.0,6.0,13.0,16.0,24.0,18.0,17.0,1.0,15.0,2.0,22.0,56.0,4.0,53.0,7.0,43.0,14.0,84.0,142.0,19.0,5.0
652,18.0,55.0,2.0,13.0,30.0,7.0,47.0,34.0,11.0,1.0,38.0,24.0,78.0,37.0,8.0,41.0,12.0,10.0,0.0,15.0,57.0,5.0,3.0,56.0,89.0,25.0,130.0,73.0,62.0,129.0
701,16.0,54.0,2.0,37.0,31.0,14.0,139.0,39.0,6.0,33.0,3.0,7.0,19.0,36.0,1.0,41.0,0.0,4.0,11.0,48.0,42.0,5.0,8.0,88.0,15.0,40.0,124.0,75.0,180.0,44.0
750,19.0,1.0,22.0,16.0,14.0,29.0,89.0,60.0,4.0,55.0,6.0,9.0,28.0,15.0,3.0,21.0,17.0,5.0,0.0,23.0,35.0,11.0,10.0,12.0,26.0,72.0,62.0,78.0,20.0,77.0
799,8.0,3.0,6.0,18.0,33.0,73.0,61.0,20.0,4.0,10.0,34.0,0.0,114.0,81.0,1.0,80.0,12.0,2.0,7.0,75.0,9.0,14.0,17.0,50.0,27.0,39.0,44.0,13.0,23.0,42.0
848,1.0,18.0,2.0,13.0,123.0,84.0,113.0,62.0,5.0,41.0,69.0,4.0,14.0,35.0,6.0,87.0,15.0,3.0,0.0,83.0,29.0,10.0,7.0,19.0,22.0,54.0,36.0,109.0,142.0,37.0
897,22.0,7.0,1.0,15.0,12.0,17.0,57.0,16.0,6.0,8.0,4.0,0.0,13.0,34.0,14.0,20.0,11.0,5.0,2.0,18.0,31.0,9.0,43.0,45.0,3.0,19.0,52.0,80.0,88.0,49.0
946,13.0,1.0,2.0,20.0,33.0,21.0,92.0,86.0,9.0,47.0,12.0,10.0,151.0,44.0,3.0,5.0,11.0,18.0,0.0,82.0,22.0,32.0,4.0,117.0,19.0,43.0,63.0,67.0,85.0,34.0
995,8.0,10.0,12.0,11.0,1.0,3.0,6.0,30.0,0.0,179.0,2.0,164.0,9.0,24.0,19.0,52.0,99.0,41.0,108.0,4.0,70.0,102.0,55.0,29.0,245.0,56.0,74.0,35.0,5.0,28.0
1044,1.0,3.0,20.0,13.0,9.0,4.0,11.0,40.0,0.0,77.0,10.0,70.0,12.0,73.0,35.0,85.0,23.0,30.0,6.0,7.0,125.0,107.0,57.0,34.0,159.0,78.0,119.0,25.0,14.0,59.0
