,KRAS.G12_13_MUT,ETS1_DEL,TRIM49_DEL,BIRC2_AMP,SCN3B_DEL,TMEM123_AMP,CCBE1_DEL,DCUN1D5_AMP,OR2T35_AMP,ADAMTSL1_DEL,BIRC3_AMP,NRG1_DEL,DYNC2H1_AMP,CHN2_DEL,KCNJ5_DEL,LOC283174_DEL,SNORA37_DEL,GDF5_AMP,CNTN5_DEL,NETO1_DEL,RAX_DEL,NOMO3_AMP,MCEE_AMP,YAP1_AMP,JAK2_DEL,FAM154A_DEL,LGALS9C_DEL,GUSBP2_DEL,CDC73_AMP,EYA1_DEL
1057,738.0,221.0,290.0,15.0,82.0,124.0,166.0,27.0,30.0,2362.0,15174.0,17.0,22769.0,1214.0,151.0,188.0,8113.0,11.0,120.0,70.0,587.0,14524.0,23200.0,18080.0,177.0,3285.0,2185.0,2912.0,23011.0,5294.0
1106,48.0,544.0,30.0,1.0,11.0,9.0,5663.0,22989.0,25.0,9032.0,67.0,3062.0,189.0,437.0,264.0,6917.0,12115.0,8.0,421.0,4.0,295.0,227.0,23016.0,442.0,2900.0,463.0,190.0,4462.0,23512.0,874.0
1155,9.0,35.0,20.0,83.0,10636.0,31.0,89.0,3.0,1.0,75.0,13497.0,3361.0,406.0,2154.0,228.0,7.0,8242.0,16.0,91.0,59.0,4.0,15657.0,23390.0,15824.0,2112.0,364.0,11909.0,3542.0,321.0,2353.0
1204,0.0,727.0,17.0,15158.0,56.0,18296.0,5837.0,108.0,1299.0,146.0,213.0,4388.0,22767.0,19987.0,151.0,16.0,25.0,167.0,10631.0,9222.0,2644.0,26.0,2493.0,17943.0,2106.0,147.0,443.0,3762.0,1112.0,7107.0
1253,865.0,2624.0,70.0,49.0,153.0,22.0,12.0,901.0,28.0,600.0,14063.0,3380.0,23025.0,20036.0,3165.0,7182.0,526.0,1586.0,259.0,188.0,87.0,92.0,2602.0,33.0,2540.0,275.0,566.0,3043.0,23002.0,1790.0
1302,223.0,2063.0,1.0,263.0,104.0,170.0,6110.0,298.0,883.0,9246.0,18005.0,219.0,151.0,1030.0,103.0,2.0,83.0,312.0,11577.0,2464.0,3.0,1990.0,712.0,14939.0,406.0,1067.0,246.0,3017.0,1452.0,1511.0
1351,0.0,13.0,18.0,56.0,2561.0,18345.0,1666.0,161.0,28.0,312.0,8.0,2865.0,446.0,20038.0,117.0,39.0,8256.0,2.0,544.0,627.0,130.0,321.0,2645.0,17980.0,434.0,4655.0,11890.0,1261.0,453.0,4831.0
1400,1395.0,5259.0,0.0,473.0,10651.0,17638.0,2399.0,10.0,796.0,1088.0,240.0,483.0,21800.0,742.0,20.0,67.0,186.0,65.0,1858.0,124.0,98.0,58.0,24118.0,7290.0,2783.0,5956.0,746.0,3149.0,2256.0,318.0
1449,0.0,7110.0,144.0,405.0,11662.0,151.0,200.0,23121.0,751.0,437.0,33.0,335.0,558.0,20045.0,184.0,7.0,9705.0,23258.0,12250.0,7971.0,122.0,1100.0,80.0,17996.0,70.0,5197.0,521.0,3993.0,23069.0,297.0
1498,78.0,110.0,3.0,176.0,702.0,18339.0,1536.0,226.0,367.0,128.0,70.0,2625.0,8.0,39.0,11.0,23.0,651.0,68.0,138.0,1211.0,2933.0,43.0,37.0,17983.0,1449.0,454.0,1492.0,971.0,111.0,1119.0
1547,1370.0,5125.0,8.0,145.0,10586.0,43.0,6037.0,377.0,547.0,133.0,1.0,256.0,23770.0,294.0,531.0,6982.0,12235.0,23978.0,11264.0,8372.0,352.0,13806.0,2710.0,442.0,14.0,6296.0,285.0,2972.0,103.0,643.0
1596,1350.0,7115.0,12209.0,32.0,21.0,219.0,199.0,800.0,2046.0,80.0,0.0,89.0,1.0,44.0,268.0,376.0,14.0,9.0,10.0,7659.0,3387.0,1645.0,2349.0,508.0,13.0,6434.0,255.0,153.0,287.0,2307.0
1645,30.0,41.0,1619.0,0.0,18.0,18436.0,7.0,23224.0,14464.0,14.0,2.0,23.0,351.0,67.0,414.0,221.0,2656.0,12.0,175.0,7707.0,3293.0,14549.0,291.0,29.0,33.0,5786.0,581.0,193.0,192.0,261.0
