, IL-1, JAK-STAT, H2O2, TNFa, VEGF, PI3K_only, TLR, MAPK_PI3K, MAPK_only, TGFB, Wnt
3324,5.0,7.0,1.0,0.0,2.0,8.0,3.0,6.0,10.0,4.0,9.0
3373,1.0,4.0,3.0,2.0,5.0,0.0,6.0,8.0,10.0,7.0,9.0
3422,0.0,2.0,1.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
3471,0.0,2.0,6.0,1.0,7.0,4.0,3.0,5.0,8.0,9.0,10.0
3520,1.0,7.0,6.0,0.0,5.0,4.0,9.0,3.0,2.0,10.0,8.0
3569,10.0,4.0,7.0,2.0,3.0,0.0,1.0,6.0,5.0,8.0,9.0
3618,7.0,2.0,4.0,0.0,3.0,1.0,6.0,5.0,8.0,9.0,10.0
3667,2.0,0.0,4.0,3.0,6.0,5.0,9.0,8.0,7.0,1.0,10.0
3716,0.0,1.0,3.0,2.0,4.0,7.0,9.0,8.0,5.0,10.0,6.0
3765,2.0,1.0,5.0,4.0,8.0,0.0,9.0,3.0,6.0,7.0,10.0
3814,2.0,0.0,7.0,3.0,6.0,1.0,4.0,8.0,9.0,5.0,10.0
3863,3.0,4.0,2.0,0.0,1.0,5.0,8.0,7.0,9.0,6.0,10.0
3912,1.0,3.0,6.0,2.0,5.0,0.0,8.0,7.0,4.0,9.0,10.0
3961,0.0,1.0,4.0,3.0,2.0,6.0,5.0,9.0,7.0,8.0,10.0
4010,5.0,2.0,1.0,0.0,4.0,6.0,3.0,8.0,9.0,10.0,7.0
4059,0.0,1.0,4.0,2.0,3.0,9.0,7.0,8.0,6.0,10.0,5.0
4108,1.0,3.0,0.0,2.0,6.0,5.0,4.0,8.0,10.0,9.0,7.0
4157,2.0,0.0,1.0,3.0,4.0,6.0,5.0,10.0,8.0,9.0,7.0
4206,0.0,3.0,1.0,2.0,7.0,6.0,5.0,8.0,4.0,10.0,9.0
4255,0.0,3.0,1.0,4.0,2.0,5.0,6.0,10.0,9.0,7.0,8.0
4304,4.0,5.0,3.0,2.0,0.0,8.0,1.0,7.0,9.0,6.0,10.0
4353,0.0,1.0,4.0,2.0,3.0,9.0,7.0,8.0,6.0,10.0,5.0
4402,6.0,7.0,1.0,0.0,2.0,5.0,9.0,4.0,3.0,10.0,8.0
4451,3.0,1.0,6.0,0.0,4.0,7.0,5.0,2.0,9.0,10.0,8.0
4500,0.0,4.0,3.0,2.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0
4549,0.0,3.0,2.0,1.0,8.0,6.0,9.0,5.0,4.0,7.0,10.0
4598,4.0,5.0,3.0,0.0,1.0,8.0,9.0,7.0,6.0,10.0,2.0
4647,1.0,2.0,6.0,4.0,0.0,3.0,10.0,7.0,9.0,8.0,5.0
4696,0.0,2.0,6.0,1.0,5.0,3.0,8.0,4.0,7.0,9.0,10.0
4745,1.0,2.0,4.0,0.0,6.0,3.0,9.0,5.0,10.0,7.0,8.0
4794,2.0,5.0,4.0,1.0,0.0,3.0,9.0,7.0,6.0,8.0,10.0
4843,1.0,2.0,0.0,6.0,3.0,5.0,9.0,4.0,8.0,10.0,7.0
4892,3.0,4.0,8.0,2.0,1.0,6.0,9.0,0.0,5.0,7.0,10.0
