,PRAS40_pT246,GATA3,PDCD4,GSK3-alpha-beta,SETD2,IRS1,SCD1,Notch1,4E-BP1_pT70,c-Kit,p21,AR,ADAR1,Src_pY416,4E-BP1_pS65,Akt_pS473,B-Raf_pS445,INPP4B,XBP1,Bap1 c-4,4E-BP1_pT37_T46,PDK1,Bax,PEA15,PEA15_pS116,PDK1_pS241,P-Cadherin,p70S6K_pT389,Paxillin,PAI-1
6,6.0,7.0,20.0,22.0,18.0,24.0,70.0,1.0,4.0,14.0,56.0,5.0,2.0,37.0,115.0,29.0,32.0,3.0,58.0,36.0,116.0,45.0,35.0,51.0,78.0,19.0,59.0,48.0,47.0,40.0
55,49.0,15.0,63.0,8.0,23.0,152.0,22.0,136.0,4.0,128.0,30.0,38.0,93.0,25.0,72.0,33.0,0.0,2.0,3.0,161.0,77.0,62.0,40.0,17.0,59.0,61.0,101.0,66.0,64.0,54.0
104,22.0,23.0,2.0,146.0,13.0,34.0,78.0,28.0,0.0,101.0,30.0,1.0,31.0,73.0,4.0,120.0,37.0,135.0,62.0,26.0,113.0,6.0,110.0,47.0,44.0,18.0,57.0,50.0,55.0,56.0
153,0.0,23.0,37.0,21.0,90.0,144.0,18.0,85.0,8.0,15.0,32.0,3.0,35.0,29.0,31.0,7.0,2.0,145.0,63.0,128.0,125.0,11.0,38.0,40.0,60.0,52.0,45.0,58.0,53.0,46.0
202,90.0,1.0,8.0,14.0,78.0,135.0,79.0,4.0,29.0,100.0,50.0,5.0,30.0,24.0,0.0,7.0,37.0,32.0,28.0,38.0,115.0,16.0,27.0,44.0,42.0,59.0,47.0,57.0,54.0,55.0
251,0.0,17.0,20.0,18.0,75.0,24.0,6.0,8.0,34.0,4.0,62.0,41.0,121.0,42.0,37.0,35.0,1.0,23.0,31.0,38.0,46.0,49.0,128.0,66.0,94.0,54.0,64.0,55.0,21.0,52.0
300,15.0,6.0,48.0,4.0,90.0,38.0,89.0,25.0,29.0,102.0,54.0,3.0,34.0,2.0,27.0,0.0,9.0,24.0,72.0,5.0,28.0,7.0,112.0,44.0,43.0,45.0,47.0,39.0,49.0,51.0
349,91.0,25.0,14.0,13.0,83.0,31.0,84.0,40.0,0.0,105.0,30.0,36.0,29.0,76.0,42.0,1.0,4.0,141.0,64.0,39.0,34.0,49.0,41.0,44.0,46.0,59.0,43.0,57.0,12.0,53.0
398,22.0,23.0,18.0,7.0,87.0,135.0,24.0,5.0,1.0,101.0,32.0,0.0,8.0,59.0,28.0,121.0,26.0,134.0,27.0,2.0,114.0,19.0,9.0,45.0,43.0,46.0,34.0,49.0,48.0,16.0
447,15.0,18.0,6.0,20.0,7.0,137.0,9.0,0.0,2.0,108.0,24.0,5.0,126.0,33.0,36.0,121.0,4.0,23.0,40.0,1.0,114.0,65.0,37.0,64.0,87.0,89.0,58.0,44.0,63.0,52.0
496,5.0,12.0,48.0,4.0,19.0,11.0,31.0,16.0,3.0,107.0,57.0,39.0,1.0,77.0,26.0,119.0,23.0,143.0,25.0,14.0,27.0,47.0,8.0,43.0,45.0,60.0,59.0,52.0,49.0,50.0
545,6.0,3.0,18.0,10.0,4.0,12.0,22.0,8.0,0.0,123.0,15.0,1.0,32.0,82.0,34.0,53.0,30.0,148.0,2.0,38.0,92.0,19.0,37.0,63.0,49.0,51.0,131.0,56.0,52.0,16.0
594,14.0,4.0,40.0,12.0,16.0,5.0,23.0,7.0,0.0,17.0,50.0,3.0,2.0,35.0,32.0,119.0,27.0,138.0,69.0,109.0,113.0,8.0,1.0,37.0,36.0,38.0,47.0,21.0,41.0,53.0
643,13.0,147.0,49.0,4.0,10.0,140.0,89.0,44.0,7.0,105.0,45.0,117.0,30.0,29.0,39.0,6.0,34.0,40.0,64.0,114.0,125.0,60.0,128.0,46.0,11.0,59.0,43.0,47.0,52.0,53.0
692,17.0,7.0,6.0,155.0,11.0,136.0,1.0,23.0,34.0,99.0,22.0,5.0,32.0,66.0,31.0,37.0,3.0,21.0,0.0,36.0,2.0,42.0,125.0,44.0,49.0,43.0,57.0,46.0,45.0,39.0
741,2.0,8.0,5.0,131.0,14.0,36.0,88.0,56.0,31.0,15.0,38.0,6.0,29.0,24.0,35.0,33.0,1.0,145.0,37.0,119.0,3.0,45.0,28.0,41.0,42.0,40.0,32.0,13.0,19.0,46.0
790,7.0,4.0,0.0,34.0,21.0,23.0,80.0,5.0,31.0,103.0,47.0,1.0,120.0,12.0,18.0,30.0,36.0,22.0,8.0,10.0,9.0,15.0,112.0,38.0,39.0,40.0,45.0,55.0,50.0,43.0
839,7.0,18.0,11.0,13.0,23.0,135.0,14.0,3.0,4.0,17.0,35.0,5.0,0.0,34.0,2.0,121.0,27.0,6.0,33.0,111.0,115.0,43.0,101.0,42.0,40.0,41.0,37.0,47.0,54.0,22.0
888,88.0,30.0,47.0,19.0,70.0,5.0,20.0,32.0,126.0,31.0,29.0,4.0,122.0,95.0,127.0,41.0,129.0,142.0,62.0,112.0,38.0,49.0,37.0,66.0,68.0,54.0,16.0,52.0,18.0,43.0
937,0.0,11.0,24.0,8.0,29.0,17.0,28.0,18.0,42.0,33.0,1.0,37.0,5.0,87.0,40.0,39.0,3.0,153.0,72.0,41.0,95.0,58.0,35.0,56.0,55.0,57.0,136.0,21.0,23.0,22.0
986,24.0,17.0,9.0,23.0,10.0,6.0,13.0,38.0,116.0,4.0,26.0,34.0,27.0,76.0,2.0,7.0,36.0,142.0,35.0,37.0,3.0,53.0,113.0,59.0,43.0,50.0,40.0,47.0,55.0,56.0
1035,6.0,136.0,25.0,10.0,9.0,0.0,78.0,8.0,5.0,13.0,31.0,118.0,126.0,33.0,114.0,121.0,3.0,138.0,2.0,35.0,4.0,19.0,28.0,42.0,44.0,43.0,56.0,52.0,47.0,48.0
