,HLA-H_DEL,FAM21A_DEL,MIR548AI_DEL,ADAM3A_DEL,ADAM5_DEL,LOC390660_AMP,GOLGA6L10_AMP,DMRTA1_DEL,RHD_DEL,MRGPRX1_DEL,UBE2Q2P3_AMP,GOLGA6L9_AMP,RPS17_AMP,GOLGA8DP_DEL,RPS17L_AMP,CDKN2B_DEL,UBE2Q2P2_AMP,PCCB_DEL,SORD_AMP,TPTE_DEL,RBFOX1_DEL,HCG4B_DEL,LCE3C_DEL,BRAF_MUT,BRAF.V600E_MUT,HLA-DRB6_AMP,CES1P1_DEL,GSTTP1_AMP,CDKN2B-AS1_DEL,ACOT1_AMP
31,1.0,0.0,19.0,23.0,15.0,3.0,2.0,11.0,20.0,50.0,6.0,7.0,5.0,26.0,9.0,28.0,8.0,12.0,29.0,13.0,4.0,68.0,54.0,52.0,60.0,14.0,10.0,18.0,62.0,39.0
80,2.0,0.0,3.0,53.0,37.0,8.0,9.0,4.0,1.0,41.0,27.0,23.0,25.0,18.0,26.0,6.0,24.0,12.0,17.0,15.0,20.0,13.0,33.0,49.0,35.0,11.0,10.0,29.0,14.0,22.0
129,4.0,0.0,14.0,24.0,18.0,3.0,2.0,10.0,26.0,157.0,5.0,9.0,8.0,12.0,7.0,25.0,6.0,1.0,30.0,43.0,66.0,48.0,13.0,40.0,44.0,20.0,103.0,31.0,58.0,34.0
178,0.0,1.0,2.0,38.0,26.0,4.0,3.0,7.0,21.0,84.0,12.0,15.0,13.0,22.0,14.0,30.0,16.0,6.0,23.0,8.0,65.0,11.0,17.0,32.0,35.0,75.0,9.0,33.0,34.0,31.0
227,0.0,1.0,3.0,43.0,28.0,10.0,11.0,15.0,2.0,20.0,8.0,7.0,6.0,14.0,9.0,21.0,5.0,13.0,4.0,38.0,93.0,23.0,34.0,24.0,47.0,33.0,19.0,31.0,22.0,29.0
276,1.0,0.0,8.0,37.0,28.0,5.0,4.0,3.0,6.0,41.0,16.0,14.0,18.0,30.0,15.0,20.0,17.0,7.0,40.0,10.0,9.0,19.0,22.0,38.0,46.0,13.0,2.0,24.0,32.0,27.0
325,0.0,2.0,7.0,45.0,46.0,5.0,4.0,15.0,1.0,3.0,11.0,9.0,12.0,29.0,10.0,21.0,8.0,6.0,17.0,34.0,32.0,31.0,16.0,44.0,54.0,72.0,14.0,22.0,33.0,387.0
374,1.0,0.0,4.0,30.0,23.0,2.0,3.0,10.0,20.0,213.0,14.0,12.0,15.0,6.0,16.0,35.0,13.0,18.0,17.0,31.0,74.0,9.0,33.0,36.0,21.0,11.0,19.0,32.0,47.0,43.0
423,8.0,0.0,24.0,89.0,58.0,13.0,12.0,9.0,17.0,14.0,20.0,22.0,21.0,3.0,19.0,1.0,23.0,11.0,32.0,27.0,35.0,63.0,30.0,162.0,147.0,2.0,5.0,26.0,4.0,15.0
472,0.0,1.0,9.0,128.0,74.0,2.0,3.0,4.0,10.0,21.0,15.0,17.0,18.0,8.0,16.0,5.0,14.0,11.0,170.0,22.0,43.0,65.0,32.0,720.0,877.0,25.0,62.0,7.0,13.0,19.0
521,1.0,0.0,23.0,38.0,50.0,9.0,8.0,10.0,3.0,13.0,45.0,41.0,43.0,2.0,42.0,34.0,44.0,11.0,24.0,79.0,5.0,239.0,19.0,84.0,83.0,7.0,6.0,4.0,81.0,54.0
570,0.0,2.0,5.0,10.0,18.0,3.0,4.0,8.0,11.0,19.0,16.0,15.0,13.0,9.0,14.0,6.0,17.0,24.0,37.0,20.0,30.0,22.0,173.0,54.0,25.0,1.0,49.0,38.0,12.0,31.0
619,2.0,3.0,18.0,22.0,26.0,5.0,4.0,7.0,8.0,6.0,11.0,9.0,12.0,14.0,13.0,49.0,10.0,35.0,89.0,19.0,16.0,32.0,15.0,45.0,36.0,0.0,21.0,20.0,150.0,17.0
668,8.0,15.0,33.0,49.0,56.0,6.0,5.0,14.0,4.0,9.0,25.0,22.0,26.0,12.0,24.0,59.0,23.0,11.0,36.0,7.0,13.0,201.0,35.0,53.0,45.0,0.0,28.0,3.0,131.0,16.0
717,4.0,64.0,25.0,0.0,1.0,3.0,2.0,31.0,11.0,14.0,6.0,8.0,10.0,15.0,9.0,19.0,7.0,30.0,36.0,17.0,12.0,113.0,26.0,39.0,37.0,13.0,54.0,65.0,21.0,5.0
766,1.0,3.0,7.0,8.0,4.0,6.0,5.0,23.0,35.0,12.0,30.0,28.0,31.0,17.0,29.0,94.0,32.0,38.0,24.0,25.0,19.0,15.0,72.0,67.0,116.0,0.0,44.0,33.0,519.0,22.0
815,3.0,50.0,9.0,23.0,24.0,10.0,11.0,8.0,5.0,30.0,13.0,16.0,14.0,18.0,15.0,19.0,12.0,137.0,40.0,192.0,36.0,61.0,93.0,1514.0,2165.0,2.0,22.0,27.0,35.0,20.0
864,5.0,0.0,1.0,7.0,17.0,3.0,4.0,11.0,30.0,2.0,14.0,12.0,13.0,39.0,16.0,18.0,15.0,68.0,54.0,8.0,21.0,27.0,141.0,38.0,45.0,9.0,50.0,19.0,40.0,22.0
913,0.0,5.0,4.0,26.0,27.0,3.0,2.0,10.0,42.0,1.0,15.0,16.0,14.0,21.0,13.0,35.0,12.0,36.0,674.0,71.0,6.0,9.0,20.0,63.0,50.0,19.0,17.0,8.0,79.0,11.0
962,0.0,33.0,10.0,8.0,9.0,5.0,4.0,23.0,3.0,2.0,17.0,19.0,18.0,31.0,16.0,21.0,15.0,35.0,72.0,37.0,6.0,26.0,11.0,32.0,63.0,1.0,64.0,25.0,42.0,14.0
1011,2.0,4.0,3.0,0.0,1.0,11.0,10.0,63.0,5.0,23.0,32.0,35.0,33.0,14.0,36.0,13.0,34.0,9.0,18.0,50.0,93.0,86.0,15.0,8.0,12.0,158.0,7.0,2623.0,39.0,27.0
