,hsa-miR-31,hsa-miR-1256,hsa-miR-449b,hsa-miR-223,hsa-miR-30c,hsa-miR-548d-3p,hsa-miR-574-5p,hsa-miR-205,hsa-miR-770-5p,kshv-miR-K12-11,hsa-miR-548b-5p,hsa-miR-1254,hsv1-miR-H2-3p,hsa-miR-27b,hsa-miR-155,hsa-miR-1910,hsa-miR-584,hsa-miR-1913,hsa-miR-579,hsa-miR-486-3p,hsa-miR-33b,hsa-miR-22,hsa-miR-891a,hsa-miR-451,hsa-miR-143,hsa-miR-604,hsa-miR-892a,hsa-miR-323-5p,ebv-miR-BART13,hsa-miR-599
16,0.0,2.0,3.0,17.0,9.0,1.0,51.0,5.0,7.0,32.0,22.0,24.0,16.0,10.0,40.0,30.0,23.0,41.0,15.0,39.0,36.0,72.0,19.0,46.0,13.0,8.0,57.0,21.0,114.0,54.0
65,12.0,22.0,4.0,16.0,2.0,7.0,72.0,5.0,10.0,1.0,67.0,11.0,6.0,0.0,86.0,18.0,49.0,40.0,24.0,190.0,14.0,56.0,71.0,21.0,13.0,66.0,133.0,50.0,15.0,45.0
114,2.0,12.0,5.0,47.0,3.0,1.0,33.0,0.0,6.0,4.0,29.0,31.0,21.0,17.0,9.0,25.0,46.0,24.0,30.0,42.0,14.0,135.0,36.0,11.0,48.0,90.0,8.0,10.0,19.0,23.0
163,1.0,39.0,0.0,25.0,11.0,4.0,106.0,5.0,2.0,22.0,76.0,15.0,86.0,3.0,9.0,13.0,66.0,38.0,27.0,55.0,14.0,153.0,104.0,57.0,19.0,166.0,70.0,36.0,79.0,21.0
212,8.0,3.0,0.0,2.0,9.0,13.0,43.0,4.0,11.0,15.0,16.0,10.0,6.0,1.0,41.0,24.0,22.0,40.0,49.0,59.0,30.0,101.0,89.0,18.0,31.0,304.0,223.0,14.0,62.0,36.0
261,3.0,12.0,0.0,18.0,13.0,4.0,7.0,6.0,5.0,2.0,52.0,37.0,9.0,1.0,8.0,41.0,111.0,29.0,44.0,143.0,30.0,89.0,68.0,28.0,10.0,115.0,170.0,23.0,42.0,22.0
310,5.0,0.0,1.0,26.0,11.0,2.0,27.0,8.0,10.0,7.0,62.0,22.0,3.0,9.0,33.0,48.0,131.0,24.0,18.0,57.0,4.0,170.0,51.0,15.0,13.0,12.0,63.0,19.0,31.0,35.0
359,0.0,9.0,2.0,53.0,15.0,7.0,11.0,3.0,6.0,1.0,21.0,5.0,4.0,95.0,41.0,38.0,93.0,33.0,55.0,72.0,17.0,101.0,46.0,29.0,12.0,176.0,84.0,80.0,62.0,44.0
408,0.0,26.0,1.0,16.0,17.0,2.0,24.0,14.0,42.0,7.0,5.0,6.0,9.0,69.0,41.0,18.0,23.0,87.0,52.0,38.0,25.0,19.0,47.0,27.0,11.0,29.0,20.0,4.0,126.0,114.0
457,7.0,10.0,3.0,2.0,4.0,6.0,54.0,0.0,33.0,14.0,93.0,15.0,23.0,1.0,29.0,97.0,138.0,21.0,133.0,103.0,37.0,55.0,28.0,38.0,9.0,18.0,309.0,19.0,22.0,116.0
506,11.0,4.0,3.0,0.0,26.0,13.0,16.0,2.0,5.0,6.0,1.0,52.0,31.0,8.0,22.0,27.0,194.0,10.0,37.0,35.0,20.0,121.0,41.0,50.0,115.0,79.0,168.0,9.0,49.0,76.0
555,4.0,3.0,82.0,5.0,14.0,25.0,20.0,16.0,28.0,37.0,6.0,26.0,23.0,9.0,40.0,7.0,131.0,19.0,29.0,42.0,27.0,77.0,38.0,45.0,109.0,87.0,161.0,35.0,153.0,79.0
604,1.0,10.0,13.0,2.0,19.0,14.0,7.0,3.0,17.0,12.0,62.0,82.0,16.0,20.0,4.0,5.0,58.0,35.0,66.0,39.0,41.0,23.0,28.0,60.0,6.0,157.0,87.0,26.0,21.0,65.0
653,14.0,0.0,18.0,3.0,48.0,1.0,24.0,16.0,26.0,7.0,27.0,70.0,9.0,154.0,58.0,4.0,51.0,17.0,10.0,87.0,45.0,80.0,46.0,96.0,23.0,99.0,210.0,49.0,2.0,19.0
702,7.0,10.0,9.0,2.0,14.0,40.0,84.0,1.0,11.0,0.0,6.0,54.0,12.0,83.0,8.0,3.0,73.0,20.0,24.0,18.0,48.0,19.0,50.0,31.0,104.0,52.0,91.0,13.0,60.0,43.0
751,4.0,10.0,2.0,0.0,7.0,59.0,21.0,28.0,1.0,14.0,31.0,72.0,22.0,88.0,27.0,8.0,15.0,29.0,18.0,51.0,58.0,64.0,82.0,99.0,6.0,128.0,213.0,17.0,19.0,67.0
800,1.0,0.0,11.0,2.0,17.0,22.0,34.0,8.0,5.0,7.0,15.0,64.0,26.0,146.0,33.0,52.0,55.0,24.0,59.0,27.0,76.0,126.0,28.0,117.0,20.0,180.0,157.0,4.0,18.0,13.0
849,51.0,2.0,13.0,5.0,7.0,6.0,33.0,14.0,10.0,3.0,8.0,57.0,32.0,16.0,55.0,0.0,168.0,30.0,27.0,21.0,109.0,28.0,26.0,40.0,15.0,61.0,149.0,60.0,23.0,31.0
898,15.0,11.0,72.0,4.0,21.0,27.0,13.0,2.0,89.0,1.0,3.0,19.0,35.0,78.0,17.0,8.0,97.0,6.0,10.0,163.0,36.0,134.0,30.0,69.0,99.0,227.0,43.0,28.0,24.0,46.0
947,9.0,1.0,30.0,0.0,6.0,16.0,37.0,3.0,57.0,8.0,66.0,64.0,14.0,58.0,40.0,4.0,91.0,26.0,13.0,47.0,62.0,50.0,21.0,48.0,65.0,23.0,267.0,25.0,41.0,11.0
996,3.0,15.0,4.0,1.0,2.0,7.0,12.0,0.0,17.0,20.0,40.0,5.0,28.0,24.0,8.0,10.0,69.0,13.0,27.0,19.0,119.0,25.0,23.0,26.0,61.0,56.0,80.0,50.0,38.0,32.0
1045,18.0,15.0,9.0,5.0,11.0,4.0,1.0,2.0,8.0,68.0,13.0,10.0,3.0,7.0,35.0,67.0,34.0,74.0,26.0,32.0,16.0,136.0,79.0,30.0,202.0,83.0,71.0,220.0,40.0,14.0
1094,89.0,4.0,5.0,7.0,1.0,6.0,25.0,0.0,9.0,8.0,16.0,3.0,15.0,19.0,11.0,17.0,76.0,122.0,10.0,20.0,27.0,30.0,26.0,12.0,143.0,64.0,145.0,140.0,43.0,14.0
1143,5.0,4.0,0.0,21.0,49.0,2.0,1.0,6.0,18.0,29.0,31.0,7.0,27.0,12.0,114.0,11.0,8.0,63.0,10.0,14.0,58.0,45.0,53.0,15.0,37.0,30.0,72.0,99.0,38.0,48.0
1192,49.0,6.0,0.0,14.0,12.0,5.0,20.0,4.0,8.0,1.0,31.0,13.0,15.0,10.0,23.0,16.0,34.0,109.0,38.0,22.0,11.0,36.0,41.0,19.0,33.0,77.0,17.0,116.0,44.0,9.0
1241,8.0,0.0,1.0,9.0,12.0,6.0,29.0,4.0,7.0,15.0,58.0,5.0,3.0,2.0,26.0,11.0,108.0,91.0,23.0,30.0,16.0,161.0,48.0,19.0,164.0,44.0,37.0,79.0,27.0,20.0
1290,31.0,14.0,1.0,3.0,13.0,5.0,2.0,0.0,12.0,4.0,26.0,8.0,15.0,10.0,23.0,7.0,43.0,70.0,47.0,38.0,19.0,22.0,48.0,11.0,113.0,42.0,40.0,117.0,62.0,67.0
1339,17.0,5.0,27.0,3.0,13.0,1.0,0.0,2.0,15.0,4.0,20.0,18.0,8.0,10.0,11.0,37.0,107.0,28.0,16.0,25.0,35.0,41.0,61.0,22.0,124.0,212.0,86.0,83.0,9.0,42.0
1388,11.0,9.0,0.0,8.0,15.0,5.0,4.0,2.0,6.0,62.0,43.0,33.0,80.0,20.0,27.0,14.0,34.0,30.0,152.0,19.0,65.0,13.0,44.0,21.0,139.0,28.0,228.0,47.0,101.0,91.0
1437,5.0,79.0,0.0,9.0,33.0,12.0,7.0,2.0,14.0,3.0,6.0,13.0,11.0,19.0,61.0,4.0,60.0,100.0,21.0,20.0,26.0,40.0,35.0,15.0,25.0,68.0,70.0,174.0,39.0,22.0
1486,0.0,31.0,7.0,6.0,8.0,2.0,21.0,82.0,1.0,5.0,4.0,33.0,73.0,56.0,3.0,54.0,39.0,24.0,57.0,9.0,20.0,16.0,111.0,34.0,12.0,19.0,46.0,29.0,36.0,23.0
1535,0.0,14.0,5.0,9.0,59.0,4.0,75.0,19.0,24.0,10.0,7.0,31.0,91.0,27.0,3.0,20.0,12.0,28.0,156.0,2.0,11.0,30.0,104.0,47.0,1.0,50.0,133.0,8.0,22.0,17.0
1584,3.0,14.0,0.0,11.0,5.0,1.0,8.0,59.0,20.0,4.0,22.0,16.0,6.0,2.0,25.0,17.0,31.0,58.0,63.0,19.0,34.0,37.0,44.0,30.0,7.0,264.0,223.0,15.0,21.0,56.0
1633,3.0,1.0,6.0,4.0,15.0,10.0,11.0,50.0,5.0,7.0,21.0,17.0,18.0,14.0,0.0,22.0,33.0,31.0,25.0,2.0,19.0,8.0,13.0,48.0,23.0,250.0,37.0,46.0,30.0,32.0
1682,0.0,36.0,1.0,58.0,11.0,7.0,9.0,68.0,46.0,28.0,13.0,41.0,56.0,3.0,2.0,37.0,6.0,65.0,22.0,12.0,4.0,38.0,54.0,17.0,8.0,162.0,14.0,18.0,15.0,111.0
1731,0.0,13.0,3.0,20.0,11.0,17.0,6.0,29.0,14.0,7.0,18.0,16.0,51.0,19.0,12.0,37.0,10.0,22.0,78.0,2.0,8.0,41.0,69.0,23.0,46.0,251.0,73.0,38.0,43.0,59.0
1780,6.0,1.0,11.0,38.0,14.0,7.0,29.0,41.0,27.0,22.0,19.0,16.0,36.0,12.0,4.0,45.0,9.0,43.0,66.0,3.0,2.0,48.0,62.0,17.0,46.0,192.0,88.0,5.0,30.0,20.0
1829,0.0,2.0,10.0,16.0,11.0,25.0,68.0,52.0,8.0,4.0,7.0,14.0,58.0,1.0,3.0,51.0,31.0,15.0,47.0,9.0,26.0,95.0,41.0,22.0,18.0,173.0,12.0,223.0,33.0,20.0
1878,1.0,6.0,3.0,9.0,4.0,13.0,15.0,66.0,54.0,14.0,11.0,7.0,32.0,45.0,16.0,25.0,22.0,49.0,12.0,2.0,34.0,65.0,41.0,38.0,0.0,159.0,31.0,21.0,10.0,30.0
1927,0.0,9.0,12.0,29.0,18.0,17.0,14.0,47.0,2.0,1.0,44.0,7.0,35.0,13.0,5.0,22.0,23.0,25.0,123.0,6.0,33.0,43.0,42.0,39.0,8.0,216.0,221.0,40.0,48.0,3.0
1976,3.0,0.0,7.0,9.0,18.0,99.0,2.0,8.0,1.0,25.0,24.0,6.0,133.0,4.0,67.0,15.0,12.0,5.0,121.0,138.0,37.0,33.0,30.0,21.0,11.0,49.0,44.0,180.0,22.0,51.0
2025,13.0,9.0,38.0,57.0,17.0,4.0,0.0,15.0,3.0,27.0,7.0,5.0,1.0,16.0,129.0,8.0,6.0,2.0,26.0,60.0,14.0,31.0,39.0,53.0,45.0,33.0,120.0,119.0,24.0,84.0
2074,9.0,1.0,24.0,10.0,96.0,73.0,0.0,8.0,15.0,3.0,14.0,2.0,16.0,7.0,19.0,18.0,4.0,27.0,13.0,106.0,43.0,20.0,81.0,26.0,17.0,12.0,6.0,114.0,52.0,129.0
2123,2.0,0.0,32.0,5.0,73.0,46.0,3.0,4.0,1.0,7.0,18.0,6.0,101.0,15.0,95.0,14.0,29.0,24.0,40.0,37.0,20.0,57.0,79.0,50.0,21.0,11.0,17.0,78.0,26.0,70.0
2172,6.0,0.0,3.0,36.0,38.0,12.0,2.0,29.0,4.0,21.0,11.0,8.0,13.0,1.0,77.0,31.0,10.0,25.0,14.0,134.0,44.0,80.0,30.0,47.0,19.0,7.0,53.0,205.0,175.0,41.0
2221,23.0,1.0,25.0,6.0,24.0,75.0,0.0,14.0,2.0,33.0,12.0,4.0,64.0,5.0,81.0,60.0,3.0,32.0,8.0,121.0,13.0,27.0,34.0,37.0,16.0,31.0,38.0,92.0,41.0,39.0
2270,10.0,1.0,76.0,4.0,28.0,16.0,3.0,27.0,2.0,23.0,19.0,5.0,40.0,12.0,49.0,20.0,164.0,7.0,21.0,88.0,64.0,45.0,24.0,32.0,25.0,18.0,37.0,52.0,95.0,0.0
2319,19.0,0.0,15.0,5.0,28.0,69.0,11.0,9.0,13.0,4.0,6.0,3.0,31.0,1.0,51.0,10.0,7.0,39.0,18.0,133.0,82.0,38.0,30.0,42.0,2.0,44.0,58.0,54.0,20.0,17.0
2368,27.0,0.0,12.0,18.0,8.0,17.0,1.0,7.0,5.0,16.0,78.0,6.0,140.0,46.0,164.0,44.0,4.0,20.0,50.0,237.0,70.0,13.0,43.0,90.0,51.0,3.0,30.0,156.0,84.0,11.0
2417,35.0,0.0,8.0,14.0,11.0,41.0,1.0,15.0,2.0,3.0,9.0,19.0,102.0,44.0,10.0,18.0,13.0,33.0,4.0,12.0,77.0,7.0,6.0,51.0,26.0,38.0,74.0,121.0,24.0,43.0
2466,12.0,0.0,9.0,28.0,1.0,4.0,2.0,35.0,3.0,13.0,101.0,7.0,60.0,126.0,74.0,22.0,8.0,21.0,16.0,5.0,27.0,11.0,23.0,26.0,228.0,25.0,6.0,46.0,66.0,206.0
2515,3.0,1.0,0.0,15.0,16.0,2.0,8.0,7.0,14.0,28.0,10.0,97.0,4.0,134.0,22.0,68.0,27.0,30.0,11.0,5.0,31.0,20.0,9.0,38.0,49.0,6.0,13.0,95.0,18.0,52.0
2564,4.0,0.0,22.0,8.0,10.0,2.0,37.0,157.0,7.0,18.0,19.0,27.0,1.0,44.0,46.0,106.0,14.0,28.0,12.0,32.0,5.0,122.0,43.0,25.0,105.0,13.0,3.0,26.0,23.0,42.0
2613,18.0,2.0,28.0,8.0,5.0,0.0,11.0,24.0,4.0,15.0,52.0,53.0,9.0,180.0,54.0,109.0,13.0,7.0,33.0,16.0,12.0,14.0,20.0,25.0,257.0,1.0,10.0,27.0,23.0,71.0
2662,7.0,1.0,8.0,2.0,12.0,10.0,28.0,5.0,11.0,35.0,40.0,54.0,16.0,233.0,23.0,53.0,4.0,3.0,39.0,42.0,32.0,15.0,18.0,17.0,84.0,6.0,0.0,126.0,36.0,33.0
2711,4.0,5.0,0.0,10.0,6.0,1.0,23.0,2.0,13.0,25.0,105.0,60.0,15.0,149.0,16.0,35.0,7.0,28.0,3.0,38.0,22.0,32.0,30.0,74.0,54.0,9.0,8.0,31.0,75.0,46.0
2760,7.0,5.0,17.0,0.0,1.0,4.0,12.0,41.0,21.0,26.0,15.0,18.0,22.0,132.0,36.0,91.0,2.0,3.0,27.0,31.0,32.0,53.0,20.0,52.0,54.0,19.0,8.0,38.0,6.0,30.0
2809,5.0,0.0,2.0,3.0,4.0,8.0,12.0,27.0,9.0,6.0,88.0,18.0,26.0,69.0,31.0,43.0,19.0,7.0,17.0,104.0,46.0,24.0,21.0,29.0,154.0,23.0,10.0,30.0,15.0,125.0
