,SCN3B_DEL,BRAF.V600E_MUT,BRAF_MUT,FAM190A_DEL,UPF3A_AMP,ZNF705G_AMP,RBFOX1_DEL,CDK11A_DEL,PCDH9_DEL,SFMBT1_AMP,ETS1_DEL,SGCZ_DEL,HLA-DQB1_DEL,ZNF826P_DEL,ANKS1B_DEL,OR2T10_AMP,RGPD4_AMP,GUSBP3_DEL,MBP_DEL,ADAMTSL3_DEL,FARS2_DEL,CNTN5_DEL,ME3_DEL,LOC100287534_AMP,CACNA2D3_DEL,LOC100506776_AMP,CES1P1_DEL,PDE4DIP_AMP,TP53_MUT,OR2T35_AMP
33,11.0,35.0,16554.0,45.0,47.0,127.0,6.0,52.0,77.0,22015.0,84.0,69.0,25.0,43.0,16.0,62.0,87.0,136.0,50.0,11425.0,22.0,10404.0,3.0,122.0,9516.0,15783.0,102.0,32.0,70.0,13734.0
82,8.0,31.0,16571.0,86.0,32.0,50.0,9451.0,61.0,9875.0,21983.0,14.0,40.0,55.0,75.0,103.0,68.0,120.0,142.0,34.0,11410.0,11.0,53.0,122.0,88.0,110.0,15794.0,49.0,18840.0,111.0,13751.0
131,0.0,18.0,16558.0,74.0,11.0,52.0,9451.0,68.0,44.0,21985.0,60.0,90.0,824.0,138.0,16.0,16991.0,106.0,96.0,130.0,11428.0,20100.0,38.0,46.0,135.0,9526.0,15792.0,58.0,42.0,79.0,13731.0
180,6.0,29.0,128.0,91.0,52.0,117.0,9444.0,7441.0,130.0,21977.0,88.0,49.0,35.0,17.0,1.0,96.0,140.0,123.0,85.0,121.0,23.0,103.0,9.0,132.0,99.0,15790.0,60.0,62.0,92.0,106.0
229,18.0,63.0,3.0,97.0,23767.0,55.0,9451.0,51.0,52.0,93.0,76.0,89.0,92.0,134.0,8.0,128.0,145.0,106.0,100.0,11430.0,49.0,65.0,10.0,129.0,9527.0,114.0,79.0,41.0,98.0,13729.0
278,56.0,15.0,82.0,59.0,32.0,79.0,25.0,69.0,50.0,9.0,30.0,76.0,60.0,92.0,39.0,136.0,86.0,45.0,61.0,74.0,20096.0,75.0,16.0,95.0,21.0,15785.0,97.0,119.0,77.0,13746.0
327,0.0,35.0,18.0,38.0,19.0,92.0,9442.0,34.0,44.0,31.0,39.0,65.0,786.0,80.0,11568.0,70.0,56.0,93.0,111.0,11424.0,6.0,119.0,20.0,78.0,9517.0,15778.0,143.0,64.0,98.0,13748.0
376,1.0,24.0,34.0,69.0,52.0,15441.0,9442.0,43.0,131.0,108.0,46.0,39.0,796.0,60.0,11571.0,61.0,92.0,98.0,29.0,11427.0,51.0,89.0,62.0,86.0,94.0,15787.0,121.0,49.0,139.0,13745.0
425,1.0,20115.0,30.0,72.0,21.0,148.0,9447.0,18.0,116.0,21995.0,74.0,102.0,576.0,93.0,2.0,85.0,104.0,131.0,62.0,11431.0,54.0,65.0,10.0,69.0,9522.0,15794.0,84.0,71.0,125.0,13745.0
474,0.0,27.0,36.0,47.0,30.0,21.0,9449.0,48.0,111.0,37.0,5910.0,40.0,810.0,49.0,11576.0,148.0,91.0,120.0,117.0,11409.0,20098.0,29.0,69.0,81.0,9524.0,101.0,83.0,135.0,136.0,13748.0
523,5.0,73.0,25.0,44.0,23781.0,35.0,120.0,46.0,81.0,21978.0,28.0,113.0,772.0,82.0,11705.0,111.0,16.0,71.0,179.0,65.0,18.0,142.0,32.0,59.0,9518.0,19.0,64.0,130.0,117.0,13744.0
572,9523.0,110.0,6.0,31.0,23763.0,41.0,60.0,7460.0,58.0,21982.0,84.0,75.0,37.0,26.0,11591.0,46.0,134.0,73.0,1718.0,85.0,20115.0,63.0,4044.0,113.0,91.0,15789.0,104.0,80.0,90.0,83.0
621,30.0,22.0,1.0,44.0,23763.0,92.0,137.0,7438.0,68.0,21982.0,16.0,71.0,0.0,59.0,11578.0,50.0,140.0,107.0,1713.0,12.0,101.0,89.0,96.0,111.0,62.0,70.0,114.0,18843.0,86.0,98.0
670,70.0,23.0,16571.0,61.0,23782.0,62.0,56.0,49.0,67.0,21978.0,5915.0,66.0,57.0,135.0,11572.0,102.0,83.0,52.0,119.0,40.0,8.0,99.0,18.0,74.0,9523.0,81.0,88.0,39.0,64.0,13747.0
719,0.0,17.0,71.0,83.0,23773.0,165.0,64.0,99.0,121.0,21991.0,38.0,62.0,51.0,47.0,11576.0,119.0,63.0,133.0,1742.0,118.0,132.0,116.0,4053.0,86.0,74.0,73.0,92.0,18848.0,105.0,24.0
768,31.0,30.0,97.0,57.0,23767.0,74.0,43.0,60.0,116.0,21983.0,88.0,55.0,827.0,81.0,86.0,62.0,10.0,118.0,1722.0,11409.0,20099.0,46.0,96.0,75.0,9527.0,44.0,92.0,18845.0,113.0,13750.0
817,8.0,20129.0,22.0,63.0,23764.0,64.0,90.0,7439.0,79.0,29.0,62.0,76.0,103.0,11127.0,11573.0,45.0,14.0,84.0,126.0,65.0,20100.0,74.0,4046.0,71.0,9525.0,55.0,114.0,10.0,116.0,51.0
866,0.0,22.0,96.0,47.0,23769.0,43.0,100.0,7425.0,98.0,12.0,57.0,48.0,26.0,52.0,11578.0,30.0,108.0,105.0,1719.0,60.0,20100.0,59.0,44.0,40.0,87.0,73.0,83.0,34.0,134.0,13729.0
915,26.0,20169.0,17.0,25.0,23771.0,41.0,42.0,49.0,111.0,21989.0,6045.0,85.0,829.0,83.0,11578.0,54.0,66.0,109.0,1718.0,82.0,65.0,126.0,92.0,86.0,9531.0,15793.0,90.0,52.0,121.0,50.0
964,9504.0,32.0,56.0,43.0,23763.0,68.0,20.0,7420.0,107.0,21984.0,48.0,69.0,759.0,75.0,11576.0,58.0,113.0,94.0,1712.0,11408.0,20099.0,110.0,9.0,108.0,9502.0,41.0,85.0,18840.0,96.0,79.0
1013,60.0,17.0,75.0,36.0,23767.0,66.0,9449.0,30.0,59.0,44.0,43.0,55.0,555.0,85.0,11573.0,117.0,126.0,71.0,33.0,11427.0,20096.0,100.0,76.0,133.0,16.0,15787.0,97.0,92.0,74.0,89.0
1062,12.0,5.0,65.0,74.0,27.0,15.0,42.0,51.0,33.0,9.0,85.0,84.0,23.0,11123.0,80.0,47.0,135.0,44.0,110.0,11448.0,20096.0,122.0,43.0,116.0,68.0,127.0,92.0,18846.0,120.0,13745.0
1111,9521.0,1.0,58.0,92.0,25.0,38.0,16.0,52.0,14.0,17.0,51.0,96.0,106.0,100.0,67.0,151.0,124.0,35.0,60.0,11448.0,20099.0,18.0,81.0,156.0,9523.0,109.0,79.0,42.0,122.0,43.0
1160,77.0,10.0,112.0,43.0,57.0,42.0,22.0,56.0,64.0,21983.0,35.0,74.0,97.0,156.0,11574.0,124.0,46.0,49.0,152.0,38.0,20100.0,10415.0,78.0,147.0,19.0,53.0,82.0,18847.0,79.0,14.0
1209,9504.0,20112.0,16557.0,114.0,62.0,16.0,40.0,128.0,32.0,21982.0,106.0,63.0,88.0,60.0,11572.0,153.0,81.0,28.0,33.0,51.0,20096.0,107.0,4037.0,150.0,9502.0,15785.0,61.0,18844.0,155.0,14.0
1258,4.0,22.0,15.0,137.0,92.0,78.0,12.0,7443.0,41.0,19.0,40.0,73.0,16.0,100.0,7.0,156.0,72.0,42.0,50.0,65.0,20099.0,138.0,45.0,130.0,84.0,5.0,114.0,18846.0,99.0,29.0
1307,15.0,48.0,16556.0,61.0,23761.0,64.0,44.0,18.0,30.0,104.0,0.0,75.0,80.0,125.0,11685.0,85.0,71.0,56.0,58.0,11446.0,20096.0,96.0,4042.0,93.0,107.0,87.0,92.0,18840.0,101.0,13743.0
1356,0.0,22.0,17.0,62.0,43.0,37.0,31.0,52.0,48.0,26.0,57.0,133.0,44.0,11156.0,9.0,93.0,12618.0,53.0,153.0,11413.0,20100.0,23.0,11.0,122.0,9507.0,15809.0,87.0,85.0,138.0,35.0
1405,9520.0,10.0,93.0,46.0,19.0,83.0,42.0,33.0,39.0,21976.0,60.0,76.0,824.0,35.0,108.0,139.0,12606.0,38.0,97.0,6.0,20115.0,10409.0,43.0,143.0,28.0,127.0,80.0,18839.0,74.0,14.0
1454,9526.0,10.0,16559.0,53.0,23767.0,95.0,13.0,38.0,42.0,16.0,41.0,86.0,806.0,11126.0,11573.0,91.0,59.0,60.0,85.0,11430.0,20098.0,98.0,102.0,112.0,9527.0,106.0,64.0,14.0,127.0,78.0
1503,9523.0,90.0,0.0,47.0,4.0,36.0,13.0,7464.0,102.0,38.0,6012.0,83.0,800.0,121.0,11595.0,34.0,108.0,152.0,1740.0,11452.0,18.0,10414.0,103.0,15131.0,9525.0,67.0,106.0,119.0,166.0,110.0
1552,4.0,20.0,13.0,45.0,10.0,93.0,9444.0,7434.0,21.0,21978.0,17.0,74.0,818.0,11147.0,26.0,34.0,43.0,54.0,1706.0,87.0,18.0,56.0,4051.0,71.0,88.0,114.0,107.0,128.0,142.0,117.0
1601,16.0,8.0,47.0,71.0,14.0,26.0,94.0,59.0,9864.0,20.0,5794.0,110.0,31.0,108.0,101.0,33.0,95.0,157.0,1731.0,11446.0,20115.0,88.0,103.0,134.0,50.0,15787.0,89.0,63.0,143.0,13744.0
1650,10.0,6.0,99.0,53.0,22.0,39.0,96.0,45.0,111.0,21994.0,63.0,73.0,8.0,11117.0,71.0,16.0,61.0,89.0,118.0,11421.0,20137.0,65.0,66.0,78.0,9515.0,82.0,91.0,113.0,133.0,13734.0
1699,7.0,5.0,20.0,56.0,91.0,54.0,27.0,50.0,15.0,72.0,5917.0,69.0,55.0,42.0,88.0,95.0,63.0,83.0,178.0,11448.0,20115.0,99.0,4040.0,15124.0,9520.0,15787.0,100.0,18844.0,157.0,78.0
1748,6.0,20110.0,28.0,44.0,23761.0,42.0,18.0,34.0,31.0,27.0,125.0,120.0,21.0,86.0,2.0,108.0,55.0,69.0,173.0,41.0,10.0,66.0,4039.0,87.0,95.0,15786.0,96.0,18843.0,129.0,102.0
1797,9522.0,20112.0,26.0,100.0,36.0,47.0,9448.0,82.0,57.0,67.0,5918.0,96.0,48.0,83.0,19.0,46.0,53.0,74.0,1712.0,11427.0,12.0,10412.0,68.0,128.0,148.0,120.0,166.0,38.0,94.0,13750.0
1846,31.0,17.0,14.0,74.0,21.0,33.0,9450.0,85.0,9873.0,20.0,6035.0,101.0,32.0,36.0,104.0,55.0,78.0,132.0,128.0,64.0,20099.0,158.0,63.0,42.0,107.0,65.0,153.0,27.0,82.0,25.0
1895,8.0,11.0,18.0,43.0,44.0,64.0,123.0,29.0,134.0,21978.0,102.0,98.0,33.0,11123.0,32.0,185.0,62.0,126.0,120.0,11448.0,3.0,114.0,40.0,90.0,109.0,140.0,122.0,18837.0,148.0,54.0
1944,1.0,20114.0,13.0,52.0,23763.0,32.0,9445.0,7435.0,9869.0,29.0,53.0,66.0,130.0,25.0,11573.0,70.0,12609.0,84.0,1734.0,11429.0,20098.0,150.0,4037.0,119.0,9523.0,15794.0,73.0,62.0,65.0,13744.0
1993,9511.0,9.0,21.0,48.0,8.0,46.0,35.0,28.0,55.0,62.0,140.0,71.0,770.0,11121.0,11704.0,164.0,91.0,39.0,16.0,117.0,20115.0,121.0,63.0,115.0,9523.0,30.0,175.0,18838.0,43.0,13737.0
2042,9513.0,11.0,9.0,47.0,28.0,86.0,13.0,49.0,60.0,21995.0,44.0,109.0,19.0,102.0,67.0,74.0,12602.0,78.0,58.0,106.0,0.0,81.0,35.0,164.0,4.0,15789.0,143.0,18835.0,134.0,48.0
2091,9521.0,6.0,63.0,50.0,60.0,92.0,33.0,66.0,76.0,19.0,14.0,117.0,150.0,53.0,11593.0,91.0,43.0,70.0,1720.0,11450.0,20.0,116.0,4045.0,96.0,0.0,15793.0,136.0,18846.0,138.0,13748.0
2140,9525.0,6.0,2.0,46.0,13.0,122.0,9450.0,7419.0,70.0,69.0,21.0,89.0,552.0,11154.0,29.0,114.0,63.0,66.0,55.0,11430.0,0.0,10417.0,4045.0,105.0,15.0,15789.0,132.0,41.0,126.0,13749.0
2189,9527.0,20142.0,16.0,32.0,48.0,53.0,67.0,7442.0,78.0,88.0,5918.0,114.0,73.0,11153.0,11575.0,60.0,86.0,110.0,46.0,52.0,3.0,134.0,4049.0,72.0,127.0,15789.0,138.0,18782.0,131.0,39.0
2238,9517.0,23.0,14.0,25.0,50.0,107.0,18.0,74.0,42.0,40.0,5.0,66.0,90.0,11145.0,58.0,77.0,75.0,45.0,60.0,11426.0,4.0,61.0,89.0,96.0,30.0,15780.0,99.0,18834.0,125.0,13749.0
2287,9514.0,6.0,87.0,60.0,38.0,29.0,76.0,119.0,86.0,5.0,49.0,83.0,774.0,70.0,21.0,22.0,75.0,68.0,101.0,107.0,26.0,100.0,19.0,168.0,9516.0,15786.0,121.0,18837.0,153.0,18.0
2336,9522.0,10.0,90.0,41.0,11.0,69.0,9.0,7443.0,108.0,21981.0,29.0,121.0,107.0,84.0,18.0,65.0,81.0,103.0,155.0,130.0,6.0,49.0,4049.0,125.0,15.0,39.0,184.0,20.0,111.0,13749.0
2385,23.0,20.0,43.0,55.0,19.0,53.0,9450.0,7418.0,132.0,21979.0,5.0,66.0,826.0,11154.0,11578.0,25.0,12623.0,137.0,1684.0,45.0,0.0,81.0,88.0,131.0,14.0,15788.0,135.0,18846.0,63.0,13748.0
2434,9523.0,12.0,14.0,49.0,27.0,101.0,9449.0,56.0,84.0,21980.0,1.0,55.0,43.0,70.0,11574.0,130.0,63.0,132.0,7.0,154.0,28.0,37.0,4038.0,159.0,9504.0,15787.0,166.0,78.0,150.0,13748.0
2483,9515.0,32.0,67.0,51.0,42.0,64.0,39.0,26.0,36.0,63.0,18.0,52.0,23.0,37.0,11635.0,47.0,58.0,79.0,30.0,107.0,10.0,56.0,4049.0,49.0,55.0,123.0,87.0,46.0,74.0,95.0
2532,9525.0,20114.0,8.0,51.0,23762.0,29.0,9449.0,27.0,12.0,16.0,58.0,75.0,97.0,84.0,40.0,107.0,106.0,88.0,43.0,53.0,18.0,98.0,4043.0,63.0,83.0,66.0,90.0,22.0,153.0,13750.0
2581,9523.0,20110.0,5.0,50.0,23765.0,33.0,9450.0,10.0,69.0,41.0,4.0,68.0,799.0,106.0,86.0,122.0,67.0,117.0,81.0,49.0,12.0,10395.0,4038.0,94.0,9502.0,26.0,146.0,71.0,118.0,13725.0
2630,8.0,20108.0,2.0,37.0,23761.0,46.0,9443.0,10.0,16.0,27.0,32.0,69.0,70.0,91.0,74.0,160.0,41.0,64.0,102.0,78.0,6.0,133.0,4029.0,29.0,35.0,49.0,130.0,18838.0,92.0,13741.0
