,SCN3B_DEL,BRAF.V600E_MUT,BRAF_MUT,FAM190A_DEL,UPF3A_AMP,ZNF705G_AMP,RBFOX1_DEL,CDK11A_DEL,PCDH9_DEL,SFMBT1_AMP,ETS1_DEL,SGCZ_DEL,HLA-DQB1_DEL,ZNF826P_DEL,ANKS1B_DEL,OR2T10_AMP,RGPD4_AMP,GUSBP3_DEL,MBP_DEL,ADAMTSL3_DEL,FARS2_DEL,CNTN5_DEL,ME3_DEL,LOC100287534_AMP,CACNA2D3_DEL,LOC100506776_AMP,CES1P1_DEL,PDE4DIP_AMP,TP53_MUT,OR2T35_AMP
2679,9523.0,20115.0,32.0,51.0,60.0,64.0,24.0,43.0,41.0,21981.0,53.0,69.0,92.0,11125.0,11573.0,72.0,3.0,87.0,21.0,56.0,20099.0,10413.0,4041.0,83.0,59.0,71.0,122.0,126.0,68.0,48.0
2728,74.0,20114.0,31.0,49.0,23767.0,27.0,52.0,38.0,46.0,64.0,51.0,88.0,833.0,82.0,84.0,34.0,56.0,91.0,13.0,73.0,15.0,128.0,4041.0,117.0,7.0,57.0,137.0,39.0,115.0,21.0
2777,9518.0,13.0,12.0,33.0,23782.0,41.0,65.0,15.0,53.0,47.0,16.0,69.0,95.0,120.0,11569.0,24.0,138.0,92.0,38.0,77.0,30.0,160.0,4036.0,66.0,132.0,139.0,115.0,109.0,76.0,62.0
2826,9526.0,20.0,31.0,71.0,23765.0,55.0,21.0,7440.0,26.0,82.0,108.0,56.0,801.0,11153.0,75.0,68.0,109.0,91.0,63.0,40.0,19.0,142.0,125.0,103.0,133.0,99.0,121.0,37.0,85.0,81.0
2875,0.0,7.0,32.0,47.0,23782.0,50.0,28.0,7436.0,30.0,22.0,78.0,95.0,824.0,33.0,11570.0,75.0,69.0,96.0,91.0,98.0,20115.0,138.0,4040.0,62.0,17.0,37.0,113.0,79.0,68.0,41.0
2924,6.0,20145.0,20.0,50.0,23768.0,33.0,9456.0,43.0,2.0,16.0,134.0,59.0,840.0,11158.0,11581.0,87.0,103.0,69.0,1725.0,65.0,67.0,137.0,32.0,56.0,39.0,107.0,166.0,72.0,117.0,79.0
2973,21.0,20111.0,30.0,73.0,49.0,52.0,137.0,11.0,31.0,26.0,5916.0,59.0,22.0,35.0,85.0,112.0,68.0,102.0,45.0,90.0,20115.0,10417.0,113.0,15121.0,69.0,78.0,126.0,119.0,54.0,60.0
3022,42.0,14.0,44.0,77.0,76.0,39.0,99.0,7441.0,50.0,73.0,121.0,75.0,142.0,11126.0,38.0,117.0,112.0,54.0,164.0,58.0,20099.0,10419.0,107.0,103.0,102.0,144.0,86.0,134.0,90.0,33.0
3071,9526.0,20142.0,11.0,43.0,73.0,45.0,2.0,77.0,90.0,26.0,6012.0,86.0,85.0,76.0,55.0,66.0,126.0,112.0,169.0,11453.0,20101.0,79.0,25.0,34.0,95.0,78.0,132.0,58.0,96.0,13752.0
3120,12.0,20110.0,24.0,28.0,33.0,80.0,9440.0,7433.0,32.0,21975.0,5815.0,91.0,38.0,86.0,11704.0,76.0,165.0,61.0,146.0,83.0,20116.0,84.0,41.0,150.0,9516.0,15783.0,113.0,18836.0,68.0,13741.0
3169,5.0,31.0,16554.0,29.0,35.0,42.0,9444.0,7417.0,62.0,21979.0,104.0,56.0,48.0,76.0,65.0,55.0,129.0,45.0,151.0,30.0,97.0,80.0,37.0,155.0,9518.0,15783.0,86.0,18837.0,49.0,13746.0
3218,14.0,20143.0,57.0,29.0,38.0,28.0,9448.0,66.0,60.0,21980.0,119.0,95.0,81.0,84.0,73.0,20.0,91.0,75.0,103.0,11451.0,20102.0,113.0,85.0,4.0,9522.0,15792.0,100.0,142.0,109.0,13751.0
3267,9521.0,20130.0,6.0,38.0,56.0,62.0,52.0,19.0,54.0,37.0,145.0,85.0,23.0,7.0,11712.0,125.0,12613.0,84.0,154.0,69.0,17.0,26.0,14.0,94.0,9.0,15789.0,152.0,80.0,138.0,88.0
3316,1.0,20113.0,16559.0,49.0,23761.0,51.0,48.0,52.0,53.0,25.0,100.0,85.0,76.0,78.0,57.0,55.0,12611.0,75.0,188.0,122.0,20097.0,10419.0,46.0,15123.0,11.0,15788.0,159.0,96.0,65.0,13745.0
3365,8.0,20129.0,31.0,36.0,82.0,68.0,9453.0,73.0,22.0,56.0,135.0,97.0,119.0,32.0,30.0,190.0,157.0,78.0,177.0,11433.0,20101.0,145.0,4055.0,15131.0,51.0,18.0,154.0,18782.0,112.0,13733.0
3414,28.0,20111.0,11.0,51.0,17.0,98.0,9448.0,7459.0,90.0,21982.0,130.0,62.0,87.0,11096.0,0.0,24.0,12623.0,97.0,137.0,37.0,20115.0,81.0,27.0,43.0,9523.0,44.0,128.0,18842.0,106.0,13728.0
3463,29.0,19.0,16557.0,50.0,38.0,55.0,9449.0,7415.0,93.0,21980.0,25.0,36.0,56.0,11151.0,11574.0,51.0,62.0,128.0,13.0,11427.0,42.0,129.0,78.0,85.0,44.0,75.0,111.0,18840.0,135.0,13747.0
3512,2.0,9.0,19.0,33.0,23763.0,66.0,14.0,118.0,60.0,21979.0,34.0,70.0,781.0,38.0,39.0,138.0,42.0,43.0,93.0,71.0,22.0,50.0,47.0,103.0,9523.0,35.0,82.0,55.0,110.0,13747.0
3561,9520.0,3.0,16570.0,43.0,23766.0,41.0,9446.0,83.0,21.0,60.0,57.0,58.0,85.0,62.0,146.0,36.0,124.0,87.0,39.0,114.0,20096.0,89.0,4046.0,104.0,42.0,149.0,98.0,18825.0,78.0,67.0
3610,1.0,19.0,32.0,63.0,23782.0,99.0,9442.0,18.0,115.0,69.0,96.0,46.0,143.0,128.0,89.0,119.0,49.0,108.0,23.0,58.0,20098.0,57.0,4044.0,37.0,35.0,29.0,72.0,15.0,88.0,13744.0
3659,9526.0,24.0,94.0,60.0,23768.0,105.0,28.0,45.0,36.0,66.0,33.0,42.0,67.0,26.0,11573.0,128.0,86.0,108.0,30.0,70.0,20096.0,96.0,55.0,116.0,9528.0,15792.0,113.0,125.0,102.0,13728.0
3708,3.0,26.0,32.0,89.0,23767.0,124.0,55.0,73.0,87.0,21984.0,24.0,60.0,51.0,31.0,27.0,16971.0,175.0,85.0,1714.0,63.0,20101.0,151.0,4049.0,81.0,25.0,9.0,138.0,113.0,153.0,13732.0
3757,9502.0,20111.0,18.0,45.0,23767.0,15431.0,38.0,12.0,55.0,40.0,10.0,29.0,46.0,99.0,11574.0,48.0,12606.0,129.0,1692.0,71.0,20115.0,10413.0,106.0,44.0,9500.0,15788.0,126.0,59.0,78.0,53.0
3806,0.0,23.0,17.0,62.0,8.0,65.0,9448.0,35.0,68.0,37.0,12.0,59.0,14.0,48.0,7.0,145.0,78.0,119.0,44.0,57.0,20097.0,105.0,4037.0,79.0,28.0,22.0,110.0,94.0,83.0,42.0
3855,48.0,23.0,98.0,60.0,23767.0,77.0,93.0,31.0,91.0,21981.0,41.0,54.0,586.0,134.0,36.0,150.0,40.0,108.0,115.0,59.0,20100.0,50.0,4044.0,89.0,94.0,106.0,95.0,18845.0,47.0,13750.0
3904,9522.0,22.0,56.0,73.0,23763.0,79.0,9447.0,34.0,71.0,43.0,61.0,48.0,819.0,59.0,65.0,16985.0,75.0,87.0,54.0,95.0,20.0,80.0,4040.0,124.0,33.0,70.0,84.0,18845.0,92.0,55.0
3953,0.0,20110.0,30.0,43.0,51.0,153.0,105.0,28.0,101.0,7.0,40.0,115.0,21.0,88.0,11685.0,162.0,35.0,140.0,149.0,11446.0,113.0,10408.0,4041.0,95.0,9520.0,15790.0,150.0,18841.0,97.0,13746.0
4002,13.0,20110.0,16553.0,35.0,37.0,42.0,27.0,87.0,11.0,21979.0,109.0,67.0,71.0,11152.0,93.0,167.0,74.0,68.0,20.0,81.0,21.0,125.0,4038.0,114.0,9500.0,115.0,111.0,39.0,139.0,13746.0
4051,6.0,15.0,90.0,59.0,10.0,119.0,55.0,67.0,142.0,44.0,64.0,87.0,872.0,39.0,84.0,110.0,140.0,144.0,130.0,11448.0,0.0,124.0,4058.0,63.0,109.0,56.0,133.0,48.0,79.0,28.0
4100,2.0,39.0,126.0,57.0,23763.0,168.0,45.0,132.0,40.0,97.0,5793.0,77.0,32.0,91.0,157.0,127.0,12625.0,84.0,21.0,85.0,29.0,10411.0,111.0,98.0,79.0,15793.0,86.0,12.0,69.0,26.0
4149,2.0,102.0,18.0,71.0,23769.0,15440.0,48.0,21.0,9880.0,80.0,0.0,60.0,67.0,145.0,9.0,131.0,94.0,149.0,27.0,11434.0,43.0,10418.0,4057.0,76.0,156.0,51.0,87.0,35.0,107.0,13713.0
4198,11.0,31.0,26.0,64.0,23780.0,49.0,9444.0,46.0,126.0,37.0,17.0,65.0,776.0,165.0,29.0,158.0,122.0,78.0,76.0,11448.0,12.0,75.0,4040.0,15125.0,131.0,51.0,68.0,18838.0,102.0,43.0
4247,5.0,20129.0,15.0,57.0,42.0,168.0,73.0,91.0,138.0,21985.0,6044.0,71.0,75.0,11154.0,11575.0,49.0,130.0,122.0,1.0,92.0,8.0,83.0,4054.0,76.0,86.0,69.0,109.0,102.0,124.0,47.0
4296,11.0,53.0,1.0,57.0,23767.0,99.0,26.0,7422.0,158.0,38.0,107.0,61.0,831.0,85.0,11577.0,121.0,151.0,163.0,4.0,11408.0,20.0,79.0,4039.0,82.0,29.0,32.0,78.0,18843.0,126.0,58.0
4345,2.0,31.0,79.0,46.0,23764.0,76.0,9445.0,7414.0,99.0,49.0,90.0,55.0,824.0,61.0,11567.0,174.0,36.0,80.0,1732.0,63.0,8.0,77.0,4051.0,15120.0,9520.0,45.0,88.0,18840.0,65.0,32.0
4394,11.0,4.0,100.0,61.0,23780.0,74.0,81.0,18.0,68.0,7.0,113.0,40.0,25.0,11150.0,64.0,65.0,59.0,112.0,41.0,29.0,13.0,10415.0,4037.0,98.0,111.0,70.0,105.0,18839.0,47.0,88.0
4443,0.0,79.0,45.0,65.0,23780.0,42.0,53.0,77.0,122.0,50.0,94.0,67.0,60.0,110.0,11569.0,49.0,73.0,117.0,21.0,11422.0,39.0,10406.0,100.0,141.0,9519.0,22.0,163.0,106.0,125.0,28.0
4492,5.0,20115.0,17.0,68.0,19.0,32.0,54.0,20.0,70.0,110.0,6008.0,78.0,103.0,114.0,14.0,86.0,119.0,131.0,166.0,84.0,45.0,28.0,67.0,121.0,39.0,24.0,127.0,18847.0,139.0,13740.0
4541,4.0,22.0,21.0,82.0,63.0,98.0,52.0,7433.0,139.0,21994.0,5785.0,65.0,105.0,83.0,58.0,46.0,133.0,112.0,33.0,59.0,20096.0,101.0,28.0,171.0,116.0,60.0,128.0,37.0,145.0,36.0
4590,0.0,19.0,15.0,73.0,28.0,10.0,62.0,7441.0,9873.0,21978.0,6038.0,66.0,78.0,11155.0,25.0,113.0,99.0,141.0,23.0,97.0,20104.0,10423.0,20.0,168.0,76.0,51.0,148.0,16.0,109.0,49.0
4639,9.0,16.0,16554.0,60.0,57.0,79.0,43.0,7432.0,59.0,33.0,5813.0,87.0,820.0,90.0,89.0,91.0,124.0,76.0,61.0,103.0,6.0,81.0,4031.0,88.0,118.0,92.0,128.0,11.0,125.0,8.0
4688,10.0,42.0,2.0,140.0,44.0,47.0,99.0,7424.0,145.0,21987.0,6040.0,65.0,41.0,84.0,11578.0,98.0,74.0,128.0,43.0,102.0,20101.0,54.0,76.0,109.0,11.0,94.0,85.0,33.0,147.0,13710.0
4737,14.0,4.0,29.0,76.0,36.0,32.0,57.0,111.0,60.0,21983.0,5920.0,56.0,37.0,69.0,33.0,16994.0,88.0,87.0,10.0,77.0,20104.0,116.0,4050.0,177.0,9528.0,148.0,119.0,0.0,122.0,13753.0
4786,1.0,47.0,5.0,56.0,23761.0,15434.0,36.0,7440.0,9868.0,62.0,122.0,81.0,76.0,95.0,67.0,159.0,12609.0,96.0,20.0,11448.0,20096.0,93.0,4041.0,147.0,61.0,136.0,103.0,19.0,112.0,72.0
4835,8.0,102.0,27.0,112.0,23767.0,38.0,52.0,150.0,93.0,56.0,6047.0,60.0,78.0,80.0,107.0,67.0,12622.0,92.0,4.0,85.0,20106.0,117.0,65.0,149.0,81.0,10.0,155.0,18.0,156.0,48.0
4884,8.0,36.0,14.0,47.0,11.0,76.0,9440.0,73.0,9866.0,21978.0,5784.0,65.0,30.0,11144.0,37.0,52.0,134.0,141.0,0.0,87.0,59.0,10405.0,16.0,126.0,82.0,54.0,123.0,18837.0,121.0,13741.0
