,ELF3,ITPRIPL1,RPUSD2,AGAP2,ORC1,SPATA5L1,RP11-613M10.6,HRCT1,PPIC,FANCD2,ARHGAP11B,HNRNPK,SPEN,NCL,MCM6,FAM127C,CNTRL,RP11-680F8.3,ITGB5,SNRPD1,FLI1,HSPB8,MDN1,SHANK2,C16orf54,CPSF6,CPSF3,NHP2L1,SLC35F5,BCL2L1
11,9.0,88.0,16.0,3.0,13.0,28.0,2.0,5.0,8.0,18.0,4.0,0.0,63.0,43.0,38.0,6.0,30.0,31.0,83.0,29.0,6108.0,5794.0,70.0,85.0,17.0,53.0,19.0,242.0,152.0,47.0
60,16.0,1.0,4.0,2.0,3.0,27.0,0.0,18267.0,13.0,20.0,41.0,42.0,49.0,17.0,21.0,18.0,20007.0,53.0,12894.0,12369.0,4918.0,15.0,80.0,68.0,55.0,19.0,17233.0,83.0,108.0,98.0
109,6.0,19.0,3.0,7.0,16320.0,22.0,0.0,18274.0,36.0,12.0,26.0,21.0,67.0,10.0,45.0,102.0,53.0,726.0,32.0,158.0,94.0,79.0,22778.0,56.0,80.0,11.0,43.0,141.0,13381.0,16.0
158,13.0,82.0,1.0,7.0,10.0,35.0,2.0,3.0,30.0,14.0,9.0,29.0,32.0,17.0,37.0,49.0,28.0,34.0,78.0,12412.0,4968.0,0.0,89.0,104.0,41.0,4.0,16748.0,9681.0,130.0,2515.0
207,198.0,16941.0,2.0,8.0,27.0,12.0,0.0,743.0,41.0,6.0,55.0,11.0,36.0,26.0,33.0,70.0,35.0,47.0,51.0,79.0,5231.0,6662.0,92.0,714.0,76.0,3.0,63.0,43.0,45.0,130.0
256,20.0,0.0,8.0,11.0,6.0,10.0,1.0,5.0,23.0,14.0,59.0,15.0,46.0,63.0,55.0,8779.0,19994.0,3516.0,33.0,48.0,4954.0,6813.0,126.0,177.0,44.0,6940.0,83.0,156.0,13.0,88.0
305,24.0,0.0,1.0,4.0,10.0,1102.0,50.0,7.0,22.0,25.0,63.0,239.0,15875.0,20.0,23.0,2.0,20001.0,26.0,51.0,12361.0,46.0,6796.0,55.0,900.0,36.0,6.0,33.0,9711.0,120.0,7294.0
354,7.0,5.0,2.0,1.0,31.0,9.0,0.0,18343.0,29.0,21.0,60.0,16.0,44.0,62.0,34.0,17.0,48.0,3960.0,63.0,153.0,4954.0,6.0,22797.0,88.0,32.0,18.0,82.0,86.0,13379.0,23.0
403,105.0,123.0,2.0,32.0,33.0,3731.0,0.0,7.0,34.0,98.0,24.0,9.0,41.0,1.0,39.0,72.0,94.0,3933.0,42.0,20.0,4977.0,6816.0,110.0,5541.0,64.0,10.0,56.0,86.0,253.0,61.0
452,16.0,106.0,9.0,13.0,23.0,15.0,71.0,45.0,10.0,11.0,36.0,3.0,31.0,50.0,20.0,1393.0,38.0,3933.0,35.0,70.0,1121.0,2287.0,22719.0,5527.0,22.0,21.0,28.0,117.0,214.0,63.0
501,6.0,0.0,1.0,12.0,10.0,11.0,3.0,32.0,35.0,12652.0,69.0,2.0,30.0,72.0,71.0,17.0,1226.0,842.0,81.0,16.0,846.0,58.0,96.0,53.0,40.0,76.0,16801.0,41.0,7.0,7084.0
550,3.0,1.0,0.0,7.0,19.0,5.0,74.0,13.0,26.0,12790.0,70.0,56.0,68.0,79.0,13432.0,4.0,19995.0,41.0,14716.0,53.0,54.0,8.0,214.0,43.0,18.0,76.0,11.0,39.0,6.0,12.0
599,5.0,2.0,4.0,3.0,0.0,18.0,48.0,27.0,29.0,19.0,9.0,24.0,25.0,38.0,13428.0,41.0,20002.0,4190.0,14754.0,11.0,128.0,43.0,152.0,66.0,39.0,116.0,26.0,51.0,1.0,60.0
648,7.0,0.0,2.0,10.0,1.0,9.0,66.0,13.0,33.0,12753.0,40.0,49.0,15.0,48.0,13397.0,12.0,42.0,3238.0,14668.0,38.0,62.0,45.0,14.0,73.0,47.0,43.0,4.0,65.0,39.0,35.0
697,2.0,0.0,5.0,9.0,1.0,16.0,6.0,13.0,50.0,88.0,4.0,24.0,31.0,65.0,13410.0,103.0,20005.0,1841.0,68.0,85.0,22.0,47.0,3.0,20.0,66.0,29.0,37.0,54.0,11.0,10.0
746,1.0,2.0,9.0,11.0,54.0,3.0,18287.0,18343.0,6.0,12774.0,5.0,77.0,41.0,94.0,13409.0,44.0,19994.0,17.0,14764.0,96.0,29.0,0.0,20.0,28.0,45.0,128.0,16811.0,79.0,25.0,7069.0
795,6.0,0.0,4.0,8.0,34.0,2.0,22.0,3.0,21.0,12672.0,57.0,19.0,41.0,51.0,28.0,27.0,19987.0,4512.0,59.0,115.0,32.0,6133.0,5.0,45.0,17.0,9.0,38.0,8555.0,49.0,30.0
844,93.0,0.0,8.0,17.0,11.0,14.0,2.0,7.0,41.0,96.0,50.0,20224.0,18.0,4.0,77.0,95.0,20002.0,2785.0,33.0,25.0,75.0,6783.0,53.0,389.0,52.0,9.0,23.0,55.0,5.0,2793.0
893,1.0,0.0,8.0,14.0,4.0,9.0,5.0,22.0,15.0,12768.0,72.0,42.0,54.0,12.0,57.0,18.0,20112.0,29.0,14730.0,69.0,290.0,49.0,3.0,89.0,63.0,50.0,34.0,32.0,38.0,7271.0
942,10.0,0.0,2.0,14.0,17.0,6.0,3.0,15.0,56.0,12730.0,25.0,8.0,30.0,58.0,79.0,89.0,20108.0,49.0,14730.0,11614.0,24.0,53.0,114.0,4976.0,46.0,1.0,16788.0,45.0,9.0,9745.0
991,3.0,5.0,2.0,7.0,8.0,19.0,82.0,58.0,14.0,32.0,21.0,230.0,22.0,18.0,41.0,27.0,10.0,31.0,100.0,8525.0,49.0,28.0,20.0,89.0,23.0,6.0,762.0,4.0,51.0,0.0
1040,0.0,84.0,16.0,3.0,8.0,13.0,18279.0,1070.0,30.0,10.0,7.0,20321.0,33.0,125.0,147.0,70.0,4.0,32.0,14761.0,23.0,57.0,12.0,11.0,6.0,75.0,114.0,16804.0,96.0,51.0,9.0
1089,4.0,0.0,24.0,7.0,3.0,10.0,23.0,576.0,15.0,6.0,46.0,18601.0,2.0,14.0,40.0,5.0,19980.0,35.0,11.0,33.0,4893.0,37.0,16.0,27.0,103.0,53.0,50.0,464.0,49.0,13.0
1138,1.0,8.0,15.0,3.0,7.0,6.0,73.0,5.0,32.0,27.0,16.0,54.0,26.0,52.0,13.0,11.0,36.0,29.0,12925.0,96.0,47.0,0.0,20.0,74.0,86.0,72.0,16784.0,44.0,22.0,12.0
1187,4.0,1.0,0.0,14.0,5.0,30.0,58.0,15.0,37.0,35.0,29.0,2855.0,32.0,19.0,13433.0,17.0,47.0,41.0,14748.0,52.0,2555.0,3.0,43.0,48.0,39.0,117.0,16749.0,120.0,9.0,2.0
1236,3.0,6.0,1.0,7.0,22.0,12.0,48.0,41.0,27.0,11.0,2.0,20223.0,21.0,71.0,54.0,5.0,35.0,10.0,14721.0,70.0,37.0,0.0,55.0,51.0,60.0,23.0,16792.0,81.0,39.0,8.0
1285,0.0,2.0,27.0,12.0,40.0,18.0,90.0,3.0,29.0,46.0,62.0,73.0,17.0,99.0,36.0,59.0,49.0,31.0,14741.0,54.0,5444.0,14.0,15.0,28.0,52.0,87.0,16804.0,10626.0,75.0,4.0
1334,0.0,3.0,11.0,9.0,15423.0,399.0,50.0,18306.0,6.0,66.0,34.0,20.0,19.0,29.0,37.0,38.0,32.0,4.0,14756.0,63.0,51.0,33.0,42.0,54.0,74.0,92.0,16795.0,70.0,26.0,12.0
1383,4.0,1.0,14.0,15.0,3.0,29.0,2.0,90.0,34.0,102.0,57.0,20209.0,25.0,88.0,72.0,44.0,13.0,18.0,14733.0,59.0,53.0,35.0,47.0,107.0,20.0,36.0,16774.0,92.0,40.0,11.0
1432,7.0,49.0,4.0,10.0,14.0,19.0,31.0,0.0,29.0,30.0,63.0,40.0,5.0,60.0,61.0,51.0,39.0,8.0,12886.0,84.0,47.0,24.0,90.0,48.0,57.0,89.0,16778.0,9701.0,38.0,13.0
1481,9.0,3.0,7.0,14.0,19.0,0.0,49.0,558.0,44.0,36.0,18.0,18398.0,30.0,86.0,64.0,8923.0,20010.0,53.0,14770.0,75.0,78.0,2.0,58.0,94.0,109.0,52.0,28.0,9761.0,45.0,12.0
1530,11.0,4.0,2.0,7.0,26.0,8.0,43.0,46.0,10.0,19.0,18.0,12.0,30.0,9.0,21.0,8898.0,41.0,3693.0,62.0,12398.0,15.0,25.0,69.0,32.0,48.0,5.0,50.0,151.0,53.0,44.0
1579,8.0,11.0,43.0,5.0,7.0,23.0,30.0,21.0,25.0,27.0,101.0,47.0,19.0,45.0,40.0,81.0,20053.0,68.0,1767.0,100.0,55.0,3.0,52.0,58.0,15.0,10.0,63.0,125.0,96.0,17.0
1628,0.0,3.0,40.0,4.0,32.0,16.0,18277.0,12.0,25.0,34.0,17.0,43.0,58.0,121.0,98.0,9.0,8.0,44.0,13.0,70.0,49.0,2.0,22740.0,19.0,31.0,6940.0,16805.0,149.0,65.0,14.0
1677,0.0,5.0,4.0,2.0,10.0,26.0,18345.0,292.0,29.0,13.0,17.0,20221.0,25.0,8.0,90.0,72.0,45.0,28.0,15.0,49.0,20.0,51.0,55.0,81.0,37.0,6.0,63.0,9638.0,52.0,39.0
