,Cyclin_D1,Collagen_VI,RAD51,HER2_pY1248,GATA3,PTEN,C-Raf_pS338,Raptor,Paxillin,E-Cadherin,Notch1,ACVRL1,N-Cadherin,p27_pT157,VEGFR2,XBP1,Annexin_VII,4E-BP1_pS65,Smad4,beta-Catenin,NF2,ADAR1,PDCD4,PEA15,Smad3,PEA15_pS116,PI3K-p110-alpha,PAI-1,PDK1_pS241,PDK1
6,2.0,8.0,11.0,1.0,20.0,81.0,106.0,16.0,48.0,27.0,6.0,32.0,92.0,22.0,36.0,4.0,7.0,38.0,49.0,31.0,25.0,34.0,43.0,62.0,28.0,77.0,18.0,19.0,47.0,46.0
55,0.0,22.0,4.0,11.0,18.0,84.0,99.0,93.0,14.0,156.0,28.0,7.0,21.0,56.0,72.0,27.0,34.0,116.0,24.0,9.0,42.0,122.0,47.0,41.0,15.0,40.0,39.0,12.0,43.0,45.0
104,1.0,18.0,16.0,6.0,162.0,19.0,11.0,23.0,5.0,21.0,39.0,2.0,91.0,3.0,30.0,36.0,121.0,112.0,76.0,95.0,4.0,27.0,48.0,43.0,24.0,41.0,42.0,7.0,45.0,46.0
153,1.0,23.0,0.0,133.0,4.0,16.0,18.0,20.0,44.0,3.0,7.0,6.0,19.0,51.0,62.0,40.0,125.0,112.0,73.0,97.0,30.0,118.0,43.0,25.0,29.0,2.0,58.0,14.0,41.0,42.0
202,4.0,13.0,32.0,21.0,18.0,79.0,104.0,11.0,19.0,14.0,28.0,34.0,128.0,25.0,55.0,59.0,38.0,114.0,69.0,95.0,29.0,3.0,50.0,52.0,67.0,30.0,91.0,20.0,48.0,46.0
251,1.0,3.0,5.0,2.0,148.0,79.0,15.0,83.0,48.0,21.0,33.0,6.0,146.0,51.0,35.0,32.0,4.0,31.0,76.0,24.0,29.0,127.0,47.0,40.0,10.0,43.0,41.0,8.0,44.0,45.0
300,22.0,21.0,15.0,132.0,10.0,83.0,13.0,81.0,56.0,26.0,37.0,4.0,1.0,40.0,31.0,29.0,5.0,112.0,72.0,96.0,55.0,116.0,49.0,23.0,28.0,24.0,57.0,14.0,46.0,48.0
349,0.0,10.0,12.0,7.0,146.0,16.0,104.0,13.0,6.0,27.0,5.0,8.0,89.0,24.0,36.0,59.0,38.0,112.0,68.0,96.0,57.0,118.0,49.0,64.0,34.0,20.0,88.0,21.0,76.0,62.0
398,2.0,0.0,19.0,4.0,146.0,21.0,16.0,82.0,18.0,153.0,29.0,31.0,83.0,39.0,62.0,60.0,37.0,113.0,73.0,12.0,48.0,126.0,51.0,46.0,15.0,44.0,42.0,57.0,56.0,50.0
447,5.0,14.0,12.0,134.0,18.0,78.0,10.0,73.0,6.0,155.0,24.0,126.0,76.0,50.0,57.0,32.0,40.0,114.0,39.0,28.0,60.0,41.0,15.0,63.0,37.0,88.0,87.0,17.0,64.0,90.0
496,23.0,2.0,6.0,1.0,12.0,3.0,17.0,25.0,10.0,18.0,7.0,8.0,16.0,50.0,37.0,33.0,110.0,114.0,73.0,11.0,36.0,121.0,47.0,45.0,75.0,40.0,22.0,15.0,44.0,56.0
545,38.0,1.0,12.0,4.0,5.0,8.0,2.0,7.0,47.0,29.0,28.0,40.0,128.0,3.0,27.0,24.0,125.0,25.0,91.0,96.0,26.0,127.0,13.0,16.0,77.0,57.0,42.0,48.0,15.0,46.0
594,19.0,23.0,22.0,0.0,25.0,6.0,24.0,86.0,15.0,7.0,5.0,127.0,146.0,33.0,64.0,41.0,112.0,114.0,75.0,106.0,39.0,28.0,49.0,44.0,77.0,43.0,45.0,54.0,21.0,48.0
643,152.0,2.0,75.0,1.0,6.0,13.0,109.0,74.0,45.0,154.0,55.0,34.0,91.0,5.0,31.0,4.0,7.0,36.0,29.0,97.0,57.0,35.0,39.0,25.0,47.0,16.0,61.0,38.0,44.0,41.0
692,0.0,2.0,5.0,23.0,21.0,7.0,12.0,11.0,44.0,15.0,28.0,37.0,1.0,6.0,58.0,53.0,36.0,115.0,38.0,102.0,29.0,121.0,56.0,17.0,77.0,91.0,16.0,22.0,79.0,19.0
741,9.0,3.0,10.0,6.0,5.0,16.0,104.0,12.0,41.0,153.0,27.0,126.0,0.0,23.0,55.0,58.0,1.0,40.0,39.0,95.0,28.0,120.0,4.0,77.0,69.0,65.0,18.0,22.0,47.0,46.0
790,14.0,6.0,28.0,0.0,19.0,13.0,10.0,1.0,43.0,26.0,21.0,31.0,25.0,3.0,37.0,44.0,33.0,38.0,34.0,93.0,23.0,5.0,18.0,16.0,27.0,62.0,61.0,45.0,15.0,41.0
839,27.0,6.0,83.0,3.0,21.0,17.0,100.0,15.0,45.0,150.0,1.0,42.0,29.0,58.0,47.0,0.0,37.0,41.0,67.0,109.0,26.0,38.0,23.0,20.0,69.0,49.0,19.0,46.0,44.0,43.0
888,2.0,0.0,5.0,1.0,11.0,81.0,13.0,93.0,51.0,21.0,42.0,35.0,6.0,50.0,64.0,62.0,33.0,37.0,24.0,108.0,38.0,34.0,12.0,4.0,91.0,3.0,43.0,52.0,57.0,48.0
937,27.0,8.0,80.0,5.0,21.0,3.0,7.0,16.0,41.0,1.0,0.0,121.0,15.0,4.0,62.0,33.0,37.0,6.0,71.0,107.0,26.0,128.0,22.0,44.0,68.0,47.0,93.0,49.0,43.0,48.0
986,0.0,4.0,20.0,1.0,15.0,21.0,17.0,16.0,23.0,154.0,36.0,8.0,95.0,9.0,5.0,35.0,126.0,34.0,2.0,106.0,81.0,37.0,45.0,40.0,75.0,39.0,38.0,49.0,41.0,44.0
1035,2.0,4.0,93.0,10.0,8.0,80.0,97.0,83.0,22.0,9.0,26.0,7.0,24.0,35.0,71.0,3.0,6.0,115.0,16.0,106.0,43.0,25.0,15.0,20.0,76.0,47.0,44.0,54.0,48.0,50.0
1084,20.0,3.0,14.0,132.0,6.0,18.0,23.0,85.0,24.0,22.0,27.0,35.0,92.0,48.0,30.0,38.0,41.0,33.0,7.0,2.0,44.0,120.0,17.0,42.0,8.0,45.0,46.0,51.0,59.0,49.0
1133,4.0,3.0,12.0,145.0,17.0,5.0,8.0,11.0,19.0,152.0,94.0,122.0,27.0,25.0,1.0,42.0,41.0,37.0,51.0,34.0,95.0,121.0,44.0,45.0,68.0,53.0,65.0,64.0,46.0,49.0
1182,4.0,3.0,90.0,146.0,159.0,38.0,1.0,89.0,32.0,13.0,29.0,0.0,12.0,39.0,30.0,28.0,5.0,26.0,15.0,20.0,61.0,119.0,51.0,62.0,16.0,44.0,41.0,52.0,49.0,50.0
1231,30.0,2.0,8.0,0.0,16.0,79.0,13.0,19.0,15.0,153.0,10.0,26.0,92.0,52.0,9.0,11.0,5.0,31.0,21.0,20.0,36.0,120.0,55.0,38.0,75.0,39.0,3.0,44.0,37.0,41.0
1280,4.0,1.0,11.0,12.0,16.0,21.0,36.0,0.0,57.0,154.0,43.0,117.0,146.0,34.0,65.0,63.0,125.0,113.0,78.0,6.0,2.0,118.0,41.0,28.0,7.0,25.0,54.0,56.0,39.0,49.0
1329,3.0,5.0,17.0,9.0,2.0,81.0,15.0,85.0,12.0,23.0,28.0,32.0,95.0,1.0,63.0,30.0,0.0,31.0,76.0,26.0,82.0,127.0,49.0,19.0,24.0,46.0,39.0,52.0,48.0,47.0
1378,2.0,151.0,13.0,25.0,6.0,15.0,99.0,12.0,22.0,18.0,11.0,3.0,14.0,54.0,36.0,59.0,35.0,37.0,39.0,41.0,61.0,33.0,46.0,93.0,65.0,64.0,92.0,23.0,63.0,51.0
1427,20.0,0.0,26.0,133.0,22.0,82.0,105.0,78.0,9.0,3.0,47.0,7.0,45.0,24.0,33.0,10.0,30.0,114.0,4.0,96.0,54.0,6.0,40.0,21.0,1.0,36.0,5.0,42.0,38.0,39.0
1476,6.0,5.0,71.0,4.0,23.0,12.0,2.0,8.0,56.0,156.0,25.0,1.0,11.0,24.0,38.0,41.0,110.0,114.0,35.0,40.0,28.0,121.0,18.0,88.0,39.0,87.0,29.0,20.0,89.0,65.0
1525,29.0,151.0,14.0,30.0,13.0,21.0,104.0,83.0,55.0,154.0,1.0,0.0,10.0,8.0,2.0,60.0,4.0,25.0,18.0,95.0,52.0,35.0,39.0,33.0,74.0,38.0,37.0,16.0,40.0,36.0
1574,6.0,19.0,2.0,132.0,148.0,17.0,11.0,75.0,47.0,22.0,60.0,127.0,0.0,26.0,35.0,37.0,3.0,115.0,74.0,39.0,14.0,32.0,46.0,53.0,72.0,92.0,65.0,28.0,48.0,42.0
1623,0.0,33.0,82.0,10.0,23.0,32.0,3.0,58.0,42.0,153.0,6.0,7.0,19.0,21.0,9.0,73.0,34.0,1.0,22.0,16.0,55.0,30.0,20.0,18.0,75.0,38.0,39.0,14.0,40.0,56.0
1672,151.0,27.0,80.0,6.0,14.0,1.0,104.0,79.0,20.0,154.0,3.0,117.0,51.0,46.0,24.0,22.0,124.0,23.0,69.0,5.0,33.0,118.0,38.0,40.0,18.0,39.0,37.0,53.0,36.0,35.0
1721,23.0,21.0,9.0,133.0,146.0,18.0,24.0,79.0,11.0,154.0,38.0,0.0,91.0,33.0,68.0,70.0,8.0,114.0,89.0,5.0,37.0,121.0,50.0,1.0,10.0,44.0,42.0,4.0,48.0,49.0
1770,21.0,2.0,84.0,24.0,162.0,1.0,8.0,83.0,47.0,149.0,31.0,7.0,6.0,38.0,4.0,62.0,32.0,33.0,75.0,25.0,43.0,117.0,48.0,44.0,17.0,20.0,41.0,16.0,57.0,18.0
1819,0.0,23.0,87.0,19.0,7.0,21.0,25.0,86.0,50.0,154.0,2.0,5.0,4.0,51.0,32.0,64.0,33.0,35.0,79.0,10.0,40.0,6.0,59.0,1.0,26.0,42.0,43.0,54.0,41.0,46.0
1868,150.0,21.0,83.0,26.0,7.0,22.0,15.0,8.0,57.0,2.0,0.0,4.0,6.0,56.0,3.0,30.0,113.0,115.0,75.0,27.0,94.0,128.0,53.0,19.0,76.0,47.0,44.0,14.0,50.0,52.0
1917,4.0,3.0,42.0,154.0,160.0,22.0,20.0,7.0,56.0,108.0,101.0,33.0,10.0,1.0,73.0,29.0,39.0,35.0,87.0,38.0,9.0,8.0,55.0,30.0,5.0,19.0,51.0,6.0,67.0,54.0
1966,4.0,8.0,12.0,6.0,18.0,32.0,109.0,13.0,62.0,157.0,56.0,1.0,9.0,25.0,41.0,3.0,125.0,40.0,38.0,99.0,2.0,37.0,63.0,87.0,73.0,86.0,17.0,54.0,88.0,89.0
2015,1.0,116.0,55.0,156.0,7.0,51.0,18.0,0.0,20.0,6.0,135.0,47.0,14.0,17.0,30.0,31.0,5.0,38.0,86.0,117.0,9.0,2.0,21.0,22.0,87.0,66.0,52.0,19.0,53.0,56.0
2064,3.0,4.0,16.0,134.0,8.0,18.0,107.0,83.0,20.0,2.0,57.0,6.0,17.0,54.0,32.0,37.0,26.0,36.0,74.0,25.0,40.0,7.0,42.0,55.0,28.0,58.0,90.0,47.0,43.0,41.0
2113,0.0,10.0,74.0,133.0,22.0,11.0,7.0,73.0,42.0,9.0,28.0,36.0,32.0,59.0,6.0,49.0,34.0,4.0,1.0,99.0,29.0,121.0,20.0,30.0,72.0,16.0,88.0,43.0,64.0,17.0
2162,0.0,8.0,76.0,5.0,24.0,83.0,99.0,7.0,27.0,31.0,10.0,120.0,1.0,58.0,4.0,64.0,37.0,35.0,75.0,41.0,33.0,119.0,26.0,53.0,74.0,68.0,22.0,49.0,43.0,45.0
2211,4.0,3.0,0.0,19.0,155.0,13.0,8.0,1.0,49.0,15.0,24.0,118.0,26.0,21.0,36.0,44.0,41.0,43.0,90.0,28.0,25.0,120.0,48.0,63.0,27.0,91.0,17.0,50.0,46.0,18.0
2260,0.0,2.0,1.0,132.0,145.0,16.0,105.0,18.0,19.0,9.0,10.0,12.0,91.0,29.0,11.0,14.0,124.0,114.0,72.0,24.0,55.0,8.0,46.0,17.0,73.0,42.0,41.0,47.0,44.0,43.0
2309,1.0,11.0,19.0,0.0,3.0,79.0,128.0,18.0,43.0,157.0,37.0,2.0,31.0,4.0,8.0,29.0,32.0,30.0,73.0,98.0,33.0,6.0,53.0,15.0,81.0,10.0,25.0,45.0,41.0,42.0
2358,0.0,3.0,5.0,26.0,23.0,4.0,7.0,93.0,40.0,154.0,28.0,30.0,8.0,33.0,71.0,2.0,126.0,115.0,18.0,10.0,27.0,31.0,16.0,47.0,9.0,43.0,42.0,13.0,56.0,51.0
2407,2.0,3.0,14.0,25.0,143.0,73.0,155.0,16.0,66.0,163.0,34.0,7.0,9.0,6.0,0.0,61.0,1.0,116.0,84.0,104.0,37.0,5.0,93.0,91.0,83.0,89.0,88.0,11.0,92.0,67.0
2456,25.0,9.0,7.0,131.0,22.0,82.0,13.0,1.0,21.0,152.0,46.0,0.0,28.0,6.0,47.0,57.0,31.0,113.0,62.0,18.0,44.0,117.0,41.0,19.0,26.0,16.0,60.0,45.0,38.0,40.0
2505,11.0,3.0,82.0,137.0,161.0,85.0,102.0,2.0,20.0,150.0,49.0,4.0,128.0,60.0,54.0,42.0,31.0,37.0,68.0,27.0,25.0,30.0,19.0,17.0,16.0,45.0,44.0,61.0,47.0,50.0
2554,2.0,3.0,0.0,26.0,13.0,7.0,18.0,20.0,17.0,155.0,8.0,10.0,91.0,47.0,29.0,27.0,36.0,4.0,24.0,97.0,42.0,1.0,46.0,22.0,25.0,41.0,39.0,51.0,43.0,44.0
2603,19.0,0.0,16.0,132.0,7.0,82.0,96.0,15.0,11.0,8.0,33.0,5.0,146.0,29.0,70.0,72.0,30.0,38.0,66.0,107.0,37.0,120.0,50.0,46.0,9.0,40.0,45.0,10.0,56.0,47.0
2652,9.0,8.0,23.0,132.0,148.0,80.0,97.0,4.0,49.0,153.0,35.0,38.0,146.0,29.0,34.0,62.0,33.0,114.0,6.0,107.0,41.0,0.0,15.0,44.0,24.0,42.0,10.0,14.0,58.0,48.0
2701,1.0,4.0,20.0,134.0,8.0,13.0,107.0,5.0,7.0,156.0,53.0,0.0,22.0,2.0,29.0,26.0,37.0,6.0,59.0,14.0,27.0,120.0,55.0,15.0,65.0,41.0,48.0,44.0,42.0,40.0
2750,2.0,23.0,84.0,10.0,14.0,21.0,24.0,85.0,15.0,163.0,31.0,0.0,146.0,48.0,4.0,37.0,125.0,35.0,28.0,9.0,34.0,40.0,45.0,43.0,25.0,42.0,8.0,49.0,55.0,17.0
2799,5.0,6.0,1.0,143.0,24.0,19.0,13.0,15.0,41.0,156.0,17.0,32.0,132.0,56.0,30.0,73.0,40.0,3.0,8.0,110.0,95.0,33.0,12.0,52.0,78.0,48.0,44.0,55.0,53.0,54.0
2848,7.0,13.0,11.0,132.0,17.0,3.0,9.0,10.0,28.0,152.0,25.0,4.0,30.0,22.0,38.0,40.0,125.0,0.0,65.0,97.0,59.0,5.0,47.0,50.0,1.0,77.0,64.0,48.0,46.0,44.0
2897,2.0,21.0,86.0,5.0,16.0,88.0,7.0,19.0,13.0,0.0,4.0,6.0,128.0,31.0,3.0,1.0,35.0,41.0,10.0,8.0,40.0,127.0,51.0,18.0,11.0,45.0,44.0,52.0,48.0,49.0
2946,34.0,2.0,83.0,9.0,15.0,85.0,8.0,82.0,25.0,10.0,29.0,0.0,26.0,37.0,62.0,27.0,3.0,7.0,19.0,13.0,54.0,1.0,40.0,45.0,75.0,42.0,43.0,11.0,44.0,41.0
2995,34.0,0.0,83.0,15.0,161.0,80.0,10.0,59.0,14.0,18.0,11.0,1.0,24.0,48.0,71.0,73.0,29.0,23.0,3.0,2.0,43.0,12.0,49.0,38.0,77.0,19.0,36.0,42.0,39.0,27.0
3044,0.0,3.0,19.0,10.0,162.0,92.0,14.0,18.0,11.0,22.0,2.0,4.0,30.0,38.0,67.0,65.0,39.0,126.0,26.0,5.0,7.0,27.0,53.0,49.0,8.0,60.0,42.0,56.0,24.0,51.0
3093,7.0,8.0,14.0,10.0,19.0,80.0,103.0,6.0,46.0,2.0,25.0,35.0,28.0,24.0,9.0,32.0,5.0,114.0,36.0,0.0,58.0,4.0,37.0,18.0,47.0,41.0,48.0,20.0,38.0,45.0
3142,0.0,1.0,24.0,131.0,15.0,9.0,5.0,13.0,23.0,12.0,42.0,7.0,22.0,3.0,10.0,62.0,125.0,113.0,28.0,32.0,41.0,27.0,49.0,43.0,74.0,40.0,38.0,53.0,45.0,57.0
