,alpha-glycerophosphate,alpha-hydroxybutyrate,1-methylnicotinamide,malondialdehyde,oxalate,C34:2 DAG,UMP,creatinine,SDMA/ADMA,C22:6 LPC,hexoses (HILIC neg),hippurate,cystathionine,taurodeoxycholate,C20:4 CE,urate,creatine,alpha-glycerophosphocholine,beta-alanine,C18:0 LPE,leucine,C36:1 DAG,DHAP/glyceraldehyde 3P,dCMP,N-carbamoyl-beta-alanine,C22:6 CE,uracil,putrescine,phosphocreatine,pyroglutamic acid
662,2.0,1.0,0.0,12.0,3.0,7.0,11.0,4.0,29.0,17.0,28.0,10.0,6.0,15.0,24.0,34.0,25.0,41.0,8.0,19.0,30.0,43.0,18.0,22.0,36.0,37.0,47.0,5.0,26.0,50.0
711,4.0,0.0,5.0,1.0,3.0,2.0,27.0,10.0,11.0,22.0,26.0,9.0,7.0,20.0,8.0,30.0,6.0,19.0,23.0,25.0,16.0,15.0,37.0,28.0,34.0,17.0,39.0,12.0,32.0,24.0
760,2.0,1.0,0.0,5.0,4.0,3.0,21.0,23.0,37.0,10.0,7.0,22.0,13.0,6.0,19.0,8.0,15.0,17.0,12.0,47.0,20.0,18.0,33.0,27.0,43.0,31.0,14.0,32.0,25.0,53.0
809,3.0,0.0,2.0,4.0,8.0,11.0,7.0,9.0,19.0,26.0,12.0,17.0,1.0,14.0,24.0,40.0,5.0,27.0,13.0,45.0,21.0,32.0,15.0,16.0,36.0,25.0,23.0,33.0,20.0,43.0
858,7.0,2.0,4.0,22.0,1.0,0.0,6.0,8.0,10.0,3.0,5.0,14.0,11.0,38.0,27.0,46.0,40.0,16.0,32.0,20.0,23.0,44.0,35.0,24.0,48.0,30.0,9.0,39.0,58.0,19.0
907,0.0,3.0,1.0,2.0,6.0,10.0,5.0,16.0,12.0,11.0,9.0,13.0,4.0,20.0,17.0,15.0,31.0,19.0,8.0,43.0,25.0,50.0,35.0,14.0,53.0,24.0,54.0,27.0,29.0,52.0
956,3.0,6.0,5.0,0.0,2.0,1.0,10.0,48.0,50.0,27.0,17.0,22.0,4.0,13.0,60.0,55.0,14.0,16.0,9.0,23.0,57.0,36.0,19.0,37.0,20.0,8.0,35.0,15.0,29.0,63.0
1005,0.0,2.0,1.0,5.0,3.0,4.0,12.0,6.0,9.0,8.0,11.0,7.0,39.0,15.0,29.0,44.0,14.0,27.0,51.0,45.0,48.0,36.0,58.0,18.0,60.0,41.0,13.0,40.0,16.0,31.0
1054,2.0,7.0,4.0,12.0,1.0,0.0,13.0,5.0,9.0,14.0,3.0,6.0,33.0,16.0,25.0,40.0,49.0,11.0,52.0,8.0,19.0,18.0,51.0,36.0,27.0,22.0,17.0,65.0,10.0,37.0
1103,0.0,5.0,1.0,10.0,4.0,7.0,8.0,3.0,9.0,12.0,13.0,2.0,18.0,14.0,44.0,31.0,32.0,15.0,43.0,6.0,22.0,23.0,46.0,41.0,25.0,16.0,40.0,27.0,21.0,56.0
1152,5.0,0.0,1.0,2.0,4.0,44.0,31.0,13.0,10.0,11.0,16.0,12.0,32.0,3.0,6.0,14.0,15.0,9.0,47.0,22.0,21.0,18.0,24.0,30.0,17.0,23.0,37.0,60.0,8.0,62.0
1201,1.0,7.0,4.0,0.0,3.0,17.0,13.0,18.0,11.0,8.0,2.0,9.0,39.0,6.0,5.0,19.0,15.0,10.0,28.0,16.0,42.0,44.0,23.0,27.0,25.0,35.0,34.0,51.0,31.0,21.0
1250,0.0,1.0,8.0,4.0,2.0,12.0,7.0,23.0,9.0,16.0,5.0,6.0,27.0,3.0,15.0,30.0,37.0,10.0,25.0,19.0,43.0,11.0,13.0,35.0,42.0,21.0,52.0,47.0,18.0,24.0
1299,0.0,7.0,1.0,3.0,9.0,11.0,10.0,26.0,4.0,5.0,12.0,8.0,14.0,2.0,6.0,24.0,37.0,20.0,55.0,40.0,19.0,15.0,34.0,46.0,30.0,18.0,13.0,59.0,17.0,16.0
1348,2.0,3.0,8.0,1.0,4.0,5.0,26.0,12.0,15.0,13.0,10.0,6.0,49.0,0.0,9.0,46.0,14.0,32.0,62.0,52.0,56.0,17.0,30.0,21.0,29.0,11.0,41.0,54.0,39.0,37.0
1397,2.0,4.0,1.0,3.0,11.0,9.0,17.0,6.0,7.0,14.0,33.0,8.0,22.0,0.0,10.0,32.0,13.0,5.0,30.0,42.0,57.0,40.0,34.0,54.0,19.0,16.0,27.0,37.0,51.0,45.0
1446,1.0,2.0,0.0,3.0,6.0,12.0,16.0,17.0,9.0,30.0,15.0,4.0,34.0,5.0,27.0,13.0,25.0,20.0,43.0,7.0,10.0,41.0,8.0,45.0,62.0,44.0,29.0,32.0,11.0,14.0
1495,0.0,2.0,1.0,3.0,5.0,16.0,8.0,4.0,15.0,43.0,11.0,21.0,9.0,6.0,17.0,7.0,12.0,22.0,33.0,34.0,28.0,23.0,14.0,18.0,27.0,32.0,26.0,39.0,24.0,53.0
1544,0.0,9.0,1.0,2.0,10.0,6.0,7.0,13.0,19.0,17.0,11.0,20.0,12.0,16.0,15.0,33.0,21.0,3.0,4.0,14.0,8.0,37.0,22.0,24.0,39.0,29.0,5.0,48.0,32.0,26.0
1593,1.0,0.0,4.0,3.0,6.0,10.0,8.0,11.0,2.0,20.0,16.0,5.0,14.0,40.0,18.0,19.0,44.0,12.0,30.0,7.0,21.0,35.0,9.0,26.0,13.0,22.0,23.0,17.0,46.0,25.0
1642,1.0,2.0,0.0,4.0,9.0,12.0,7.0,6.0,16.0,20.0,19.0,14.0,5.0,3.0,35.0,15.0,8.0,26.0,13.0,27.0,33.0,48.0,31.0,18.0,41.0,10.0,59.0,32.0,43.0,51.0
1691,1.0,0.0,9.0,2.0,3.0,7.0,26.0,4.0,8.0,12.0,23.0,20.0,5.0,6.0,11.0,16.0,19.0,39.0,22.0,25.0,24.0,14.0,15.0,30.0,61.0,48.0,21.0,27.0,52.0,51.0
1740,0.0,1.0,4.0,3.0,8.0,11.0,15.0,6.0,5.0,7.0,14.0,10.0,23.0,2.0,19.0,21.0,26.0,59.0,9.0,22.0,13.0,50.0,24.0,28.0,39.0,29.0,31.0,44.0,27.0,17.0
1789,3.0,8.0,7.0,21.0,6.0,20.0,5.0,4.0,1.0,16.0,23.0,10.0,2.0,14.0,13.0,15.0,17.0,18.0,29.0,27.0,9.0,19.0,41.0,11.0,37.0,36.0,0.0,49.0,43.0,22.0
1838,0.0,5.0,4.0,2.0,8.0,13.0,9.0,14.0,11.0,6.0,12.0,16.0,23.0,7.0,3.0,18.0,29.0,33.0,49.0,10.0,22.0,1.0,17.0,19.0,35.0,37.0,20.0,34.0,27.0,26.0
1887,0.0,1.0,3.0,4.0,18.0,8.0,9.0,13.0,14.0,38.0,39.0,12.0,2.0,7.0,37.0,29.0,30.0,6.0,10.0,19.0,40.0,27.0,22.0,31.0,36.0,47.0,33.0,20.0,28.0,43.0
1936,0.0,2.0,29.0,1.0,4.0,37.0,5.0,14.0,10.0,11.0,17.0,6.0,3.0,27.0,13.0,45.0,18.0,8.0,9.0,48.0,47.0,26.0,16.0,30.0,35.0,43.0,7.0,21.0,36.0,61.0
1985,0.0,1.0,5.0,2.0,7.0,8.0,28.0,12.0,25.0,13.0,3.0,14.0,21.0,6.0,26.0,18.0,32.0,4.0,24.0,11.0,16.0,29.0,49.0,36.0,33.0,43.0,23.0,47.0,57.0,39.0
2034,1.0,12.0,3.0,7.0,8.0,2.0,18.0,5.0,4.0,25.0,14.0,19.0,0.0,10.0,13.0,17.0,16.0,21.0,41.0,31.0,11.0,6.0,22.0,27.0,50.0,39.0,23.0,9.0,28.0,38.0
2083,1.0,5.0,14.0,0.0,4.0,2.0,18.0,17.0,8.0,7.0,9.0,19.0,12.0,15.0,3.0,16.0,20.0,11.0,6.0,54.0,28.0,30.0,33.0,22.0,25.0,43.0,10.0,60.0,31.0,45.0
2132,0.0,6.0,3.0,1.0,7.0,5.0,14.0,21.0,9.0,8.0,2.0,10.0,4.0,11.0,28.0,39.0,18.0,19.0,16.0,37.0,17.0,22.0,30.0,35.0,24.0,47.0,31.0,26.0,13.0,58.0
2181,1.0,5.0,0.0,4.0,6.0,2.0,9.0,10.0,8.0,11.0,7.0,16.0,3.0,38.0,22.0,54.0,17.0,18.0,12.0,51.0,13.0,25.0,27.0,34.0,36.0,20.0,32.0,41.0,21.0,19.0
2230,1.0,2.0,0.0,5.0,3.0,4.0,14.0,7.0,8.0,10.0,26.0,9.0,6.0,12.0,16.0,18.0,29.0,21.0,44.0,48.0,11.0,17.0,24.0,40.0,36.0,51.0,35.0,60.0,15.0,56.0
2279,0.0,14.0,1.0,2.0,5.0,22.0,34.0,10.0,6.0,9.0,13.0,33.0,7.0,4.0,16.0,8.0,29.0,3.0,19.0,28.0,12.0,61.0,41.0,35.0,31.0,36.0,21.0,23.0,39.0,46.0
2328,0.0,1.0,26.0,2.0,10.0,21.0,7.0,6.0,11.0,17.0,3.0,31.0,4.0,14.0,5.0,33.0,8.0,12.0,16.0,27.0,20.0,28.0,50.0,24.0,22.0,23.0,19.0,56.0,42.0,39.0
2377,0.0,9.0,19.0,1.0,2.0,7.0,8.0,10.0,6.0,14.0,5.0,12.0,3.0,4.0,27.0,44.0,32.0,16.0,33.0,43.0,31.0,17.0,11.0,23.0,24.0,28.0,13.0,63.0,20.0,51.0
2426,2.0,8.0,4.0,13.0,21.0,3.0,30.0,10.0,12.0,1.0,7.0,9.0,0.0,15.0,33.0,6.0,18.0,42.0,5.0,60.0,29.0,11.0,46.0,35.0,26.0,47.0,24.0,31.0,19.0,25.0
2475,2.0,0.0,3.0,4.0,1.0,11.0,44.0,5.0,6.0,9.0,26.0,14.0,24.0,13.0,50.0,18.0,8.0,12.0,16.0,32.0,15.0,23.0,10.0,22.0,7.0,31.0,30.0,19.0,27.0,29.0
2524,0.0,1.0,5.0,3.0,2.0,10.0,11.0,13.0,19.0,14.0,27.0,15.0,8.0,4.0,34.0,20.0,25.0,54.0,7.0,12.0,39.0,17.0,6.0,28.0,36.0,42.0,60.0,16.0,33.0,30.0
2573,0.0,1.0,2.0,4.0,3.0,19.0,16.0,8.0,6.0,22.0,61.0,7.0,9.0,27.0,41.0,18.0,21.0,31.0,14.0,48.0,55.0,17.0,12.0,36.0,5.0,33.0,56.0,11.0,32.0,13.0
2622,0.0,1.0,2.0,4.0,3.0,8.0,14.0,5.0,22.0,13.0,19.0,18.0,34.0,15.0,33.0,23.0,35.0,6.0,20.0,17.0,48.0,36.0,10.0,55.0,12.0,11.0,63.0,60.0,53.0,7.0
2671,0.0,5.0,3.0,2.0,1.0,25.0,28.0,17.0,7.0,4.0,12.0,15.0,18.0,36.0,23.0,13.0,6.0,24.0,29.0,35.0,8.0,52.0,11.0,20.0,42.0,26.0,14.0,9.0,54.0,19.0
2720,2.0,0.0,4.0,7.0,3.0,1.0,21.0,11.0,9.0,12.0,31.0,14.0,6.0,26.0,32.0,10.0,16.0,46.0,5.0,35.0,15.0,34.0,8.0,19.0,18.0,41.0,22.0,23.0,36.0,37.0
2769,0.0,1.0,28.0,12.0,2.0,3.0,19.0,8.0,6.0,4.0,13.0,7.0,61.0,26.0,9.0,36.0,45.0,15.0,22.0,53.0,10.0,31.0,14.0,33.0,5.0,44.0,11.0,40.0,57.0,18.0
2818,0.0,2.0,1.0,3.0,5.0,9.0,11.0,33.0,16.0,10.0,37.0,21.0,6.0,8.0,20.0,12.0,7.0,17.0,47.0,42.0,25.0,14.0,4.0,54.0,15.0,45.0,23.0,50.0,32.0,13.0
2867,0.0,3.0,26.0,1.0,2.0,19.0,28.0,5.0,32.0,25.0,8.0,20.0,16.0,21.0,17.0,7.0,10.0,15.0,34.0,39.0,48.0,50.0,12.0,43.0,23.0,36.0,11.0,6.0,52.0,13.0
2916,3.0,0.0,20.0,1.0,2.0,18.0,6.0,5.0,14.0,4.0,32.0,30.0,22.0,10.0,41.0,36.0,12.0,48.0,25.0,39.0,45.0,9.0,13.0,42.0,7.0,49.0,35.0,43.0,31.0,24.0
2965,0.0,6.0,2.0,1.0,4.0,5.0,3.0,19.0,37.0,9.0,28.0,8.0,20.0,7.0,14.0,44.0,27.0,18.0,26.0,12.0,34.0,17.0,50.0,42.0,23.0,38.0,57.0,21.0,52.0,30.0
3014,2.0,1.0,7.0,0.0,3.0,18.0,4.0,5.0,6.0,14.0,28.0,11.0,16.0,10.0,9.0,8.0,13.0,25.0,59.0,26.0,19.0,20.0,32.0,31.0,46.0,17.0,63.0,15.0,44.0,23.0
3063,0.0,4.0,3.0,2.0,7.0,13.0,1.0,16.0,29.0,17.0,45.0,8.0,12.0,5.0,11.0,51.0,14.0,26.0,9.0,6.0,49.0,20.0,22.0,46.0,63.0,37.0,59.0,19.0,30.0,42.0
3112,6.0,2.0,1.0,10.0,8.0,14.0,5.0,15.0,7.0,4.0,34.0,0.0,9.0,3.0,46.0,37.0,22.0,54.0,27.0,18.0,25.0,19.0,43.0,30.0,11.0,39.0,40.0,23.0,61.0,21.0
3161,3.0,4.0,2.0,12.0,10.0,15.0,0.0,9.0,1.0,7.0,31.0,6.0,17.0,18.0,5.0,14.0,13.0,8.0,28.0,16.0,11.0,22.0,40.0,45.0,26.0,34.0,41.0,35.0,24.0,27.0
3210,5.0,3.0,0.0,2.0,6.0,21.0,27.0,8.0,15.0,16.0,37.0,4.0,1.0,9.0,28.0,22.0,7.0,12.0,14.0,10.0,39.0,34.0,45.0,19.0,35.0,38.0,40.0,18.0,59.0,25.0
3259,0.0,1.0,6.0,4.0,2.0,27.0,5.0,7.0,17.0,32.0,16.0,13.0,11.0,22.0,8.0,19.0,3.0,31.0,12.0,15.0,9.0,44.0,20.0,38.0,40.0,36.0,41.0,28.0,50.0,23.0
3308,1.0,3.0,2.0,0.0,6.0,13.0,5.0,17.0,12.0,8.0,39.0,7.0,4.0,11.0,10.0,34.0,9.0,40.0,25.0,63.0,30.0,27.0,29.0,20.0,33.0,36.0,43.0,16.0,44.0,35.0
3357,1.0,2.0,4.0,5.0,11.0,3.0,6.0,8.0,17.0,0.0,15.0,12.0,16.0,51.0,21.0,13.0,29.0,54.0,43.0,9.0,10.0,49.0,44.0,48.0,20.0,18.0,59.0,39.0,36.0,32.0
3406,5.0,2.0,0.0,11.0,4.0,12.0,3.0,10.0,27.0,14.0,18.0,6.0,20.0,1.0,33.0,7.0,30.0,16.0,66.0,22.0,13.0,23.0,9.0,56.0,29.0,34.0,35.0,42.0,31.0,15.0
3455,3.0,2.0,1.0,4.0,6.0,0.0,20.0,8.0,13.0,23.0,27.0,11.0,15.0,40.0,33.0,25.0,5.0,9.0,7.0,29.0,37.0,18.0,65.0,17.0,16.0,30.0,39.0,14.0,31.0,55.0
3504,0.0,7.0,1.0,3.0,2.0,4.0,15.0,11.0,5.0,17.0,10.0,19.0,27.0,29.0,18.0,14.0,12.0,22.0,6.0,44.0,47.0,35.0,45.0,8.0,28.0,26.0,41.0,24.0,40.0,53.0
3553,2.0,0.0,1.0,4.0,5.0,3.0,16.0,18.0,6.0,10.0,14.0,8.0,46.0,35.0,11.0,15.0,7.0,51.0,9.0,27.0,21.0,17.0,49.0,31.0,41.0,26.0,29.0,22.0,32.0,54.0
3602,0.0,1.0,4.0,3.0,26.0,2.0,10.0,36.0,16.0,11.0,19.0,23.0,25.0,9.0,37.0,8.0,6.0,49.0,7.0,43.0,29.0,54.0,34.0,21.0,27.0,31.0,63.0,12.0,57.0,33.0
3651,3.0,4.0,0.0,1.0,5.0,2.0,27.0,26.0,14.0,31.0,36.0,10.0,50.0,6.0,37.0,12.0,7.0,45.0,15.0,38.0,57.0,11.0,28.0,56.0,21.0,18.0,41.0,16.0,43.0,59.0
3700,0.0,3.0,4.0,1.0,2.0,5.0,26.0,6.0,17.0,9.0,10.0,29.0,14.0,21.0,38.0,8.0,7.0,13.0,19.0,25.0,37.0,22.0,53.0,30.0,20.0,43.0,28.0,11.0,16.0,61.0
3749,2.0,3.0,1.0,5.0,4.0,0.0,14.0,11.0,33.0,13.0,6.0,44.0,36.0,18.0,26.0,12.0,31.0,30.0,7.0,21.0,16.0,27.0,56.0,28.0,38.0,39.0,54.0,35.0,51.0,55.0
3798,1.0,2.0,0.0,4.0,5.0,3.0,41.0,27.0,12.0,8.0,7.0,33.0,13.0,6.0,56.0,14.0,16.0,34.0,17.0,30.0,23.0,39.0,9.0,20.0,18.0,15.0,31.0,25.0,47.0,53.0
3847,1.0,0.0,12.0,2.0,3.0,4.0,7.0,6.0,16.0,15.0,5.0,8.0,9.0,38.0,19.0,11.0,10.0,65.0,26.0,22.0,29.0,13.0,33.0,20.0,27.0,34.0,31.0,17.0,28.0,42.0
3896,1.0,2.0,0.0,3.0,4.0,7.0,12.0,35.0,18.0,17.0,14.0,23.0,9.0,29.0,26.0,24.0,6.0,61.0,15.0,53.0,62.0,10.0,58.0,19.0,46.0,27.0,39.0,5.0,33.0,55.0
3945,1.0,3.0,0.0,2.0,19.0,12.0,10.0,5.0,17.0,11.0,20.0,13.0,44.0,15.0,9.0,8.0,6.0,23.0,32.0,7.0,25.0,24.0,4.0,30.0,29.0,28.0,37.0,39.0,61.0,36.0
3994,0.0,7.0,1.0,2.0,20.0,10.0,4.0,26.0,9.0,11.0,5.0,15.0,25.0,3.0,8.0,17.0,12.0,18.0,48.0,16.0,32.0,19.0,6.0,30.0,28.0,13.0,21.0,33.0,23.0,63.0
4043,1.0,4.0,0.0,3.0,20.0,9.0,8.0,16.0,21.0,7.0,6.0,18.0,24.0,2.0,14.0,15.0,23.0,58.0,31.0,22.0,36.0,10.0,13.0,26.0,43.0,12.0,44.0,33.0,37.0,29.0
4092,0.0,3.0,2.0,1.0,20.0,4.0,6.0,12.0,11.0,8.0,10.0,19.0,18.0,7.0,25.0,31.0,24.0,16.0,30.0,5.0,27.0,14.0,34.0,45.0,29.0,9.0,64.0,28.0,32.0,42.0
4141,0.0,2.0,1.0,3.0,13.0,10.0,17.0,24.0,15.0,7.0,4.0,8.0,20.0,21.0,12.0,14.0,35.0,22.0,43.0,6.0,5.0,27.0,9.0,30.0,63.0,23.0,58.0,52.0,49.0,62.0
4190,0.0,6.0,4.0,1.0,2.0,3.0,17.0,9.0,8.0,7.0,12.0,15.0,25.0,10.0,22.0,30.0,26.0,19.0,38.0,24.0,23.0,21.0,5.0,32.0,39.0,29.0,34.0,35.0,47.0,11.0
4239,1.0,3.0,0.0,2.0,14.0,31.0,4.0,15.0,6.0,12.0,7.0,8.0,56.0,9.0,25.0,5.0,20.0,16.0,48.0,11.0,17.0,34.0,10.0,51.0,23.0,18.0,47.0,53.0,26.0,19.0
4288,1.0,7.0,2.0,0.0,25.0,10.0,16.0,22.0,4.0,9.0,6.0,33.0,13.0,30.0,20.0,31.0,32.0,29.0,19.0,3.0,14.0,28.0,8.0,12.0,48.0,35.0,5.0,58.0,27.0,40.0
4337,1.0,2.0,16.0,0.0,14.0,32.0,10.0,7.0,15.0,20.0,4.0,13.0,37.0,8.0,6.0,9.0,24.0,19.0,48.0,5.0,25.0,12.0,3.0,27.0,28.0,39.0,33.0,40.0,50.0,11.0
4386,0.0,8.0,1.0,2.0,4.0,15.0,7.0,23.0,6.0,18.0,10.0,3.0,17.0,11.0,13.0,9.0,31.0,34.0,49.0,29.0,22.0,26.0,5.0,14.0,43.0,36.0,24.0,27.0,39.0,16.0
4435,0.0,2.0,1.0,24.0,10.0,4.0,3.0,27.0,13.0,7.0,5.0,6.0,8.0,22.0,31.0,23.0,38.0,42.0,14.0,17.0,11.0,47.0,34.0,16.0,53.0,30.0,65.0,44.0,39.0,12.0
4484,0.0,1.0,2.0,13.0,3.0,6.0,14.0,5.0,19.0,7.0,10.0,16.0,49.0,11.0,4.0,18.0,45.0,20.0,42.0,29.0,38.0,15.0,64.0,21.0,25.0,37.0,22.0,27.0,50.0,26.0
4533,1.0,2.0,0.0,35.0,7.0,11.0,5.0,15.0,6.0,3.0,9.0,4.0,18.0,51.0,10.0,20.0,33.0,12.0,17.0,16.0,43.0,14.0,47.0,29.0,31.0,24.0,37.0,39.0,25.0,8.0
4582,0.0,1.0,18.0,24.0,17.0,8.0,13.0,4.0,14.0,3.0,2.0,6.0,15.0,9.0,5.0,16.0,55.0,36.0,56.0,7.0,38.0,12.0,41.0,11.0,42.0,21.0,34.0,37.0,29.0,20.0
4631,0.0,1.0,2.0,30.0,4.0,3.0,8.0,11.0,6.0,5.0,10.0,12.0,9.0,34.0,14.0,7.0,42.0,23.0,26.0,18.0,17.0,45.0,53.0,16.0,22.0,25.0,37.0,57.0,29.0,13.0
4680,0.0,1.0,5.0,19.0,2.0,16.0,6.0,7.0,11.0,14.0,10.0,4.0,3.0,30.0,13.0,34.0,35.0,18.0,22.0,8.0,61.0,25.0,28.0,17.0,23.0,26.0,15.0,52.0,50.0,12.0
4729,1.0,0.0,10.0,36.0,2.0,4.0,11.0,6.0,8.0,3.0,9.0,12.0,13.0,37.0,14.0,25.0,31.0,30.0,18.0,5.0,28.0,20.0,47.0,35.0,38.0,15.0,34.0,29.0,16.0,7.0
4778,1.0,6.0,4.0,2.0,11.0,12.0,7.0,13.0,8.0,0.0,5.0,9.0,25.0,43.0,3.0,10.0,31.0,19.0,40.0,18.0,16.0,45.0,33.0,35.0,42.0,27.0,30.0,47.0,60.0,14.0
4827,1.0,3.0,0.0,19.0,4.0,7.0,8.0,13.0,6.0,2.0,10.0,9.0,14.0,18.0,11.0,45.0,63.0,51.0,5.0,32.0,21.0,26.0,30.0,28.0,23.0,12.0,24.0,33.0,22.0,20.0
4876,0.0,1.0,9.0,16.0,3.0,2.0,18.0,22.0,5.0,4.0,6.0,15.0,7.0,44.0,20.0,12.0,10.0,36.0,11.0,13.0,32.0,8.0,33.0,31.0,46.0,52.0,14.0,17.0,23.0,34.0
