,alpha-glycerophosphate,alpha-hydroxybutyrate,1-methylnicotinamide,malondialdehyde,oxalate,C34:2 DAG,UMP,creatinine,SDMA/ADMA,C22:6 LPC,hexoses (HILIC neg),hippurate,cystathionine,taurodeoxycholate,C20:4 CE,urate,creatine,alpha-glycerophosphocholine,beta-alanine,C18:0 LPE,leucine,C36:1 DAG,DHAP/glyceraldehyde 3P,dCMP,N-carbamoyl-beta-alanine,C22:6 CE,uracil,putrescine,phosphocreatine,pyroglutamic acid
25,0.0,6.0,18.0,5.0,12.0,1.0,13.0,4.0,21.0,39.0,7.0,35.0,3.0,34.0,36.0,23.0,16.0,10.0,2.0,14.0,20.0,40.0,24.0,11.0,17.0,44.0,8.0,53.0,30.0,27.0
74,0.0,3.0,6.0,1.0,7.0,27.0,2.0,4.0,10.0,9.0,5.0,14.0,21.0,39.0,22.0,36.0,34.0,18.0,16.0,30.0,12.0,33.0,23.0,35.0,13.0,52.0,15.0,55.0,38.0,11.0
123,0.0,9.0,2.0,1.0,10.0,8.0,6.0,11.0,15.0,39.0,3.0,7.0,5.0,33.0,18.0,28.0,27.0,13.0,17.0,12.0,43.0,37.0,20.0,26.0,14.0,22.0,4.0,31.0,32.0,16.0
172,0.0,6.0,1.0,4.0,7.0,10.0,3.0,22.0,21.0,31.0,8.0,12.0,2.0,52.0,28.0,15.0,23.0,20.0,9.0,16.0,51.0,36.0,40.0,11.0,56.0,26.0,17.0,27.0,25.0,37.0
221,0.0,7.0,14.0,5.0,13.0,17.0,3.0,35.0,4.0,19.0,9.0,29.0,1.0,16.0,30.0,49.0,12.0,10.0,2.0,38.0,33.0,24.0,22.0,23.0,15.0,20.0,6.0,21.0,63.0,40.0
270,0.0,1.0,6.0,2.0,17.0,7.0,13.0,14.0,5.0,20.0,10.0,9.0,25.0,63.0,21.0,16.0,15.0,33.0,8.0,30.0,40.0,3.0,28.0,23.0,11.0,19.0,4.0,12.0,57.0,32.0
319,0.0,10.0,13.0,1.0,8.0,15.0,4.0,33.0,18.0,35.0,3.0,12.0,2.0,23.0,19.0,31.0,30.0,22.0,25.0,28.0,21.0,42.0,6.0,20.0,7.0,29.0,11.0,5.0,44.0,56.0
368,0.0,3.0,4.0,6.0,10.0,8.0,1.0,14.0,17.0,34.0,5.0,19.0,12.0,33.0,18.0,41.0,37.0,9.0,21.0,11.0,47.0,36.0,20.0,13.0,7.0,24.0,2.0,27.0,26.0,23.0
417,0.0,1.0,19.0,2.0,3.0,8.0,4.0,6.0,12.0,31.0,35.0,24.0,7.0,9.0,11.0,43.0,26.0,20.0,10.0,32.0,34.0,44.0,14.0,27.0,38.0,48.0,13.0,5.0,53.0,17.0
466,0.0,6.0,20.0,9.0,29.0,2.0,3.0,12.0,36.0,7.0,25.0,17.0,1.0,18.0,39.0,33.0,54.0,8.0,4.0,11.0,30.0,21.0,28.0,14.0,15.0,19.0,26.0,10.0,63.0,41.0
515,3.0,2.0,6.0,1.0,0.0,4.0,19.0,10.0,7.0,12.0,14.0,44.0,5.0,24.0,65.0,20.0,16.0,30.0,15.0,8.0,59.0,26.0,17.0,28.0,29.0,52.0,9.0,49.0,38.0,47.0
564,1.0,3.0,2.0,14.0,8.0,0.0,7.0,16.0,9.0,25.0,12.0,28.0,6.0,19.0,15.0,54.0,4.0,36.0,10.0,18.0,38.0,30.0,21.0,24.0,31.0,17.0,32.0,27.0,26.0,34.0
613,1.0,20.0,4.0,12.0,2.0,0.0,16.0,11.0,29.0,14.0,17.0,15.0,8.0,9.0,22.0,45.0,19.0,28.0,18.0,27.0,60.0,59.0,32.0,10.0,48.0,50.0,21.0,13.0,25.0,33.0
