,ZBTB20_AMP,PKNOX2_DEL,TRAPPC11_DEL,ARID1A_MUT,USP17L7_DEL,SORBS2_DEL,PCDHA10_DEL,PCCB_DEL,PCDHA6_DEL,XKR6_AMP,MTOR_MUT,KIR2DS4_DEL,ADAM3A_AMP,FAM149A_DEL,NF1_MUT,KIR2DL4_AMP,ZNF705D_DEL,PIK3R4_MUT,PCDHA3_DEL,MRGPRX1_DEL,INSRR_MUT,TLR3_DEL,BTNL8_DEL,LOC349196_AMP,HSF2BP_DEL,PTEN_MUT,SLC6A18_AMP,LRRC37A_AMP,USP17L2_DEL,LOC392196_DEL
28,1.0,264.0,45.0,28.0,2.0,5.0,1021.0,11161.0,12317.0,13413.0,659.0,3.0,219.0,17.0,50.0,90.0,8360.0,16325.0,108.0,76.0,16354.0,7845.0,7123.0,14858.0,20008.0,739.0,375.0,15.0,1134.0,3180.0
77,0.0,11334.0,37.0,211.0,3524.0,514.0,12268.0,11115.0,104.0,13368.0,148.0,3575.0,760.0,5902.0,4.0,31.0,74.0,16358.0,48.0,5914.0,416.0,8321.0,7614.0,66.0,16.0,1316.0,25.0,1025.0,3175.0,407.0
126,12870.0,7742.0,8505.0,334.0,3989.0,319.0,16.0,10641.0,74.0,705.0,1.0,3654.0,17609.0,181.0,0.0,188.0,888.0,42.0,214.0,1581.0,16279.0,9810.0,2093.0,15009.0,1115.0,133.0,4.0,169.0,3886.0,2220.0
175,27.0,11596.0,11529.0,13.0,114.0,674.0,12345.0,473.0,90.0,58.0,565.0,0.0,17712.0,49.0,16446.0,15407.0,8368.0,96.0,12364.0,5.0,857.0,854.0,7142.0,1094.0,20029.0,1253.0,36.0,274.0,4035.0,3129.0
224,504.0,9.0,602.0,10.0,837.0,209.0,1.0,180.0,79.0,13422.0,757.0,3679.0,17699.0,115.0,14.0,15460.0,550.0,319.0,1252.0,1890.0,100.0,281.0,7177.0,658.0,20013.0,269.0,1190.0,143.0,153.0,4177.0
273,2.0,1559.0,11548.0,909.0,543.0,6.0,309.0,349.0,12346.0,493.0,16599.0,4116.0,1449.0,6709.0,16468.0,2094.0,129.0,718.0,333.0,1935.0,16313.0,7845.0,7167.0,736.0,1096.0,16901.0,14.0,0.0,4129.0,457.0
322,0.0,150.0,162.0,1259.0,103.0,7.0,177.0,11196.0,12299.0,13397.0,522.0,344.0,27.0,17.0,2.0,1059.0,125.0,157.0,24.0,5970.0,2313.0,8323.0,7624.0,14899.0,454.0,1274.0,3.0,140.0,1282.0,12.0
371,409.0,11579.0,219.0,78.0,1213.0,1.0,3.0,315.0,270.0,1114.0,6.0,4153.0,17623.0,0.0,16415.0,15387.0,326.0,4.0,12318.0,507.0,801.0,7848.0,490.0,1284.0,1900.0,2176.0,54.0,18612.0,2165.0,2493.0
420,5.0,1204.0,518.0,220.0,4248.0,107.0,210.0,1304.0,691.0,13418.0,59.0,338.0,76.0,359.0,259.0,0.0,2318.0,16366.0,12343.0,2178.0,51.0,84.0,7132.0,1.0,20028.0,113.0,31.0,214.0,3943.0,4233.0
469,3.0,11436.0,37.0,731.0,3156.0,9217.0,599.0,1315.0,100.0,957.0,592.0,455.0,99.0,5865.0,415.0,15370.0,693.0,1919.0,30.0,709.0,131.0,2030.0,7110.0,2168.0,286.0,1436.0,44.0,16.0,438.0,3158.0
518,12946.0,1.0,23.0,16921.0,3556.0,33.0,61.0,11103.0,25.0,2.0,16568.0,4344.0,97.0,1087.0,16440.0,15405.0,8390.0,1814.0,12315.0,140.0,92.0,975.0,908.0,14986.0,5.0,16878.0,483.0,917.0,4377.0,472.0
567,216.0,1.0,11497.0,77.0,116.0,9281.0,90.0,11129.0,679.0,145.0,14.0,3716.0,32.0,24.0,181.0,2369.0,8162.0,670.0,12289.0,18.0,16362.0,1770.0,541.0,2355.0,162.0,334.0,346.0,367.0,27.0,190.0
616,47.0,3.0,1059.0,10.0,6.0,32.0,7.0,3737.0,129.0,2.0,27.0,30.0,1517.0,377.0,454.0,13033.0,503.0,58.0,10849.0,6303.0,5.0,859.0,7511.0,1877.0,67.0,143.0,13207.0,180.0,37.0,4074.0
