,GOLGA6L10_AMP,LOC390660_AMP,HLA-H_DEL,PTEN_DEL,ETS1_DEL,NF1_MUT,DMRTA1_DEL,EYA1_DEL,GUCY2C_MUT,BRAF.V600E_MUT,IQSEC3_DEL,FAM21A_DEL,PCCB_DEL,B4GALNT3_DEL,BRAF_MUT,GALC_DEL,ADAM5_DEL,EYS_DEL,CDKN2B_DEL,DICER1_MUT,LOC100506776_AMP,ST8SIA1_DEL,GRM5_DEL,CDKN2B-AS1_DEL,GPR112_MUT,TRIM49_DEL,ELAVL2_DEL,LOC284344_DEL,BBS9_DEL,SORD_AMP
1155,292.0,643.0,1007.0,1029.0,67.0,35.0,3.0,324.0,0.0,21094.0,1.0,9.0,1753.0,16.0,16923.0,2062.0,203.0,3847.0,21024.0,6.0,164.0,119.0,12.0,77.0,583.0,221.0,5069.0,61.0,54.0,23484.0
1204,1854.0,222.0,610.0,35.0,71.0,4.0,15.0,36.0,94.0,85.0,3.0,82.0,564.0,1468.0,2643.0,1940.0,91.0,2483.0,8.0,290.0,151.0,77.0,3060.0,194.0,64.0,565.0,7.0,6547.0,6189.0,636.0
1253,1353.0,15.0,96.0,3.0,150.0,16561.0,20.0,0.0,1112.0,2613.0,9.0,109.0,206.0,48.0,2465.0,6.0,8.0,675.0,2.0,143.0,15808.0,1694.0,269.0,18748.0,16606.0,957.0,65.0,2830.0,34.0,23608.0
1302,2133.0,2086.0,194.0,8578.0,1792.0,589.0,406.0,660.0,256.0,41.0,11315.0,209.0,10732.0,837.0,2298.0,604.0,3.0,68.0,2695.0,42.0,15828.0,44.0,62.0,43.0,156.0,1834.0,473.0,2787.0,1241.0,34.0
1351,56.0,15683.0,75.0,8.0,5095.0,287.0,585.0,49.0,33.0,0.0,2026.0,512.0,107.0,6509.0,4.0,2.0,3.0,70.0,113.0,384.0,36.0,143.0,10.0,59.0,95.0,12624.0,19.0,1236.0,35.0,793.0
1400,9.0,1481.0,14.0,12693.0,6947.0,103.0,27.0,6854.0,21.0,2239.0,1177.0,7.0,454.0,7251.0,122.0,2.0,0.0,2989.0,15.0,68.0,19.0,47.0,188.0,18685.0,108.0,622.0,280.0,715.0,1900.0,1039.0
1449,657.0,15613.0,51.0,17.0,70.0,241.0,56.0,45.0,5.0,21074.0,65.0,7.0,262.0,88.0,2358.0,2393.0,2229.0,594.0,6.0,0.0,123.0,271.0,2643.0,371.0,167.0,2645.0,305.0,2802.0,66.0,1399.0
1498,182.0,16.0,9.0,1.0,136.0,4.0,157.0,189.0,0.0,101.0,28.0,4381.0,11331.0,13.0,16942.0,5268.0,84.0,128.0,17.0,2775.0,15796.0,3.0,34.0,18740.0,16624.0,7.0,2777.0,322.0,7233.0,8.0
1547,913.0,19.0,45.0,296.0,213.0,1845.0,11539.0,1511.0,43.0,55.0,3416.0,720.0,2842.0,1.0,59.0,41.0,9.0,72.0,21029.0,289.0,82.0,328.0,24.0,2844.0,351.0,118.0,5096.0,88.0,1200.0,67.0
1596,229.0,35.0,15.0,12695.0,10.0,102.0,11503.0,3.0,7.0,295.0,4070.0,1803.0,11433.0,2100.0,23.0,114.0,1520.0,68.0,713.0,2649.0,783.0,274.0,27.0,108.0,2435.0,202.0,5473.0,2.0,30.0,23482.0
1645,21790.0,1055.0,2878.0,2485.0,5129.0,9.0,732.0,18.0,91.0,29.0,44.0,32.0,2665.0,2.0,1592.0,7079.0,6967.0,397.0,5.0,16665.0,15787.0,11897.0,582.0,2000.0,279.0,12281.0,1910.0,8.0,69.0,23491.0
1694,1238.0,615.0,0.0,125.0,5148.0,785.0,89.0,237.0,6.0,12.0,157.0,65.0,11332.0,191.0,16936.0,744.0,339.0,193.0,289.0,16678.0,627.0,822.0,14.0,68.0,170.0,1348.0,406.0,2459.0,841.0,156.0
1743,22615.0,936.0,1113.0,213.0,9.0,0.0,54.0,31.0,638.0,3.0,302.0,3127.0,4462.0,67.0,45.0,637.0,560.0,3670.0,2.0,751.0,19578.0,73.0,16.0,5.0,233.0,252.0,111.0,2539.0,2023.0,49.0
1792,35.0,51.0,30.0,25.0,338.0,413.0,704.0,98.0,17.0,20969.0,936.0,1389.0,4548.0,0.0,4.0,7842.0,7420.0,86.0,2830.0,6.0,20902.0,75.0,2791.0,179.0,68.0,11320.0,6425.0,1966.0,445.0,22768.0
1841,89.0,5.0,272.0,211.0,5700.0,1.0,963.0,297.0,460.0,314.0,11.0,433.0,770.0,31.0,10.0,5299.0,5421.0,2977.0,21273.0,16671.0,149.0,390.0,117.0,2866.0,43.0,12284.0,5839.0,238.0,28.0,1499.0
1890,2882.0,152.0,157.0,16.0,2209.0,16441.0,7.0,180.0,2.0,111.0,89.0,381.0,2743.0,1782.0,841.0,246.0,7037.0,2840.0,137.0,98.0,294.0,1302.0,9.0,1249.0,439.0,1238.0,185.0,365.0,67.0,2786.0
1939,436.0,10.0,516.0,12758.0,2.0,364.0,210.0,151.0,37.0,7.0,1605.0,26.0,11302.0,89.0,1.0,363.0,6941.0,3609.0,982.0,457.0,181.0,11831.0,21.0,18757.0,123.0,978.0,118.0,66.0,67.0,23482.0
1988,6.0,8.0,437.0,12723.0,62.0,30.0,31.0,3.0,4.0,711.0,532.0,9.0,11372.0,179.0,23.0,6972.0,51.0,13.0,2679.0,18.0,57.0,195.0,2063.0,0.0,7.0,360.0,370.0,407.0,6383.0,1620.0
2037,6.0,1.0,3.0,13.0,149.0,15.0,322.0,0.0,131.0,52.0,259.0,3239.0,11303.0,6515.0,87.0,50.0,702.0,3947.0,27.0,16684.0,57.0,123.0,201.0,821.0,9.0,12299.0,2086.0,1355.0,2033.0,1680.0
2086,21781.0,33.0,892.0,12779.0,5184.0,4.0,490.0,1.0,64.0,96.0,3150.0,65.0,22.0,0.0,32.0,41.0,29.0,87.0,161.0,2119.0,20.0,11921.0,218.0,7.0,1021.0,2.0,139.0,8.0,92.0,860.0
2135,932.0,11.0,824.0,66.0,183.0,472.0,11539.0,1.0,4.0,611.0,161.0,2.0,110.0,6487.0,556.0,7064.0,164.0,2804.0,1164.0,184.0,15806.0,11834.0,1026.0,397.0,166.0,220.0,5083.0,9.0,311.0,2799.0
2184,357.0,1.0,4.0,12745.0,5443.0,34.0,16.0,11.0,32.0,52.0,684.0,956.0,11316.0,7035.0,576.0,1925.0,5167.0,1303.0,0.0,57.0,15789.0,203.0,713.0,49.0,2020.0,355.0,6737.0,469.0,5.0,150.0
2233,4.0,3.0,863.0,56.0,5773.0,42.0,157.0,6.0,179.0,21084.0,2048.0,88.0,16.0,266.0,72.0,6768.0,1346.0,2672.0,185.0,26.0,15788.0,11829.0,3074.0,15.0,9.0,219.0,559.0,6608.0,1381.0,136.0
2282,209.0,13.0,37.0,22.0,111.0,81.0,10.0,4872.0,51.0,20138.0,3310.0,3516.0,679.0,54.0,16909.0,30.0,268.0,4362.0,21040.0,16645.0,43.0,112.0,492.0,1156.0,9.0,236.0,1561.0,177.0,6416.0,4.0
2331,21790.0,8.0,9.0,38.0,191.0,65.0,11483.0,105.0,48.0,56.0,323.0,72.0,11320.0,327.0,683.0,10.0,4.0,1434.0,166.0,842.0,24.0,27.0,6453.0,2808.0,943.0,164.0,19.0,369.0,310.0,538.0
2380,1031.0,340.0,471.0,245.0,592.0,149.0,11504.0,1662.0,674.0,111.0,612.0,94.0,362.0,103.0,45.0,82.0,0.0,88.0,5.0,615.0,125.0,27.0,495.0,3.0,16582.0,87.0,5132.0,2461.0,170.0,6.0
