,GOLGA6L10_AMP,LOC390660_AMP,HLA-H_DEL,PTEN_DEL,ETS1_DEL,NF1_MUT,DMRTA1_DEL,EYA1_DEL,GUCY2C_MUT,BRAF.V600E_MUT,IQSEC3_DEL,FAM21A_DEL,PCCB_DEL,B4GALNT3_DEL,BRAF_MUT,GALC_DEL,ADAM5_DEL,EYS_DEL,CDKN2B_DEL,DICER1_MUT,LOC100506776_AMP,ST8SIA1_DEL,GRM5_DEL,CDKN2B-AS1_DEL,GPR112_MUT,TRIM49_DEL,ELAVL2_DEL,LOC284344_DEL,BBS9_DEL,SORD_AMP
4438,362.0,848.0,26.0,28.0,11.0,16460.0,2.0,1782.0,18.0,20137.0,277.0,3905.0,232.0,4.0,16890.0,5989.0,6934.0,373.0,156.0,0.0,1006.0,11797.0,746.0,1310.0,89.0,132.0,542.0,2654.0,9.0,23563.0
4487,412.0,15576.0,954.0,928.0,1929.0,21.0,45.0,1128.0,16404.0,20150.0,203.0,4595.0,11246.0,17.0,125.0,301.0,0.0,201.0,20964.0,1038.0,15739.0,11848.0,357.0,217.0,547.0,97.0,592.0,2145.0,865.0,47.0
4536,249.0,15375.0,19.0,34.0,11.0,71.0,15.0,2392.0,5.0,238.0,175.0,431.0,125.0,81.0,2597.0,98.0,356.0,0.0,269.0,105.0,3.0,2.0,3325.0,35.0,16561.0,154.0,5013.0,2790.0,14.0,831.0
4585,23680.0,477.0,6.0,59.0,113.0,121.0,30.0,391.0,2520.0,290.0,232.0,132.0,726.0,20.0,16901.0,1842.0,7.0,3.0,743.0,612.0,378.0,11798.0,239.0,18698.0,16557.0,70.0,5.0,6378.0,193.0,272.0
4634,310.0,2426.0,8.0,535.0,200.0,66.0,72.0,2783.0,78.0,19.0,860.0,2711.0,11302.0,549.0,74.0,211.0,32.0,666.0,412.0,16.0,257.0,11837.0,1202.0,1825.0,11.0,58.0,9.0,6081.0,42.0,262.0
4683,23651.0,119.0,1012.0,23.0,221.0,1.0,2470.0,5416.0,1645.0,181.0,1003.0,599.0,151.0,247.0,69.0,5082.0,661.0,0.0,103.0,232.0,15747.0,11791.0,1171.0,18688.0,639.0,2.0,6700.0,1455.0,1518.0,23499.0
4732,0.0,220.0,5.0,12763.0,10.0,78.0,2313.0,2.0,321.0,21.0,9.0,2800.0,11330.0,4.0,82.0,195.0,14.0,1580.0,21254.0,29.0,100.0,28.0,798.0,400.0,16.0,51.0,5130.0,617.0,3.0,23486.0
4781,37.0,146.0,94.0,289.0,10.0,74.0,2.0,1033.0,16427.0,12.0,20.0,0.0,10579.0,877.0,1.0,6790.0,136.0,5068.0,1181.0,464.0,187.0,39.0,2991.0,1531.0,941.0,11963.0,30.0,2828.0,17.0,23514.0
4830,43.0,1159.0,2.0,21.0,0.0,23.0,4.0,443.0,287.0,20132.0,9.0,149.0,2352.0,578.0,59.0,38.0,1063.0,4994.0,163.0,7.0,16010.0,224.0,138.0,18680.0,16560.0,235.0,14.0,3713.0,430.0,131.0
4879,73.0,823.0,8.0,90.0,0.0,16512.0,11.0,7.0,170.0,162.0,3628.0,330.0,124.0,2105.0,20.0,22.0,6.0,3.0,122.0,5.0,15781.0,285.0,3133.0,18687.0,583.0,98.0,10.0,325.0,14.0,23446.0
