,PANCREAS,LARGE_INTESTINE,SKIN,STOMACH,THYROID,GANGLIA,HAEMATOPOIETIC,AERODIGESTIVE,PROSTATE,PLEURA,BILIARY,SOFT_TISSUE,KIDNEY,SALIVARY,URINARY,OVARY,LUNG,OESOPHAGUS,ENDOMETRIUM,LIVER,BONE,NERVOUS,BREAST
45,0.0,1.0,2.0,4.0,3.0,7.0,5.0,8.0,6.0,10.0,11.0,13.0,14.0,12.0,15.0,17.0,18.0,16.0,9.0,20.0,21.0,19.0,22.0
94,1.0,0.0,2.0,4.0,6.0,3.0,9.0,12.0,14.0,15.0,7.0,5.0,10.0,11.0,8.0,16.0,18.0,17.0,13.0,19.0,21.0,20.0,22.0
143,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,11.0,12.0,14.0,15.0,13.0,16.0,19.0,17.0,9.0,10.0,20.0,21.0,18.0,22.0
192,1.0,0.0,2.0,14.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,15.0,13.0,18.0,16.0,17.0,8.0,20.0,21.0,19.0,22.0
241,1.0,2.0,0.0,4.0,10.0,3.0,5.0,13.0,15.0,14.0,6.0,11.0,9.0,12.0,7.0,17.0,18.0,8.0,16.0,19.0,20.0,21.0,22.0
290,0.0,2.0,1.0,6.0,3.0,5.0,4.0,8.0,7.0,14.0,10.0,13.0,11.0,9.0,12.0,17.0,18.0,16.0,15.0,19.0,21.0,20.0,22.0
339,0.0,1.0,2.0,6.0,3.0,7.0,5.0,4.0,8.0,10.0,11.0,13.0,14.0,12.0,15.0,16.0,18.0,17.0,9.0,21.0,20.0,19.0,22.0
388,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,10.0,11.0,13.0,14.0,12.0,15.0,16.0,17.0,20.0,9.0,18.0,21.0,19.0,22.0
437,0.0,1.0,2.0,5.0,6.0,3.0,4.0,8.0,7.0,10.0,11.0,13.0,14.0,12.0,15.0,18.0,16.0,17.0,9.0,19.0,21.0,20.0,22.0
486,0.0,1.0,2.0,6.0,3.0,4.0,5.0,8.0,9.0,12.0,13.0,15.0,16.0,14.0,7.0,17.0,18.0,10.0,11.0,20.0,21.0,19.0,22.0
535,0.0,2.0,1.0,4.0,6.0,3.0,5.0,8.0,7.0,9.0,10.0,18.0,11.0,14.0,13.0,12.0,16.0,15.0,17.0,19.0,21.0,20.0,22.0
584,1.0,0.0,2.0,6.0,4.0,3.0,5.0,8.0,7.0,9.0,15.0,11.0,12.0,14.0,13.0,16.0,10.0,17.0,18.0,20.0,21.0,19.0,22.0
633,0.0,2.0,1.0,5.0,4.0,3.0,6.0,10.0,9.0,11.0,12.0,8.0,14.0,13.0,7.0,19.0,15.0,17.0,16.0,21.0,20.0,18.0,22.0
682,0.0,1.0,2.0,4.0,5.0,3.0,6.0,9.0,8.0,10.0,15.0,7.0,13.0,12.0,14.0,16.0,11.0,19.0,17.0,20.0,21.0,18.0,22.0
731,1.0,2.0,0.0,4.0,6.0,3.0,5.0,8.0,7.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,20.0,21.0,19.0,22.0
780,0.0,2.0,1.0,5.0,4.0,3.0,6.0,8.0,7.0,10.0,11.0,13.0,14.0,12.0,15.0,17.0,16.0,18.0,9.0,21.0,19.0,20.0,22.0
829,0.0,2.0,1.0,5.0,3.0,4.0,6.0,9.0,7.0,11.0,12.0,14.0,15.0,13.0,18.0,16.0,17.0,8.0,10.0,19.0,21.0,20.0,22.0
878,0.0,2.0,1.0,3.0,4.0,5.0,6.0,10.0,9.0,8.0,11.0,13.0,14.0,12.0,7.0,17.0,16.0,15.0,18.0,21.0,19.0,20.0,22.0
