,ETV4,TMC6,TOR4A,RP11-973F15.1,RP11-93B14.5,MBP,SPRY2,ALX4,GPR137,ENAH,CTD-2231H16.1,C16orf87,RP11-236F9.2,EML1,CTSE,RNF125,KRBA1,DBN1,SOGA1,SLCO4A1,ARHGAP33,C15orf59,DUSP6,DNAJB2,ETV5,SHISA9,KLF3,LEMD2,NPAS2,OSBPL11
1134,0.0,11583.0,1.0,27.0,8.0,5.0,18.0,19.0,23.0,52.0,21609.0,90.0,33.0,26.0,17622.0,574.0,19072.0,21093.0,151.0,64.0,41.0,73.0,61.0,2.0,600.0,2692.0,59.0,22747.0,12979.0,43.0
1183,1.0,11587.0,8.0,10.0,109.0,3.0,81.0,17.0,9.0,17428.0,528.0,371.0,66.0,28.0,17564.0,110.0,19074.0,111.0,90.0,6902.0,26.0,60.0,92.0,0.0,107.0,2661.0,51.0,22745.0,12957.0,406.0
1232,2.0,11612.0,8.0,116.0,6.0,1.0,11.0,20.0,3799.0,17380.0,21605.0,2605.0,19934.0,39.0,17564.0,81.0,19.0,154.0,6397.0,4.0,41.0,7.0,30.0,0.0,16.0,2657.0,13633.0,22751.0,12996.0,14228.0
1281,14.0,11568.0,6.0,3.0,2.0,23.0,1258.0,4670.0,21.0,17353.0,21542.0,31.0,20011.0,30.0,20.0,100.0,83.0,21095.0,105.0,36.0,44.0,26.0,47.0,0.0,28.0,2633.0,41.0,22742.0,46.0,14194.0
1330,8.0,11608.0,49.0,10.0,60.0,1.0,30.0,22.0,5.0,17365.0,21573.0,0.0,20003.0,14.0,16.0,121.0,19066.0,21091.0,103.0,6901.0,27.0,58.0,32.0,4.0,129.0,481.0,13496.0,167.0,110.0,50.0
1379,7.0,285.0,0.0,24.0,4.0,2.0,19.0,4714.0,5.0,207.0,67.0,10.0,19975.0,28.0,34.0,11974.0,19062.0,21100.0,6439.0,32.0,8.0,1.0,41.0,123.0,14592.0,101.0,183.0,22774.0,167.0,22.0
1428,15.0,4.0,14.0,18356.0,1.0,21.0,19.0,79.0,2.0,109.0,9.0,11.0,178.0,23.0,17.0,11976.0,83.0,21099.0,6421.0,6902.0,66.0,40.0,29.0,34.0,126.0,2660.0,13502.0,22774.0,12951.0,14215.0
1477,9782.0,2.0,1.0,3.0,6868.0,527.0,222.0,31.0,0.0,4.0,93.0,110.0,19989.0,58.0,17622.0,68.0,6.0,5.0,6406.0,61.0,11109.0,3176.0,296.0,28.0,225.0,100.0,12.0,15.0,12979.0,14.0
1526,9796.0,5.0,2.0,11.0,6912.0,42.0,1873.0,38.0,1.0,17364.0,125.0,227.0,19981.0,4.0,3.0,22.0,48.0,7.0,6428.0,6913.0,11105.0,3194.0,1056.0,75.0,19.0,8.0,63.0,10.0,12926.0,171.0
1575,9783.0,0.0,6.0,57.0,6903.0,11839.0,318.0,16.0,3788.0,23.0,58.0,12.0,20009.0,13.0,8.0,49.0,18953.0,3.0,6410.0,95.0,129.0,3171.0,5201.0,13207.0,190.0,27.0,13507.0,2.0,12928.0,14207.0
1624,9802.0,2.0,23.0,60.0,6882.0,11700.0,1855.0,27.0,132.0,5.0,29.0,2011.0,19983.0,46.0,0.0,37.0,148.0,58.0,6402.0,4.0,11108.0,41.0,5242.0,93.0,127.0,10.0,13625.0,12.0,117.0,308.0
1673,38.0,7.0,21.0,4.0,6899.0,11808.0,84.0,22.0,1068.0,17394.0,3.0,2609.0,19999.0,83.0,17561.0,66.0,115.0,94.0,17.0,37.0,11102.0,3186.0,5224.0,0.0,39.0,56.0,24.0,16.0,12983.0,297.0
1722,38.0,71.0,1.0,96.0,10.0,11808.0,2008.0,22.0,3560.0,106.0,21543.0,10119.0,19948.0,3049.0,48.0,55.0,18821.0,59.0,21.0,5.0,367.0,17.0,5227.0,0.0,1032.0,6.0,156.0,26.0,33.0,14209.0
1771,60.0,1.0,3.0,117.0,733.0,11810.0,120.0,4937.0,6.0,553.0,5.0,2688.0,130.0,61.0,57.0,4.0,19067.0,109.0,10.0,42.0,11135.0,170.0,5158.0,76.0,0.0,29.0,19.0,295.0,124.0,387.0
1820,44.0,0.0,2.0,257.0,9.0,11803.0,1382.0,28.0,64.0,835.0,37.0,30.0,68.0,66.0,16.0,34.0,173.0,60.0,82.0,4.0,11113.0,8.0,5212.0,78.0,522.0,56.0,13475.0,177.0,12938.0,14198.0
1869,105.0,0.0,2.0,18129.0,388.0,11700.0,60.0,4656.0,23.0,17429.0,1.0,103.0,88.0,3158.0,26.0,21.0,315.0,8.0,114.0,6875.0,11046.0,2796.0,5187.0,4.0,42.0,72.0,5.0,22739.0,12983.0,1003.0
1918,4.0,123.0,83.0,18123.0,43.0,11807.0,1733.0,87.0,3560.0,73.0,1.0,99.0,2.0,18.0,9.0,25.0,114.0,8.0,6413.0,219.0,11104.0,111.0,14.0,0.0,10.0,71.0,13498.0,719.0,12948.0,14444.0
