,C36:1 DAG,C22:6 LPE,2-deoxycytidine,guanosine,5-HIAA,C22:6 CE,C16:0 LPE,C36:4 PC-B,hypoxanthine,glutamine,DHAP/glyceraldehyde 3P,GABA,inosine,taurodeoxycholate,inositol,putrescine,alpha-glycerophosphate,3-phosphoglycerate,C20:4 CE,PEP,N-carbamoyl-beta-alanine,creatine,serotonin,homocysteine,pantothenate,cystathionine,C22:6 LPC,C18:0 LPC,C34:2 DAG,1-methylnicotinamide
25,0.0,4.0,6.0,3.0,31.0,18.0,56.0,5.0,1.0,35.0,21.0,22.0,46.0,12.0,39.0,28.0,8.0,7.0,13.0,19.0,24.0,43.0,9.0,59.0,42.0,2.0,27.0,25.0,26.0,15.0
74,2.0,7.0,0.0,1.0,5.0,34.0,40.0,50.0,9.0,10.0,28.0,12.0,19.0,23.0,3.0,18.0,15.0,4.0,24.0,32.0,16.0,13.0,51.0,38.0,20.0,17.0,39.0,53.0,21.0,14.0
123,0.0,2.0,5.0,16.0,3.0,50.0,9.0,17.0,13.0,7.0,20.0,4.0,35.0,18.0,6.0,22.0,36.0,23.0,27.0,10.0,30.0,33.0,8.0,12.0,46.0,1.0,34.0,21.0,53.0,11.0
172,3.0,11.0,23.0,2.0,12.0,16.0,14.0,4.0,0.0,13.0,1.0,6.0,9.0,5.0,28.0,24.0,10.0,27.0,21.0,8.0,15.0,36.0,18.0,25.0,30.0,17.0,42.0,48.0,22.0,7.0
221,5.0,0.0,13.0,2.0,4.0,59.0,39.0,31.0,1.0,6.0,23.0,10.0,65.0,34.0,3.0,32.0,27.0,9.0,41.0,11.0,7.0,37.0,17.0,15.0,49.0,14.0,66.0,12.0,19.0,28.0
270,0.0,14.0,7.0,2.0,9.0,16.0,8.0,19.0,61.0,44.0,46.0,3.0,5.0,12.0,18.0,11.0,17.0,6.0,28.0,4.0,10.0,45.0,34.0,20.0,15.0,1.0,24.0,50.0,13.0,43.0
319,4.0,7.0,8.0,1.0,15.0,34.0,46.0,16.0,2.0,51.0,9.0,0.0,10.0,42.0,5.0,3.0,38.0,6.0,22.0,19.0,18.0,24.0,49.0,26.0,39.0,14.0,31.0,32.0,43.0,17.0
368,0.0,22.0,5.0,1.0,6.0,7.0,13.0,3.0,47.0,24.0,2.0,10.0,12.0,8.0,16.0,56.0,4.0,35.0,18.0,28.0,19.0,31.0,9.0,11.0,25.0,21.0,49.0,43.0,29.0,14.0
417,6.0,0.0,1.0,3.0,4.0,55.0,14.0,8.0,12.0,22.0,52.0,20.0,21.0,43.0,34.0,26.0,24.0,7.0,56.0,35.0,10.0,29.0,18.0,42.0,9.0,5.0,30.0,19.0,11.0,16.0
466,0.0,5.0,2.0,1.0,3.0,34.0,32.0,15.0,4.0,54.0,18.0,13.0,8.0,17.0,23.0,7.0,42.0,14.0,16.0,11.0,37.0,19.0,10.0,28.0,24.0,6.0,50.0,29.0,39.0,27.0
