,hsa-miR-222,hsa-miR-34a,hsa-miR-223,hsa-miR-582-5p,hsa-miR-135b,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1252,hsa-miR-132,hsa-miR-30d,hsa-miR-508-3p,hsa-miR-383,hsa-miR-204,hsa-miR-584,hsa-miR-662,hsa-miR-1307,hsa-miR-219-2-3p,hsa-miR-205,hsa-miR-412,hsa-miR-34c-5p,hsa-miR-1276,hsa-miR-711,hsa-miR-612,hsa-miR-1282,hsa-miR-616,hsa-miR-26a,hsa-miR-298,hsa-miR-654-3p,hsa-miR-192,hsa-miR-186
17,0.0,1.0,2.0,5.0,3.0,4.0,16.0,6.0,11.0,13.0,8.0,18.0,27.0,7.0,91.0,15.0,17.0,55.0,64.0,102.0,93.0,42.0,10.0,12.0,23.0,24.0,22.0,20.0,35.0,58.0
66,0.0,1.0,2.0,3.0,10.0,4.0,6.0,5.0,15.0,74.0,18.0,8.0,17.0,9.0,105.0,12.0,20.0,37.0,70.0,30.0,59.0,19.0,23.0,52.0,16.0,35.0,25.0,13.0,50.0,328.0
115,0.0,2.0,1.0,3.0,4.0,9.0,5.0,12.0,27.0,7.0,14.0,16.0,11.0,10.0,31.0,6.0,18.0,354.0,35.0,39.0,50.0,298.0,13.0,44.0,19.0,26.0,8.0,40.0,68.0,63.0
164,0.0,1.0,3.0,2.0,5.0,4.0,9.0,22.0,32.0,18.0,13.0,21.0,6.0,17.0,37.0,7.0,11.0,64.0,54.0,40.0,15.0,33.0,25.0,39.0,14.0,10.0,12.0,79.0,26.0,68.0
213,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,18.0,42.0,10.0,15.0,9.0,6.0,22.0,11.0,32.0,31.0,29.0,46.0,78.0,87.0,23.0,44.0,20.0,36.0,21.0,50.0,16.0,52.0
262,0.0,1.0,4.0,3.0,5.0,7.0,6.0,13.0,15.0,17.0,12.0,8.0,16.0,9.0,27.0,2.0,32.0,55.0,23.0,473.0,48.0,246.0,44.0,20.0,10.0,25.0,11.0,24.0,51.0,45.0
311,0.0,1.0,2.0,3.0,6.0,4.0,5.0,8.0,9.0,19.0,21.0,14.0,11.0,16.0,102.0,7.0,34.0,362.0,77.0,47.0,20.0,111.0,13.0,42.0,12.0,28.0,33.0,27.0,17.0,67.0
360,0.0,2.0,1.0,7.0,3.0,5.0,6.0,4.0,29.0,35.0,9.0,15.0,13.0,12.0,16.0,8.0,19.0,86.0,20.0,17.0,28.0,89.0,18.0,47.0,26.0,46.0,21.0,53.0,14.0,32.0
409,0.0,1.0,3.0,2.0,5.0,12.0,7.0,4.0,17.0,22.0,15.0,10.0,18.0,8.0,58.0,6.0,20.0,51.0,86.0,23.0,79.0,294.0,13.0,71.0,9.0,34.0,38.0,24.0,21.0,47.0
458,0.0,1.0,3.0,2.0,8.0,4.0,5.0,17.0,31.0,7.0,21.0,14.0,16.0,15.0,11.0,6.0,22.0,59.0,36.0,49.0,52.0,299.0,13.0,55.0,9.0,26.0,29.0,19.0,32.0,27.0
