,C34:4 PC,uracil,inositol,2-deoxycytidine,uridine,GABA,beta-alanine,N-carbamoyl-beta-alanine,serotonin,malondialdehyde,creatine,phosphocreatine,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,urate,glutamine,palmitoylcarnitine,C22:6 CE,1-methylnicotinamide,creatinine,isocitrate,hypoxanthine,C16:0 LPE,acetylcholine,3-phosphoglycerate,C56:5 TAG,hexoses (HILIC neg),2-deoxyadenosine,cystathionine,DHAP/glyceraldehyde 3P
2181,1.0,3.0,0.0,17.0,27.0,11.0,7.0,2.0,12.0,5.0,10.0,19.0,20.0,6.0,14.0,8.0,31.0,9.0,4.0,15.0,18.0,21.0,51.0,45.0,38.0,47.0,13.0,24.0,61.0,55.0
2230,25.0,5.0,15.0,9.0,8.0,1.0,31.0,11.0,4.0,0.0,10.0,35.0,33.0,14.0,19.0,2.0,13.0,27.0,22.0,21.0,6.0,3.0,12.0,28.0,61.0,24.0,16.0,17.0,60.0,58.0
2279,7.0,3.0,0.0,24.0,27.0,5.0,10.0,11.0,6.0,16.0,8.0,4.0,20.0,2.0,50.0,1.0,31.0,15.0,23.0,34.0,18.0,39.0,26.0,38.0,32.0,22.0,13.0,52.0,9.0,19.0
2328,2.0,11.0,7.0,17.0,0.0,14.0,24.0,1.0,4.0,15.0,25.0,3.0,32.0,5.0,9.0,8.0,34.0,6.0,12.0,37.0,40.0,31.0,46.0,13.0,62.0,23.0,35.0,42.0,27.0,55.0
2377,2.0,0.0,1.0,10.0,30.0,3.0,22.0,4.0,24.0,5.0,14.0,13.0,42.0,15.0,17.0,6.0,31.0,11.0,9.0,19.0,63.0,7.0,16.0,38.0,48.0,33.0,8.0,47.0,18.0,27.0
2426,0.0,22.0,23.0,12.0,2.0,11.0,8.0,14.0,17.0,20.0,7.0,3.0,35.0,1.0,21.0,18.0,25.0,4.0,13.0,63.0,6.0,27.0,44.0,34.0,15.0,51.0,5.0,16.0,38.0,29.0
2475,1.0,3.0,0.0,9.0,33.0,14.0,37.0,30.0,7.0,46.0,20.0,4.0,22.0,2.0,44.0,12.0,5.0,26.0,55.0,8.0,21.0,47.0,24.0,31.0,15.0,42.0,16.0,10.0,25.0,17.0
2524,0.0,4.0,5.0,28.0,7.0,15.0,2.0,25.0,8.0,1.0,34.0,10.0,12.0,9.0,27.0,20.0,13.0,30.0,40.0,41.0,21.0,17.0,58.0,14.0,3.0,22.0,6.0,18.0,29.0,23.0
2573,0.0,21.0,7.0,17.0,1.0,2.0,9.0,8.0,3.0,20.0,13.0,4.0,55.0,10.0,27.0,19.0,6.0,28.0,14.0,42.0,22.0,18.0,38.0,44.0,25.0,16.0,5.0,39.0,30.0,12.0
2622,0.0,3.0,10.0,29.0,6.0,13.0,4.0,32.0,30.0,9.0,7.0,16.0,14.0,5.0,12.0,1.0,20.0,18.0,48.0,8.0,41.0,24.0,11.0,23.0,26.0,2.0,22.0,19.0,17.0,27.0
2671,1.0,7.0,9.0,14.0,2.0,0.0,4.0,28.0,15.0,20.0,18.0,3.0,11.0,5.0,30.0,16.0,19.0,45.0,26.0,10.0,51.0,27.0,13.0,37.0,8.0,12.0,32.0,33.0,57.0,60.0
2720,1.0,12.0,0.0,9.0,7.0,2.0,24.0,31.0,3.0,21.0,14.0,10.0,16.0,18.0,25.0,5.0,4.0,29.0,30.0,39.0,26.0,45.0,22.0,15.0,6.0,8.0,11.0,33.0,19.0,53.0
2769,1.0,6.0,0.0,21.0,9.0,4.0,7.0,11.0,3.0,33.0,10.0,25.0,20.0,2.0,15.0,29.0,5.0,30.0,37.0,61.0,23.0,26.0,8.0,16.0,62.0,19.0,18.0,28.0,57.0,40.0
2818,11.0,4.0,1.0,2.0,9.0,0.0,6.0,28.0,3.0,16.0,15.0,5.0,17.0,7.0,8.0,13.0,10.0,53.0,24.0,46.0,23.0,48.0,20.0,42.0,25.0,18.0,27.0,33.0,19.0,26.0
2867,0.0,14.0,18.0,34.0,1.0,4.0,5.0,28.0,13.0,22.0,62.0,19.0,3.0,10.0,32.0,43.0,2.0,21.0,17.0,55.0,7.0,25.0,16.0,15.0,8.0,26.0,6.0,45.0,38.0,9.0
2916,1.0,7.0,11.0,9.0,0.0,3.0,25.0,22.0,6.0,14.0,10.0,21.0,33.0,30.0,16.0,15.0,2.0,49.0,8.0,17.0,37.0,20.0,19.0,26.0,5.0,46.0,35.0,60.0,36.0,48.0
2965,2.0,4.0,1.0,25.0,15.0,5.0,9.0,26.0,40.0,0.0,3.0,10.0,17.0,27.0,23.0,6.0,18.0,14.0,22.0,20.0,52.0,35.0,60.0,8.0,53.0,7.0,63.0,31.0,46.0,12.0
3014,11.0,1.0,0.0,3.0,6.0,30.0,10.0,15.0,49.0,2.0,5.0,8.0,20.0,7.0,13.0,9.0,4.0,16.0,25.0,35.0,55.0,28.0,41.0,23.0,61.0,39.0,17.0,19.0,26.0,14.0
3063,4.0,2.0,1.0,25.0,39.0,28.0,24.0,7.0,12.0,0.0,56.0,3.0,17.0,26.0,32.0,6.0,14.0,22.0,8.0,16.0,33.0,5.0,41.0,21.0,15.0,9.0,11.0,20.0,64.0,19.0
3112,4.0,1.0,0.0,12.0,21.0,18.0,30.0,8.0,11.0,2.0,19.0,5.0,6.0,13.0,3.0,51.0,7.0,29.0,32.0,33.0,14.0,25.0,49.0,9.0,52.0,36.0,40.0,28.0,23.0,37.0
3161,3.0,2.0,0.0,9.0,4.0,21.0,19.0,7.0,41.0,1.0,15.0,8.0,28.0,39.0,16.0,34.0,18.0,22.0,11.0,14.0,12.0,6.0,43.0,5.0,38.0,25.0,63.0,37.0,23.0,13.0
3210,0.0,2.0,1.0,12.0,4.0,5.0,21.0,18.0,25.0,6.0,8.0,3.0,7.0,38.0,15.0,16.0,13.0,41.0,11.0,47.0,34.0,45.0,62.0,9.0,10.0,30.0,40.0,46.0,22.0,59.0
3259,5.0,1.0,0.0,3.0,20.0,7.0,31.0,12.0,28.0,2.0,13.0,10.0,6.0,30.0,24.0,16.0,4.0,23.0,8.0,40.0,15.0,9.0,50.0,11.0,21.0,59.0,61.0,34.0,18.0,38.0
3308,3.0,1.0,2.0,6.0,4.0,14.0,7.0,10.0,8.0,0.0,44.0,13.0,5.0,26.0,34.0,33.0,21.0,19.0,31.0,41.0,56.0,11.0,53.0,12.0,23.0,47.0,60.0,9.0,38.0,32.0
3357,8.0,2.0,0.0,29.0,7.0,3.0,40.0,9.0,30.0,1.0,43.0,13.0,21.0,16.0,5.0,34.0,26.0,22.0,4.0,24.0,55.0,25.0,39.0,12.0,10.0,66.0,54.0,6.0,23.0,32.0
3406,1.0,2.0,0.0,19.0,22.0,4.0,9.0,5.0,33.0,3.0,28.0,6.0,12.0,18.0,32.0,10.0,13.0,30.0,49.0,8.0,23.0,41.0,38.0,21.0,24.0,34.0,43.0,25.0,27.0,11.0
3455,4.0,2.0,6.0,1.0,11.0,0.0,5.0,25.0,32.0,54.0,48.0,3.0,15.0,23.0,10.0,24.0,19.0,13.0,8.0,44.0,33.0,51.0,43.0,9.0,50.0,31.0,29.0,20.0,47.0,57.0
3504,2.0,5.0,0.0,3.0,10.0,1.0,13.0,8.0,12.0,45.0,11.0,7.0,14.0,18.0,4.0,25.0,17.0,31.0,32.0,20.0,9.0,49.0,39.0,65.0,28.0,50.0,48.0,29.0,15.0,19.0
3553,27.0,7.0,1.0,8.0,3.0,0.0,6.0,9.0,10.0,2.0,42.0,24.0,15.0,26.0,4.0,11.0,5.0,14.0,22.0,18.0,36.0,45.0,19.0,62.0,12.0,16.0,23.0,38.0,64.0,25.0
3602,4.0,10.0,2.0,0.0,14.0,7.0,5.0,18.0,8.0,38.0,47.0,22.0,11.0,26.0,1.0,15.0,20.0,39.0,31.0,32.0,12.0,9.0,3.0,35.0,42.0,57.0,56.0,28.0,50.0,44.0
3651,7.0,0.0,12.0,15.0,3.0,1.0,9.0,11.0,5.0,35.0,10.0,6.0,4.0,53.0,26.0,32.0,13.0,14.0,25.0,34.0,65.0,20.0,42.0,46.0,18.0,22.0,50.0,60.0,27.0,19.0
3700,3.0,4.0,1.0,2.0,14.0,0.0,11.0,20.0,13.0,29.0,26.0,50.0,7.0,19.0,6.0,28.0,9.0,5.0,35.0,21.0,27.0,47.0,12.0,32.0,33.0,24.0,34.0,61.0,18.0,37.0
3749,4.0,3.0,0.0,2.0,16.0,1.0,6.0,7.0,24.0,35.0,13.0,33.0,9.0,27.0,5.0,10.0,12.0,34.0,23.0,28.0,8.0,37.0,30.0,52.0,26.0,31.0,64.0,44.0,22.0,18.0
3798,3.0,14.0,1.0,4.0,64.0,0.0,2.0,40.0,22.0,18.0,34.0,15.0,8.0,5.0,6.0,37.0,38.0,9.0,19.0,65.0,27.0,7.0,10.0,39.0,11.0,26.0,23.0,41.0,32.0,24.0
3847,1.0,15.0,4.0,3.0,18.0,0.0,2.0,36.0,6.0,13.0,20.0,11.0,9.0,35.0,12.0,32.0,7.0,14.0,48.0,40.0,43.0,17.0,10.0,61.0,29.0,27.0,19.0,53.0,46.0,34.0
3896,4.0,3.0,1.0,0.0,7.0,6.0,2.0,12.0,15.0,8.0,30.0,5.0,11.0,13.0,23.0,24.0,25.0,28.0,47.0,26.0,37.0,19.0,57.0,38.0,46.0,10.0,39.0,14.0,22.0,44.0
3945,6.0,0.0,1.0,4.0,2.0,5.0,12.0,11.0,7.0,8.0,3.0,39.0,20.0,51.0,25.0,33.0,19.0,9.0,16.0,10.0,13.0,54.0,30.0,44.0,41.0,37.0,14.0,58.0,23.0,48.0
3994,3.0,0.0,2.0,7.0,1.0,4.0,6.0,11.0,5.0,20.0,12.0,9.0,16.0,18.0,63.0,10.0,34.0,40.0,41.0,47.0,26.0,32.0,17.0,21.0,58.0,36.0,15.0,30.0,25.0,56.0
4043,3.0,0.0,2.0,1.0,17.0,9.0,36.0,4.0,11.0,8.0,25.0,31.0,7.0,10.0,5.0,13.0,42.0,15.0,16.0,30.0,39.0,12.0,14.0,45.0,55.0,60.0,46.0,61.0,22.0,23.0
4092,1.0,0.0,3.0,2.0,4.0,6.0,11.0,8.0,39.0,25.0,17.0,12.0,20.0,9.0,14.0,15.0,27.0,7.0,36.0,33.0,62.0,45.0,5.0,42.0,10.0,16.0,13.0,24.0,59.0,19.0
4141,2.0,1.0,0.0,10.0,6.0,8.0,25.0,3.0,47.0,5.0,15.0,4.0,7.0,12.0,11.0,13.0,34.0,14.0,20.0,41.0,27.0,24.0,28.0,22.0,32.0,64.0,21.0,61.0,60.0,57.0
4190,6.0,0.0,2.0,4.0,7.0,5.0,12.0,3.0,33.0,1.0,10.0,35.0,9.0,37.0,43.0,61.0,16.0,24.0,52.0,8.0,60.0,15.0,29.0,56.0,18.0,41.0,26.0,19.0,59.0,45.0
4239,0.0,1.0,2.0,3.0,4.0,5.0,11.0,13.0,17.0,10.0,18.0,8.0,31.0,24.0,16.0,25.0,44.0,46.0,42.0,37.0,22.0,36.0,19.0,27.0,34.0,28.0,38.0,43.0,20.0,64.0
4288,3.0,0.0,1.0,4.0,5.0,2.0,8.0,14.0,6.0,18.0,44.0,29.0,11.0,7.0,60.0,19.0,26.0,13.0,9.0,12.0,31.0,16.0,51.0,43.0,17.0,27.0,24.0,22.0,15.0,21.0
4337,0.0,1.0,3.0,7.0,2.0,5.0,10.0,19.0,49.0,29.0,30.0,34.0,20.0,15.0,12.0,35.0,9.0,8.0,26.0,23.0,31.0,36.0,59.0,42.0,44.0,40.0,41.0,14.0,37.0,50.0
4386,8.0,0.0,3.0,10.0,5.0,1.0,2.0,4.0,23.0,6.0,13.0,21.0,56.0,7.0,9.0,30.0,25.0,24.0,57.0,22.0,48.0,65.0,28.0,46.0,41.0,40.0,51.0,18.0,37.0,20.0
4435,2.0,0.0,20.0,16.0,12.0,19.0,46.0,1.0,21.0,18.0,7.0,22.0,9.0,3.0,34.0,17.0,44.0,4.0,40.0,6.0,62.0,5.0,47.0,15.0,28.0,38.0,29.0,13.0,39.0,33.0
4484,24.0,12.0,1.0,17.0,26.0,14.0,6.0,10.0,47.0,36.0,2.0,21.0,0.0,18.0,25.0,3.0,16.0,50.0,23.0,42.0,8.0,31.0,27.0,13.0,4.0,58.0,55.0,19.0,63.0,39.0
4533,1.0,3.0,9.0,13.0,4.0,21.0,42.0,14.0,11.0,34.0,2.0,10.0,0.0,8.0,25.0,7.0,5.0,26.0,41.0,16.0,62.0,61.0,15.0,27.0,37.0,58.0,59.0,30.0,24.0,35.0
4582,2.0,8.0,4.0,6.0,7.0,38.0,11.0,39.0,27.0,19.0,29.0,0.0,3.0,34.0,14.0,40.0,48.0,43.0,16.0,1.0,41.0,15.0,12.0,36.0,10.0,23.0,17.0,45.0,22.0,37.0
4631,0.0,2.0,3.0,40.0,30.0,34.0,31.0,9.0,32.0,37.0,1.0,20.0,6.0,5.0,45.0,8.0,35.0,47.0,16.0,44.0,7.0,43.0,64.0,52.0,13.0,56.0,59.0,58.0,15.0,51.0
4680,1.0,5.0,24.0,16.0,21.0,56.0,39.0,7.0,49.0,37.0,8.0,9.0,0.0,48.0,29.0,45.0,51.0,47.0,10.0,15.0,6.0,44.0,17.0,28.0,4.0,25.0,38.0,36.0,27.0,3.0
4729,7.0,1.0,5.0,11.0,29.0,8.0,20.0,3.0,27.0,44.0,0.0,26.0,2.0,19.0,22.0,39.0,37.0,30.0,40.0,13.0,15.0,50.0,57.0,25.0,49.0,62.0,24.0,34.0,33.0,28.0
4778,12.0,21.0,33.0,1.0,10.0,17.0,8.0,7.0,34.0,31.0,38.0,15.0,0.0,18.0,9.0,35.0,24.0,27.0,13.0,3.0,11.0,37.0,20.0,42.0,14.0,51.0,26.0,30.0,41.0,62.0
4827,6.0,14.0,19.0,17.0,43.0,18.0,0.0,10.0,29.0,15.0,2.0,30.0,1.0,4.0,5.0,24.0,26.0,27.0,35.0,13.0,58.0,7.0,22.0,25.0,49.0,31.0,61.0,9.0,11.0,50.0
4876,1.0,2.0,0.0,9.0,28.0,51.0,7.0,4.0,13.0,50.0,31.0,6.0,3.0,8.0,17.0,66.0,11.0,20.0,10.0,37.0,23.0,45.0,21.0,34.0,19.0,62.0,46.0,27.0,12.0,58.0
