,XAGE1E,CCND2,GPX3,STEAP1B,CGREF1,MAGEA1,NDN,CKB,LINC00942,LEPREL4,C1orf233,CA8,GUSB,KCNK15,TNFSF12,PHACTR2,RP11-90B9.2,DUSP23,PAPSS2,FAM109B,HMGA2,NT5E,RP11-400N13.2,PCDHA11,IGSF3,PLCD1,KCNIP2-AS1,RP11-197K6.1,CTB-60B18.10,CTD-2201E18.3
8,0.0,6.0,1.0,75.0,2.0,3.0,5.0,151.0,18.0,11.0,15.0,22.0,9.0,21.0,36.0,19.0,49.0,29.0,17.0,26.0,33.0,54.0,93.0,246.0,163.0,35.0,45.0,3009.0,58.0,111.0
57,0.0,2.0,5.0,25.0,3.0,4.0,19.0,64.0,44.0,7.0,22.0,15.0,47.0,14.0,23.0,34.0,18.0,371.0,26.0,42.0,32.0,173.0,8.0,24.0,66.0,13.0,131.0,340.0,372.0,31.0
106,0.0,4.0,13.0,53.0,5.0,1.0,11.0,417.0,39.0,20.0,10.0,21.0,125.0,6.0,116.0,22.0,59.0,64.0,14.0,82.0,146.0,207.0,256.0,61.0,66.0,49.0,126.0,894.0,1211.0,100.0
155,0.0,1.0,7.0,93.0,6.0,3.0,5.0,34.0,33.0,9.0,11.0,4.0,28.0,12.0,91.0,68.0,40.0,152.0,16.0,128.0,95.0,1421.0,15.0,14.0,23.0,32.0,51.0,1720.0,263.0,53.0
204,0.0,1.0,16.0,130.0,25.0,5.0,309.0,93.0,7.0,6.0,20.0,52.0,12.0,19.0,11.0,173.0,46.0,102.0,107.0,111.0,10.0,97.0,84.0,41.0,21.0,24.0,72.0,2241.0,240.0,56.0
253,1.0,6.0,18.0,34.0,0.0,69.0,3.0,31.0,10.0,13.0,8.0,7.0,4.0,9.0,151.0,159.0,36.0,81.0,22.0,99.0,200.0,278.0,11.0,46.0,47.0,91.0,62.0,393.0,321.0,35.0
302,0.0,4.0,40.0,73.0,3.0,1.0,7.0,77.0,5.0,2.0,12.0,14.0,32.0,11.0,28.0,29.0,33.0,164.0,27.0,48.0,84.0,103.0,26.0,21.0,50.0,225.0,92.0,159.0,157.0,17.0
351,0.0,1.0,4.0,10.0,5.0,3.0,21.0,23.0,7.0,9.0,8.0,6.0,64.0,13.0,49.0,47.0,18.0,29.0,16.0,39.0,45.0,389.0,112.0,17.0,108.0,26.0,89.0,440.0,249.0,73.0
400,0.0,2.0,18.0,44.0,3.0,5.0,1.0,48.0,17.0,6.0,22.0,263.0,10.0,7.0,54.0,106.0,19.0,115.0,41.0,120.0,16.0,58.0,8.0,50.0,57.0,28.0,355.0,787.0,147.0,33.0
449,0.0,1.0,125.0,10.0,40.0,13.0,14.0,21.0,69.0,8.0,17.0,4.0,44.0,208.0,5.0,95.0,31.0,294.0,78.0,222.0,43.0,2228.0,360.0,148.0,12.0,141.0,47.0,5671.0,65.0,578.0
